Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL,sv_initial_raw,sv_verified_raw
"five-time world champion michelle kwan withdrew from the #### us figure skating championships on wednesday , but will petition us skating officials for the chance to compete at the #### turin olympics .",injury leaves kwan 's olympic hopes in limbo,"a chance to compete at the Turin Olympics.

Final summary:
Michelle Kwan, a five-time world champion, has withdrawn from the US figure skating championships. However, she intends to petition US skating officials for the opportunity to compete at the Turin Olympics.","a chance to compete at the Turin Olympics.

Final summary:
Michelle Kwan, a five-time world champion, has withdrawn from the US figure skating championships. However, she intends to petition US skating officials for the opportunity to compete at the Turin Olympics.",210,110,320,0.19518763781525195,0.20156153013169922,0.20156153013169922,0.06863427866155007,0.17874320968188673,"in olympics .

Summary:
Five-time world champion Michelle Kwan withdrew from the US figure skating championships but plans to petition US skating officials for a chance to compete at the Turin Olympics.","a chance to compete at the Turin Olympics.

Final summary:
Michelle Kwan, a five-time world champion, has withdrawn from the US figure skating championships. However, she intends to petition US skating officials for the opportunity to compete at the Turin Olympics."
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .,us business attacks tough immigration law,"penalize companies for employing illegal immigrants .

Summary:
Business leaders criticized legislation on Wednesday, which proposes penalties for companies hiring illegal immigrants.

Final summary:
Business leaders opposed proposed legislation on Wednesday, targeting penalties for companies employing illegal immigrants.","penalize companies for employing illegal immigrants .

Summary:
Business leaders criticized legislation on Wednesday, which proposes penalties for companies hiring illegal immigrants.

Final summary:
Business leaders opposed proposed legislation on Wednesday, targeting penalties for companies employing illegal immigrants.",174,146,320,0.19518763781525195,0.20156153013169922,0.20156153013169922,0.06863427866155007,0.17874320968188673,"final summary.

Input:
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .

Summary:
Business leaders criticized legislation on Wednesday, which proposes penalties for companies hiring illegal immigrants.","penalize companies for employing illegal immigrants .

Summary:
Business leaders criticized legislation on Wednesday, which proposes penalties for companies hiring illegal immigrants.

Final summary:
Business leaders opposed proposed legislation on Wednesday, targeting penalties for companies employing illegal immigrants."
general motors corp. said wednesday its us sales fell ##.# percent in december and four percent in #### with the biggest losses coming from passenger car sales .,gm december sales fall ## percent,"Summary:
General Motors reported a decline in U.S. sales, with a significant drop in passenger car sales.

Final summary:
General Motors experienced a decline in U.S. sales, particularly in passenger car sales.","Summary:
General Motors reported a decline in U.S. sales, with a significant drop in passenger car sales.

Final summary:
General Motors experienced a decline in U.S. sales, particularly in passenger car sales.",189,131,320,0.19518763781525195,0.20156153013169922,0.20156153013169922,0.06863427866155007,0.17874320968188673,"four percent in #### with the biggest losses coming from passenger car sales .

Summary:
General Motors reported a decline in U.S. sales, with a significant drop in passenger car sales.","Summary:
General Motors reported a decline in U.S. sales, with a significant drop in passenger car sales.

Final summary:
General Motors experienced a decline in U.S. sales, particularly in passenger car sales."
several thousand people gathered on wednesday evening on the main square in zagreb for a public draw and an open air party to celebrate the croatian capital 's second chance to host the women 's slalom world cup .,thousands of croatians celebrate before world cup slalom,".

Final summary:
Several thousand people celebrated Zagreb's second chance to host the Women's Slalom World Cup, with a public draw and an open-air party on Wednesday evening in the main square.",".

Final summary:
Several thousand people celebrated Zagreb's second chance to host the Women's Slalom World Cup, with a public draw and an open-air party on Wednesday evening in the main square.",226,94,320,0.19518763781525195,0.20156153013169922,0.20156153013169922,0.06863427866155007,0.17874320968188673,"Several thousand people gathered in Zagreb's main square on Wednesday evening. They celebrated the city's second opportunity to host the Women's Slalom World Cup, with a public draw and an open-air party.",".

Final summary:
Several thousand people celebrated Zagreb's second chance to host the Women's Slalom World Cup, with a public draw and an open-air party on Wednesday evening in the main square."
"us first lady laura bush and us secretary of state condoleezza rice will represent the united states later this month at the inauguration of liberia 's president-elect ellen johnson sirleaf , the white house said wednesday .",laura bush UNK rice to attend sirleaf 's inauguration in liberia,"the U.S. at Liberia's president-elect Ellen Johnson Sirleaf's inauguration.

Final summary:
Laura Bush and Condoleezza Rice will represent the U.S. at Ellen Johnson Sirleaf's Liberian presidential inauguration.","the U.S. at Liberia's president-elect Ellen Johnson Sirleaf's inauguration.

Final summary:
Laura Bush and Condoleezza Rice will represent the U.S. at Ellen Johnson Sirleaf's Liberian presidential inauguration.",211,109,320,0.19518763781525195,0.20156153013169922,0.20156153013169922,0.06863427866155007,0.17874320968188673,Laura Bush and Condoleezza Rice will represent the U.S. at Liberia's president-elect Ellen Johnson Sirleaf's inauguration.,"the U.S. at Liberia's president-elect Ellen Johnson Sirleaf's inauguration.

Final summary:
Laura Bush and Condoleezza Rice will represent the U.S. at Ellen Johnson Sirleaf's Liberian presidential inauguration."
"jack abramoff , a former lobbyist at the center of a mushrooming political scandal in washington , on wednesday pleaded guilty in a us court in miami to defrauding lenders in a florida gambling boat deal .",top republican lobbyist pleads guilty to florida fraud,"a Miami court to defrauding lenders in a Florida gambling boat deal.

Final summary:
Jack Abramoff, a former Washington lobbyist, pleaded guilty in Miami to defrauding lenders in a Florida gambling boat deal.","a Miami court to defrauding lenders in a Florida gambling boat deal.

Final summary:
Jack Abramoff, a former Washington lobbyist, pleaded guilty in Miami to defrauding lenders in a Florida gambling boat deal.",209,111,320,0.19518763781525195,0.20156153013169922,0.20156153013169922,0.06863427866155007,0.17874320968188673,".

Summary:
Jack Abramoff, a former Washington lobbyist, pleaded guilty in a Miami court to defrauding lenders in a Florida gambling boat deal.","a Miami court to defrauding lenders in a Florida gambling boat deal.

Final summary:
Jack Abramoff, a former Washington lobbyist, pleaded guilty in Miami to defrauding lenders in a Florida gambling boat deal."
"somalia 's feuding president and parliament speaker have agreed a compromise in a bitter row over the appropriate seat for their fledgling transitional government , a yemeni official said wednesday .",somalia rivals in compromise on seat of government,"over their transitional government's seating arrangement, according to a Yemeni official.

Final summary:
Somalia's feuding leaders agreed on a compromise for their transitional government's seating arrangement, as reported by a Yemeni official.","over their transitional government's seating arrangement, according to a Yemeni official.

Final summary:
Somalia's feuding leaders agreed on a compromise for their transitional government's seating arrangement, as reported by a Yemeni official.",204,116,320,0.19518763781525195,0.20156153013169922,0.20156153013169922,0.06863427866155007,0.17874320968188673,"i official said wednesday .

Summary:
Somalia's feuding president and parliament speaker reached a compromise over their transitional government's seating arrangement, according to a Yemeni official.","over their transitional government's seating arrangement, according to a Yemeni official.

Final summary:
Somalia's feuding leaders agreed on a compromise for their transitional government's seating arrangement, as reported by a Yemeni official."
"a ##-hour strike by airport workers in portugal planned for friday over job security issues could lead to flight cancellations , union and airport officials said .",portuguese airport workers strike could ground flights on friday,"to union and airport officials.

Final summary:
Portugal's airport workers are planning a 24-hour strike on Friday to address job security concerns. The strike may lead to flight cancellations, as indicated by union and airport officials.","to union and airport officials.

Final summary:
Portugal's airport workers are planning a 24-hour strike on Friday to address job security concerns. The strike may lead to flight cancellations, as indicated by union and airport officials.",205,115,320,0.19518763781525195,0.20156153013169922,0.20156153013169922,0.06863427866155007,0.17874320968188673,"issues could lead to flight cancellations , union and airport officials said .

Summary:
Airport workers in Portugal plan a 24-hour strike on Friday, aiming to address job security concerns. The strike could result in flight cancellations, according to union and airport officials.","to union and airport officials.

Final summary:
Portugal's airport workers are planning a 24-hour strike on Friday to address job security concerns. The strike may lead to flight cancellations, as indicated by union and airport officials."
jose mourinho renewed his partnership with portuguese international maniche on wednesday when he completed the loan signing of the ##-year-old midfielder from dynamo moscow .,maniche renews partnership with mourinho,"iche, completing a loan signing for the 27-year-old from Dynamo Moscow.

Final summary:
Mourinho renews partnership with Portuguese midfielder Maniche, signing a loan deal for the 27-year-old Dynamo Moscow midfielder.","iche, completing a loan signing for the 27-year-old from Dynamo Moscow.

Final summary:
Mourinho renews partnership with Portuguese midfielder Maniche, signing a loan deal for the 27-year-old Dynamo Moscow midfielder.",200,120,320,0.19518763781525195,0.20156153013169922,0.20156153013169922,0.06863427866155007,0.17874320968188673,"year-old midfielder from dynamo moscow .

Summary:
Mourinho renewed his association with Portuguese midfielder Maniche, completing a loan signing for the 27-year-old from Dynamo Moscow.","iche, completing a loan signing for the 27-year-old from Dynamo Moscow.

Final summary:
Mourinho renews partnership with Portuguese midfielder Maniche, signing a loan deal for the 27-year-old Dynamo Moscow midfielder."
"hollywood is planning a new sequel to adventure flick `` ocean 's eleven , '' with star george clooney set to reprise his role as a charismatic thief in `` ocean 's thirteen , '' the entertainment press said wednesday .",hollywood shores up support for ocean 's thirteen,"Hollywood is producing ""Ocean's Thirteen,"" a sequel to ""Ocean's Eleven."" George Clooney returns as a charismatic thief. The entertainment press announced this on Wednesday.","Hollywood is producing ""Ocean's Thirteen,"" a sequel to ""Ocean's Eleven."" George Clooney returns as a charismatic thief. The entertainment press announced this on Wednesday.",232,88,320,0.19518763781525195,0.20156153013169922,0.20156153013169922,0.06863427866155007,0.17874320968188673,"Hollywood is developing a sequel to ""Ocean's Eleven,"" titled ""Ocean's Thirteen."" George Clooney is set to reprise his role as a charming thief. The news was reported by the entertainment press on Wednesday.","Hollywood is producing ""Ocean's Thirteen,"" a sequel to ""Ocean's Eleven."" George Clooney returns as a charismatic thief. The entertainment press announced this on Wednesday."
