Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL,sv_initial_raw,sv_verified_raw
"five-time world champion michelle kwan withdrew from the #### us figure skating championships on wednesday , but will petition us skating officials for the chance to compete at the #### turin olympics .",injury leaves kwan 's olympic hopes in limbo,".

Final summary:assistant

Five-time world champion Michelle Kwan withdrew from the US Figure Skating Championships, but will petition US skating officials to compete in the 2006 Turin Olympics.",".

Final summary:assistant

Five-time world champion Michelle Kwan withdrew from the US Figure Skating Championships, but will petition US skating officials to compete in the 2006 Turin Olympics.",260,94,354,0.13480805031576892,0.23755578910736258,0.23755578910736258,0.07809433550974218,0.2110424771115743,"ics.

Summary:assistant

Five-time world champion Michelle Kwan withdrew from the US Figure Skating Championships, but will petition to compete in the Turin Olympics.",".

Final summary:assistant

Five-time world champion Michelle Kwan withdrew from the US Figure Skating Championships, but will petition US skating officials to compete in the 2006 Turin Olympics."
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .,us business attacks tough immigration law,"a proposed law that would punish companies for hiring undocumented workers.

Final summary:assistant

US business leaders criticized a proposed law that would punish companies for hiring undocumented workers.","a proposed law that would punish companies for hiring undocumented workers.

Final summary:assistant

US business leaders criticized a proposed law that would punish companies for hiring undocumented workers.",229,125,354,0.13480805031576892,0.23755578910736258,0.23755578910736258,0.07809433550974218,0.2110424771115743,"Input:
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants.

Summary:assistant

US business leaders criticized a proposed law that would punish companies for hiring undocumented workers.","a proposed law that would punish companies for hiring undocumented workers.

Final summary:assistant

US business leaders criticized a proposed law that would punish companies for hiring undocumented workers."
general motors corp. said wednesday its us sales fell ##.# percent in december and four percent in #### with the biggest losses coming from passenger car sales .,gm december sales fall ## percent,"General Motors reported a decline in US sales, with a ##.#% drop in December and a 4% decrease in 2023, primarily due to a decline in passenger car sales.","General Motors reported a decline in US sales, with a ##.#% drop in December and a 4% decrease in 2023, primarily due to a decline in passenger car sales.",260,94,354,0.13480805031576892,0.23755578910736258,0.23755578910736258,0.07809433550974218,0.2110424771115743,"#### with the biggest losses coming from passenger car sales.

Summary:assistant

General Motors reported a decline in US sales, with a ##.#% drop in December and a 4% decrease in ####, primarily due to a decline in passenger car sales.","General Motors reported a decline in US sales, with a ##.#% drop in December and a 4% decrease in 2023, primarily due to a decline in passenger car sales."
several thousand people gathered on wednesday evening on the main square in zagreb for a public draw and an open air party to celebrate the croatian capital 's second chance to host the women 's slalom world cup .,thousands of croatians celebrate before world cup slalom,Thousands gathered in Zagreb's main square for a public draw and open-air party to celebrate the city's second chance to host the Women's Slalom World Cup.,Thousands gathered in Zagreb's main square for a public draw and open-air party to celebrate the city's second chance to host the Women's Slalom World Cup.,274,80,354,0.13480805031576892,0.23755578910736258,0.23755578910736258,0.07809433550974218,0.2110424771115743,Thousands gathered in Zagreb's main square for a public draw and open-air party to celebrate the city's second chance to host the Women's Slalom World Cup.,Thousands gathered in Zagreb's main square for a public draw and open-air party to celebrate the city's second chance to host the Women's Slalom World Cup.
"us first lady laura bush and us secretary of state condoleezza rice will represent the united states later this month at the inauguration of liberia 's president-elect ellen johnson sirleaf , the white house said wednesday .",laura bush UNK rice to attend sirleaf 's inauguration in liberia,US First Lady Laura Bush and US Secretary of State Condoleezza Rice will represent the US at the inauguration of Liberia's President-elect Ellen Johnson Sirleaf later this month.,US First Lady Laura Bush and US Secretary of State Condoleezza Rice will represent the US at the inauguration of Liberia's President-elect Ellen Johnson Sirleaf later this month.,275,79,354,0.13480805031576892,0.23755578910736258,0.23755578910736258,0.07809433550974218,0.2110424771115743,US First Lady Laura Bush and US Secretary of State Condoleezza Rice will represent the US at the inauguration of Liberia's President-elect Ellen Johnson Sirleaf.,US First Lady Laura Bush and US Secretary of State Condoleezza Rice will represent the US at the inauguration of Liberia's President-elect Ellen Johnson Sirleaf later this month.
"jack abramoff , a former lobbyist at the center of a mushrooming political scandal in washington , on wednesday pleaded guilty in a us court in miami to defrauding lenders in a florida gambling boat deal .",top republican lobbyist pleads guilty to florida fraud,"Final summary:assistant

Jack Abramoff, a former lobbyist at the center of a Washington scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal.","Final summary:assistant

Jack Abramoff, a former lobbyist at the center of a Washington scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal.",265,89,354,0.13480805031576892,0.23755578910736258,0.23755578910736258,0.07809433550974218,0.2110424771115743,"assistant

Jack Abramoff, a former lobbyist, pleaded guilty in a US court in Miami to defrauding lenders in a Florida gambling boat deal.","Final summary:assistant

Jack Abramoff, a former lobbyist at the center of a Washington scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal."
"somalia 's feuding president and parliament speaker have agreed a compromise in a bitter row over the appropriate seat for their fledgling transitional government , a yemeni official said wednesday .",somalia rivals in compromise on seat of government,"'s transitional government.

Final summary:assistant

Somalia's feuding president and parliament speaker have agreed a compromise in a bitter row over the seat for their transitional government.","'s transitional government.

Final summary:assistant

Somalia's feuding president and parliament speaker have agreed a compromise in a bitter row over the seat for their transitional government.",256,98,354,0.13480805031576892,0.23755578910736258,0.23755578910736258,0.07809433550974218,0.2110424771115743,"wednesday.

Summary:assistant

Somalia's president and parliament speaker have reached a compromise in their dispute over the location of the country's transitional government.","'s transitional government.

Final summary:assistant

Somalia's feuding president and parliament speaker have agreed a compromise in a bitter row over the seat for their transitional government."
"a ##-hour strike by airport workers in portugal planned for friday over job security issues could lead to flight cancellations , union and airport officials said .",portuguese airport workers strike could ground flights on friday,".

Final summary:assistant

Airport workers in Portugal are planning a 24-hour strike on Friday over job security concerns, potentially leading to flight cancellations.",".

Final summary:assistant

Airport workers in Portugal are planning a 24-hour strike on Friday over job security concerns, potentially leading to flight cancellations.",251,103,354,0.13480805031576892,0.23755578910736258,0.23755578910736258,0.07809433550974218,0.2110424771115743,"to flight cancellations, union and airport officials said.

Summary:assistant

Airport workers in Portugal are planning a 24-hour strike on Friday due to job security concerns, which may result in flight cancellations.",".

Final summary:assistant

Airport workers in Portugal are planning a 24-hour strike on Friday over job security concerns, potentially leading to flight cancellations."
jose mourinho renewed his partnership with portuguese international maniche on wednesday when he completed the loan signing of the ##-year-old midfielder from dynamo moscow .,maniche renews partnership with mourinho,"the Portuguese midfielder on loan from Dynamo Moscow.

Final summary:assistant

Jose Mourinho renewed his partnership with Maniche by signing the Portuguese midfielder on loan from Dynamo Moscow.","the Portuguese midfielder on loan from Dynamo Moscow.

Final summary:assistant

Jose Mourinho renewed his partnership with Maniche by signing the Portuguese midfielder on loan from Dynamo Moscow.",248,106,354,0.13480805031576892,0.23755578910736258,0.23755578910736258,0.07809433550974218,0.2110424771115743,"from dynamo moscow.

Summary:assistant

Jose Mourinho renewed his partnership with Maniche by signing the Portuguese midfielder on loan from Dynamo Moscow.","the Portuguese midfielder on loan from Dynamo Moscow.

Final summary:assistant

Jose Mourinho renewed his partnership with Maniche by signing the Portuguese midfielder on loan from Dynamo Moscow."
"hollywood is planning a new sequel to adventure flick `` ocean 's eleven , '' with star george clooney set to reprise his role as a charismatic thief in `` ocean 's thirteen , '' the entertainment press said wednesday .",hollywood shores up support for ocean 's thirteen,"A new sequel to ""Ocean's Eleven"" is in the works, with George Clooney set to reprise his role as a charismatic thief in ""Ocean's Thirteen"".","A new sequel to ""Ocean's Eleven"" is in the works, with George Clooney set to reprise his role as a charismatic thief in ""Ocean's Thirteen"".",276,78,354,0.13480805031576892,0.23755578910736258,0.23755578910736258,0.07809433550974218,0.2110424771115743,"A new sequel to ""Ocean's Eleven"" is in the works, with George Clooney set to reprise his role in ""Ocean's Thirteen"".","A new sequel to ""Ocean's Eleven"" is in the works, with George Clooney set to reprise his role as a charismatic thief in ""Ocean's Thirteen""."
