Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL
nec UNK in computer sales tie-up,japan 's nec corp. and UNK computer corp. of the united states said wednesday they had agreed to join forces in supercomputer sales .,"computer sales tie-up

Expanded text:
In a strategic move within the computer sales industry, Nec, a renowned technology company, has entered into a sales tie-up with an as-of-yet unnamed entity, commonly referred to as UNK. This partnership is expected to bolster Nec's market presence and sales capabilities, while also potentially offering UNK a competitive edge in the computer sales sector.","computer sales tie-up

Expanded text:
In a strategic move within the computer sales industry, Nec, a renowned technology company, has entered into a sales tie-up with an as-of-yet unnamed entity, commonly referred to as UNK. This partnership is expected to bolster Nec's market presence and sales capabilities, while also potentially offering UNK a competitive edge in the computer sales sector.",58,137,195,0.257910445876405,0.2076631850188182,0.2076631850188182,0.055004473159587224,0.15079483358128154
sri lanka closes schools as war escalates,the sri lankan government on wednesday announced the closure of government schools with immediate effect as a military campaign against tamil separatists escalated in the north of the country .,"escalates

Expanded text:
In a recent and concerning development, the government of Sri Lanka has been compelled to take a drastic measure. This measure involves the closure of all educational institutions across the nation. The reason behind this unprecedented action is the escalating tensions and the intensification of the ongoing conflict within the country.

This decision to shut down schools is not one that has been taken lightly. It reflects the gravity of the situation and the necessity to prioritize the safety and well-being of the nation's youth.

As the situation continues to unfold, it remains to be seen how long the schools will remain closed. The hope is that this measure will serve as a temporary solution to","escalates

Expanded text:
In a recent and concerning development, the government of Sri Lanka has been compelled to take a drastic measure. This measure involves the closure of all educational institutions across the nation. The reason behind this unprecedented action is the escalating tensions and the intensification of the ongoing conflict within the country.

This decision to shut down schools is not one that has been taken lightly. It reflects the gravity of the situation and the necessity to prioritize the safety and well-being of the nation's youth.

As the situation continues to unfold, it remains to be seen how long the schools will remain closed. The hope is that this measure will serve as a temporary solution to",60,135,195,0.257910445876405,0.2076631850188182,0.2076631850188182,0.055004473159587224,0.15079483358128154
protesters target french research ship,"police arrested five anti-nuclear protesters thursday after they sought to disrupt loading of a french antarctic research and supply vessel , a spokesman for the protesters said .","ers target french research ship

Expanded text:
Protesters have recently taken a stand by targeting a French research ship. The protesters, who are likely advocating for a range of environmental and social issues, have chosen the research ship as their focal point.

The French research ship, which is typically equipped with advanced scientific instruments and research teams, has become the subject of the protesters' actions.

The reasons behind the protesters' choice to target the French research ship are multifaceted. It may be due to the ship's involvement in research that the protesters find controversial or detrimental to the environment or social justice.

In response to the protesters' actions, the French research ship's crew and the","ers target french research ship

Expanded text:
Protesters have recently taken a stand by targeting a French research ship. The protesters, who are likely advocating for a range of environmental and social issues, have chosen the research ship as their focal point.

The French research ship, which is typically equipped with advanced scientific instruments and research teams, has become the subject of the protesters' actions.

The reasons behind the protesters' choice to target the French research ship are multifaceted. It may be due to the ship's involvement in research that the protesters find controversial or detrimental to the environment or social justice.

In response to the protesters' actions, the French research ship's crew and the",57,138,195,0.257910445876405,0.2076631850188182,0.2076631850188182,0.055004473159587224,0.15079483358128154
us september factory orders up #.# percent,"factory orders for manufactured goods rose #.# percent in september , the commerce department said here thursday .","up #.# percent

Expanded text:
In the United States, the latest data reveals that factory orders experienced a notable increase in September. Specifically, these orders saw a rise of #.# percent, indicating a robust demand for manufactured goods within the country.","up #.# percent

Expanded text:
In the United States, the latest data reveals that factory orders experienced a notable increase in September. Specifically, these orders saw a rise of #.# percent, indicating a robust demand for manufactured goods within the country.",58,137,195,0.257910445876405,0.2076631850188182,0.2076631850188182,0.055004473159587224,0.15079483358128154
bank of UNK UNK for calm in financial markets,the bank of japan appealed to financial markets to remain calm friday following the us decision to order daiwa bank ltd. to close its us operations .,"markets

Expanded text:
The Bank of UNK, UNK, has recently announced a new initiative aimed at fostering calm and stability within the financial markets. This strategic move by the Bank of UNK, UNK, is a direct response to the heightened volatility and uncertainty that have been prevalent in the financial landscape of late. By implementing this initiative, the Bank of UNK, UNK, seeks to provide a sense of reassurance to investors and market participants alike, thereby contributing to the overall health and resilience of the financial markets.","markets

Expanded text:
The Bank of UNK, UNK, has recently announced a new initiative aimed at fostering calm and stability within the financial markets. This strategic move by the Bank of UNK, UNK, is a direct response to the heightened volatility and uncertainty that have been prevalent in the financial landscape of late. By implementing this initiative, the Bank of UNK, UNK, seeks to provide a sense of reassurance to investors and market participants alike, thereby contributing to the overall health and resilience of the financial markets.",61,134,195,0.257910445876405,0.2076631850188182,0.2076631850188182,0.055004473159587224,0.15079483358128154
rebel serb talks to resume saturday : tudjman by peter UNK,"croatian president franjo tudjman said friday croatian and serb negotiators would meet saturday to thrash out an agreement on the last serb-held area in croatia , under a deal reached at us-brokered talks .","On Saturday, a significant development is expected as a rebel Serb engages in talks aimed at resuming dialogue. This critical meeting is scheduled to take place on Saturday, and it is anticipated that the talks will be a pivotal moment in the ongoing negotiations.

The talks are set to be a pivotal moment in the ongoing negotiations. The rebel Serb involved in these discussions is expected to engage in meaningful dialogue with the other party involved. This dialogue is of utmost importance as it could potentially pave the way for a peaceful resolution to the ongoing conflict.

The meeting is scheduled to take place on Saturday, and it is being reported by Peter, who is","On Saturday, a significant development is expected as a rebel Serb engages in talks aimed at resuming dialogue. This critical meeting is scheduled to take place on Saturday, and it is anticipated that the talks will be a pivotal moment in the ongoing negotiations.

The talks are set to be a pivotal moment in the ongoing negotiations. The rebel Serb involved in these discussions is expected to engage in meaningful dialogue with the other party involved. This dialogue is of utmost importance as it could potentially pave the way for a peaceful resolution to the ongoing conflict.

The meeting is scheduled to take place on Saturday, and it is being reported by Peter, who is",67,128,195,0.257910445876405,0.2076631850188182,0.2076631850188182,0.055004473159587224,0.15079483358128154
toyota are banned for a year,japan 's toyota team europe were banned from the world rally championship for one year here on friday in a crushing ruling by the world council of the international automobile federation -lrb- fia -rrb- .,"are banned for a year

Expanded text:
Toyota vehicles have been subject to a temporary ban, which has been imposed for a duration of one year. This decision has been made in response to a range of concerns, which may include safety issues, environmental impact, or compliance with regulatory standards.

The ban is expected to have significant implications for Toyota, as well as for the broader automotive industry. During the one-year ban period, Toyota will likely need to focus on alternative strategies, such as enhancing the safety features of their existing models, or accelerating the development of new, compliant vehicles.","are banned for a year

Expanded text:
Toyota vehicles have been subject to a temporary ban, which has been imposed for a duration of one year. This decision has been made in response to a range of concerns, which may include safety issues, environmental impact, or compliance with regulatory standards.

The ban is expected to have significant implications for Toyota, as well as for the broader automotive industry. During the one-year ban period, Toyota will likely need to focus on alternative strategies, such as enhancing the safety features of their existing models, or accelerating the development of new, compliant vehicles.",57,138,195,0.257910445876405,0.2076631850188182,0.2076631850188182,0.055004473159587224,0.15079483358128154
israel prepares jerusalem state funeral for rabin,"israel prepared sunday for prime minister yitzhak rabin 's state funeral which will be attended by a host of world leaders , including us president bill clinton and the jordanian and egyptian heads of state .","rabin

Expanded text:
In a solemn and respectful gesture, Israel is meticulously preparing a state funeral in Jerusalem for the late Prime Minister Yitzhak Rabin. This grand tribute is a testament to the profound impact Rabin had on Israeli politics and the peace process. The state funeral is expected to draw a large crowd of mourners, including political leaders, diplomats, and the general public, all coming together to honor the memory of a leader who was deeply committed to the pursuit of peace.","rabin

Expanded text:
In a solemn and respectful gesture, Israel is meticulously preparing a state funeral in Jerusalem for the late Prime Minister Yitzhak Rabin. This grand tribute is a testament to the profound impact Rabin had on Israeli politics and the peace process. The state funeral is expected to draw a large crowd of mourners, including political leaders, diplomats, and the general public, all coming together to honor the memory of a leader who was deeply committed to the pursuit of peace.",60,135,195,0.257910445876405,0.2076631850188182,0.2076631850188182,0.055004473159587224,0.15079483358128154
indian pm 's announcement on kashmir polls autonomy sparks outrage,indian prime minister p.v. narasimha rao 's promise of more autonomy for troubled kashmir and his plea for early state elections has sparked a violent reaction from provincial moslem and opposition parties .,"text:
Indian Prime Minister's recent announcement regarding the upcoming polls in Kashmir, as well as the proposed autonomy for the region, has ignited a wave of outrage among various segments of the population. The announcement has been met with criticism for its timing, perceived lack of inclusivity, and the potential implications for the long-standing territorial and political disputes in the region.","text:
Indian Prime Minister's recent announcement regarding the upcoming polls in Kashmir, as well as the proposed autonomy for the region, has ignited a wave of outrage among various segments of the population. The announcement has been met with criticism for its timing, perceived lack of inclusivity, and the potential implications for the long-standing territorial and political disputes in the region.",64,131,195,0.257910445876405,0.2076631850188182,0.2076631850188182,0.055004473159587224,0.15079483358128154
russian liberal party wins registration,UNK,"russian liberal party wins registration

Expanded text:
The Russian Liberal Party has achieved a significant milestone as it successfully wins registration. This victory is a testament to the party's commitment to promoting liberal values and fostering a more open and democratic society in Russia. The registration process, which often involves rigorous scrutiny and compliance with legal requirements, underscores the party's dedication to adhering to the rule of law.","russian liberal party wins registration

Expanded text:
The Russian Liberal Party has achieved a significant milestone as it successfully wins registration. This victory is a testament to the party's commitment to promoting liberal values and fostering a more open and democratic society in Russia. The registration process, which often involves rigorous scrutiny and compliance with legal requirements, underscores the party's dedication to adhering to the rule of law.",56,139,195,0.257910445876405,0.2076631850188182,0.2076631850188182,0.055004473159587224,0.15079483358128154
