Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,mse,rmse,pearson_coeff,spearman_coeff,in_context,context_indices,retrieval_scores
"text1: A man eating an apple, sitting in public. text2: A man sits in a public place eating an apple.",5.0,1.0,"pair: text1: A woman is dancing. text2: A man is eating.
score: 0.1430000067
text pair: text1: Raccoons are eating. text2: A man is eating.
score: 1.5
text pair: text1: Two people sitting at a table at a restaurant. text2: A group of people sitting around a table on a porch.
score: 1.0
text pair: text1: A man is dancing. text2: A man is eating bread.
score: 0.8000000119

Target text pair:
text1: A man eating an apple, sitting in public. text2: A man sits in a public place eating an apple.

Score:
assistant
<think>

</think>

5.0",482,198,680,0.4207277989371505,4.291335842046213,2.071553967929924,0.07349991906378904,0.07550141136409508,"For example,
text pair: text1: A man and woman are talking. text2: A man and woman is eating.
score: 1.6000000238
text pair: text1: A man is eating a banana by a tree. text2: A man is eating a banana.
score: 4.0
text pair: text1: A man is eating a bowl of cereal. text2: The man is eating cereal.
score: 4.0
text pair: text1: The man is peeling an apple. text2: A man peels an apple.
score: 5.0
text pair: text1: A man is eating a banana. text2: Someone is peeling a banana.
score: 1.7999999523
text pair: text1: Group of people sitting at table of restaurant. text2: Two people sitting at a table at a restaurant.
score: 3.7999999523
text pair: text1: A woman is dancing. text2: A man is eating.
score: 0.1430000067
text pair: text1: Raccoons are eating. text2: A man is eating.
score: 1.5
text pair: text1: Two people sitting at a table at a restaurant. text2: A group of people sitting around a table on a porch.
score: 1.0
text pair: text1: A man is dancing. text2: A man is eating bread.
score: 0.8000000119","[87, 59, 655, 641, 663, 1253, 120, 350, 1123, 214]","[0.6685559749603271, 0.6597238779067993, 0.6577353477478027, 0.655918538570404, 0.646335780620575, 0.6318134069442749, 0.6201493740081787, 0.616195023059845, 0.6129752397537231, 0.6073567271232605]"
text1: two young girls hug each other in the grass. text2: two young girls holding each other on the grassy ground,4.5999999046,2.0,": Two females jump off of swings. text2: Two girls jump out of swings.
score: 4.5999999046
text pair: text1: Two people are walking through some water. text2: Two girls are walking by a tree in front of a brick building.
score: 1.2000000477

Target text pair:
text1: two young girls hug each other in the grass. text2: two young girls holding each other on the grassy ground

Score:
assistant
<think>

</think>

5.0",538,142,680,0.4207277989371505,4.291335842046213,2.071553967929924,0.07349991906378904,0.07550141136409508,"For example,
text pair: text1: A little boy and a little girl playing together outside. text2: A young boy and a young girl walking towards each other
score: 2.0
text pair: text1: Two girls playing with people and flowers behind them. text2: Two young girls wearing skirts are playing in a garden.
score: 3.2000000477
text pair: text1: Two teenage girls, one is smiling. text2: A little girl on a kid swing.
score: 0.8000000119
text pair: text1: Two girls are jumping high in the air. text2: Two dogs nussle one another in the grass near a lake.
score: 0.200000003
text pair: text1: two girls holding up a scary movie flyer text2: Two girls holding sacks are standing in a field.
score: 1.3999999762
text pair: text1: The little girl played on the grass with a dog and a ball. text2: A baby plays with a dog and ball.
score: 3.7999999523
text pair: text1: Two little girls talk on the telephone. text2: Two girls talk on the phone.
score: 4.5
text pair: text1: two puppies playing around in the grass text2: Two puppies play in the grass
score: 5.0
text pair: text1: Two females jump off of swings. text2: Two girls jump out of swings.
score: 4.5999999046
text pair: text1: Two people are walking through some water. text2: Two girls are walking by a tree in front of a brick building.
score: 1.2000000477","[1590, 1776, 1921, 1770, 1559, 338, 558, 1936, 1850, 1983]","[0.7205599546432495, 0.7059453725814819, 0.6970067024230957, 0.6863886117935181, 0.6796461939811707, 0.6760309934616089, 0.6739864349365234, 0.6720850467681885, 0.6494145393371582, 0.6433863639831543]"
text1: Two white dogs are walking through deep white snow. text2: Two white dogs walk through a huge bank of mountain snow.,4.5999999046,3.4000000954,"through a snow covered wood.
score: 3.4000000954
text pair: text1: A dog in the snow. text2: Two dogs in snow.
score: 3.0
text pair: text1: A white fluffy dog is running in pure white snow. text2: A fluffy, white dog running in the snow.
score: 4.5999999046

Target text pair:
text1: Two white dogs are walking through deep white snow. text2: Two white dogs walk through a huge bank of mountain snow.

Score:
assistant
<think>

</think>

4.5",522,158,680,0.4207277989371505,4.291335842046213,2.071553967929924,0.07349991906378904,0.07550141136409508,"For example,
text pair: text1: A white dog walking in the snow. text2: A black and tan dog walking through the snow.
score: 3.0
text pair: text1: Two white dogs walking in the snow. text2: A tan dog with a black collar barking in the snow.
score: 2.0
text pair: text1: a white dog running in the snow text2: The dogs are running in the snow.
score: 3.2000000477
text pair: text1: A white dog running through the snow text2: The black and white dog runs through the grass.
score: 1.3999999762
text pair: text1: A black dog walking through water. text2: Two black dogs walking through the snow.
score: 2.4000000954
text pair: text1: The white dog runs across the snow. text2: A white bear walks along snow-covered ground and casts a shadow on the snow.
score: 1.3999999762
text pair: text1: two big brown dogs running through the snow. text2: A brown dog running through the grass.
score: 2.0
text pair: text1: A white animal running through snow covered woods. text2: A white dog runs through a snow covered wood.
score: 3.4000000954
text pair: text1: A dog in the snow. text2: Two dogs in snow.
score: 3.0
text pair: text1: A white fluffy dog is running in pure white snow. text2: A fluffy, white dog running in the snow.
score: 4.5999999046","[1669, 1720, 1796, 1803, 1872, 1535, 1598, 1083, 1820, 1901]","[0.8531430959701538, 0.8251103758811951, 0.8147774934768677, 0.8018467426300049, 0.7885309457778931, 0.7682523727416992, 0.7656426429748535, 0.7599956393241882, 0.7579261064529419, 0.7506318092346191]"
text1: Four girls in swimsuits are playing volleyball at the beach. text2: Four women in bikinis are playing volleyball on the beach.,4.8000001907,4.8000001907,"in the air while on the beach.
score: 4.8000001907

Target text pair:
text1: Four girls in swimsuits are playing volleyball at the beach. text2: Four women in bikinis are playing volleyball on the beach.

Score:
assistant
<think>

</think>

4.8000001907",593,87,680,0.4207277989371505,4.291335842046213,2.071553967929924,0.07349991906378904,0.07550141136409508,"For example,
text pair: text1: A woman serving volleyballs over a net. text2: One woman hands volleyballs to another woman who serves them.
score: 2.75
text pair: text1: Two shirtless young people playing in the water. text2: Lots of people play in the water at the beach.
score: 2.4000000954
text pair: text1: A young girl running on the beach. text2: A little girl running at on the shore of a beach.
score: 4.1999998093
text pair: text1: A woman is swimming in the beach. text2: A woman splashes around in the ocean's waves.
score: 3.2000000477
text pair: text1: A group of people sitting around a desk. text2: A group of girls on a beach.
score: 0.6000000238
text pair: text1: The man is standing on the shore hitting a ball with a paddle. text2: Two teenage girls are standing on beside the beach listening to ipods.
score: 0.8000000119
text pair: text1: Two girls on the shore watch people in a boat fish. text2: Two males, one in red and one in white playing a basketball game.
score: 0.0
text pair: text1: A girl does a back bend on the beach. text2: A girl doing a back bend at the beach.
score: 4.8000001907
text pair: text1: A girl in a black and blue wet suit is surfing. text2: A woman wearing a black and blue striped suit is surfing on a wave.
score: 4.4000000954
text pair: text1: a group of teenagers are jumping in the air on the beach. text2: A group of young people jump up in the air while on the beach.
score: 4.8000001907","[872, 1698, 1996, 409, 1799, 1880, 1904, 1675, 1727, 1893]","[0.6208906769752502, 0.612051784992218, 0.5840733051300049, 0.5765546560287476, 0.5756336450576782, 0.571873128414154, 0.5527500510215759, 0.545819103717804, 0.5364011526107788, 0.534003496170044]"
text1: Kids playing ball in the park. text2: Two dogs playing by the shore.,0.6000000238,5.0,"98093
text pair: text1: Two different breeds of brown and white dogs play on the beach. text2: Two dogs playing in the sand at the beach.
score: 4.0
text pair: text1: Four kids holding hands jump into a swimming pool. text2: Four dogs playing in the snow.
score: 0.0
text pair: text1: A dog running along the beach. text2: Boy and girl running along the beach.
score: 1.3999999762

Target text pair:
text1: Kids playing ball in the park. text2: Two dogs playing by the shore.

Score:
assistant
<think>

</think>

0.0",507,173,680,0.4207277989371505,4.291335842046213,2.071553967929924,0.07349991906378904,0.07550141136409508,"For example,
text pair: text1: Two dogs playing by the shore. text2: Two dogs playing in the snow.
score: 2.7999999523
text pair: text1: Two dogs playing in the snow. text2: Two kids playing with a dog.
score: 1.2000000477
text pair: text1: A boy and a girl playing on the beach. text2: A dog playing in the waves with a ball.
score: 0.8000000119
text pair: text1: Three dogs play in a grassy field. text2: Some kids play in a field.
score: 1.2000000477
text pair: text1: Two kids splashing in the water. text2: Two dogs play together on the bed.
score: 0.0
text pair: text1: Two dogs running down a beach. text2: two dogs running on the beach
score: 4.8000001907
text pair: text1: Two dogs running through a field. text2: Two dogs play in a field.
score: 4.1999998093
text pair: text1: Two different breeds of brown and white dogs play on the beach. text2: Two dogs playing in the sand at the beach.
score: 4.0
text pair: text1: Four kids holding hands jump into a swimming pool. text2: Four dogs playing in the snow.
score: 0.0
text pair: text1: A dog running along the beach. text2: Boy and girl running along the beach.
score: 1.3999999762","[1553, 1674, 1583, 1973, 1840, 1732, 1647, 1896, 1857, 1968]","[0.8298960328102112, 0.8041095733642578, 0.7885497808456421, 0.7818076014518738, 0.7619062662124634, 0.7583009004592896, 0.753305971622467, 0.7483415603637695, 0.7389192581176758, 0.735771656036377]"
text1: A man in a dress suit is riding a bike down the paved road. text2: A man is using a large pole to remove letters from a sign.,0.200000003,1.0,"pair: text1: A man is riding a motorcycle. text2: A man is riding a motorcycle through a town.
score: 3.5
text pair: text1: A man riding a small bicycle. text2: A man is doing a wheelie on a bike.
score: 2.7999999523
text pair: text1: A man is riding a motorcycle on the highway. text2: A man is riding a motorcycle.
score: 3.5

Target text pair:
text1: A man in a dress suit is riding a bike down the paved road. text2: A man is using a large pole to remove letters from a sign.

Score:
assistant
<think>

</think>

0.0",502,178,680,0.4207277989371505,4.291335842046213,2.071553967929924,0.07349991906378904,0.07550141136409508,"For example,
text pair: text1: A man is riding a bicycle. text2: A man is riding a bike.
score: 5.0
text pair: text1: Man riding a bicycle down a narrow path. text2: A man riding a unicycle down a paved road
score: 2.5999999046
text pair: text1: A man rides off on a motorcycle. text2: A man is riding on a motorcycle.
score: 4.4000000954
text pair: text1: A man is riding a bicycle. text2: A man is riding a bicycle around a parking lot.
score: 3.25
text pair: text1: A man in a gray suit locking up a bicycle text2: A man and a woman standing on a city street.
score: 0.400000006
text pair: text1: A man is riding a bike. text2: A man is riding on a horse.
score: 2.0
text pair: text1: A man is riding a bicycle. text2: A monkey is riding a bike.
score: 2.0
text pair: text1: A man is riding a motorcycle. text2: A man is riding a motorcycle through a town.
score: 3.5
text pair: text1: A man riding a small bicycle. text2: A man is doing a wheelie on a bike.
score: 2.7999999523
text pair: text1: A man is riding a motorcycle on the highway. text2: A man is riding a motorcycle.
score: 3.5","[494, 1510, 90, 734, 1648, 119, 97, 623, 1312, 624]","[0.6969305276870728, 0.666338324546814, 0.6585714817047119, 0.6553992033004761, 0.6523050665855408, 0.6409035325050354, 0.6382732391357422, 0.6354672908782959, 0.6303890347480774, 0.6205983757972717]"
text1: A black and white dog is running in a grassy garden surrounded by a white fence. text2: A black and white dog is jumping over a hurdle.,2.2000000477,5.0,"00000477
text pair: text1: Four black dogs run across the grass. text2: A dog runs across the grassy field.
score: 2.0

Target text pair:
text1: A black and white dog is running in a grassy garden surrounded by a white fence. text2: A black and white dog is jumping over a hurdle.

Score:
assistant
<think>

</think>

1.5",570,110,680,0.4207277989371505,4.291335842046213,2.071553967929924,0.07349991906378904,0.07550141136409508,"For example,
text pair: text1: A black and white dog is running through the field. text2: A black and white dog is running in the grass.
score: 4.8000001907
text pair: text1: The black and white dog runs through the grass. text2: A black and white dog is running through grass.
score: 5.0
text pair: text1: A white and brown dog is running over grass. text2: A brown and white dog is running across the grass.
score: 4.5999999046
text pair: text1: A black, brown and white dog running through a field. text2: A white and brown dog runs in a field.
score: 2.8299999237
text pair: text1: a brown and white dog is running on the grass. text2: The tan and black dog is running across the grass.
score: 3.4000000954
text pair: text1: A black dog is running in the grass. text2: A black and a brown dog running in the grass.
score: 3.2000000477
text pair: text1: Two dogs are running through a grassy area. text2: Two dogs running through a grassy field.
score: 4.8000001907
text pair: text1: The white and brown dog runs across the grass. text2: A brown and white dog runs across the grass.
score: 4.8000001907
text pair: text1: The white and brown dog runs across the grass. text2: Three dogs are running on the grass.
score: 3.2000000477
text pair: text1: Four black dogs run across the grass. text2: A dog runs across the grassy field.
score: 2.0","[1658, 1829, 1538, 1838, 1979, 1971, 1528, 1524, 1670, 1823]","[0.8136707544326782, 0.7917690277099609, 0.7600786685943604, 0.7512372732162476, 0.7508972883224487, 0.7454047203063965, 0.7373749017715454, 0.7334113121032715, 0.7328022718429565, 0.7281374931335449]"
text1: The group of hikers is resting in front of a mountain. text2: Several hikers rest with their gear in front of a mountain.,4.8000001907,1.0,"pair:
text1: The group of hikers is resting in front of a mountain. text2: Several hikers rest with their gear in front of a mountain.

Score:
assistant
<think>

</think>

4.8",618,62,680,0.4207277989371505,4.291335842046213,2.071553967929924,0.07349991906378904,0.07550141136409508,"For example,
text pair: text1: Two hikers stand at the top of a snowy mountain. text2: Two mountain climbers stand on the top of a mountain looking around.
score: 3.4000000954
text pair: text1: The man is sitting at the top of a rocky mountain. text2: A person sticks their head out of a tent at the top of a mountain.
score: 2.4000000954
text pair: text1: The man in the red shirt is climbing the side of a mountain. text2: A man is climbing the side of a mountain.
score: 4.1999998093
text pair: text1: Many middle eastern people are sitting in the back of a blue truck. text2: A group of people are riding in the back of a truck.
score: 3.4000000954
text pair: text1: A group of people standing outside of a building. text2: A large group of people have formed a line outside.
score: 3.2000000477
text pair: text1: A man is standing on top of a rock or mountain watching the sun set. text2: A man standing in the mountains watching a sunset.
score: 4.8000001907
text pair: text1: Someone standing on a snowy mountain, watching a plane. text2: A man stands on a mountain, watching a plane.
score: 4.4000000954
text pair: text1: A man on a mountain bike going down an incline. text2: This is a man riding a mountain bike over rocks on a clear day.
score: 3.2000000477
text pair: text1: Several people are sitting around a fire at night. text2: A group of people are standing and sitting around on the ground at night.
score: 2.5999999046
text pair: text1: A man is walking along a path through wilderness. text2: A man is walking down a road.
score: 2.5","[1923, 1694, 1764, 1952, 1891, 1768, 1210, 1216, 1895, 267]","[0.7342126965522766, 0.5640004873275757, 0.5465974807739258, 0.5438148975372314, 0.542707622051239, 0.5420454144477844, 0.5351269245147705, 0.530681848526001, 0.52519690990448, 0.5223870277404785]"
"text1: Two girls in blue and teal dresses and large hats are standing next to a large tree trunk. text2: A woman, a little boy, and a tiny baby are standing in front of a cow statue.",1.2000000477,0.4,0.4,665,15,680,0.4207277989371505,4.291335842046213,2.071553967929924,0.07349991906378904,0.07550141136409508,"For example,
text pair: text1: Two girls are sitting in front of a statue. text2: Two blonde girls are sitting next to a statue
score: 3.7999999523
text pair: text1: A women standing next to a brown cow. text2: A women in glasses stands next to a cow in a field.
score: 3.7999999523
text pair: text1: A black cow and a brown cow stands in a plain in front of an uprooted tree. text2: A black cow and a brown cow standing in front of a small copse of trees in a field.
score: 4.1999998093
text pair: text1: A lamb stands near two tiny animals. text2: A sheep standing near her children.
score: 1.3999999762
text pair: text1: A young girl with a pink hat on with a yellow building in the background. text2: A young girl in a pink dress with something in her hand.
score: 1.7999999523
text pair: text1: Brown and white cow standing in grass at side of road. text2: A brown and white cow standing in a grassy area with trees behind.
score: 3.5999999046
text pair: text1: A woman with a young girl pose with bear statues in front of a store. text2: A man in a jersey stands in front of a large crowd.
score: 0.6000000238
text pair: text1: A black and white horned cow standing in a field. text2: a black and white cow standing in the field.
score: 4.1999998093
text pair: text1: a black and white photo of a cow under a tree. text2: A black and white photo of a cow walking under a tree in a field.
score: 4.1999998093
text pair: text1: A man and woman with their hands on their chins are standing next to a Christmas tree. text2: The man with a white beard and blue cap is standing in the doorway of a workshop.
score: 0.400000006","[1604, 1337, 1328, 1124, 1916, 1048, 1851, 1164, 1112, 1801]","[0.6788163185119629, 0.6464303731918335, 0.6262840032577515, 0.602873682975769, 0.5927690863609314, 0.5805238485336304, 0.5756239891052246, 0.5681203603744507, 0.5674740076065063, 0.5672121047973633]"
text1: A woman is sitting up asleep with her head resting on her hand. text2: A man who is resting his head on his hand.,2.2000000477,5.0,"score: 5.0
text pair: text1: A women laying across two men sitting on a sofa. text2: Two men in shorts are sitting on a sofa.
score: 2.0
text pair: text1: An old woman is shaking hand with a man. text2: A man and a woman shake hands.
score: 3.75
text pair: text1: A man is holding a leaf. text2: A woman is watching television.
score: 0.0

Target text pair:
text1: A woman is sitting up asleep with her head resting on her hand. text2: A man who is resting his head on his hand.

Score:
assistant
<think>

</think>

3.5",506,174,680,0.4207277989371505,4.291335842046213,2.071553967929924,0.07349991906378904,0.07550141136409508,"For example,
text pair: text1: A woman reads while on public transportation. text2: A man who has fallen asleep on public transportation.
score: 1.6000000238
text pair: text1: A man dries his hands. text2: A woman fixes her hair.
score: 0.25
text pair: text1: A boy with a broken arm is resting in a bed. text2: A boy with a broken arm is sleeping.
score: 4.0
text pair: text1: A child with his hands on his head. text2: A little boy stands with his hands on top of his head
score: 4.1999998093
text pair: text1: A woman puts a garland over a man's shoulders. text2: A man pours water over a pilots head.
score: 0.5
text pair: text1: A young man and woman sitting on a bench outside are kissing. text2: The man and woman sitting on a bench are kissing.
score: 4.5999999046
text pair: text1: A man and a woman are kissing. text2: A man and woman kiss.
score: 5.0
text pair: text1: A women laying across two men sitting on a sofa. text2: Two men in shorts are sitting on a sofa.
score: 2.0
text pair: text1: An old woman is shaking hand with a man. text2: A man and a woman shake hands.
score: 3.75
text pair: text1: A man is holding a leaf. text2: A woman is watching television.
score: 0.0","[1842, 787, 1516, 1737, 367, 1969, 66, 1368, 368, 332]","[0.6713513135910034, 0.6341229677200317, 0.6140182614326477, 0.6018043756484985, 0.5933856964111328, 0.5907657146453857, 0.5906664729118347, 0.5851974487304688, 0.5807900428771973, 0.5783295035362244]"
