Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,accuracy,macro_f1,in_context,context_indices,retrieval_scores
im feeling rather rotten so im not very ambitious right now,sadness,sadness,"input text: i feel romantic too
label: love

Target input text:
im feeling rather rotten so im not very ambitious right now

Label:
sadness",300,35,335,0.03827478387393057,0.6305,0.6305,0.5677484273979551,"For example,
input text: i didnt feel humiliated
label: sadness
input text: i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake
label: sadness
input text: im grabbing a minute to post i feel greedy wrong
label: anger
input text: i am ever feeling nostalgic about the fireplace i will know that it is still on the property
label: love
input text: i am feeling grouchy
label: anger
input text: ive been feeling a little burdened lately wasnt sure why that was
label: sadness
input text: ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny
label: surprise
input text: i feel as confused about life as a teenager or as jaded as a year old man
label: fear
input text: i have been with petronas for years i feel that petronas has performed well and made a huge profit
label: joy
input text: i feel romantic too
label: love","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
im updating my blog because i feel shitty,sadness,sadness,"profit
label: joy
input text: i feel romantic too
label: love

Target input text:
im updating my blog because i feel shitty

Label:
sadness",297,38,335,0.03827478387393057,0.6305,0.6305,0.5677484273979551,"For example,
input text: i didnt feel humiliated
label: sadness
input text: i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake
label: sadness
input text: im grabbing a minute to post i feel greedy wrong
label: anger
input text: i am ever feeling nostalgic about the fireplace i will know that it is still on the property
label: love
input text: i am feeling grouchy
label: anger
input text: ive been feeling a little burdened lately wasnt sure why that was
label: sadness
input text: ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny
label: surprise
input text: i feel as confused about life as a teenager or as jaded as a year old man
label: fear
input text: i have been with petronas for years i feel that petronas has performed well and made a huge profit
label: joy
input text: i feel romantic too
label: love","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness,love,"me because i don t ever want her to feel like i m ashamed with her

Label:
love",311,24,335,0.03827478387393057,0.6305,0.6305,0.5677484273979551,"For example,
input text: i didnt feel humiliated
label: sadness
input text: i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake
label: sadness
input text: im grabbing a minute to post i feel greedy wrong
label: anger
input text: i am ever feeling nostalgic about the fireplace i will know that it is still on the property
label: love
input text: i am feeling grouchy
label: anger
input text: ive been feeling a little burdened lately wasnt sure why that was
label: sadness
input text: ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny
label: surprise
input text: i feel as confused about life as a teenager or as jaded as a year old man
label: fear
input text: i have been with petronas for years i feel that petronas has performed well and made a huge profit
label: joy
input text: i feel romantic too
label: love","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy,joy,"red and yellow tulips under my arm feeling slightly more optimistic than when i arrived

Label:
joy",311,24,335,0.03827478387393057,0.6305,0.6305,0.5677484273979551,"For example,
input text: i didnt feel humiliated
label: sadness
input text: i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake
label: sadness
input text: im grabbing a minute to post i feel greedy wrong
label: anger
input text: i am ever feeling nostalgic about the fireplace i will know that it is still on the property
label: love
input text: i am feeling grouchy
label: anger
input text: ive been feeling a little burdened lately wasnt sure why that was
label: sadness
input text: ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny
label: surprise
input text: i feel as confused about life as a teenager or as jaded as a year old man
label: fear
input text: i have been with petronas for years i feel that petronas has performed well and made a huge profit
label: joy
input text: i feel romantic too
label: love","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
i was feeling a little vain when i did this one,sadness,joy,"input text: i feel romantic too
label: love

Target input text:
i was feeling a little vain when i did this one

Label:
joy",300,35,335,0.03827478387393057,0.6305,0.6305,0.5677484273979551,"For example,
input text: i didnt feel humiliated
label: sadness
input text: i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake
label: sadness
input text: im grabbing a minute to post i feel greedy wrong
label: anger
input text: i am ever feeling nostalgic about the fireplace i will know that it is still on the property
label: love
input text: i am feeling grouchy
label: anger
input text: ive been feeling a little burdened lately wasnt sure why that was
label: sadness
input text: ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny
label: surprise
input text: i feel as confused about life as a teenager or as jaded as a year old man
label: fear
input text: i have been with petronas for years i feel that petronas has performed well and made a huge profit
label: joy
input text: i feel romantic too
label: love","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
i cant walk into a shop anywhere where i do not feel uncomfortable,fear,sadness,"feel romantic too
label: love

Target input text:
i cant walk into a shop anywhere where i do not feel uncomfortable

Label:
sadness",302,33,335,0.03827478387393057,0.6305,0.6305,0.5677484273979551,"For example,
input text: i didnt feel humiliated
label: sadness
input text: i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake
label: sadness
input text: im grabbing a minute to post i feel greedy wrong
label: anger
input text: i am ever feeling nostalgic about the fireplace i will know that it is still on the property
label: love
input text: i am feeling grouchy
label: anger
input text: ive been feeling a little burdened lately wasnt sure why that was
label: sadness
input text: ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny
label: surprise
input text: i feel as confused about life as a teenager or as jaded as a year old man
label: fear
input text: i have been with petronas for years i feel that petronas has performed well and made a huge profit
label: joy
input text: i feel romantic too
label: love","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
i felt anger when at the end of a telephone call,anger,anger,"input text: i feel romantic too
label: love

Target input text:
i felt anger when at the end of a telephone call

Label:
anger",300,35,335,0.03827478387393057,0.6305,0.6305,0.5677484273979551,"For example,
input text: i didnt feel humiliated
label: sadness
input text: i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake
label: sadness
input text: im grabbing a minute to post i feel greedy wrong
label: anger
input text: i am ever feeling nostalgic about the fireplace i will know that it is still on the property
label: love
input text: i am feeling grouchy
label: anger
input text: ive been feeling a little burdened lately wasnt sure why that was
label: sadness
input text: ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny
label: surprise
input text: i feel as confused about life as a teenager or as jaded as a year old man
label: fear
input text: i have been with petronas for years i feel that petronas has performed well and made a huge profit
label: joy
input text: i feel romantic too
label: love","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy,sadness,sadness,331,4,335,0.03827478387393057,0.6305,0.6305,0.5677484273979551,"For example,
input text: i didnt feel humiliated
label: sadness
input text: i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake
label: sadness
input text: im grabbing a minute to post i feel greedy wrong
label: anger
input text: i am ever feeling nostalgic about the fireplace i will know that it is still on the property
label: love
input text: i am feeling grouchy
label: anger
input text: ive been feeling a little burdened lately wasnt sure why that was
label: sadness
input text: ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny
label: surprise
input text: i feel as confused about life as a teenager or as jaded as a year old man
label: fear
input text: i have been with petronas for years i feel that petronas has performed well and made a huge profit
label: joy
input text: i feel romantic too
label: love","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
i like to have the same breathless feeling as a reader eager to see what will happen next,joy,joy,"i like to have the same breathless feeling as a reader eager to see what will happen next

Label:
joy",308,27,335,0.03827478387393057,0.6305,0.6305,0.5677484273979551,"For example,
input text: i didnt feel humiliated
label: sadness
input text: i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake
label: sadness
input text: im grabbing a minute to post i feel greedy wrong
label: anger
input text: i am ever feeling nostalgic about the fireplace i will know that it is still on the property
label: love
input text: i am feeling grouchy
label: anger
input text: ive been feeling a little burdened lately wasnt sure why that was
label: sadness
input text: ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny
label: surprise
input text: i feel as confused about life as a teenager or as jaded as a year old man
label: fear
input text: i have been with petronas for years i feel that petronas has performed well and made a huge profit
label: joy
input text: i feel romantic too
label: love","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,anger,sadness,"the summer

Label:
sadness",325,10,335,0.03827478387393057,0.6305,0.6305,0.5677484273979551,"For example,
input text: i didnt feel humiliated
label: sadness
input text: i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake
label: sadness
input text: im grabbing a minute to post i feel greedy wrong
label: anger
input text: i am ever feeling nostalgic about the fireplace i will know that it is still on the property
label: love
input text: i am feeling grouchy
label: anger
input text: ive been feeling a little burdened lately wasnt sure why that was
label: sadness
input text: ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny
label: surprise
input text: i feel as confused about life as a teenager or as jaded as a year old man
label: fear
input text: i have been with petronas for years i feel that petronas has performed well and made a huge profit
label: joy
input text: i feel romantic too
label: love","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
