Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,accuracy,macro_f1,in_context,context_indices,retrieval_scores
"no movement , no yuks , not much of anything .",negative,negative,"text:
no movement , no yuks , not much of anything .

Label:
assistant
<think>

</think>

negative",374,32,406,0.12175151631527115,0.5185520361990951,0.5185520361990951,0.4310207544252216,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
"a gob of drivel so sickly sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid crème brûlée .",very negative,very negative,"</think>

very negative",399,7,406,0.12175151631527115,0.5185520361990951,0.5185520361990951,0.4310207544252216,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
` how many more voyages can this limping but dearly-loved franchise survive ? ',neutral,neutral,"limping but dearly-loved franchise survive ? '

Label:
assistant
<think>

</think>

neutral",379,27,406,0.12175151631527115,0.5185520361990951,0.5185520361990951,0.4310207544252216,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
so relentlessly wholesome it made me want to swipe something .,neutral,negative,"Target input text:
so relentlessly wholesome it made me want to swipe something .

Label:
assistant
<think>

</think>

negative",373,33,406,0.12175151631527115,0.5185520361990951,0.5185520361990951,0.4310207544252216,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up .",very negative,negative,"Label:
assistant
<think>

</think>

negative",389,17,406,0.12175151631527115,0.5185520361990951,0.5185520361990951,0.4310207544252216,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
"we never really feel involved with the story , as all of its ideas remain just that : abstract ideas .",very negative,negative,"just that : abstract ideas .

Label:
assistant
<think>

</think>

negative",383,23,406,0.12175151631527115,0.5185520361990951,0.5185520361990951,0.4310207544252216,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
this is one of polanski 's best films .,very positive,positive,"Target input text:
this is one of polanski 's best films .

Label:
assistant
<think>

</think>

positive",373,33,406,0.12175151631527115,0.5185520361990951,0.5185520361990951,0.4310207544252216,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
take care of my cat offers a refreshingly different slice of asian cinema .,positive,positive,"my cat offers a refreshingly different slice of asian cinema .

Label:
assistant
<think>

</think>

positive",377,29,406,0.12175151631527115,0.5185520361990951,0.5185520361990951,0.4310207544252216,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
"acting , particularly by tambor , almost makes `` never again '' worthwhile , but -lrb- writer\/director -rrb- schaeffer should follow his titular advice",negative,negative,"<think>

</think>

negative",397,9,406,0.12175151631527115,0.5185520361990951,0.5185520361990951,0.4310207544252216,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
the movie exists for its soccer action and its fine acting .,positive,positive,"text:
the movie exists for its soccer action and its fine acting .

Label:
assistant
<think>

</think>

positive",374,32,406,0.12175151631527115,0.5185520361990951,0.5185520361990951,0.4310207544252216,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
