Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,mse,rmse,pearson_coeff,spearman_coeff
"text1: A man eating an apple, sitting in public. text2: A man sits in a public place eating an apple.",5.0,2.0,". text2: A man sits in a public place eating an apple.

Score:
4.5",93,26,119,0.02494670662417775,2.543091711959514,1.594707406378836,0.39734347757672805,0.391438451275019
text1: two young girls hug each other in the grass. text2: two young girls holding each other on the grassy ground,4.5999999046,2.0,"2: two young girls holding each other on the grassy ground

Score:
4.5",94,25,119,0.02494670662417775,2.543091711959514,1.594707406378836,0.39734347757672805,0.391438451275019
text1: Two white dogs are walking through deep white snow. text2: Two white dogs walk through a huge bank of mountain snow.,4.5999999046,2.0,"2: Two white dogs walk through a huge bank of mountain snow.

Score:
4.5",94,25,119,0.02494670662417775,2.543091711959514,1.594707406378836,0.39734347757672805,0.391438451275019
text1: Four girls in swimsuits are playing volleyball at the beach. text2: Four women in bikinis are playing volleyball on the beach.,4.8000001907,4.5,"Four women in bikinis are playing volleyball on the beach.

Score:
Score: 4.5",96,23,119,0.02494670662417775,2.543091711959514,1.594707406378836,0.39734347757672805,0.391438451275019
text1: Kids playing ball in the park. text2: Two dogs playing by the shore.,0.6000000238,1.0,"pair:
text1: Kids playing ball in the park. text2: Two dogs playing by the shore.

Score:
3.0",86,33,119,0.02494670662417775,2.543091711959514,1.594707406378836,0.39734347757672805,0.391438451275019
text1: A man in a dress suit is riding a bike down the paved road. text2: A man is using a large pole to remove letters from a sign.,0.200000003,1.0,"to remove letters from a sign.

Score:
Score: 1.0",101,18,119,0.02494670662417775,2.543091711959514,1.594707406378836,0.39734347757672805,0.391438451275019
text1: A black and white dog is running in a grassy garden surrounded by a white fence. text2: A black and white dog is jumping over a hurdle.,2.2000000477,3.5,"dog is jumping over a hurdle.

Score:
3.5",101,18,119,0.02494670662417775,2.543091711959514,1.594707406378836,0.39734347757672805,0.391438451275019
text1: The group of hikers is resting in front of a mountain. text2: Several hikers rest with their gear in front of a mountain.,4.8000001907,4.5,"rest with their gear in front of a mountain.

Score:
Score: 4.5",98,21,119,0.02494670662417775,2.543091711959514,1.594707406378836,0.39734347757672805,0.391438451275019
"text1: Two girls in blue and teal dresses and large hats are standing next to a large tree trunk. text2: A woman, a little boy, and a tiny baby are standing in front of a cow statue.",1.2000000477,1.0,Score: 1.0,111,8,119,0.02494670662417775,2.543091711959514,1.594707406378836,0.39734347757672805,0.391438451275019
text1: A woman is sitting up asleep with her head resting on her hand. text2: A man who is resting his head on his hand.,2.2000000477,3.5,"A man who is resting his head on his hand.

Score:
3.5",97,22,119,0.02494670662417775,2.543091711959514,1.594707406378836,0.39734347757672805,0.391438451275019
