Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,accuracy,macro_f1
im feeling rather rotten so im not very ambitious right now,sadness,sadness,"final label.

Input text:
im feeling rather rotten so im not very ambitious right now

Label:
assistant
<think>

</think>

sadness",92,36,128,0.0992096646259597,0.5895,0.5895,0.4257633895084954
im updating my blog because i feel shitty,sadness,sadness,"internally.
Output only one final label.

Input text:
im updating my blog because i feel shitty

Label:
assistant
<think>

</think>

sadness",89,39,128,0.0992096646259597,0.5895,0.5895,0.4257633895084954
i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness,love,"to feel like i m ashamed with her

Label:
assistant
<think>

</think>

love",103,25,128,0.0992096646259597,0.5895,0.5895,0.4257633895084954
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy,joy,"feeling slightly more optimistic than when i arrived

Label:
assistant
<think>

</think>

joy",103,25,128,0.0992096646259597,0.5895,0.5895,0.4257633895084954
i was feeling a little vain when i did this one,sadness,joy,"final label.

Input text:
i was feeling a little vain when i did this one

Label:
assistant
<think>

</think>

joy",92,36,128,0.0992096646259597,0.5895,0.5895,0.4257633895084954
i cant walk into a shop anywhere where i do not feel uncomfortable,fear,fear,"Input text:
i cant walk into a shop anywhere where i do not feel uncomfortable

Label:
assistant
<think>

</think>

fear",94,34,128,0.0992096646259597,0.5895,0.5895,0.4257633895084954
i felt anger when at the end of a telephone call,anger,anger,"final label.

Input text:
i felt anger when at the end of a telephone call

Label:
assistant
<think>

</think>

anger",92,36,128,0.0992096646259597,0.5895,0.5895,0.4257633895084954
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy,sadness,sadness,123,5,128,0.0992096646259597,0.5895,0.5895,0.4257633895084954
i like to have the same breathless feeling as a reader eager to see what will happen next,joy,joy,"feeling as a reader eager to see what will happen next

Label:
assistant
<think>

</think>

joy",100,28,128,0.0992096646259597,0.5895,0.5895,0.4257633895084954
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,anger,anger,"assistant
<think>

</think>

anger",117,11,128,0.0992096646259597,0.5895,0.5895,0.4257633895084954
