Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,mse,rmse,pearson_coeff,spearman_coeff,sc_raw_samples,sc_parsed_samples
"text1: A man eating an apple, sitting in public. text2: A man sits in a public place eating an apple.",5.0,2.0,". text2: A man sits in a public place eating an apple.

Score:
4.5",465,730,1195,0.47766833281275467,2.5527916827468626,1.597745812933604,0.3720825436623184,0.37418417288549527,"["". text2: A man sits in a public place eating an apple.\n\nScore:\n4.5"", "". text2: A man sits in a public place eating an apple.\n\nScore:\nScore: 4.5"", "". text2: A man sits in a public place eating an apple.\n\nScore:\n3.5"", "". text2: A man sits in a public place eating an apple.\n\nScore:\nScore: 5.0"", "". text2: A man sits in a public place eating an apple.\n\nScore:\n4.5""]","[2.0, 2.0, 2.0, 2.0, 2.0]"
text1: two young girls hug each other in the grass. text2: two young girls holding each other on the grassy ground,4.5999999046,2.0,"2: two young girls holding each other on the grassy ground

Score:
4.5",470,725,1195,0.47766833281275467,2.5527916827468626,1.597745812933604,0.3720825436623184,0.37418417288549527,"[""2: two young girls holding each other on the grassy ground\n\nScore:\n4.5"", ""2: two young girls holding each other on the grassy ground\n\nScore:\nScore: 4.5"", ""2: two young girls holding each other on the grassy ground\n\nScore:\n4.5"", ""2: two young girls holding each other on the grassy ground\n\nScore:\nScore: 4.5"", ""2: two young girls holding each other on the grassy ground\n\nScore:\n4.5""]","[2.0, 2.0, 2.0, 2.0, 2.0]"
text1: Two white dogs are walking through deep white snow. text2: Two white dogs walk through a huge bank of mountain snow.,4.5999999046,2.0,"2: Two white dogs walk through a huge bank of mountain snow.

Score:
4.5",470,725,1195,0.47766833281275467,2.5527916827468626,1.597745812933604,0.3720825436623184,0.37418417288549527,"[""2: Two white dogs walk through a huge bank of mountain snow.\n\nScore:\n4.5"", ""2: Two white dogs walk through a huge bank of mountain snow.\n\nScore:\nScore: 4.5"", ""2: Two white dogs walk through a huge bank of mountain snow.\n\nScore:\n4.5"", ""2: Two white dogs walk through a huge bank of mountain snow.\n\nScore:\nScore: 4.5"", ""2: Two white dogs walk through a huge bank of mountain snow.\n\nScore:\nScore: 4.5""]","[2.0, 2.0, 2.0, 2.0, 2.0]"
text1: Four girls in swimsuits are playing volleyball at the beach. text2: Four women in bikinis are playing volleyball on the beach.,4.8000001907,4.8,"Four women in bikinis are playing volleyball on the beach.

Score:
Score: 5.0",480,715,1195,0.47766833281275467,2.5527916827468626,1.597745812933604,0.3720825436623184,0.37418417288549527,"[""Four women in bikinis are playing volleyball on the beach.\n\nScore:\n4.5\n\nThe two text pairs are very similar, with only slight differences. The key elements such as the number of individuals, the activity (playing volleyball), the attire (swimsuits/bikinis), and the location (beach) are all identical or very similar in both text pairs. This high level of semantic similarity is reflected in a score of 4.5."", ""Four women in bikinis are playing volleyball on the beach.\n\nScore:\nScore: 4.5\n\nInternal reasoning:\n\n1. Both texts mention a group of four individuals, with the first text using \""girls\"" and the second using \""women.\"" This indicates a strong semantic similarity in the subject.\n\n2. The activity described in both texts is playing volleyball. This is a strong indicator of semantic similarity.\n\n3. The setting in both texts is at the beach, which is a detail that adds to the semantic similarity.\n\n4. There are slight differences in the description of the individuals: \""girls in swimsuits\"" vs. \""women in bikinis.\"" These differences are minor and do not significantly impact the"", ""Four women in bikinis are playing volleyball on the beach.\n\nScore:\nScore: 5.0"", ""Four women in bikinis are playing volleyball on the beach.\n\nScore:\nScore: 5.0\n\nThe two text pairs are highly similar in their content and structure. The only differences are in the gender terms (girls vs. women) and the clothing description (swimsuits vs. bikinis), which are minor and do not detract from the overall semantic similarity."", ""Four women in bikinis are playing volleyball on the beach.\n\nScore:\nScore: 5.0""]","[4.5, 4.5, 5.0, 5.0, 5.0]"
text1: Kids playing ball in the park. text2: Two dogs playing by the shore.,0.6000000238,1.0,"pair:
text1: Kids playing ball in the park. text2: Two dogs playing by the shore.

Score:
Score: 1.0",430,765,1195,0.47766833281275467,2.5527916827468626,1.597745812933604,0.3720825436623184,0.37418417288549527,"[""pair:\ntext1: Kids playing ball in the park. text2: Two dogs playing by the shore.\n\nScore:\nScore: 1.0"", ""pair:\ntext1: Kids playing ball in the park. text2: Two dogs playing by the shore.\n\nScore:\n3.0"", ""pair:\ntext1: Kids playing ball in the park. text2: Two dogs playing by the shore.\n\nScore:\nScore: 1.0"", ""pair:\ntext1: Kids playing ball in the park. text2: Two dogs playing by the shore.\n\nScore:\n2.5"", ""pair:\ntext1: Kids playing ball in the park. text2: Two dogs playing by the shore.\n\nScore:\n2.5""]","[1.0, 1.0, 1.0, 1.0, 1.0]"
text1: A man in a dress suit is riding a bike down the paved road. text2: A man is using a large pole to remove letters from a sign.,0.200000003,1.0,"to remove letters from a sign.

Score:
Score: 1.0",505,690,1195,0.47766833281275467,2.5527916827468626,1.597745812933604,0.3720825436623184,0.37418417288549527,"[""to remove letters from a sign.\n\nScore:\nScore: 1.0"", ""to remove letters from a sign.\n\nScore:\nScore: 1.0"", ""to remove letters from a sign.\n\nScore:\nScore: 1.0"", ""to remove letters from a sign.\n\nScore:\nScore: 1.0"", ""to remove letters from a sign.\n\nScore:\nScore: 1.0""]","[1.0, 1.0, 1.0, 1.0, 1.0]"
text1: A black and white dog is running in a grassy garden surrounded by a white fence. text2: A black and white dog is jumping over a hurdle.,2.2000000477,3.6,"dog is jumping over a hurdle.

Score:
Score: 3.5",505,690,1195,0.47766833281275467,2.5527916827468626,1.597745812933604,0.3720825436623184,0.37418417288549527,"[""dog is jumping over a hurdle.\n\nScore:\nScore: 3.5"", ""dog is jumping over a hurdle.\n\nScore:\n4.0"", ""dog is jumping over a hurdle.\n\nScore:\nScore: 3.5"", ""dog is jumping over a hurdle.\n\nScore:\nScore: 3.5"", ""dog is jumping over a hurdle.\n\nScore:\nScore: 3.5""]","[3.5, 4.0, 3.5, 3.5, 3.5]"
text1: The group of hikers is resting in front of a mountain. text2: Several hikers rest with their gear in front of a mountain.,4.8000001907,3.9,"rest with their gear in front of a mountain.

Score:
3.5",490,705,1195,0.47766833281275467,2.5527916827468626,1.597745812933604,0.3720825436623184,0.37418417288549527,"[""rest with their gear in front of a mountain.\n\nScore:\n3.5"", ""rest with their gear in front of a mountain.\n\nScore:\n3.5"", ""rest with their gear in front of a mountain.\n\nScore:\n3.5"", ""rest with their gear in front of a mountain.\n\nScore:\nScore: 4.5"", ""rest with their gear in front of a mountain.\n\nScore:\nScore: 4.5\n\nInternal reasoning:\n- Both texts mention \""group of hikers\"" and \""several hikers,\"" indicating a high similarity in the subject.\n- Both texts describe the hikers as \""resting,\"" which is a strong similarity in action.\n- Both texts mention the presence of \""gear,\"" which suggests a similarity in the context or equipment of the hikers.\n- Both texts describe the location as \""in front of a mountain,\"" indicating a strong semantic similarity in the setting.\n\nConsidering these points, the texts show a high degree of semantic similarity, which is reflected in the score of 4.5""]","[3.5, 3.5, 3.5, 4.5, 4.5]"
"text1: Two girls in blue and teal dresses and large hats are standing next to a large tree trunk. text2: A woman, a little boy, and a tiny baby are standing in front of a cow statue.",1.2000000477,2.0,2.5,555,640,1195,0.47766833281275467,2.5527916827468626,1.597745812933604,0.3720825436623184,0.37418417288549527,"[""2.5"", ""3.0"", ""Score: 1.0"", ""2.5"", ""Score: 1.0""]","[2.5, 3.0, 1.0, 2.5, 1.0]"
text1: A woman is sitting up asleep with her head resting on her hand. text2: A man who is resting his head on his hand.,2.2000000477,3.4,"A man who is resting his head on his hand.

Score:
3.5",485,710,1195,0.47766833281275467,2.5527916827468626,1.597745812933604,0.3720825436623184,0.37418417288549527,"[""A man who is resting his head on his hand.\n\nScore:\n3.5"", ""A man who is resting his head on his hand.\n\nScore:\n3.5"", ""A man who is resting his head on his hand.\n\nScore:\n3.0"", ""A man who is resting his head on his hand.\n\nScore:\n3.5"", ""A man who is resting his head on his hand.\n\nScore:\n3.5""]","[3.5, 3.5, 3.0, 3.5, 3.5]"
