Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL,in_context,context_indices,retrieval_scores
"five-time world champion michelle kwan withdrew from the #### us figure skating championships on wednesday , but will petition us skating officials for the chance to compete at the #### turin olympics .",injury leaves kwan 's olympic hopes in limbo,"nesday with no sign of a resumption of contract talks on the horizon, both sides said.
summary: boeing strike in fifth day ; no talks scheduled

Target document:
five-time world champion michelle kwan withdrew from the #### us figure skating championships on wednesday, but will petition us skating officials for the chance to compete at the #### turin olympics.

Summary:assistant

michelle kwan withdraws from us championships but seeks olympic spot","nesday with no sign of a resumption of contract talks on the horizon, both sides said.
summary: boeing strike in fifth day ; no talks scheduled

Target document:
five-time world champion michelle kwan withdrew from the #### us figure skating championships on wednesday, but will petition us skating officials for the chance to compete at the #### turin olympics.

Summary:assistant

michelle kwan withdraws from us championships but seeks olympic spot",620,100,720,0.09605406162518193,0.2458818134940812,0.2458818134940812,0.10962906545484513,0.2164711332431661,"For example,
document: president evo morales of bolivia on wednesday ordered the us ambassador expelled , accusing him of contributing to divisions in the country which the government warned was headed towards `` civil war .
summary: bolivia orders us ambassador out warns of civil war
document: south africa has won its bid to host the miss world beauty pageant after the contest was moved from ukraine over safety concerns in neighbouring georgia , an official said wednesday .
summary: south africa to host miss world pageant
document: the us state department said wednesday it had received no formal word from bolivia that it was expelling the us ambassador there but rejected the charges against him as `` baseless .
summary: us rejects charges against its ambassador in bolivia
document: the second day of negotiations on power-sharing in zimbabwe ended wednesday without a deal , but president robert mugabe said participants will `` hopefully '' reach an accord thursday .
summary: no deal yet but mugabe hopes for zimbabwe deal thursday
document: russia on wednesday denied claims before the un 's highest court that it exercised effective control over the georgian rebel regions of south ossetia and abkhazia .
summary: russia denies it controls s ossetia abkhazia in un court hearing
document: russia 's envoy to nato urged nations in the military alliance on wednesday to cancel a visit to georgia by their ambassadors planned for next week .
summary: russia urges nato ambassadors to cancel georgia visit
document: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
summary: envoy urges north korea to restart nuclear disablement
document: the us state department said wednesday it had received no formal word from bolivia that it was expelling the us ambassador there but said the charges made against him are `` baseless .
summary: us rejects charges against its ambassador in bolivia
document: a southern african security summit due to begin wednesday was deferred by a day amid speculation that zimbabwe 's political rivals could finally ink a long awaited power-sharing deal .
summary: southern african summit deferred amid hopes of zimbabwe pact
document: the machinists union strike against boeing entered a fifth day wednesday with no sign of a resumption of contract talks on the horizon , both sides said .
summary: boeing strike in fifth day ; no talks scheduled","[42, 91, 46, 74, 96, 78, 3, 47, 97, 80]","[0.26886266469955444, 0.2185267210006714, 0.21325646340847015, 0.20692430436611176, 0.2010655701160431, 0.1984241008758545, 0.19665421545505524, 0.17754316329956055, 0.15086153149604797, 0.14577746391296387]"
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .,us business attacks tough immigration law,"transatlantic bomb plot
document: a spanish judicial watchdog on wednesday fined a judge #,### euros -lrb- #,### dollars -rrb- for allowing a convicted paedophile to remain free before he killed a young girl.
summary: spanish judge in legal storm over paedophile ruling

Target document:
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants.

Summary:assistant

us business leaders condemn legislation penalizing companies for hiring illegal immigrants","transatlantic bomb plot
document: a spanish judicial watchdog on wednesday fined a judge #,### euros -lrb- #,### dollars -rrb- for allowing a convicted paedophile to remain free before he killed a young girl.
summary: spanish judge in legal storm over paedophile ruling

Target document:
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants.

Summary:assistant

us business leaders condemn legislation penalizing companies for hiring illegal immigrants",610,110,720,0.09605406162518193,0.2458818134940812,0.2458818134940812,0.10962906545484513,0.2164711332431661,"For example,
document: us roman catholic bishops on wednesday charged that immigration raids on us workplaces break up families and disrupt communities , without addressing the country 's flawed immigration system .
summary: us catholic bishops condemn us immigration raids
document: european union leaders will put the bloc 's relations with moscow under scrutiny at an emergency summit on monday , although sanctions against russia are not in the cards .
summary: eu to question relations with russia at emergency summit
document: the organization for security and cooperation in europe -lrb- osce -rrb- , a european security body , urged wednesday its ## member states to intensify efforts to crack down on human trafficking .
summary: osce calls for cooperation in fight against human trafficking
document: south korea 's state-run korea development bank refused comment monday on a british newspaper report that it is still seeking a stake in troubled us investment bank lehman brothers .
summary: skorea bank refuses to confirm reported talks with lehman
document: british prime minister gordon brown denied wednesday favoring either barack obama or john mccain in the us presidential race , despite writing an article in which he appeared to back the democrats .
summary: british pm denies backing obama in magazine article
document: the us state department said wednesday it had received no formal word from bolivia that it was expelling the us ambassador there but rejected the charges against him as `` baseless .
summary: us rejects charges against its ambassador in bolivia
document: the us state department said wednesday it had received no formal word from bolivia that it was expelling the us ambassador there but said the charges made against him are `` baseless .
summary: us rejects charges against its ambassador in bolivia
document: president evo morales of bolivia on wednesday ordered the us ambassador expelled , accusing him of contributing to divisions in the country which the government warned was headed towards `` civil war .
summary: bolivia orders us ambassador out warns of civil war
document: seven men suspected of plotting to blow up airliners over the atlantic ocean in #### face a retrial , prosecutors said wednesday , after a jury in london failed to reach verdicts .
summary: retrial ordered in britain over alleged transatlantic bomb plot
document: a spanish judicial watchdog on wednesday fined a judge #,### euros -lrb- #,### dollars -rrb- for allowing a convicted paedophile to remain free before he killed a young girl .
summary: spanish judge in legal storm over paedophile ruling","[37, 32, 55, 13, 66, 46, 47, 42, 64, 86]","[0.343487948179245, 0.21653443574905396, 0.21311569213867188, 0.19295111298561096, 0.19284608960151672, 0.1851903796195984, 0.18216553330421448, 0.16515067219734192, 0.16281621158123016, 0.15998539328575134]"
general motors corp. said wednesday its us sales fell ##.# percent in december and four percent in #### with the biggest losses coming from passenger car sales .,gm december sales fall ## percent,".# percent monday following a weak lead from the united states and lower commodity prices, dealers said.
summary: australian stocks close down #.# percent
document: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices, dealers said.
summary: australian stocks close down #.# percent
document: chinese share prices opened down #.## percent monday, as investors took profit after last week's gains on the market, dealers said.
summary: chinese shares lower in morning trade

Target document:
general motors corp. said wednesday its us sales fell ##.# percent in december and four percent in #### with the biggest losses coming from passenger car sales.

Summary:assistant

general motors us sales fell ##.# pct in december and 4 pct in ####",".# percent monday following a weak lead from the united states and lower commodity prices, dealers said.
summary: australian stocks close down #.# percent
document: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices, dealers said.
summary: australian stocks close down #.# percent
document: chinese share prices opened down #.## percent monday, as investors took profit after last week's gains on the market, dealers said.
summary: chinese shares lower in morning trade

Target document:
general motors corp. said wednesday its us sales fell ##.# percent in december and four percent in #### with the biggest losses coming from passenger car sales.

Summary:assistant

general motors us sales fell ##.# pct in december and 4 pct in ####",554,166,720,0.09605406162518193,0.2458818134940812,0.2458818134940812,0.10962906545484513,0.2164711332431661,"For example,
document: south korean shares fell sharply late monday morning following wall street 's steep friday losses and the won 's continued decline against the dollar , analysts said .
summary: skorean stocks sharply lower in morning session
document: hong kong share prices were down #.# percent on monday , tracking wall street 's fall on friday , dealers said .
summary: hong kong shares open #.# pct lower
document: the euro , weakened by prospects of recession in the eurozone , fell to an ##-month low of #.#### dollars in volatile trade wednesday , its lowest reading since october # , #### .
summary: euro falls to ##-month low of #.#### dollars
document: the euro fell below #.## dollars for the first time in almost a year wednesday as investors sought a safer haven from recession fears in the eurozone and oil prices fell on demand worries .
summary: euro falls below #.## dlrs on recession fears
document: the euro , weakened by prospects of recession in the eurozone , fell below #.## dollars for the first time in a year wednesday .
summary: euro falls below #.## dlrs on eurozone recession fears
document: spanish property group colonial , struggling under huge debts , announced losses of #.## billion euros for the first half of #### which it blamed on asset depreciation .
summary: spain 's colonial posts #.## billion euro loss
document: south korean shares closed #.# percent lower monday following steep losses on wall street and the won 's continued decline against the dollar , analysts said .
summary: skorean stocks close #.# percent lower
document: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
summary: australian stocks close down #.# percent
document: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
summary: australian stocks close down #.# percent
document: chinese share prices opened down #.## percent monday , as investors took profit after last week 's gains on the market , dealers said .
summary: chinese shares lower in morning trade","[23, 25, 92, 43, 58, 7, 12, 6, 2, 26]","[0.45210689306259155, 0.443871408700943, 0.4395621716976166, 0.42479270696640015, 0.4242202937602997, 0.41028261184692383, 0.3981121778488159, 0.3980107605457306, 0.3980107605457306, 0.3773546814918518]"
several thousand people gathered on wednesday evening on the main square in zagreb for a public draw and an open air party to celebrate the croatian capital 's second chance to host the women 's slalom world cup .,thousands of croatians celebrate before world cup slalom,"reb for a public draw and an open air party to celebrate the croatian capital's second chance to host the women's slalom world cup.

Summary:assistant

croatia celebrates second chance to host women's slalom world cup","reb for a public draw and an open air party to celebrate the croatian capital's second chance to host the women's slalom world cup.

Summary:assistant

croatia celebrates second chance to host women's slalom world cup",663,57,720,0.09605406162518193,0.2458818134940812,0.2458818134940812,0.10962906545484513,0.2164711332431661,"For example,
document: south africa has won its bid to host the miss world beauty pageant after the contest was moved from ukraine over safety concerns in neighbouring georgia , an official said wednesday .
summary: south africa to host miss world pageant
document: mozambique 's ruling frelimo party will begin five-day talks to choose its candidate for #### presidential elections on thursday , a party official said .
summary: mozambique ruling party readies to pick presidential candidate
document: south korea 's new parliament began its first regular session monday after months of delays , with the conservative party eager to push through a pro-business agenda after a decade of rule by liberal presidents .
summary: south korea 's new parliament finally opens
document: the second day of negotiations on power-sharing in zimbabwe ended wednesday without a deal , but president robert mugabe said participants will `` hopefully '' reach an accord thursday .
summary: no deal yet but mugabe hopes for zimbabwe deal thursday
document: hundreds of australian holidaymakers stranded on the thai resort island of phuket are expected to head home monday after budget airline jetstar said it would send a chartered plane to collect them .
summary: charter flight to bring home australians stranded in phuket
document: russian foreign minister sergei lavrov arrived wednesday in the polish capital warsaw for his first visit to an eu member state since the georgia conflict erupted just over a month ago .
summary: russia 's lavrov in poland to discuss us missile shield georgia
document: tuareg rebel chief ibrahim ag bahanga has released the last ## hostages held by his renegade group in the north of mali , the government has said , in an important step forward towards peace .
summary: tuareg rebels in mali free last hostages
document: a southern african security summit due to begin wednesday was deferred by a day amid speculation that zimbabwe 's political rivals could finally ink a long awaited power-sharing deal .
summary: southern african summit deferred amid hopes of zimbabwe pact
document: beijing is enjoying its best air quality in a decade thanks to steps taken for the olympics , authorities said monday , amid a push by some locals for the anti- pollution measures to be made permanent .
summary: beijing 's best air in a decade due to olympic measures
document: un prosecutor serge brammertz expressed `` careful optimism '' here wednesday about belgrade 's efforts to arrest bosnian serb war crimes fugitive ratko mladic on a visit crucial for serbia 's eu aspirations .
summary: un prosecutor carefully optimistic on mladic arrest","[91, 89, 16, 74, 29, 56, 51, 97, 11, 98]","[0.2555786669254303, 0.22393417358398438, 0.18558479845523834, 0.18477991223335266, 0.17858420312404633, 0.1626930832862854, 0.1402427703142166, 0.12246013432741165, 0.11472857743501663, 0.10631752014160156]"
"us first lady laura bush and us secretary of state condoleezza rice will represent the united states later this month at the inauguration of liberia 's president-elect ellen johnson sirleaf , the white house said wednesday .",laura bush UNK rice to attend sirleaf 's inauguration in liberia,"rice will represent the united states later this month at the inauguration of liberia's president-elect ellen johnson sirleaf, the white house said wednesday.

Summary:assistant

bush and rice to attend liberia inauguration","rice will represent the united states later this month at the inauguration of liberia's president-elect ellen johnson sirleaf, the white house said wednesday.

Summary:assistant

bush and rice to attend liberia inauguration",662,58,720,0.09605406162518193,0.2458818134940812,0.2458818134940812,0.10962906545484513,0.2164711332431661,"For example,
document: the white house race plumbed new depths wednesday as barack obama accused john mccain of stooping to `` lies and phony outrage '' in response to the democrat 's mocking talk of `` lipstick on a pig .
summary: obama accuses mccain of lying over lipstick smear
document: the white house race plumbed new depths wednesday as barack obama accused john mccain of stooping to `` lies and phony outrage '' in response to the democrat 's mocking talk of `` lipstick on a pig .
summary: obama accuses mccain of lying over lipstick smear
document: a pollster whose mathematical model has correctly predicted every winner of the white house popular vote since #### is banking on a decisive victory for democrat barack obama in november .
summary: UNK pollster sees decisive obama win
document: president george w. bush declared an emergency in texas and state authorities began ordering evacuations as deadly hurricane ike , which strengthened wednesday to a powerful category two storm , churned in the gulf of mexico toward the us state .
summary: texas girds for the worst as deadly ike closes in
document: bolivian president evo morales on wednesday declared the us ambassador to la paz `` persona non grata , '' accusing the envoy of encouraging the breakup of the country by promoting separatism .
summary: bolivia president orders us envoy expelled
document: bolivian president evo morales on wednesday declared the us ambassador to la paz `` persona non grata , '' accusing the envoy of encouraging the breakup of the country by promoting separatism .
summary: bolivia president orders us envoy expelled
document: south africa has won its bid to host the miss world beauty pageant after the contest was moved from ukraine over safety concerns in neighbouring georgia , an official said wednesday .
summary: south africa to host miss world pageant
document: the us state department said wednesday it had received no formal word from bolivia that it was expelling the us ambassador there but said the charges made against him are `` baseless .
summary: us rejects charges against its ambassador in bolivia
document: president evo morales of bolivia on wednesday ordered the us ambassador expelled , accusing him of contributing to divisions in the country which the government warned was headed towards `` civil war .
summary: bolivia orders us ambassador out warns of civil war
document: the us state department said wednesday it had received no formal word from bolivia that it was expelling the us ambassador there but rejected the charges against him as `` baseless .
summary: us rejects charges against its ambassador in bolivia","[54, 40, 39, 79, 52, 48, 91, 47, 42, 46]","[0.27418041229248047, 0.27418041229248047, 0.2340216040611267, 0.20650461316108704, 0.18431362509727478, 0.18431362509727478, 0.17967349290847778, 0.1761847734451294, 0.17263080179691315, 0.15578089654445648]"
"jack abramoff , a former lobbyist at the center of a mushrooming political scandal in washington , on wednesday pleaded guilty in a us court in miami to defrauding lenders in a florida gambling boat deal .",top republican lobbyist pleads guilty to florida fraud,"wednesday pleaded guilty in a us court in miami to defrauding lenders in a florida gambling boat deal.

Summary:assistant

Abramoff pleads guilty in US court over Florida gambling boat deal fraud.","wednesday pleaded guilty in a us court in miami to defrauding lenders in a florida gambling boat deal.

Summary:assistant

Abramoff pleads guilty in US court over Florida gambling boat deal fraud.",672,48,720,0.09605406162518193,0.2458818134940812,0.2458818134940812,0.10962906545484513,0.2164711332431661,"For example,
document: seven men suspected of plotting to blow up airliners over the atlantic ocean in #### face a retrial , prosecutors said wednesday , after a jury in london failed to reach verdicts .
summary: retrial ordered in britain over alleged transatlantic bomb plot
document: the white house race plumbed new depths wednesday as barack obama accused john mccain of stooping to `` lies and phony outrage '' in response to the democrat 's mocking talk of `` lipstick on a pig .
summary: obama accuses mccain of lying over lipstick smear
document: the white house race plumbed new depths wednesday as barack obama accused john mccain of stooping to `` lies and phony outrage '' in response to the democrat 's mocking talk of `` lipstick on a pig .
summary: obama accuses mccain of lying over lipstick smear
document: australia 's current account deficit shrunk by a record #.## billion dollars -lrb- #.## billion us -rrb- in the june quarter due to soaring commodity prices , figures released monday showed .
summary: australian current account deficit narrows sharply
document: a spanish judicial watchdog on wednesday fined a judge #,### euros -lrb- #,### dollars -rrb- for allowing a convicted paedophile to remain free before he killed a young girl .
summary: spanish judge in legal storm over paedophile ruling
document: yemen has stepped up measures to combat piracy off its coast , deploying troops in the gulf of aden and planning three centres to fight somali pirates , official sources said on wednesday .
summary: yemen steps up measures to fight maritime piracy
document: western countries will turn a blind eye to fraud in next month 's legislative election and recognize a win for the outgoing authoritarian regime , a major opposition party leader said wednesday .
summary: belarus opposition accuses west over upcoming election
document: british prime minister gordon brown denied wednesday favoring either barack obama or john mccain in the us presidential race , despite writing an article in which he appeared to back the democrats .
summary: british pm denies backing obama in magazine article
document: russia on wednesday denied claims before the un 's highest court that it exercised effective control over the georgian rebel regions of south ossetia and abkhazia .
summary: russia denies it controls s ossetia abkhazia in un court hearing
document: the us state department said wednesday it had received no formal word from bolivia that it was expelling the us ambassador there but said the charges made against him are `` baseless .
summary: us rejects charges against its ambassador in bolivia","[64, 54, 40, 0, 86, 95, 38, 66, 96, 47]","[0.22856904566287994, 0.15325406193733215, 0.15325406193733215, 0.1463836133480072, 0.14557495713233948, 0.13928042352199554, 0.13796594738960266, 0.11549028754234314, 0.113256074488163, 0.10784986615180969]"
"somalia 's feuding president and parliament speaker have agreed a compromise in a bitter row over the appropriate seat for their fledgling transitional government , a yemeni official said wednesday .",somalia rivals in compromise on seat of government,"wide political economic reforms

Target document:
somalia's feuding president and parliament speaker have agreed a compromise in a bitter row over the appropriate seat for their fledgling transitional government, a yemeni official said wednesday.

Summary:assistant

somalia's president and parliament speaker agree to compromise","wide political economic reforms

Target document:
somalia's feuding president and parliament speaker have agreed a compromise in a bitter row over the appropriate seat for their fledgling transitional government, a yemeni official said wednesday.

Summary:assistant

somalia's president and parliament speaker agree to compromise",648,72,720,0.09605406162518193,0.2458818134940812,0.2458818134940812,0.10962906545484513,0.2164711332431661,"For example,
document: negotiations on power-sharing in zimbabwe ended wednesday without a deal , but both president robert mugabe and opposition leader morgan tsvangirai hinted that agreement is very close .
summary: both mugabe and tsvangirai hint zimbabwe deal is close
document: negotiations on power-sharing in zimbabwe ended wednesday without a deal , but both president robert mugabe and opposition leader morgan tsvangirai hinted that agreement is very close .
summary: both mugabe and tsvangirai hint zimbabwe deal is close
document: the second day of negotiations on power-sharing in zimbabwe ended wednesday without a deal , but president robert mugabe said participants will `` hopefully '' reach an accord thursday .
summary: no deal yet but mugabe hopes for zimbabwe deal thursday
document: yemen has stepped up measures to combat piracy off its coast , deploying troops in the gulf of aden and planning three centres to fight somali pirates , official sources said on wednesday .
summary: yemen steps up measures to fight maritime piracy
document: a southern african security summit due to begin wednesday was deferred by a day amid speculation that zimbabwe 's political rivals could finally ink a long awaited power-sharing deal .
summary: southern african summit deferred amid hopes of zimbabwe pact
document: mozambique 's ruling frelimo party will begin five-day talks to choose its candidate for #### presidential elections on thursday , a party official said .
summary: mozambique ruling party readies to pick presidential candidate
document: south korea 's new parliament began its first regular session monday after months of delays , with the conservative party eager to push through a pro-business agenda after a decade of rule by liberal presidents .
summary: south korea 's new parliament finally opens
document: the white house race plumbed new depths wednesday as barack obama accused john mccain of stooping to `` lies and phony outrage '' in response to the democrat 's mocking talk of `` lipstick on a pig .
summary: obama accuses mccain of lying over lipstick smear
document: the white house race plumbed new depths wednesday as barack obama accused john mccain of stooping to `` lies and phony outrage '' in response to the democrat 's mocking talk of `` lipstick on a pig .
summary: obama accuses mccain of lying over lipstick smear
document: libyan leader moamer kadhafi monday promised wide political and economic reforms that he said would see ministries dismantled and oil revenues going directly into the pockets of the people .
summary: kadhafi promises wide political economic reforms","[59, 70, 74, 95, 97, 89, 16, 40, 54, 8]","[0.4244638681411743, 0.4244638681411743, 0.39333653450012207, 0.28157153725624084, 0.2661091685295105, 0.258830726146698, 0.23741745948791504, 0.20903238654136658, 0.20903238654136658, 0.20716029405593872]"
"a ##-hour strike by airport workers in portugal planned for friday over job security issues could lead to flight cancellations , union and airport officials said .",portuguese airport workers strike could ground flights on friday,"without a deal, but president robert mugabe said participants will `` hopefully '' reach an accord thursday.
summary: no deal yet but mugabe hopes for zimbabwe deal thursday
document: south korea's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations.
summary: envoy urges north korea to restart nuclear disablement

Target document:
a ##-hour strike by airport workers in portugal planned for friday over job security issues could lead to flight cancellations, union and airport officials said.

Summary:assistant

portugal airport strike planned for friday over job security","without a deal, but president robert mugabe said participants will `` hopefully '' reach an accord thursday.
summary: no deal yet but mugabe hopes for zimbabwe deal thursday
document: south korea's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations.
summary: envoy urges north korea to restart nuclear disablement

Target document:
a ##-hour strike by airport workers in portugal planned for friday over job security issues could lead to flight cancellations, union and airport officials said.

Summary:assistant

portugal airport strike planned for friday over job security",575,145,720,0.09605406162518193,0.2458818134940812,0.2458818134940812,0.10962906545484513,0.2164711332431661,"For example,
document: the machinists union strike against boeing entered a fifth day wednesday with no sign of a resumption of contract talks on the horizon , both sides said .
summary: boeing strike in fifth day ; no talks scheduled
document: seven men suspected of plotting to blow up airliners over the atlantic ocean in #### face a retrial , prosecutors said wednesday , after a jury in london failed to reach verdicts .
summary: retrial ordered in britain over alleged transatlantic bomb plot
document: at least two people were killed in a suspected bomb attack on a passenger bus in the strife-torn southern philippines on monday , the military said .
summary: at least two dead in southern philippines blast
document: us roman catholic bishops on wednesday charged that immigration raids on us workplaces break up families and disrupt communities , without addressing the country 's flawed immigration system .
summary: us catholic bishops condemn us immigration raids
document: the organization for security and cooperation in europe -lrb- osce -rrb- , a european security body , urged wednesday its ## member states to intensify efforts to crack down on human trafficking .
summary: osce calls for cooperation in fight against human trafficking
document: spanish property group colonial , struggling under huge debts , announced losses of #.## billion euros for the first half of #### which it blamed on asset depreciation .
summary: spain 's colonial posts #.## billion euro loss
document: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
summary: australian stocks close down #.# percent
document: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
summary: australian stocks close down #.# percent
document: the second day of negotiations on power-sharing in zimbabwe ended wednesday without a deal , but president robert mugabe said participants will `` hopefully '' reach an accord thursday .
summary: no deal yet but mugabe hopes for zimbabwe deal thursday
document: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
summary: envoy urges north korea to restart nuclear disablement","[80, 64, 1, 37, 55, 7, 6, 2, 74, 3]","[0.3904135227203369, 0.27363622188568115, 0.2659541070461273, 0.23503261804580688, 0.2246997058391571, 0.21706782281398773, 0.21631848812103271, 0.21631848812103271, 0.216223806142807, 0.2155924141407013]"
jose mourinho renewed his partnership with portuguese international maniche on wednesday when he completed the loan signing of the ##-year-old midfielder from dynamo moscow .,maniche renews partnership with mourinho,"are not in the cards.
summary: eu to question relations with russia at emergency summit

Target document:
jose mourinho renewed his partnership with portuguese international maniche on wednesday when he completed the loan signing of the ##-year-old midfielder from dynamo moscow.

Summary:assistant

mourinho signs maniche on loan from dynamo moscow","are not in the cards.
summary: eu to question relations with russia at emergency summit

Target document:
jose mourinho renewed his partnership with portuguese international maniche on wednesday when he completed the loan signing of the ##-year-old midfielder from dynamo moscow.

Summary:assistant

mourinho signs maniche on loan from dynamo moscow",637,83,720,0.09605406162518193,0.2458818134940812,0.2458818134940812,0.10962906545484513,0.2164711332431661,"For example,
document: negotiations on power-sharing in zimbabwe ended wednesday without a deal , but both president robert mugabe and opposition leader morgan tsvangirai hinted that agreement is very close .
summary: both mugabe and tsvangirai hint zimbabwe deal is close
document: negotiations on power-sharing in zimbabwe ended wednesday without a deal , but both president robert mugabe and opposition leader morgan tsvangirai hinted that agreement is very close .
summary: both mugabe and tsvangirai hint zimbabwe deal is close
document: turkish president abdullah gul and his azerbaijani counterpart ilham aliyev on wednesday stressed `` friendly relations '' following gul 's visit to azerbaijan 's arch-enemy armenia last week .
summary: turkey azerbaijan talk up ties after armenia visit
document: a southern african security summit due to begin wednesday was deferred by a day amid speculation that zimbabwe 's political rivals could finally ink a long awaited power-sharing deal .
summary: southern african summit deferred amid hopes of zimbabwe pact
document: the second day of negotiations on power-sharing in zimbabwe ended wednesday without a deal , but president robert mugabe said participants will `` hopefully '' reach an accord thursday .
summary: no deal yet but mugabe hopes for zimbabwe deal thursday
document: bolivian president evo morales on wednesday declared the us ambassador to la paz `` persona non grata , '' accusing the envoy of encouraging the breakup of the country by promoting separatism .
summary: bolivia president orders us envoy expelled
document: bolivian president evo morales on wednesday declared the us ambassador to la paz `` persona non grata , '' accusing the envoy of encouraging the breakup of the country by promoting separatism .
summary: bolivia president orders us envoy expelled
document: mauritania 's junta in power since an august # coup d'etat announced early monday the `` formation of a government , '' state television reported .
summary: mauritanian junta announces formation of a government
document: france , which holds the european union presidency , called wednesday for a joint european approach to resolving the challenges in the arctic , a region on the front lines of global warming .
summary: france seeks european shared vision for arctic issues
document: european union leaders will put the bloc 's relations with moscow under scrutiny at an emergency summit on monday , although sanctions against russia are not in the cards .
summary: eu to question relations with russia at emergency summit","[59, 70, 76, 97, 74, 48, 52, 33, 68, 32]","[0.2707953453063965, 0.2707953453063965, 0.20373612642288208, 0.19799742102622986, 0.17916899919509888, 0.17023102939128876, 0.17023102939128876, 0.14195197820663452, 0.1410655826330185, 0.13963091373443604]"
"hollywood is planning a new sequel to adventure flick `` ocean 's eleven , '' with star george clooney set to reprise his role as a charismatic thief in `` ocean 's thirteen , '' the entertainment press said wednesday .",hollywood shores up support for ocean 's thirteen,hollywood plans new 'ocean's eleven' sequel,hollywood plans new 'ocean's eleven' sequel,702,18,720,0.09605406162518193,0.2458818134940812,0.2458818134940812,0.10962906545484513,0.2164711332431661,"For example,
document: yemen has stepped up measures to combat piracy off its coast , deploying troops in the gulf of aden and planning three centres to fight somali pirates , official sources said on wednesday .
summary: yemen steps up measures to fight maritime piracy
document: the pentagon canceled a ## billion-dollar competition for a new aerial refueling tanker wednesday , leaving the politically charged decision for one of its biggest military contracts to a new administration .
summary: pentagon cancels tanker contest amid charged politics
document: seven men suspected of plotting to blow up airliners over the atlantic ocean in #### face a retrial , prosecutors said wednesday , after a jury in london failed to reach verdicts .
summary: retrial ordered in britain over alleged transatlantic bomb plot
document: britain 's prince charles called on the world wednesday to act with a `` sense of wartime urgency '' to protect the rainforests , warning they were `` UNK connected '' to the phenomenon of climate change .
summary: prince charles calls for wartime effort against deforestation
document: ailing investment bank lehman brothers announced plans wednesday to sell off key assets to shore up its finances as it posted more hefty losses linked to the us subprime real estate crisis .
summary: lehman bros to sell off assets amid fresh losses
document: texas authorities ordered coastal evacuations wednesday as deadly hurricane ike strengthened to a category two storm in the gulf of mexico and headed toward the southern us coast after ravaging cuba and the caribbean .
summary: texas girds for the worst as deadly ike closes in
document: beijing is enjoying its best air quality in a decade thanks to steps taken for the olympics , authorities said monday , amid a push by some locals for the anti- pollution measures to be made permanent .
summary: beijing 's best air in a decade due to olympic measures
document: the white house race plumbed new depths wednesday as barack obama accused john mccain of stooping to `` lies and phony outrage '' in response to the democrat 's mocking talk of `` lipstick on a pig .
summary: obama accuses mccain of lying over lipstick smear
document: the white house race plumbed new depths wednesday as barack obama accused john mccain of stooping to `` lies and phony outrage '' in response to the democrat 's mocking talk of `` lipstick on a pig .
summary: obama accuses mccain of lying over lipstick smear
document: president george w. bush declared an emergency in texas and state authorities began ordering evacuations as deadly hurricane ike , which strengthened wednesday to a powerful category two storm , churned in the gulf of mexico toward the us state .
summary: texas girds for the worst as deadly ike closes in","[95, 85, 64, 44, 61, 49, 11, 40, 54, 79]","[0.24690330028533936, 0.19427704811096191, 0.19217795133590698, 0.1793111115694046, 0.1498069316148758, 0.1284552663564682, 0.12012660503387451, 0.11789694428443909, 0.11789694428443909, 0.11376186460256577]"
