Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,accuracy,macro_f1
im feeling rather rotten so im not very ambitious right now,sadness,sadness,"Think step by step internally.
Output only one final label.

Input text:
im feeling rather rotten so im not very ambitious right now

Label:
sadness",77,150,227,0.27035964006245194,0.5715,0.5715,0.4206760208389277
im updating my blog because i feel shitty,sadness,sadness,", anger, fear, surprise
Think step by step internally.
Output only one final label.

Input text:
im updating my blog because i feel shitty

Label:
sadness",74,153,227,0.27035964006245194,0.5715,0.5715,0.4206760208389277
i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness,love,"me because i don t ever want her to feel like i m ashamed with her

Label:
love",88,139,227,0.27035964006245194,0.5715,0.5715,0.4206760208389277
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy,joy,"red and yellow tulips under my arm feeling slightly more optimistic than when i arrived

Label:
joy",88,139,227,0.27035964006245194,0.5715,0.5715,0.4206760208389277
i was feeling a little vain when i did this one,sadness,joy,"Think step by step internally.
Output only one final label.

Input text:
i was feeling a little vain when i did this one

Label:
To classify the input text, let's analyze the text step by step:

1. The text starts with ""i was feeling a little vain,"" which indicates a sense of pride or self-admiration, which is a positive emotion.

2. The text continues with ""when i did this one,"" which suggests that the person is talking about an action or achievement that made them feel vain.

Considering the analysis above, the text conveys a sense of pride or self-admiration, which is a positive emotion.

Label: joy",77,150,227,0.27035964006245194,0.5715,0.5715,0.4206760208389277
i cant walk into a shop anywhere where i do not feel uncomfortable,fear,sadness,"step internally.
Output only one final label.

Input text:
i cant walk into a shop anywhere where i do not feel uncomfortable

Label:
sadness",79,148,227,0.27035964006245194,0.5715,0.5715,0.4206760208389277
i felt anger when at the end of a telephone call,anger,anger,"Think step by step internally.
Output only one final label.

Input text:
i felt anger when at the end of a telephone call

Label:
anger",77,150,227,0.27035964006245194,0.5715,0.5715,0.4206760208389277
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy,sadness,sadness,108,119,227,0.27035964006245194,0.5715,0.5715,0.4206760208389277
i like to have the same breathless feeling as a reader eager to see what will happen next,joy,joy,"i like to have the same breathless feeling as a reader eager to see what will happen next

Label:
joy",85,142,227,0.27035964006245194,0.5715,0.5715,0.4206760208389277
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,anger,sadness,"the summer

Label:
sadness",102,125,227,0.27035964006245194,0.5715,0.5715,0.4206760208389277
