Text,truth,pre,mse,rmse,pearson_coeff,spearman_coeff,input_tokens,output_tokens,total_tokens,runtime
text1: the problem likely will mean corrective changes before the shuttle fleet starts flying again .  text2: he said the problem needs to be corrected before the space shuttle fleet is cleared to fly again .,4.4,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,747,128,875,6.926470756530762
"text1: the technology-laced nasdaq composite index .ixic inched down 1 point , or 0.11 percent , to 1,650 .  text2: the broad standard & poor 's 500 index .spx inched up 3 points , or 0.32 percent , to 970 .",0.8,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,776,8,784,1.5580229759216309
"text1: "" it 's a huge black eye , "" said publisher arthur ochs sulzberger jr . , whose family has controlled the paper since 1896 .  text2: "" it 's a huge black eye , "" arthur sulzberger , the newspaper 's publisher , said of the scandal .",3.6,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,773,73,846,4.486289978027344
"text1: sec chairman william donaldson said there is a "" building confidence out there that the cop is on the beat . ""  text2: "" i think there 's a building confidence that the cop is on the beat . """,3.4,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,756,5,761,1.3973705768585205
"text1: vivendi shares closed 1.9 percent at 15.80 euros in paris after falling 3.6 percent on monday .  text2: in new york , vivendi shares were 1.4 percent down at $ 18.29 .",1.4,2.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,761,62,823,3.9478707313537598
"text1: myanmar 's pro-democracy leader aung san suu kyi will return home late friday but will remain in detention after recovering from surgery at a yangon hospital , her personal physician said .  text2: myanmar 's pro-democracy leader aung san suu kyi will be kept under house arrest following her release from a hospital where she underwent surgery , her personal physician said friday .",4.6,3.6,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,791,8,799,1.5813522338867188
"text1: darren dopp , a spitzer spokesman , declined to comment late thursday .  text2: john heine , a spokesman for the commission in washington , declined to comment on mr. spitzer 's criticism .",1.4,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,753,53,806,3.5237271785736084
"text1: bremer said one initiative is to launch a us $ 70 million nationwide program in the next two weeks to clean up neighborhoods and build community projects .  text2: bremer said he would launch a $ 70-million program in the next two weeks to clean up neighborhoods across iraq and build community projects , but gave no details .",3.6,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,777,75,852,4.58610200881958
"text1: in afternoon trading in europe , france 's cac-40 advanced and britain 's ftse 100 each gained 0.7 percent , while germany 's dax index rose 0.6 percent .  text2: in europe , france 's cac-40 rose 1.3 percent , britain 's ftse 100 declined 0.2 percent and germany 's dax index gained 0.6 percent .",2.0,0.6,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,801,82,883,3.294290781021118
text1: he later learned that the incident was caused by the concorde 's sonic boom .  text2: he later found out the alarming incident had been caused by concorde 's powerful sonic boom .,5.0,3.6,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,749,71,820,4.304431200027466
text1: sens. john kerry and bob graham declined invitations to speak .  text2: the no-shows were sens. john kerry of massachusetts and bob graham of florida .,3.6,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,747,128,875,6.926470756530762
text1: page said it 's also possible that genes on the y chromosome may influence gender-specific differences in disease susceptibility .  text2: he added that genes on the y might play a role in influencing gender-specific differences in disease susceptibility .,4.4,3.6,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,755,58,813,3.7622642517089844
text1: one of the most well studied facets of temperament is how people respond to novelty .  text2: one of the defining and well-studied characteristics of temperament is how people react to novelty .,4.8,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,748,5,753,1.3692669868469238
"text1: but butterflies exposed to an earlier light cycle , from 1am to 1pm , orientated themselves towards the south-east .  text2: but butterflies housed under an earlier light cycle , 1 a.m. to 1 p.m. , flew toward the southeast .",4.6,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,765,65,830,4.095237970352173
"text1: rt jones analyst juli niemann said grant was "" the one we were all pulling for .  text2: he has a very good reputation , "" rt jones analyst juli niemann said of grant .",1.4,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,751,70,821,4.265336513519287
"text1: a key question was whether france , which infuriated washington by leading the charge against u.n. authorization for the war , would vote "" yes "" or abstain .  text2: france , which infuriated washington by leading the charge against u.n. approval for the war , also sought changes .",2.6,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,769,69,838,4.3015642166137695
"text1: mel gibson 's passion-stirring biblical epic "" the passion of christ "" will open in the united states on feb. 25 - ash wednesday on the roman catholic calendar .  text2: mel gibson is negotiating with newmarket films to distribute his embattled biblical epic "" the passion of christ "" in the united states .",2.0,3.0,1.16130225997426,1.0776373508626453,0.3358002407011582,0.35455011466811637,779,82,861,4.913747310638428
