Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL,in_context,context_indices,retrieval_scores
nec UNK in computer sales tie-up,japan 's nec corp. and UNK computer corp. of the united states said wednesday they had agreed to join forces in supercomputer sales .,"computer sales tie-up

Expanded text:
Nec Corporation and UNK, a leading provider of computer hardware and software solutions, have entered into a strategic sales tie-up. This collaboration aims to leverage the strengths of both companies, enhancing their market presence and customer satisfaction.","computer sales tie-up

Expanded text:
Nec Corporation and UNK, a leading provider of computer hardware and software solutions, have entered into a strategic sales tie-up. This collaboration aims to leverage the strengths of both companies, enhancing their market presence and customer satisfaction.",584,81,665,0.2359232594972127,0.2621466883460396,0.2621466883460396,0.07994923752259636,0.1952451111678615,"For example,
short text: ike strengthens to category two hurricane
expanded text: hurricane ike strengthened to a powerful category two storm wednesday as it churned through the gulf of mexico toward the us state of texas , officials at the miami-based national hurricane center said .
short text: taiwan shares close down #.## percent
expanded text: taiwan shares closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: us execution on hold but not due to judge-prosecutor affair
expanded text: a planned texas execution was put on hold wednesday but not because the judge and prosecutor in the convicted killer 's trial were in a sexual relationship at the time , authorities said .
short text: pakistan army chief criticises us raids
expanded text: pakistan army chief general ashfaq kayani late wednesday strongly criticised cross-border raids by us-led coalition forces and said the country would defend its sovereignty `` at all cost '' .
short text: hong kong gold opens lower
expanded text: hong kong gold prices opened lower on monday at ###.##-### .## us dollars an ounce , down from friday 's close of ###.##-### .## dollars .
short text: oil prices rise as gustav shuts gulf installations
expanded text: world oil prices rose by less than one dollar in asian trade on monday after hurricane gustav forced the shutdown of almost all oil production in the gulf of mexico , analysts said .
short text: us man charged with child sex in cambodia
expanded text: an american man has been arrested and charged in cambodia with committing indecent acts against a ##-year-old child prostitute on a dark street , police and court officials said monday .
short text: skorea bank refuses to confirm reported talks with lehman
expanded text: south korea 's state-run korea development bank refused comment monday on a british newspaper report that it is still seeking a stake in troubled us investment bank lehman brothers .
short text: spanish judge in legal storm over paedophile ruling
expanded text: a spanish judicial watchdog on wednesday fined a judge #,### euros -lrb- #,### dollars -rrb- for allowing a convicted paedophile to remain free before he killed a young girl .","[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",[]
sri lanka closes schools as war escalates,the sri lankan government on wednesday announced the closure of government schools with immediate effect as a military campaign against tamil separatists escalated in the north of the country .,"escalates

Expanded text:
sri lanka's government has been forced to close schools across the nation as the ongoing conflict between government forces and the tamil tiger rebels continues to escalate, causing widespread fear and uncertainty among the civilian population.","escalates

Expanded text:
sri lanka's government has been forced to close schools across the nation as the ongoing conflict between government forces and the tamil tiger rebels continues to escalate, causing widespread fear and uncertainty among the civilian population.",586,79,665,0.2359232594972127,0.2621466883460396,0.2621466883460396,0.07994923752259636,0.1952451111678615,"For example,
short text: ike strengthens to category two hurricane
expanded text: hurricane ike strengthened to a powerful category two storm wednesday as it churned through the gulf of mexico toward the us state of texas , officials at the miami-based national hurricane center said .
short text: taiwan shares close down #.## percent
expanded text: taiwan shares closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: us execution on hold but not due to judge-prosecutor affair
expanded text: a planned texas execution was put on hold wednesday but not because the judge and prosecutor in the convicted killer 's trial were in a sexual relationship at the time , authorities said .
short text: pakistan army chief criticises us raids
expanded text: pakistan army chief general ashfaq kayani late wednesday strongly criticised cross-border raids by us-led coalition forces and said the country would defend its sovereignty `` at all cost '' .
short text: hong kong gold opens lower
expanded text: hong kong gold prices opened lower on monday at ###.##-### .## us dollars an ounce , down from friday 's close of ###.##-### .## dollars .
short text: oil prices rise as gustav shuts gulf installations
expanded text: world oil prices rose by less than one dollar in asian trade on monday after hurricane gustav forced the shutdown of almost all oil production in the gulf of mexico , analysts said .
short text: us man charged with child sex in cambodia
expanded text: an american man has been arrested and charged in cambodia with committing indecent acts against a ##-year-old child prostitute on a dark street , police and court officials said monday .
short text: skorea bank refuses to confirm reported talks with lehman
expanded text: south korea 's state-run korea development bank refused comment monday on a british newspaper report that it is still seeking a stake in troubled us investment bank lehman brothers .
short text: spanish judge in legal storm over paedophile ruling
expanded text: a spanish judicial watchdog on wednesday fined a judge #,### euros -lrb- #,### dollars -rrb- for allowing a convicted paedophile to remain free before he killed a young girl .","[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",[]
protesters target french research ship,"police arrested five anti-nuclear protesters thursday after they sought to disrupt loading of a french antarctic research and supply vessel , a spokesman for the protesters said .","ers target french research ship

Expanded text:
Protesters have focused their demonstrations on a French research ship, voicing their concerns and objections regarding the ship's activities and its potential impact on the environment and local communities.","ers target french research ship

Expanded text:
Protesters have focused their demonstrations on a French research ship, voicing their concerns and objections regarding the ship's activities and its potential impact on the environment and local communities.",583,82,665,0.2359232594972127,0.2621466883460396,0.2621466883460396,0.07994923752259636,0.1952451111678615,"For example,
short text: ike strengthens to category two hurricane
expanded text: hurricane ike strengthened to a powerful category two storm wednesday as it churned through the gulf of mexico toward the us state of texas , officials at the miami-based national hurricane center said .
short text: taiwan shares close down #.## percent
expanded text: taiwan shares closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: us execution on hold but not due to judge-prosecutor affair
expanded text: a planned texas execution was put on hold wednesday but not because the judge and prosecutor in the convicted killer 's trial were in a sexual relationship at the time , authorities said .
short text: pakistan army chief criticises us raids
expanded text: pakistan army chief general ashfaq kayani late wednesday strongly criticised cross-border raids by us-led coalition forces and said the country would defend its sovereignty `` at all cost '' .
short text: hong kong gold opens lower
expanded text: hong kong gold prices opened lower on monday at ###.##-### .## us dollars an ounce , down from friday 's close of ###.##-### .## dollars .
short text: oil prices rise as gustav shuts gulf installations
expanded text: world oil prices rose by less than one dollar in asian trade on monday after hurricane gustav forced the shutdown of almost all oil production in the gulf of mexico , analysts said .
short text: us man charged with child sex in cambodia
expanded text: an american man has been arrested and charged in cambodia with committing indecent acts against a ##-year-old child prostitute on a dark street , police and court officials said monday .
short text: skorea bank refuses to confirm reported talks with lehman
expanded text: south korea 's state-run korea development bank refused comment monday on a british newspaper report that it is still seeking a stake in troubled us investment bank lehman brothers .
short text: spanish judge in legal storm over paedophile ruling
expanded text: a spanish judicial watchdog on wednesday fined a judge #,### euros -lrb- #,### dollars -rrb- for allowing a convicted paedophile to remain free before he killed a young girl .","[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",[]
us september factory orders up #.# percent,"factory orders for manufactured goods rose #.# percent in september , the commerce department said here thursday .","up #.# percent

Expanded text:
In September, factory orders in the United States experienced a notable increase, rising by #.# percent. This uptick in factory orders could be indicative of a stronger manufacturing sector and potentially broader economic growth.","up #.# percent

Expanded text:
In September, factory orders in the United States experienced a notable increase, rising by #.# percent. This uptick in factory orders could be indicative of a stronger manufacturing sector and potentially broader economic growth.",584,81,665,0.2359232594972127,0.2621466883460396,0.2621466883460396,0.07994923752259636,0.1952451111678615,"For example,
short text: ike strengthens to category two hurricane
expanded text: hurricane ike strengthened to a powerful category two storm wednesday as it churned through the gulf of mexico toward the us state of texas , officials at the miami-based national hurricane center said .
short text: taiwan shares close down #.## percent
expanded text: taiwan shares closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: us execution on hold but not due to judge-prosecutor affair
expanded text: a planned texas execution was put on hold wednesday but not because the judge and prosecutor in the convicted killer 's trial were in a sexual relationship at the time , authorities said .
short text: pakistan army chief criticises us raids
expanded text: pakistan army chief general ashfaq kayani late wednesday strongly criticised cross-border raids by us-led coalition forces and said the country would defend its sovereignty `` at all cost '' .
short text: hong kong gold opens lower
expanded text: hong kong gold prices opened lower on monday at ###.##-### .## us dollars an ounce , down from friday 's close of ###.##-### .## dollars .
short text: oil prices rise as gustav shuts gulf installations
expanded text: world oil prices rose by less than one dollar in asian trade on monday after hurricane gustav forced the shutdown of almost all oil production in the gulf of mexico , analysts said .
short text: us man charged with child sex in cambodia
expanded text: an american man has been arrested and charged in cambodia with committing indecent acts against a ##-year-old child prostitute on a dark street , police and court officials said monday .
short text: skorea bank refuses to confirm reported talks with lehman
expanded text: south korea 's state-run korea development bank refused comment monday on a british newspaper report that it is still seeking a stake in troubled us investment bank lehman brothers .
short text: spanish judge in legal storm over paedophile ruling
expanded text: a spanish judicial watchdog on wednesday fined a judge #,### euros -lrb- #,### dollars -rrb- for allowing a convicted paedophile to remain free before he killed a young girl .","[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",[]
bank of UNK UNK for calm in financial markets,the bank of japan appealed to financial markets to remain calm friday following the us decision to order daiwa bank ltd. to close its us operations .,"markets

Expanded text:
The Bank of UNK UNK has called for calm and stability in the global financial markets. The bank's officials emphasized the importance of maintaining confidence among investors and consumers alike. In light of recent market volatility, the Bank of UNK UNK is urging all stakeholders to act responsibly and to avoid any actions that could further destabilize the financial markets.","markets

Expanded text:
The Bank of UNK UNK has called for calm and stability in the global financial markets. The bank's officials emphasized the importance of maintaining confidence among investors and consumers alike. In light of recent market volatility, the Bank of UNK UNK is urging all stakeholders to act responsibly and to avoid any actions that could further destabilize the financial markets.",587,78,665,0.2359232594972127,0.2621466883460396,0.2621466883460396,0.07994923752259636,0.1952451111678615,"For example,
short text: ike strengthens to category two hurricane
expanded text: hurricane ike strengthened to a powerful category two storm wednesday as it churned through the gulf of mexico toward the us state of texas , officials at the miami-based national hurricane center said .
short text: taiwan shares close down #.## percent
expanded text: taiwan shares closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: us execution on hold but not due to judge-prosecutor affair
expanded text: a planned texas execution was put on hold wednesday but not because the judge and prosecutor in the convicted killer 's trial were in a sexual relationship at the time , authorities said .
short text: pakistan army chief criticises us raids
expanded text: pakistan army chief general ashfaq kayani late wednesday strongly criticised cross-border raids by us-led coalition forces and said the country would defend its sovereignty `` at all cost '' .
short text: hong kong gold opens lower
expanded text: hong kong gold prices opened lower on monday at ###.##-### .## us dollars an ounce , down from friday 's close of ###.##-### .## dollars .
short text: oil prices rise as gustav shuts gulf installations
expanded text: world oil prices rose by less than one dollar in asian trade on monday after hurricane gustav forced the shutdown of almost all oil production in the gulf of mexico , analysts said .
short text: us man charged with child sex in cambodia
expanded text: an american man has been arrested and charged in cambodia with committing indecent acts against a ##-year-old child prostitute on a dark street , police and court officials said monday .
short text: skorea bank refuses to confirm reported talks with lehman
expanded text: south korea 's state-run korea development bank refused comment monday on a british newspaper report that it is still seeking a stake in troubled us investment bank lehman brothers .
short text: spanish judge in legal storm over paedophile ruling
expanded text: a spanish judicial watchdog on wednesday fined a judge #,### euros -lrb- #,### dollars -rrb- for allowing a convicted paedophile to remain free before he killed a young girl .","[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",[]
rebel serb talks to resume saturday : tudjman by peter UNK,"croatian president franjo tudjman said friday croatian and serb negotiators would meet saturday to thrash out an agreement on the last serb-held area in croatia , under a deal reached at us-brokered talks .","Rebel Serb leaders have agreed to resume talks aimed at resolving the ongoing conflict, with the discussions scheduled to reconvene on saturday. The talks are expected to be mediated by president franjo tudjman, as reported by the united nations news service, by peter UNK.","Rebel Serb leaders have agreed to resume talks aimed at resolving the ongoing conflict, with the discussions scheduled to reconvene on saturday. The talks are expected to be mediated by president franjo tudjman, as reported by the united nations news service, by peter UNK.",593,72,665,0.2359232594972127,0.2621466883460396,0.2621466883460396,0.07994923752259636,0.1952451111678615,"For example,
short text: ike strengthens to category two hurricane
expanded text: hurricane ike strengthened to a powerful category two storm wednesday as it churned through the gulf of mexico toward the us state of texas , officials at the miami-based national hurricane center said .
short text: taiwan shares close down #.## percent
expanded text: taiwan shares closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: us execution on hold but not due to judge-prosecutor affair
expanded text: a planned texas execution was put on hold wednesday but not because the judge and prosecutor in the convicted killer 's trial were in a sexual relationship at the time , authorities said .
short text: pakistan army chief criticises us raids
expanded text: pakistan army chief general ashfaq kayani late wednesday strongly criticised cross-border raids by us-led coalition forces and said the country would defend its sovereignty `` at all cost '' .
short text: hong kong gold opens lower
expanded text: hong kong gold prices opened lower on monday at ###.##-### .## us dollars an ounce , down from friday 's close of ###.##-### .## dollars .
short text: oil prices rise as gustav shuts gulf installations
expanded text: world oil prices rose by less than one dollar in asian trade on monday after hurricane gustav forced the shutdown of almost all oil production in the gulf of mexico , analysts said .
short text: us man charged with child sex in cambodia
expanded text: an american man has been arrested and charged in cambodia with committing indecent acts against a ##-year-old child prostitute on a dark street , police and court officials said monday .
short text: skorea bank refuses to confirm reported talks with lehman
expanded text: south korea 's state-run korea development bank refused comment monday on a british newspaper report that it is still seeking a stake in troubled us investment bank lehman brothers .
short text: spanish judge in legal storm over paedophile ruling
expanded text: a spanish judicial watchdog on wednesday fined a judge #,### euros -lrb- #,### dollars -rrb- for allowing a convicted paedophile to remain free before he killed a young girl .","[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",[]
toyota are banned for a year,japan 's toyota team europe were banned from the world rally championship for one year here on friday in a crushing ruling by the world council of the international automobile federation -lrb- fia -rrb- .,"are banned for a year

Expanded text:
Toyota vehicles have been temporarily prohibited from operation for a duration of one year, due to safety concerns or regulatory violations.","are banned for a year

Expanded text:
Toyota vehicles have been temporarily prohibited from operation for a duration of one year, due to safety concerns or regulatory violations.",583,82,665,0.2359232594972127,0.2621466883460396,0.2621466883460396,0.07994923752259636,0.1952451111678615,"For example,
short text: ike strengthens to category two hurricane
expanded text: hurricane ike strengthened to a powerful category two storm wednesday as it churned through the gulf of mexico toward the us state of texas , officials at the miami-based national hurricane center said .
short text: taiwan shares close down #.## percent
expanded text: taiwan shares closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: us execution on hold but not due to judge-prosecutor affair
expanded text: a planned texas execution was put on hold wednesday but not because the judge and prosecutor in the convicted killer 's trial were in a sexual relationship at the time , authorities said .
short text: pakistan army chief criticises us raids
expanded text: pakistan army chief general ashfaq kayani late wednesday strongly criticised cross-border raids by us-led coalition forces and said the country would defend its sovereignty `` at all cost '' .
short text: hong kong gold opens lower
expanded text: hong kong gold prices opened lower on monday at ###.##-### .## us dollars an ounce , down from friday 's close of ###.##-### .## dollars .
short text: oil prices rise as gustav shuts gulf installations
expanded text: world oil prices rose by less than one dollar in asian trade on monday after hurricane gustav forced the shutdown of almost all oil production in the gulf of mexico , analysts said .
short text: us man charged with child sex in cambodia
expanded text: an american man has been arrested and charged in cambodia with committing indecent acts against a ##-year-old child prostitute on a dark street , police and court officials said monday .
short text: skorea bank refuses to confirm reported talks with lehman
expanded text: south korea 's state-run korea development bank refused comment monday on a british newspaper report that it is still seeking a stake in troubled us investment bank lehman brothers .
short text: spanish judge in legal storm over paedophile ruling
expanded text: a spanish judicial watchdog on wednesday fined a judge #,### euros -lrb- #,### dollars -rrb- for allowing a convicted paedophile to remain free before he killed a young girl .","[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",[]
israel prepares jerusalem state funeral for rabin,"israel prepared sunday for prime minister yitzhak rabin 's state funeral which will be attended by a host of world leaders , including us president bill clinton and the jordanian and egyptian heads of state .","rabin

Expanded text:
israel is meticulously preparing a state funeral in jerusalem for the late prime minister yitzhak rabin. The solemn ceremony is expected to draw a large crowd of mourners, including political leaders, dignitaries, and the general public who deeply admired and mourned the loss of the former prime minister.","rabin

Expanded text:
israel is meticulously preparing a state funeral in jerusalem for the late prime minister yitzhak rabin. The solemn ceremony is expected to draw a large crowd of mourners, including political leaders, dignitaries, and the general public who deeply admired and mourned the loss of the former prime minister.",586,79,665,0.2359232594972127,0.2621466883460396,0.2621466883460396,0.07994923752259636,0.1952451111678615,"For example,
short text: ike strengthens to category two hurricane
expanded text: hurricane ike strengthened to a powerful category two storm wednesday as it churned through the gulf of mexico toward the us state of texas , officials at the miami-based national hurricane center said .
short text: taiwan shares close down #.## percent
expanded text: taiwan shares closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: us execution on hold but not due to judge-prosecutor affair
expanded text: a planned texas execution was put on hold wednesday but not because the judge and prosecutor in the convicted killer 's trial were in a sexual relationship at the time , authorities said .
short text: pakistan army chief criticises us raids
expanded text: pakistan army chief general ashfaq kayani late wednesday strongly criticised cross-border raids by us-led coalition forces and said the country would defend its sovereignty `` at all cost '' .
short text: hong kong gold opens lower
expanded text: hong kong gold prices opened lower on monday at ###.##-### .## us dollars an ounce , down from friday 's close of ###.##-### .## dollars .
short text: oil prices rise as gustav shuts gulf installations
expanded text: world oil prices rose by less than one dollar in asian trade on monday after hurricane gustav forced the shutdown of almost all oil production in the gulf of mexico , analysts said .
short text: us man charged with child sex in cambodia
expanded text: an american man has been arrested and charged in cambodia with committing indecent acts against a ##-year-old child prostitute on a dark street , police and court officials said monday .
short text: skorea bank refuses to confirm reported talks with lehman
expanded text: south korea 's state-run korea development bank refused comment monday on a british newspaper report that it is still seeking a stake in troubled us investment bank lehman brothers .
short text: spanish judge in legal storm over paedophile ruling
expanded text: a spanish judicial watchdog on wednesday fined a judge #,### euros -lrb- #,### dollars -rrb- for allowing a convicted paedophile to remain free before he killed a young girl .","[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",[]
indian pm 's announcement on kashmir polls autonomy sparks outrage,indian prime minister p.v. narasimha rao 's promise of more autonomy for troubled kashmir and his plea for early state elections has sparked a violent reaction from provincial moslem and opposition parties .,"text:
Indian Prime Minister's recent announcement regarding the conduct of polls in the disputed region of Kashmir, along with the proposal to grant autonomy to the region, has sparked widespread outrage among various sections of the Indian society, as well as among the international community, who are closely monitoring the situation and its potential implications for regional stability and peace.","text:
Indian Prime Minister's recent announcement regarding the conduct of polls in the disputed region of Kashmir, along with the proposal to grant autonomy to the region, has sparked widespread outrage among various sections of the Indian society, as well as among the international community, who are closely monitoring the situation and its potential implications for regional stability and peace.",590,75,665,0.2359232594972127,0.2621466883460396,0.2621466883460396,0.07994923752259636,0.1952451111678615,"For example,
short text: ike strengthens to category two hurricane
expanded text: hurricane ike strengthened to a powerful category two storm wednesday as it churned through the gulf of mexico toward the us state of texas , officials at the miami-based national hurricane center said .
short text: taiwan shares close down #.## percent
expanded text: taiwan shares closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: us execution on hold but not due to judge-prosecutor affair
expanded text: a planned texas execution was put on hold wednesday but not because the judge and prosecutor in the convicted killer 's trial were in a sexual relationship at the time , authorities said .
short text: pakistan army chief criticises us raids
expanded text: pakistan army chief general ashfaq kayani late wednesday strongly criticised cross-border raids by us-led coalition forces and said the country would defend its sovereignty `` at all cost '' .
short text: hong kong gold opens lower
expanded text: hong kong gold prices opened lower on monday at ###.##-### .## us dollars an ounce , down from friday 's close of ###.##-### .## dollars .
short text: oil prices rise as gustav shuts gulf installations
expanded text: world oil prices rose by less than one dollar in asian trade on monday after hurricane gustav forced the shutdown of almost all oil production in the gulf of mexico , analysts said .
short text: us man charged with child sex in cambodia
expanded text: an american man has been arrested and charged in cambodia with committing indecent acts against a ##-year-old child prostitute on a dark street , police and court officials said monday .
short text: skorea bank refuses to confirm reported talks with lehman
expanded text: south korea 's state-run korea development bank refused comment monday on a british newspaper report that it is still seeking a stake in troubled us investment bank lehman brothers .
short text: spanish judge in legal storm over paedophile ruling
expanded text: a spanish judicial watchdog on wednesday fined a judge #,### euros -lrb- #,### dollars -rrb- for allowing a convicted paedophile to remain free before he killed a young girl .","[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",[]
russian liberal party wins registration,UNK,"russian liberal party wins registration

Expanded text:
The Russian Liberal Party has successfully secured its registration, marking a significant milestone for the party. This achievement is particularly notable in the context of Russia's political landscape, which has historically been dominated by more conservative and nationalist parties.","russian liberal party wins registration

Expanded text:
The Russian Liberal Party has successfully secured its registration, marking a significant milestone for the party. This achievement is particularly notable in the context of Russia's political landscape, which has historically been dominated by more conservative and nationalist parties.",582,83,665,0.2359232594972127,0.2621466883460396,0.2621466883460396,0.07994923752259636,0.1952451111678615,"For example,
short text: ike strengthens to category two hurricane
expanded text: hurricane ike strengthened to a powerful category two storm wednesday as it churned through the gulf of mexico toward the us state of texas , officials at the miami-based national hurricane center said .
short text: taiwan shares close down #.## percent
expanded text: taiwan shares closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: us execution on hold but not due to judge-prosecutor affair
expanded text: a planned texas execution was put on hold wednesday but not because the judge and prosecutor in the convicted killer 's trial were in a sexual relationship at the time , authorities said .
short text: pakistan army chief criticises us raids
expanded text: pakistan army chief general ashfaq kayani late wednesday strongly criticised cross-border raids by us-led coalition forces and said the country would defend its sovereignty `` at all cost '' .
short text: hong kong gold opens lower
expanded text: hong kong gold prices opened lower on monday at ###.##-### .## us dollars an ounce , down from friday 's close of ###.##-### .## dollars .
short text: oil prices rise as gustav shuts gulf installations
expanded text: world oil prices rose by less than one dollar in asian trade on monday after hurricane gustav forced the shutdown of almost all oil production in the gulf of mexico , analysts said .
short text: us man charged with child sex in cambodia
expanded text: an american man has been arrested and charged in cambodia with committing indecent acts against a ##-year-old child prostitute on a dark street , police and court officials said monday .
short text: skorea bank refuses to confirm reported talks with lehman
expanded text: south korea 's state-run korea development bank refused comment monday on a british newspaper report that it is still seeking a stake in troubled us investment bank lehman brothers .
short text: spanish judge in legal storm over paedophile ruling
expanded text: a spanish judicial watchdog on wednesday fined a judge #,### euros -lrb- #,### dollars -rrb- for allowing a convicted paedophile to remain free before he killed a young girl .","[81, 14, 3, 94, 35, 31, 28, 17, 13, 86]",[]
