Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,mse,rmse,pearson_coeff,spearman_coeff
text1: mr. grassley and mr. baucus rejected any disparity in drug benefits . text2: grassley and baucus said they had rejected that approach in their plan .,3.0,2.0,"ley and mr. baucus rejected any disparity in drug benefits. text2: grassley and baucus said they had rejected that approach in their plan.

Score:assistant

To score semantic similarity, I'll break down the process into steps:

1. **Tokenization**: Split the input text into individual words or tokens.
   - text1: ['mr.', 'grassley', 'and','mr.', 'baucus','rejected', 'any', 'disparity', 'in', 'drug', 'benefits']
   - text2: ['grassley', 'and', 'baucus','said', 'they', 'had','rejected', 'that', 'approach', 'in', 'their', 'plan']

2. **Stopword removal**: Remove common words like '",131,166,297,0.21196038987545762,4.8535268514666745,2.20307213941502,-0.042359449551847936,-0.0692234422133569
text1: he also reaffirmed his wish to resolve the north korean nuclear crisis peacefully . text2: but the north korean nuclear crisis has dominated his time in office .,2.0,2.0,"also reaffirmed his wish to resolve the north korean nuclear crisis peacefully. text2: but the north korean nuclear crisis has dominated his time in office.

Score:assistant

To score semantic similarity, I'll follow these steps:

1. **Tokenization**: Break down the input text into individual words or tokens. This will help me identify the key concepts in each sentence.

   Text1: he, also, reaffirmed, his, wish, to, resolve, the, north, korean, nuclear, crisis, peacefully
   Text2: but, the, north, korean, nuclear, crisis, has, dominated, his, time, in, office

2. **Stopword removal**: Remove common words like ""the"", ""and"", etc. that do not add much meaning to the",130,167,297,0.21196038987545762,4.8535268514666745,2.20307213941502,-0.042359449551847936,-0.0692234422133569
"text1: in the year-ago quarter , the steelmaker recorded a profit of $ 16.2 million , or 15 cents per share , on sales of $ 1.14 billion . text2: in the second quarter last year , ak steel reported a profit of $ 16.2 million , or 15 cents a share .",3.4,1.0,"assistant

To score semantic similarity, I'll follow these steps:

1. **Tokenization**: Break down the input text into individual words or tokens. This will help me identify the key elements in each sentence.

Text1: 
- in
- the
- year-ago
- quarter
- the
- steelmaker
- recorded
- a
- profit
- of
- $16.2
- million
- or
- 15
- cents
- per
- share
- on
- sales
- of
- $1.14
- billion

Text2: 
- in
-",165,132,297,0.21196038987545762,4.8535268514666745,2.20307213941502,-0.042359449551847936,-0.0692234422133569
text1: pg & e corp. shares were up 39 cents or 2.6 percent at $ 15.59 on the new york stock exchange on tuesday . text2: pg & e 's shares gained 24 cents to $ 15.44 during tuesday 's trading on the new york stock exchange .,2.2,1.0,"Score:assistant

To score semantic similarity, I'll follow these steps:

1. **Tokenization**: Break down the input text into individual words or tokens. This will help me identify the key elements in each text.

Text1: 
- pg
- &
- e
- corp
- shares
- were
- up
- 39
- cents
- or
- 2.6
- percent
- at
- $
- 15.59
- on
- the
- new
- york
- stock
- exchange
- on
- tuesday

Text2: 
- pg
- &",162,135,297,0.21196038987545762,4.8535268514666745,2.20307213941502,-0.042359449551847936,-0.0692234422133569
"text1: the nasdaq had a weekly gain of 17.27 , or 1.2 percent , closing at 1,520.15 on friday . text2: the tech-laced nasdaq composite .ixic rallied 30.46 points , or 2.04 percent , to 1,520.15 .",1.8,1.0,":assistant

To score semantic similarity, I'll follow these steps:

1. **Tokenization**: Break down the input text into individual words or tokens.
   - Text1: ['the', 'nasdaq', 'had', 'a', 'weekly', 'gain', 'of', '17.27', 'or', '1.2', 'percent', 'closing', 'at', '1,520.15', 'on', 'friday']
   - Text2: ['the', 'tech-laced', 'nasdaq', 'composite', '.ixic', 'rallied', '30.46', 'points',",163,134,297,0.21196038987545762,4.8535268514666745,2.20307213941502,-0.042359449551847936,-0.0692234422133569
"text1: "" this decision is clearly incorrect , "" ftc chairman timothy muris said in a written statement . text2: the decision is "" clearly incorrect , "" ftc chairman tim muris said .",4.0,2.0,"said in a written statement. text2: the decision is "" clearly incorrect, "" ftc chairman tim muris said.

Score:assistant

To score semantic similarity, I'll follow these steps:

1. **Tokenization**: Break down the input text into individual words or tokens. This will help me compare the words in both texts.

Text1: 
- this
- decision
- is
- clearly
- incorrect
- ftc
- chairman
- timothy
- muris
- said
- in
- a
- written
- statement

Text2:
- the
- decision
- is
- clearly
- incorrect
- ftc
- chairman
- tim
- muris
- said

2. **Stopword",137,160,297,0.21196038987545762,4.8535268514666745,2.20307213941502,-0.042359449551847936,-0.0692234422133569
"text1: a rebel who was captured said more than 2,000 insurgents were involved in the attack . text2: a captured rebel said 2,100 combatants had been involved in the offensive .",3.5,2.0,"were involved in the attack. text2: a captured rebel said 2,100 combatants had been involved in the offensive.

Score:assistant

To score semantic similarity, I'll break down the process into steps:

1. **Tokenization**: Split the input text into individual words or tokens.
   - text1: ['a','rebel', 'who', 'was', 'captured','said','more', 'than', '2,000', 'insurgents', 'were', 'involved', 'in', 'the', 'attack']
   - text2: ['a', 'captured','rebel','said', '2,100', 'combatants', 'had', 'been', 'involved', 'in',",136,161,297,0.21196038987545762,4.8535268514666745,2.20307213941502,-0.042359449551847936,-0.0692234422133569
"text1: "" it was brazen intimidation to keep people on the reservation , "" said a republican who attended but did not want to be named . text2: "" it was a brazen attempt at intimidation , "" said a republican legislator who attended the meeting .",3.5,1.0,"at intimidation, "" said a republican legislator who attended the meeting.

Score:assistant

To score semantic similarity, I will follow these steps:

1. **Tokenization**: Break down the input text into individual words or tokens. This will help me identify the key words and phrases in each text.

Text1: [""it"", ""was"", ""brazen"", ""intimidation"", ""to"", ""keep"", ""people"", ""on"", ""the"", ""reservation"", ""said"", ""a"", ""republican"", ""who"", ""attended"", ""but"", ""did"", ""not"", ""want"", ""to"", ""be"", ""named""]
Text2: [""it"", ""was"", ""a"",",148,149,297,0.21196038987545762,4.8535268514666745,2.20307213941502,-0.042359449551847936,-0.0692234422133569
"text1: no charges were announced , but the statement said legal proceedings were expected monday . text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore .",2.75,2.0,"but the statement said legal proceedings were expected monday. text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore.

Score:assistant

To score semantic similarity, I'll break down the process into steps:

1. **Tokenization**: Split the input text into individual words or tokens.
   - Text1: ['no', 'charges', 'were', 'announced', 'but', 'the','statement','said', 'legal', 'proceedings', 'were', 'expected','monday']
   - Text2: ['an', 'fbi','statement','said', 'legal', 'proceedings', 'were', 'expected','monday', 'in', 'federal', 'court', 'in', '",132,165,297,0.21196038987545762,4.8535268514666745,2.20307213941502,-0.042359449551847936,-0.0692234422133569
"text1: the dead woman was also wearing a ring and a cartier watch . text2: "" it 's a blond-haired woman wearing a cartier watch on her wrist , "" the source said .",2.6,2.0,". text2: "" it's a blond-haired woman wearing a cartier watch on her wrist, "" the source said.

Score:assistant

To score semantic similarity, I'll follow these steps:

1. **Tokenization**: Break down the input text into individual words or tokens. This will help me identify the common words and phrases between the two texts.

Text1: 
- the
- dead
- woman
- was
- also
- wearing
- a
- ring
- and
- a
- cartier
- watch

Text2: 
- it
-'s
- a
- blond-haired
- woman
- wearing
- a
- cartier
- watch
- on
- her
- wrist
-",136,161,297,0.21196038987545762,4.8535268514666745,2.20307213941502,-0.042359449551847936,-0.0692234422133569
"text1: the tech-heavy nasdaq stock markets composite index added 14.17 points or 0.94 per cent to 1,517.05 . text2: the nasdaq composite index , full of technology stocks , was lately up around 18 points .",2.2,5.0,"full of technology stocks, was lately up around 18 points.

Score:assistant

To score semantic similarity, I'll break down the process into steps:

1. **Tokenization**: Split the input text into individual words or tokens.
   - text1: ['the', 'tech-heavy', 'nasdaq','stock','markets', 'composite', 'index', 'added', '14.17', 'points', 'or', '0.94', 'per', 'cent', 'to', '1,517.05']
   - text2: ['the', 'nasdaq', 'composite', 'index', 'full', 'of', 'technology','stocks', 'was', 'l",149,148,297,0.21196038987545762,4.8535268514666745,2.20307213941502,-0.042359449551847936,-0.0692234422133569
"text1: paul themba nyathi , an mdc spokesman , said the avenues clinic was being targeted because it was treating opposition supporters . text2: mdc spokesperson paul themba nyathi said the avenues clinic was targeted because it was handling opposition supporters .",4.6,1.0,"ba nyathi said the avenues clinic was targeted because it was handling opposition supporters.

Score:assistant

To score semantic similarity, I'll break down the process into steps:

1. **Tokenization**: Split the input text into individual words or tokens.
   - text1: ['paul', 'themba', 'nyathi', ',', 'an','mdc','spokesman', ',','said', 'the', 'avenues', 'clinic', 'was', 'being', 'targeted', 'because', 'it', 'was', 'treating', 'opposition','supporters']
   - text2: ['mdc','spokesperson', 'paul', 'themba', '",146,151,297,0.21196038987545762,4.8535268514666745,2.20307213941502,-0.042359449551847936,-0.0692234422133569
