Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,accuracy,macro_f1,in_context,context_indices,retrieval_scores
im feeling rather rotten so im not very ambitious right now,sadness,sadness,": i feel times less bitchy
label: anger

Target input text:
im feeling rather rotten so im not very ambitious right now

Label:
sadness",384,35,419,0.046289832123875385,0.62,0.62,0.5473596298627968,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
im updating my blog because i feel shitty,sadness,sadness,"label: surprise
input text: i feel times less bitchy
label: anger

Target input text:
im updating my blog because i feel shitty

Label:
sadness",381,38,419,0.046289832123875385,0.62,0.62,0.5473596298627968,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness,love,"me because i don t ever want her to feel like i m ashamed with her

Label:
love",395,24,419,0.046289832123875385,0.62,0.62,0.5473596298627968,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy,joy,"red and yellow tulips under my arm feeling slightly more optimistic than when i arrived

Label:
joy",395,24,419,0.046289832123875385,0.62,0.62,0.5473596298627968,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i was feeling a little vain when i did this one,sadness,joy,": i feel times less bitchy
label: anger

Target input text:
i was feeling a little vain when i did this one

Label:
joy",384,35,419,0.046289832123875385,0.62,0.62,0.5473596298627968,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i cant walk into a shop anywhere where i do not feel uncomfortable,fear,fear,"less bitchy
label: anger

Target input text:
i cant walk into a shop anywhere where i do not feel uncomfortable

Label:
fear",386,33,419,0.046289832123875385,0.62,0.62,0.5473596298627968,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i felt anger when at the end of a telephone call,anger,anger,": i feel times less bitchy
label: anger

Target input text:
i felt anger when at the end of a telephone call

Label:
anger",384,35,419,0.046289832123875385,0.62,0.62,0.5473596298627968,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy,sadness,sadness,415,4,419,0.046289832123875385,0.62,0.62,0.5473596298627968,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i like to have the same breathless feeling as a reader eager to see what will happen next,joy,joy,"i like to have the same breathless feeling as a reader eager to see what will happen next

Label:
joy",392,27,419,0.046289832123875385,0.62,0.62,0.5473596298627968,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,anger,sadness,"the summer

Label:
sadness",409,10,419,0.046289832123875385,0.62,0.62,0.5473596298627968,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
