Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL,in_context,context_indices,retrieval_scores
nec UNK in computer sales tie-up,japan 's nec corp. and UNK computer corp. of the united states said wednesday they had agreed to join forces in supercomputer sales .,"av as it slammed into the us gulf coast, dealers said.
short text: philippine shares close little changed
expanded text: philippine share prices closed little changed monday as investors awaited the impact on oil prices from hurricane gustav as it slammed into the us gulf coast, dealers said.

Target short text:
nec UNK in computer sales tie-up

Expanded text:assistant

japanese electronics firm nec corporation announced plans wednesday to form a tie-up with a major computer manufacturer, in a move aimed at boosting its presence in the global pc market.","av as it slammed into the us gulf coast, dealers said.
short text: philippine shares close little changed
expanded text: philippine share prices closed little changed monday as investors awaited the impact on oil prices from hurricane gustav as it slammed into the us gulf coast, dealers said.

Target short text:
nec UNK in computer sales tie-up

Expanded text:assistant

japanese electronics firm nec corporation announced plans wednesday to form a tie-up with a major computer manufacturer, in a move aimed at boosting its presence in the global pc market.",574,143,717,0.18599266206365428,0.24563165956225327,0.24563165956225327,0.07425643823581639,0.17784922932318023,"For example,
short text: eon says sorry for joke over profitability of cold winter
expanded text: energy firm eon uk , which is owned by german power giant eon , apologised on wednesday after one of its senior executives joked that a harsh winter would mean `` more money for us '' .
short text: malaysia markets closed for holiday
expanded text: malaysia 's financial markets are closed on monday for a public holiday .
short text: hong kong shares open #.# pct lower
expanded text: hong kong share prices were down #.# percent on monday , tracking wall street 's fall on friday , dealers said .
short text: lehman bros to sell off assets amid fresh losses
expanded text: ailing investment bank lehman brothers announced plans wednesday to sell off key assets to shore up its finances as it posted more hefty losses linked to the us subprime real estate crisis .
short text: UNK pollster sees decisive obama win
expanded text: a pollster whose mathematical model has correctly predicted every winner of the white house popular vote since #### is banking on a decisive victory for democrat barack obama in november .
short text: osce calls for cooperation in fight against human trafficking
expanded text: the organization for security and cooperation in europe -lrb- osce -rrb- , a european security body , urged wednesday its ## member states to intensify efforts to crack down on human trafficking .
short text: south korea 's new parliament finally opens
expanded text: south korea 's new parliament began its first regular session monday after months of delays , with the conservative party eager to push through a pro-business agenda after a decade of rule by liberal presidents .
short text: skorean stocks close #.# percent lower
expanded text: south korean shares closed #.# percent lower monday following steep losses on wall street and the won 's continued decline against the dollar , analysts said .
short text: philippine shares close little changed
expanded text: philippine share prices closed little changed monday as investors awaited the impact on oil prices from hurricane gustav as it slammed into the us gulf coast , dealers said .
short text: philippine shares close little changed
expanded text: philippine share prices closed little changed monday as investors awaited the impact on oil prices from hurricane gustav as it slammed into the us gulf coast , dealers said .","[36, 34, 25, 61, 39, 55, 16, 12, 18, 21]","[0.1854167878627777, 0.184904545545578, 0.1829557716846466, 0.182210773229599, 0.17624591290950775, 0.17496541142463684, 0.165340393781662, 0.15333601832389832, 0.14930017292499542, 0.14930017292499542]"
sri lanka closes schools as war escalates,the sri lankan government on wednesday announced the closure of government schools with immediate effect as a military campaign against tamil separatists escalated in the north of the country .,"were killed in a suspected bomb attack on a passenger bus in the strife-torn southern philippines on monday, the military said.
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices, dealers said.

Target short text:
sri lanka closes schools as war escalates

Expanded text:assistant

sri lankan authorities on monday ordered the closure of schools across the country as the conflict between government forces and tamil tiger rebels escalated into a full-blown war.","were killed in a suspected bomb attack on a passenger bus in the strife-torn southern philippines on monday, the military said.
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices, dealers said.

Target short text:
sri lanka closes schools as war escalates

Expanded text:assistant

sri lankan authorities on monday ordered the closure of schools across the country as the conflict between government forces and tamil tiger rebels escalated into a full-blown war.",570,147,717,0.18599266206365428,0.24563165956225327,0.24563165956225327,0.07425643823581639,0.17784922932318023,"For example,
short text: malaysia markets closed for holiday
expanded text: malaysia 's financial markets are closed on monday for a public holiday .
short text: bolivia president orders us envoy expelled
expanded text: bolivian president evo morales on wednesday declared the us ambassador to la paz `` persona non grata , '' accusing the envoy of encouraging the breakup of the country by promoting separatism .
short text: bolivia president orders us envoy expelled
expanded text: bolivian president evo morales on wednesday declared the us ambassador to la paz `` persona non grata , '' accusing the envoy of encouraging the breakup of the country by promoting separatism .
short text: bolivia orders us ambassador out warns of civil war
expanded text: president evo morales of bolivia on wednesday ordered the us ambassador expelled , accusing him of contributing to divisions in the country which the government warned was headed towards `` civil war .
short text: tuareg rebels in mali free last hostages
expanded text: tuareg rebel chief ibrahim ag bahanga has released the last ## hostages held by his renegade group in the north of mali , the government has said , in an important step forward towards peace .
short text: new zealand stocks close #.## percent higher
expanded text: new zealand share prices closed #.## percent higher monday in subdued trading ahead of a us holiday , dealers said .
short text: philippines limits operations against muslim rebels as ramadan starts
expanded text: philippine troops on monday pursued limited operations against muslim rebel leaders accused of murder but said they were not hunting all the insurgents as the large islamic minority observed the holy month of ramadan .
short text: south korea 's new parliament finally opens
expanded text: south korea 's new parliament began its first regular session monday after months of delays , with the conservative party eager to push through a pro-business agenda after a decade of rule by liberal presidents .
short text: at least two dead in southern philippines blast
expanded text: at least two people were killed in a suspected bomb attack on a passenger bus in the strife-torn southern philippines on monday , the military said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .","[34, 48, 52, 42, 51, 10, 24, 16, 1, 6]","[0.28421491384506226, 0.2510477304458618, 0.2510477304458618, 0.25036200881004333, 0.23990873992443085, 0.23557092249393463, 0.23382583260536194, 0.21917295455932617, 0.2138851284980774, 0.20182713866233826]"
protesters target french research ship,"police arrested five anti-nuclear protesters thursday after they sought to disrupt loading of a french antarctic research and supply vessel , a spokesman for the protesters said .","crack down on human trafficking.

Target short text:
protesters target french research ship

Expanded text:assistant

protesters in the french southern territory of reunion island targeted a french research ship on wednesday, objecting to the vessel's presence in the indian ocean.","crack down on human trafficking.

Target short text:
protesters target french research ship

Expanded text:assistant

protesters in the french southern territory of reunion island targeted a french research ship on wednesday, objecting to the vessel's presence in the indian ocean.",632,85,717,0.18599266206365428,0.24563165956225327,0.24563165956225327,0.07425643823581639,0.17784922932318023,"For example,
short text: france seeks european shared vision for arctic issues
expanded text: france , which holds the european union presidency , called wednesday for a joint european approach to resolving the challenges in the arctic , a region on the front lines of global warming .
short text: retrial ordered in britain over alleged transatlantic bomb plot
expanded text: seven men suspected of plotting to blow up airliners over the atlantic ocean in #### face a retrial , prosecutors said wednesday , after a jury in london failed to reach verdicts .
short text: yemen steps up measures to fight maritime piracy
expanded text: yemen has stepped up measures to combat piracy off its coast , deploying troops in the gulf of aden and planning three centres to fight somali pirates , official sources said on wednesday .
short text: israel says it foiled attacks abroad
expanded text: israel has recently foiled at least two attacks against its citizens abroad with the help of foreign security services , defense minister ehud barak said on wednesday .
short text: spain 's colonial posts #.## billion euro loss
expanded text: spanish property group colonial , struggling under huge debts , announced losses of #.## billion euros for the first half of #### which it blamed on asset depreciation .
short text: pentagon cancels tanker contest amid charged politics
expanded text: the pentagon canceled a ## billion-dollar competition for a new aerial refueling tanker wednesday , leaving the politically charged decision for one of its biggest military contracts to a new administration .
short text: us catholic bishops condemn us immigration raids
expanded text: us roman catholic bishops on wednesday charged that immigration raids on us workplaces break up families and disrupt communities , without addressing the country 's flawed immigration system .
short text: algeria adopts #### finance bill with oil put at ## dollars a barrel
expanded text: the algerian cabinet chaired by president abdelaziz bouteflika on sunday adopted the #### finance bill predicated on an oil price of ## dollars a barrel and a growth rate of #.# percent , it was announced here .
short text: russia 's lavrov in poland to discuss us missile shield georgia
expanded text: russian foreign minister sergei lavrov arrived wednesday in the polish capital warsaw for his first visit to an eu member state since the georgia conflict erupted just over a month ago .
short text: osce calls for cooperation in fight against human trafficking
expanded text: the organization for security and cooperation in europe -lrb- osce -rrb- , a european security body , urged wednesday its ## member states to intensify efforts to crack down on human trafficking .","[68, 64, 95, 87, 7, 85, 37, 20, 56, 55]","[0.3697509169578552, 0.2849675714969635, 0.27529340982437134, 0.26076850295066833, 0.2332119643688202, 0.2177756428718567, 0.21036207675933838, 0.19912615418434143, 0.19008082151412964, 0.17996500432491302]"
us september factory orders up #.# percent,"factory orders for manufactured goods rose #.# percent in september , the commerce department said here thursday .","by prospects of recession in the eurozone, fell to an ##-month low of #.#### dollars in volatile trade wednesday, its lowest reading since october #, ####.
short text: euro falls below #.## dlrs on eurozone recession fears
expanded text: the euro, weakened by prospects of recession in the eurozone, fell below #.## dollars for the first time in a year wednesday.

Target short text:
us september factory orders up #.# percent

Expanded text:assistant

us september factory orders rose #.# percent, beating expectations and indicating a strengthening in the us manufacturing sector, analysts said.","by prospects of recession in the eurozone, fell to an ##-month low of #.#### dollars in volatile trade wednesday, its lowest reading since october #, ####.
short text: euro falls below #.## dlrs on eurozone recession fears
expanded text: the euro, weakened by prospects of recession in the eurozone, fell below #.## dollars for the first time in a year wednesday.

Target short text:
us september factory orders up #.# percent

Expanded text:assistant

us september factory orders rose #.# percent, beating expectations and indicating a strengthening in the us manufacturing sector, analysts said.",551,166,717,0.18599266206365428,0.24563165956225327,0.24563165956225327,0.07425643823581639,0.17784922932318023,"For example,
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: taiwan shares close down #.## percent
expanded text: taiwan share prices closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: taiwan shares close down #.## percent
expanded text: taiwan shares closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: new zealand stocks close #.## percent higher
expanded text: new zealand share prices closed #.## percent higher monday in subdued trading ahead of a us holiday , dealers said .
short text: euro falls below #.## dlrs on recession fears
expanded text: the euro fell below #.## dollars for the first time in almost a year wednesday as investors sought a safer haven from recession fears in the eurozone and oil prices fell on demand worries .
short text: skorean stocks close #.# percent lower
expanded text: south korean shares closed #.# percent lower monday following steep losses on wall street and the won 's continued decline against the dollar , analysts said .
short text: hong kong shares end morning #.# pct down
expanded text: hong kong share prices ended monday morning #.# percent down , tracking wall street weakness friday , dealers said .
short text: euro falls to ##-month low of #.#### dollars
expanded text: the euro , weakened by prospects of recession in the eurozone , fell to an ##-month low of #.#### dollars in volatile trade wednesday , its lowest reading since october # , #### .
short text: euro falls below #.## dlrs on eurozone recession fears
expanded text: the euro , weakened by prospects of recession in the eurozone , fell below #.## dollars for the first time in a year wednesday .","[2, 6, 5, 14, 10, 43, 12, 19, 92, 58]","[0.4310639500617981, 0.4310639500617981, 0.4088517427444458, 0.4088517427444458, 0.40694892406463623, 0.31526637077331543, 0.31195148825645447, 0.29772546887397766, 0.2915695905685425, 0.2899695634841919]"
bank of UNK UNK for calm in financial markets,the bank of japan appealed to financial markets to remain calm friday following the us decision to order daiwa bank ltd. to close its us operations .,"south korea's inflation rate slowed slightly in august as oil and commodity prices showed signs of stabilising, the national statistical office said monday.

Target short text:
bank of UNK UNK for calm in financial markets

Expanded text:assistant

bank of england urged investors to remain calm in financial markets","south korea's inflation rate slowed slightly in august as oil and commodity prices showed signs of stabilising, the national statistical office said monday.

Target short text:
bank of UNK UNK for calm in financial markets

Expanded text:assistant

bank of england urged investors to remain calm in financial markets",605,112,717,0.18599266206365428,0.24563165956225327,0.24563165956225327,0.07425643823581639,0.17784922932318023,"For example,
short text: wall street struggles higher lehman in focus
expanded text: us stocks wobbled higher wednesday as investors mulled troubled investment giant lehman brothers 's news of hefty losses and plans to sell assets to shore up its finances .
short text: wall street struggles higher lehman in focus
expanded text: us stocks wobbled higher wednesday as investors mulled troubled investment giant lehman brothers 's news of hefty losses and plans to sell assets to shore up its finances .
short text: un prosecutor carefully optimistic on mladic arrest
expanded text: un prosecutor serge brammertz expressed `` careful optimism '' here wednesday about belgrade 's efforts to arrest bosnian serb war crimes fugitive ratko mladic on a visit crucial for serbia 's eu aspirations .
short text: eon says sorry for joke over profitability of cold winter
expanded text: energy firm eon uk , which is owned by german power giant eon , apologised on wednesday after one of its senior executives joked that a harsh winter would mean `` more money for us '' .
short text: lehman bros to sell off assets amid fresh losses
expanded text: ailing investment bank lehman brothers announced plans wednesday to sell off key assets to shore up its finances as it posted more hefty losses linked to the us subprime real estate crisis .
short text: un 's top aid official arrives in drought-hit ethiopia
expanded text: the united nations ' humanitarian chief john holmes arrived in ethiopia monday to tour regions affected by drought , which has left some eight million people in need of urgent food aid .
short text: kadhafi promises wide political economic reforms
expanded text: libyan leader moamer kadhafi monday promised wide political and economic reforms that he said would see ministries dismantled and oil revenues going directly into the pockets of the people .
short text: skorean stocks sharply lower in morning session
expanded text: south korean shares fell sharply late monday morning following wall street 's steep friday losses and the won 's continued decline against the dollar , analysts said .
short text: skorean stocks close #.# percent lower
expanded text: south korean shares closed #.# percent lower monday following steep losses on wall street and the won 's continued decline against the dollar , analysts said .
short text: skorea 's inflation rate slows slightly in august
expanded text: south korea 's inflation rate slowed slightly in august as oil and commodity prices showed signs of stabilising , the national statistical office said monday .","[63, 69, 98, 36, 61, 9, 8, 23, 12, 15]","[0.2656819522380829, 0.2656819522380829, 0.26535576581954956, 0.24769039452075958, 0.21690773963928223, 0.21520784497261047, 0.21452754735946655, 0.20806467533111572, 0.20714488625526428, 0.20404085516929626]"
rebel serb talks to resume saturday : tudjman by peter UNK,"croatian president franjo tudjman said friday croatian and serb negotiators would meet saturday to thrash out an agreement on the last serb-held area in croatia , under a deal reached at us-brokered talks .","bel serb talks to resume saturday : tudjman by peter UNK

Expanded text:assistant

rebel serb talks to resume saturday : croatian president franjo tudjman will meet bosnian serb leader radovan karadzic in a bid to revive the stalled peace process, the united nations said friday, with the talks set to begin saturday.","bel serb talks to resume saturday : tudjman by peter UNK

Expanded text:assistant

rebel serb talks to resume saturday : croatian president franjo tudjman will meet bosnian serb leader radovan karadzic in a bid to revive the stalled peace process, the united nations said friday, with the talks set to begin saturday.",633,84,717,0.18599266206365428,0.24563165956225327,0.24563165956225327,0.07425643823581639,0.17784922932318023,"For example,
short text: tuareg rebels in mali free last hostages
expanded text: tuareg rebel chief ibrahim ag bahanga has released the last ## hostages held by his renegade group in the north of mali , the government has said , in an important step forward towards peace .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: no deal yet but mugabe hopes for zimbabwe deal thursday
expanded text: the second day of negotiations on power-sharing in zimbabwe ended wednesday without a deal , but president robert mugabe said participants will `` hopefully '' reach an accord thursday .
short text: southern african summit deferred amid hopes of zimbabwe pact
expanded text: a southern african security summit due to begin wednesday was deferred by a day amid speculation that zimbabwe 's political rivals could finally ink a long awaited power-sharing deal .
short text: both mugabe and tsvangirai hint zimbabwe deal is close
expanded text: negotiations on power-sharing in zimbabwe ended wednesday without a deal , but both president robert mugabe and opposition leader morgan tsvangirai hinted that agreement is very close .
short text: both mugabe and tsvangirai hint zimbabwe deal is close
expanded text: negotiations on power-sharing in zimbabwe ended wednesday without a deal , but both president robert mugabe and opposition leader morgan tsvangirai hinted that agreement is very close .
short text: kadhafi promises wide political economic reforms
expanded text: libyan leader moamer kadhafi monday promised wide political and economic reforms that he said would see ministries dismantled and oil revenues going directly into the pockets of the people .
short text: south korea 's new parliament finally opens
expanded text: south korea 's new parliament began its first regular session monday after months of delays , with the conservative party eager to push through a pro-business agenda after a decade of rule by liberal presidents .
short text: eu to question relations with russia at emergency summit
expanded text: european union leaders will put the bloc 's relations with moscow under scrutiny at an emergency summit on monday , although sanctions against russia are not in the cards .
short text: boeing strike in fifth day ; no talks scheduled
expanded text: the machinists union strike against boeing entered a fifth day wednesday with no sign of a resumption of contract talks on the horizon , both sides said .","[51, 3, 74, 97, 59, 70, 8, 16, 32, 80]","[0.35490652918815613, 0.3188204765319824, 0.30978983640670776, 0.286292165517807, 0.27445152401924133, 0.27445152401924133, 0.26655369997024536, 0.23860779404640198, 0.2236466407775879, 0.20188330113887787]"
toyota are banned for a year,japan 's toyota team europe were banned from the world rally championship for one year here on friday in a crushing ruling by the world council of the international automobile federation -lrb- fia -rrb- .,"said they were not hunting all the insurgents as the large islamic minority observed the holy month of ramadan.

Target short text:
toyota are banned for a year

Expanded text:assistant

toyota and its top executives were banned from the european market for a year by the european commission on wednesday after the japanese carmaker was found guilty of price fixing.","said they were not hunting all the insurgents as the large islamic minority observed the holy month of ramadan.

Target short text:
toyota are banned for a year

Expanded text:assistant

toyota and its top executives were banned from the european market for a year by the european commission on wednesday after the japanese carmaker was found guilty of price fixing.",616,101,717,0.18599266206365428,0.24563165956225327,0.24563165956225327,0.07425643823581639,0.17784922932318023,"For example,
short text: eon says sorry for joke over profitability of cold winter
expanded text: energy firm eon uk , which is owned by german power giant eon , apologised on wednesday after one of its senior executives joked that a harsh winter would mean `` more money for us '' .
short text: texas girds for the worst as deadly ike closes in
expanded text: texas authorities ordered coastal evacuations wednesday as deadly hurricane ike strengthened to a category two storm in the gulf of mexico and headed toward the southern us coast after ravaging cuba and the caribbean .
short text: texas girds for the worst as deadly ike closes in
expanded text: president george w. bush declared an emergency in texas and state authorities began ordering evacuations as deadly hurricane ike , which strengthened wednesday to a powerful category two storm , churned in the gulf of mexico toward the us state .
short text: pentagon cancels tanker contest amid charged politics
expanded text: the pentagon canceled a ## billion-dollar competition for a new aerial refueling tanker wednesday , leaving the politically charged decision for one of its biggest military contracts to a new administration .
short text: spain 's colonial posts #.## billion euro loss
expanded text: spanish property group colonial , struggling under huge debts , announced losses of #.## billion euros for the first half of #### which it blamed on asset depreciation .
short text: malaysia markets closed for holiday
expanded text: malaysia 's financial markets are closed on monday for a public holiday .
short text: israel says it foiled attacks abroad
expanded text: israel has recently foiled at least two attacks against its citizens abroad with the help of foreign security services , defense minister ehud barak said on wednesday .
short text: russia denies it controls s ossetia abkhazia in un court hearing
expanded text: russia on wednesday denied claims before the un 's highest court that it exercised effective control over the georgian rebel regions of south ossetia and abkhazia .
short text: belarus opposition accuses west over upcoming election
expanded text: western countries will turn a blind eye to fraud in next month 's legislative election and recognize a win for the outgoing authoritarian regime , a major opposition party leader said wednesday .
short text: philippines limits operations against muslim rebels as ramadan starts
expanded text: philippine troops on monday pursued limited operations against muslim rebel leaders accused of murder but said they were not hunting all the insurgents as the large islamic minority observed the holy month of ramadan .","[36, 49, 79, 85, 7, 34, 87, 96, 38, 24]","[0.21215033531188965, 0.17558416724205017, 0.17558416724205017, 0.17362640798091888, 0.1730218231678009, 0.17166078090667725, 0.17019617557525635, 0.16651780903339386, 0.15986007452011108, 0.15392044186592102]"
israel prepares jerusalem state funeral for rabin,"israel prepared sunday for prime minister yitzhak rabin 's state funeral which will be attended by a host of world leaders , including us president bill clinton and the jordanian and egyptian heads of state .","gulf waters.
short text: moderate quake rocks new zealand
expanded text: a moderate earthquake measuring #.# on the richter scale rattled the central north island of new zealand monday but there were no early reports of casualties or significant damage, scientists said.

Target short text:
israel prepares jerusalem state funeral for rabin

Expanded text:assistant

israel is preparing a state funeral in jerusalem for prime minister yitzhak rabin, who was assassinated on friday, officials said.","gulf waters.
short text: moderate quake rocks new zealand
expanded text: a moderate earthquake measuring #.# on the richter scale rattled the central north island of new zealand monday but there were no early reports of casualties or significant damage, scientists said.

Target short text:
israel prepares jerusalem state funeral for rabin

Expanded text:assistant

israel is preparing a state funeral in jerusalem for prime minister yitzhak rabin, who was assassinated on friday, officials said.",581,136,717,0.18599266206365428,0.24563165956225327,0.24563165956225327,0.07425643823581639,0.17784922932318023,"For example,
short text: israel troops kill palestinian in west bank raid
expanded text: israeli troops opened fire and killed a palestinian during a raid in the northern west bank city of nablus on wednesday , security officials said .
short text: military helicopter crashes in israel
expanded text: an israeli military helicopter with a two-man crew crashed near the northern town of afula and burst into flames on wednesday , army radio said .
short text: south africa to host miss world pageant
expanded text: south africa has won its bid to host the miss world beauty pageant after the contest was moved from ukraine over safety concerns in neighbouring georgia , an official said wednesday .
short text: six dead as powerful quake hits southern iran
expanded text: a powerful earthquake jolted southern iran on wednesday , killing six people , and damaging scores of homes on a resort island in strategic gulf waters .
short text: israel says it foiled attacks abroad
expanded text: israel has recently foiled at least two attacks against its citizens abroad with the help of foreign security services , defense minister ehud barak said on wednesday .
short text: un 's top aid official arrives in drought-hit ethiopia
expanded text: the united nations ' humanitarian chief john holmes arrived in ethiopia monday to tour regions affected by drought , which has left some eight million people in need of urgent food aid .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: five dead as powerful quake hits southern iran
expanded text: a powerful earthquake jolted southern iran on wednesday , killing five people , and damaging scores of homes on a resort island in strategic gulf waters .
short text: five dead as powerful quake hits southern iran
expanded text: a powerful earthquake jolted southern iran on wednesday , killing five people , and damaging scores of homes on a resort island in strategic gulf waters .
short text: moderate quake rocks new zealand
expanded text: a moderate earthquake measuring #.# on the richter scale rattled the central north island of new zealand monday but there were no early reports of casualties or significant damage , scientists said .","[83, 77, 91, 62, 87, 9, 3, 84, 93, 27]","[0.2989997863769531, 0.26982954144477844, 0.20369499921798706, 0.20271646976470947, 0.20191141963005066, 0.18585127592086792, 0.1769261509180069, 0.1715676635503769, 0.1715676635503769, 0.16665306687355042]"
indian pm 's announcement on kashmir polls autonomy sparks outrage,indian prime minister p.v. narasimha rao 's promise of more autonomy for troubled kashmir and his plea for early state elections has sparked a violent reaction from provincial moslem and opposition parties .,"with no sign of a resumption of contract talks on the horizon, both sides said.

Target short text:
indian pm's announcement on kashmir polls autonomy sparks outrage

Expanded text:assistant

indian prime minister manmohan singh's announcement on granting autonomy to kashmir through the upcoming polls sparked widespread outrage among separatist groups and opposition parties wednesday.","with no sign of a resumption of contract talks on the horizon, both sides said.

Target short text:
indian pm's announcement on kashmir polls autonomy sparks outrage

Expanded text:assistant

indian prime minister manmohan singh's announcement on granting autonomy to kashmir through the upcoming polls sparked widespread outrage among separatist groups and opposition parties wednesday.",613,104,717,0.18599266206365428,0.24563165956225327,0.24563165956225327,0.07425643823581639,0.17784922932318023,"For example,
short text: kadhafi promises wide political economic reforms
expanded text: libyan leader moamer kadhafi monday promised wide political and economic reforms that he said would see ministries dismantled and oil revenues going directly into the pockets of the people .
short text: canada 's pm affirms #### afghanistan pullout
expanded text: the bulk of canada 's troops in afghanistan will not remain there past a #### pullout date set earlier this year , prime minister stephen harper said wednesday .
short text: pakistan army chief criticises us raids
expanded text: pakistan army chief general ashfaq kayani wednesday strongly criticised cross - border raids by us-led coalition forces and said the country would defend its sovereignty `` at all cost '' .
short text: pakistan army chief criticises us raids
expanded text: pakistan army chief general ashfaq kayani wednesday strongly criticised cross - border raids by us-led coalition forces and said the country would defend its sovereignty `` at all cost '' .
short text: pakistan army chief criticises us raids
expanded text: pakistan army chief general ashfaq kayani late wednesday strongly criticised cross-border raids by us-led coalition forces and said the country would defend its sovereignty `` at all cost '' .
short text: retrial ordered in britain over alleged transatlantic bomb plot
expanded text: seven men suspected of plotting to blow up airliners over the atlantic ocean in #### face a retrial , prosecutors said wednesday , after a jury in london failed to reach verdicts .
short text: philippines limits operations against muslim rebels as ramadan starts
expanded text: philippine troops on monday pursued limited operations against muslim rebel leaders accused of murder but said they were not hunting all the insurgents as the large islamic minority observed the holy month of ramadan .
short text: UNK pollster sees decisive obama win
expanded text: a pollster whose mathematical model has correctly predicted every winner of the white house popular vote since #### is banking on a decisive victory for democrat barack obama in november .
short text: british pm denies backing obama in magazine article
expanded text: british prime minister gordon brown denied wednesday favoring either barack obama or john mccain in the us presidential race , despite writing an article in which he appeared to back the democrats .
short text: boeing strike in fifth day ; no talks scheduled
expanded text: the machinists union strike against boeing entered a fifth day wednesday with no sign of a resumption of contract talks on the horizon , both sides said .","[8, 99, 53, 57, 35, 64, 24, 39, 66, 80]","[0.4190520644187927, 0.32768160104751587, 0.26702427864074707, 0.26702427864074707, 0.26702427864074707, 0.22473573684692383, 0.2228008657693863, 0.2131112515926361, 0.20951761305332184, 0.20627856254577637]"
russian liberal party wins registration,UNK,"into the pockets of the people.

Target short text:
russian liberal party wins registration

Expanded text:assistant

russia's liberal party, a key opposition force, on wednesday won registration with the authorities, a major hurdle cleared in its bid to challenge the ruling party in parliamentary elections next year.","into the pockets of the people.

Target short text:
russian liberal party wins registration

Expanded text:assistant

russia's liberal party, a key opposition force, on wednesday won registration with the authorities, a major hurdle cleared in its bid to challenge the ruling party in parliamentary elections next year.",632,85,717,0.18599266206365428,0.24563165956225327,0.24563165956225327,0.07425643823581639,0.17784922932318023,"For example,
short text: russian soldiers pack bags in western georgia
expanded text: in villages in western georgia , russian soldiers are packing up to leave , rolling up barbed wire and removing equipment , but the process is anything but fast , residents said wednesday .
short text: belarus opposition accuses west over upcoming election
expanded text: western countries will turn a blind eye to fraud in next month 's legislative election and recognize a win for the outgoing authoritarian regime , a major opposition party leader said wednesday .
short text: russia denies it controls s ossetia abkhazia in un court hearing
expanded text: russia on wednesday denied claims before the un 's highest court that it exercised effective control over the georgian rebel regions of south ossetia and abkhazia .
short text: eu to question relations with russia at emergency summit
expanded text: european union leaders will put the bloc 's relations with moscow under scrutiny at an emergency summit on monday , although sanctions against russia are not in the cards .
short text: georgia accuses russia of breaking truce
expanded text: georgia said one of its policemen was shot dead from a russian position wednesday in violation of a fragile truce , as a major crack appeared in the eu - brokered ceasefire over the remit of eu observers .
short text: russia 's lavrov in poland to discuss us missile shield georgia
expanded text: russian foreign minister sergei lavrov arrived wednesday in the polish capital warsaw for his first visit to an eu member state since the georgia conflict erupted just over a month ago .
short text: UNK pollster sees decisive obama win
expanded text: a pollster whose mathematical model has correctly predicted every winner of the white house popular vote since #### is banking on a decisive victory for democrat barack obama in november .
short text: russia urges nato ambassadors to cancel georgia visit
expanded text: russia 's envoy to nato urged nations in the military alliance on wednesday to cancel a visit to georgia by their ambassadors planned for next week .
short text: turkey azerbaijan talk up ties after armenia visit
expanded text: turkish president abdullah gul and his azerbaijani counterpart ilham aliyev on wednesday stressed `` friendly relations '' following gul 's visit to azerbaijan 's arch-enemy armenia last week .
short text: kadhafi promises wide political economic reforms
expanded text: libyan leader moamer kadhafi monday promised wide political and economic reforms that he said would see ministries dismantled and oil revenues going directly into the pockets of the people .","[71, 38, 96, 32, 65, 56, 39, 78, 76, 8]","[0.3066803812980652, 0.3051852583885193, 0.3045708239078522, 0.26664695143699646, 0.22989368438720703, 0.20741409063339233, 0.19757255911827087, 0.193200021982193, 0.18446582555770874, 0.1664731800556183]"
