Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,bleu,chrf,sv_initial_raw,sv_verified_raw
上周，古装剧《美人私房菜》临时停播，意外引发了关于国产剧收视率造假的热烈讨论。,"Last week, the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.",", which unexpectedly sparked a heated discussion about the fabrication of viewership ratings in domestic dramas.

Final translation (English):
Last week, the ancient costume drama ""Private Kitchen of a Beauty"" was temporarily suspended from broadcasting. This unexpected move ignited a fervent debate regarding the fabrication of viewership ratings in domestic Chinese dramas.",", which unexpectedly sparked a heated discussion about the fabrication of viewership ratings in domestic dramas.

Final translation (English):
Last week, the ancient costume drama ""Private Kitchen of a Beauty"" was temporarily suspended from broadcasting. This unexpected move ignited a fervent debate regarding the fabrication of viewership ratings in domestic Chinese dramas.",233,198,431,0.2674007799978426,0.11524806427922218,0.11524806427922218,0.4947711951366152,"Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
上周，古装剧《美人私房菜》临时停播，意外引发了关于国产剧收视率造假的热烈讨论。

Translation (English):
Last week, the ancient costume drama ""Private Kitchen of a Beauty"" was temporarily suspended from broadcasting, which unexpectedly sparked a heated discussion about the fabrication of viewership ratings in domestic dramas.",", which unexpectedly sparked a heated discussion about the fabrication of viewership ratings in domestic dramas.

Final translation (English):
Last week, the ancient costume drama ""Private Kitchen of a Beauty"" was temporarily suspended from broadcasting. This unexpected move ignited a fervent debate regarding the fabrication of viewership ratings in domestic Chinese dramas."
民权团体针对密苏里州发出旅行警告,Civil rights group issues travel warning for Missouri,".
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
民权团体针对密苏里州发出旅行警告

Translation (English):
Civil rights groups have issued a travel warning for Missouri.

Final translation (English):
Civil rights groups have issued a travel warning for Missouri.",".
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
民权团体针对密苏里州发出旅行警告

Translation (English):
Civil rights groups have issued a travel warning for Missouri.

Final translation (English):
Civil rights groups have issued a travel warning for Missouri.",185,246,431,0.2674007799978426,0.11524806427922218,0.11524806427922218,0.4947711951366152,"You are a helpful assistant.
You are a translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
民权团体针对密苏里州发出旅行警告

Translation (English):
Civil rights groups have issued a travel warning for Missouri.",".
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
民权团体针对密苏里州发出旅行警告

Translation (English):
Civil rights groups have issued a travel warning for Missouri.

Final translation (English):
Civil rights groups have issued a travel warning for Missouri."
由于密苏里州的歧视性政策和种族主义袭击，美国有色人种促进协会 (NAACP) 向准备前往密苏里州出游的有色人群发出旅行警告。,The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,") issued a travel warning to the colored community preparing to travel to Missouri.

Final translation (English):
The final translation (English) is:

Due to the discriminatory policies and racial attacks in Missouri, the National Association for the Advancement of Colored People (NAACP) has issued a travel warning to the colored community planning to travel to Missouri.",") issued a travel warning to the colored community preparing to travel to Missouri.

Final translation (English):
The final translation (English) is:

Due to the discriminatory policies and racial attacks in Missouri, the National Association for the Advancement of Colored People (NAACP) has issued a travel warning to the colored community planning to travel to Missouri.",248,183,431,0.2674007799978426,0.11524806427922218,0.11524806427922218,0.4947711951366152,"州的歧视性政策和种族主义袭击，美国有色人种促进协会 (NAACP) 向准备前往密苏里州出游的有色人群发出旅行警告。

Translation (English):
Due to the discriminatory policies and racial attacks in Missouri, the National Association for the Advancement of Colored People (NAACP) issued a travel warning to the colored community preparing to travel to Missouri.",") issued a travel warning to the colored community preparing to travel to Missouri.

Final translation (English):
The final translation (English) is:

Due to the discriminatory policies and racial attacks in Missouri, the National Association for the Advancement of Colored People (NAACP) has issued a travel warning to the colored community planning to travel to Missouri."
“2017 年 8 月 28 日生效的 NAACP 密苏里州旅行咨询中呼吁，因近期密苏里州发生了一系列可疑的种族性事件，所有非裔美籍旅行者、游客以及密苏里州人在密苏里州旅行时应特别注意并采取极其谨慎的态度，特此告知，”该团体的声明宣称。,"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.","The NAACP Missouri State Travel Advisory, which came into effect on August 28, 2017, urges all African American American travelers, tourists, and residents of Missouri to exercise special caution and extreme vigilance when traveling within Missouri. This advisory is hereby issued. The organization's statement asserts this.","The NAACP Missouri State Travel Advisory, which came into effect on August 28, 2017, urges all African American American travelers, tourists, and residents of Missouri to exercise special caution and extreme vigilance when traveling within Missouri. This advisory is hereby issued. The organization's statement asserts this.",307,124,431,0.2674007799978426,0.11524806427922218,0.11524806427922218,0.4947711951366152,"The NAACP Missouri State Travel Advisory, which took effect on August 28, 2017, calls for special attention and extreme caution to be taken by all African American American travelers, tourists, and residents of Missouri when traveling in Missouri. This is hereby notified. The statement of the organization claims.","The NAACP Missouri State Travel Advisory, which came into effect on August 28, 2017, urges all African American American travelers, tourists, and residents of Missouri to exercise special caution and extreme vigilance when traveling within Missouri. This advisory is hereby issued. The organization's statement asserts this."
NAACP 指出，最近通过的一项密苏里州法律使得人们更难赢得歧视诉讼，该州执法也一定程度上针对少数群体，这些现象促使该组织发布了旅行警告。,"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.","organization to issue a travel warning.

Final translation (English):
The NAACP points out that a recent Missouri state law has made it more difficult for individuals to prevail in discrimination lawsuits. Additionally, to some extent, the state's law enforcement efforts also disproportionately target minority groups. These observed trends have led the organization to issue a travel advisory.","organization to issue a travel warning.

Final translation (English):
The NAACP points out that a recent Missouri state law has made it more difficult for individuals to prevail in discrimination lawsuits. Additionally, to some extent, the state's law enforcement efforts also disproportionately target minority groups. These observed trends have led the organization to issue a travel advisory.",260,171,431,0.2674007799978426,0.11524806427922218,0.11524806427922218,0.4947711951366152,"里州法律使得人们更难赢得歧视诉讼，该州执法也一定程度上针对少数群体，这些现象促使该组织发布了旅行警告。

Translation (English):
The NAACP points out that a recent law passed in Missouri makes it harder for people to win discrimination lawsuits. To some extent, the state's law enforcement also targets minority groups. These phenomena have prompted the organization to issue a travel warning.","organization to issue a travel warning.

Final translation (English):
The NAACP points out that a recent Missouri state law has made it more difficult for individuals to prevail in discrimination lawsuits. Additionally, to some extent, the state's law enforcement efforts also disproportionately target minority groups. These observed trends have led the organization to issue a travel advisory."
侵犯公民权利的行为正发生在人们身上。,"""You have violations of civil rights that are happening to people.","a translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
侵犯公民权利的行为正发生在人们身上。

Translation (English):
The act of infringing upon citizens' rights is happening to people.

Final translation (English):
The act of violating citizens' rights is currently occurring among individuals.","a translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
侵犯公民权利的行为正发生在人们身上。

Translation (English):
The act of infringing upon citizens' rights is happening to people.

Final translation (English):
The act of violating citizens' rights is currently occurring among individuals.",179,252,431,0.2674007799978426,0.11524806427922218,0.11524806427922218,0.4947711951366152,"You are a helpful assistant.
You are a translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
侵犯公民权利的行为正发生在人们身上。

Translation (English):
The act of infringing upon citizens' rights is happening to people.","a translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
侵犯公民权利的行为正发生在人们身上。

Translation (English):
The act of infringing upon citizens' rights is happening to people.

Final translation (English):
The act of violating citizens' rights is currently occurring among individuals."
他们因肤色被停车盘问，被殴打或被杀害，”密苏里州 NAACP 主席罗德·查培尔告诉堪萨斯城星报 (The Kansas City Star)。,"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.","killed,"" said Rod Chapel, the president of the Missouri NAACP, to The Kansas City Star.

Final translation (English):
They were stopped and questioned due to their skin color, subjected to beatings, or even killed,"" Rod Chapel, the president of the Missouri NAACP, told The Kansas City Star.","killed,"" said Rod Chapel, the president of the Missouri NAACP, to The Kansas City Star.

Final translation (English):
They were stopped and questioned due to their skin color, subjected to beatings, or even killed,"" Rod Chapel, the president of the Missouri NAACP, told The Kansas City Star.",247,184,431,0.2674007799978426,0.11524806427922218,0.11524806427922218,0.4947711951366152,"杀害，”密苏里州 NAACP 主席罗德·查培尔告诉堪萨斯城星报 (The Kansas City Star)。

Translation (English):
They were stopped and questioned because of their skin color, beaten, or even killed,"" said Rod Chapel, the president of the Missouri NAACP, to The Kansas City Star.","killed,"" said Rod Chapel, the president of the Missouri NAACP, to The Kansas City Star.

Final translation (English):
They were stopped and questioned due to their skin color, subjected to beatings, or even killed,"" Rod Chapel, the president of the Missouri NAACP, told The Kansas City Star."
“我们收到了许多投诉，数量前所未有。”,"""We are hearing complaints at a rate we haven't heard before.""","translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
“我们收到了许多投诉，数量前所未有。”

Translation (English):
""We have received a large number of complaints, a quantity unprecedented.""

Final translation (English):
""We have received an unprecedented number of complaints.""","translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
“我们收到了许多投诉，数量前所未有。”

Translation (English):
""We have received a large number of complaints, a quantity unprecedented.""

Final translation (English):
""We have received an unprecedented number of complaints.""",181,250,431,0.2674007799978426,0.11524806427922218,0.11524806427922218,0.4947711951366152,"You are a helpful assistant.
You are a translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
“我们收到了许多投诉，数量前所未有。”

Translation (English):
""We have received a large number of complaints, a quantity unprecedented.""","translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
“我们收到了许多投诉，数量前所未有。”

Translation (English):
""We have received a large number of complaints, a quantity unprecedented.""

Final translation (English):
""We have received an unprecedented number of complaints."""
这是该组织在美国针对某个州发布的第一个此类警告。,It is the first such warning that the organization has issued for a state in the US.,"translation.

Input (Chinese):
这是该组织在美国针对某个州发布的第一个此类警告。

Translation (English):
This is the first such warning issued by the organization in the United States, specifically targeting a certain state.

Final translation (English):
This is the first warning of its kind issued by the organization in the United States, specifically aimed at a particular state.","translation.

Input (Chinese):
这是该组织在美国针对某个州发布的第一个此类警告。

Translation (English):
This is the first such warning issued by the organization in the United States, specifically targeting a certain state.

Final translation (English):
This is the first warning of its kind issued by the organization in the United States, specifically aimed at a particular state.",195,236,431,0.2674007799978426,0.11524806427922218,0.11524806427922218,0.4947711951366152,"You are a helpful assistant.
You are a translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
这是该组织在美国针对某个州发布的第一个此类警告。

Translation (English):
This is the first such warning issued by the organization in the United States, specifically targeting a certain state.","translation.

Input (Chinese):
这是该组织在美国针对某个州发布的第一个此类警告。

Translation (English):
This is the first such warning issued by the organization in the United States, specifically targeting a certain state.

Final translation (English):
This is the first warning of its kind issued by the organization in the United States, specifically aimed at a particular state."
该组织援引了密苏里大学对黑人学生的种族诽谤以及 28 岁田纳西州黑人男性托利·桑德斯的死亡事件。,"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.","Missouri, as well as the death of 28-year-old black male from Tennessee, Tori Sanders.

Final translation (English):
The organization cited the racial defamation against black students by the University of Missouri, as well as the death of 28-year-old black male from Tennessee, Tori Sanders.","Missouri, as well as the death of 28-year-old black male from Tennessee, Tori Sanders.

Final translation (English):
The organization cited the racial defamation against black students by the University of Missouri, as well as the death of 28-year-old black male from Tennessee, Tori Sanders.",242,189,431,0.2674007799978426,0.11524806427922218,0.11524806427922218,0.4947711951366152,"了密苏里大学对黑人学生的种族诽谤以及 28 岁田纳西州黑人男性托利·桑德斯的死亡事件。

Translation (English):
The organization cited the racial defamation against black students by the University of Missouri, as well as the death of 28-year-old black male from Tennessee, Tori Sanders.","Missouri, as well as the death of 28-year-old black male from Tennessee, Tori Sanders.

Final translation (English):
The organization cited the racial defamation against black students by the University of Missouri, as well as the death of 28-year-old black male from Tennessee, Tori Sanders."
