Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,bleu,chrf
上周，古装剧《美人私房菜》临时停播，意外引发了关于国产剧收视率造假的热烈讨论。,"Last week, the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.","Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
上周，古装剧《美人私房菜》临时停播，意外引发了关于国产剧收视率造假的热烈讨论。

Translation (English):
Last week, the ancient costume drama ""Private Kitchen of a Beauty"" was temporarily suspended from broadcasting, which unexpectedly sparked a heated discussion about the fabrication of viewership ratings in domestic dramas.","Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
上周，古装剧《美人私房菜》临时停播，意外引发了关于国产剧收视率造假的热烈讨论。

Translation (English):
Last week, the ancient costume drama ""Private Kitchen of a Beauty"" was temporarily suspended from broadcasting, which unexpectedly sparked a heated discussion about the fabrication of viewership ratings in domestic dramas.",73,112,185,0.1326040050626034,0.18389346504745366,0.18389346504745366,0.5502847279042081
民权团体针对密苏里州发出旅行警告,Civil rights group issues travel warning for Missouri,"You are a helpful assistant.
You are a translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
民权团体针对密苏里州发出旅行警告

Translation (English):
Civil rights groups have issued a travel warning for Missouri.","You are a helpful assistant.
You are a translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
民权团体针对密苏里州发出旅行警告

Translation (English):
Civil rights groups have issued a travel warning for Missouri.",60,125,185,0.1326040050626034,0.18389346504745366,0.18389346504745366,0.5502847279042081
由于密苏里州的歧视性政策和种族主义袭击，美国有色人种促进协会 (NAACP) 向准备前往密苏里州出游的有色人群发出旅行警告。,The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,"州的歧视性政策和种族主义袭击，美国有色人种促进协会 (NAACP) 向准备前往密苏里州出游的有色人群发出旅行警告。

Translation (English):
Due to the discriminatory policies and racial attacks in Missouri, the National Association for the Advancement of Colored People (NAACP) issued a travel warning to the colored community preparing to travel to Missouri.","州的歧视性政策和种族主义袭击，美国有色人种促进协会 (NAACP) 向准备前往密苏里州出游的有色人群发出旅行警告。

Translation (English):
Due to the discriminatory policies and racial attacks in Missouri, the National Association for the Advancement of Colored People (NAACP) issued a travel warning to the colored community preparing to travel to Missouri.",85,100,185,0.1326040050626034,0.18389346504745366,0.18389346504745366,0.5502847279042081
“2017 年 8 月 28 日生效的 NAACP 密苏里州旅行咨询中呼吁，因近期密苏里州发生了一系列可疑的种族性事件，所有非裔美籍旅行者、游客以及密苏里州人在密苏里州旅行时应特别注意并采取极其谨慎的态度，特此告知，”该团体的声明宣称。,"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.","The NAACP Missouri State Travel Advisory, which took effect on August 28, 2017, calls for special attention and extreme caution to be taken by all African American American travelers, tourists, and residents of Missouri when traveling in Missouri. This is hereby notified. The statement of the organization claims.","The NAACP Missouri State Travel Advisory, which took effect on August 28, 2017, calls for special attention and extreme caution to be taken by all African American American travelers, tourists, and residents of Missouri when traveling in Missouri. This is hereby notified. The statement of the organization claims.",123,62,185,0.1326040050626034,0.18389346504745366,0.18389346504745366,0.5502847279042081
NAACP 指出，最近通过的一项密苏里州法律使得人们更难赢得歧视诉讼，该州执法也一定程度上针对少数群体，这些现象促使该组织发布了旅行警告。,"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.","里州法律使得人们更难赢得歧视诉讼，该州执法也一定程度上针对少数群体，这些现象促使该组织发布了旅行警告。

Translation (English):
The NAACP points out that a recent law passed in Missouri makes it harder for people to win discrimination lawsuits. To some extent, the state's law enforcement also targets minority groups. These phenomena have prompted the organization to issue a travel warning.","里州法律使得人们更难赢得歧视诉讼，该州执法也一定程度上针对少数群体，这些现象促使该组织发布了旅行警告。

Translation (English):
The NAACP points out that a recent law passed in Missouri makes it harder for people to win discrimination lawsuits. To some extent, the state's law enforcement also targets minority groups. These phenomena have prompted the organization to issue a travel warning.",89,96,185,0.1326040050626034,0.18389346504745366,0.18389346504745366,0.5502847279042081
侵犯公民权利的行为正发生在人们身上。,"""You have violations of civil rights that are happening to people.","You are a helpful assistant.
You are a translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
侵犯公民权利的行为正发生在人们身上。

Translation (English):
The act of infringing upon citizens' rights is happening to people.","You are a helpful assistant.
You are a translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
侵犯公民权利的行为正发生在人们身上。

Translation (English):
The act of infringing upon citizens' rights is happening to people.",57,128,185,0.1326040050626034,0.18389346504745366,0.18389346504745366,0.5502847279042081
他们因肤色被停车盘问，被殴打或被杀害，”密苏里州 NAACP 主席罗德·查培尔告诉堪萨斯城星报 (The Kansas City Star)。,"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.","杀害，”密苏里州 NAACP 主席罗德·查培尔告诉堪萨斯城星报 (The Kansas City Star)。

Translation (English):
They were stopped and questioned because of their skin color, beaten, or even killed,"" said Rod Chapel, the president of the Missouri NAACP, to The Kansas City Star.","杀害，”密苏里州 NAACP 主席罗德·查培尔告诉堪萨斯城星报 (The Kansas City Star)。

Translation (English):
They were stopped and questioned because of their skin color, beaten, or even killed,"" said Rod Chapel, the president of the Missouri NAACP, to The Kansas City Star.",89,96,185,0.1326040050626034,0.18389346504745366,0.18389346504745366,0.5502847279042081
“我们收到了许多投诉，数量前所未有。”,"""We are hearing complaints at a rate we haven't heard before.""","You are a helpful assistant.
You are a translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
“我们收到了许多投诉，数量前所未有。”

Translation (English):
""We have received a large number of complaints, a quantity unprecedented.""","You are a helpful assistant.
You are a translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
“我们收到了许多投诉，数量前所未有。”

Translation (English):
""We have received a large number of complaints, a quantity unprecedented.""",58,127,185,0.1326040050626034,0.18389346504745366,0.18389346504745366,0.5502847279042081
这是该组织在美国针对某个州发布的第一个此类警告。,It is the first such warning that the organization has issued for a state in the US.,"You are a helpful assistant.
You are a translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
这是该组织在美国针对某个州发布的第一个此类警告。

Translation (English):
This is the first such warning issued by the organization in the United States, specifically targeting a certain state.","You are a helpful assistant.
You are a translation assistant.
Translate the input text from Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
这是该组织在美国针对某个州发布的第一个此类警告。

Translation (English):
This is the first such warning issued by the organization in the United States, specifically targeting a certain state.",60,125,185,0.1326040050626034,0.18389346504745366,0.18389346504745366,0.5502847279042081
该组织援引了密苏里大学对黑人学生的种族诽谤以及 28 岁田纳西州黑人男性托利·桑德斯的死亡事件。,"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.","了密苏里大学对黑人学生的种族诽谤以及 28 岁田纳西州黑人男性托利·桑德斯的死亡事件。

Translation (English):
The organization cited the racial defamation against black students by the University of Missouri, as well as the death of 28-year-old black male from Tennessee, Tori Sanders.","了密苏里大学对黑人学生的种族诽谤以及 28 岁田纳西州黑人男性托利·桑德斯的死亡事件。

Translation (English):
The organization cited the racial defamation against black students by the University of Missouri, as well as the death of 28-year-old black male from Tennessee, Tori Sanders.",85,100,185,0.1326040050626034,0.18389346504745366,0.18389346504745366,0.5502847279042081
今年早些时候，桑德斯在可疑情况下死亡。他在密苏里州旅行时燃油耗尽，被密苏里州警方在无指控犯罪的情况下拘留。,"Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.","些时候，桑德斯在可疑情况下死亡。他在密苏里州旅行时燃油耗尽，被密苏里州警方在无指控犯罪的情况下拘留。

Translation (English):
This year earlier, Sanders died under suspicious circumstances. While traveling in Missouri, he ran out of fuel and was detained by the Missouri State Police under no criminal charges.","些时候，桑德斯在可疑情况下死亡。他在密苏里州旅行时燃油耗尽，被密苏里州警方在无指控犯罪的情况下拘留。

Translation (English):
This year earlier, Sanders died under suspicious circumstances. While traveling in Missouri, he ran out of fuel and was detained by the Missouri State Police under no criminal charges.",84,101,185,0.1326040050626034,0.18389346504745366,0.18389346504745366,0.5502847279042081
咨询中还指出，密苏里州总检察长办公室最近的一份报告显示，“与白人相比，该州的黑人司机被停车盘查的可能性要高出 75%”。,The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.,"密苏里州总检察长办公室最近的一份报告显示，“与白人相比，该州的黑人司机被停车盘查的可能性要高出 75%”。

Translation (English):
The consultation also pointed out that a recent report from the Office of the Attorney General of Missouri shows that ""compared to white drivers, the likelihood of black drivers in the state being stopped and searched is 75% higher.""","密苏里州总检察长办公室最近的一份报告显示，“与白人相比，该州的黑人司机被停车盘查的可能性要高出 75%”。

Translation (English):
The consultation also pointed out that a recent report from the Office of the Attorney General of Missouri shows that ""compared to white drivers, the likelihood of black drivers in the state being stopped and searched is 75% higher.""",85,100,185,0.1326040050626034,0.18389346504745366,0.18389346504745366,0.5502847279042081
查培尔说：“该份咨询是为了提高人们的意识，警告他们的家人、朋友和同事在密苏里州可能发生的情况。”,"""The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri,"" Chapel said.","internally.
Output only the final translation.

Input (Chinese):
查培尔说：“该份咨询是为了提高人们的意识，警告他们的家人、朋友和同事在密苏里州可能发生的情况。”

Translation (English):
Zha Pei said, ""The purpose of this consultation is to raise people's awareness, and warn their families, friends, and colleagues about the possible situations that may occur in Missouri.""","internally.
Output only the final translation.

Input (Chinese):
查培尔说：“该份咨询是为了提高人们的意识，警告他们的家人、朋友和同事在密苏里州可能发生的情况。”

Translation (English):
Zha Pei said, ""The purpose of this consultation is to raise people's awareness, and warn their families, friends, and colleagues about the possible situations that may occur in Missouri.""",77,108,185,0.1326040050626034,0.18389346504745366,0.18389346504745366,0.5502847279042081
“人们需要做好准备，无论是携带保释金前往密苏里州，还是让亲属知道自己在州内旅行”。,"""People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state.""","Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
“人们需要做好准备，无论是携带保释金前往密苏里州，还是让亲属知道自己在州内旅行”。

Translation (English):
People need to be prepared, whether it's carrying bail money to Missouri, or letting their relatives know they are traveling within the state.","Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
“人们需要做好准备，无论是携带保释金前往密苏里州，还是让亲属知道自己在州内旅行”。

Translation (English):
People need to be prepared, whether it's carrying bail money to Missouri, or letting their relatives know they are traveling within the state.",73,112,185,0.1326040050626034,0.18389346504745366,0.18389346504745366,0.5502847279042081
根据联邦调查局仇恨犯罪报告计划的最新数据，密苏里州在 2015 年记录了 100 起仇恨罪行；根据罪行量，该州在全国排名第 16 位。,"Missouri recorded 100 hate crimes in 2015, according to the latest figures from the FBI's hate crime reporting program, ranking the state at 16th in the country in terms of the number of such violations.","州在 2015 年记录了 100 起仇恨罪行；根据罪行量，该州在全国排名第 16 位。

Translation (English):
According to the latest data from the FBI's Hate Crime Reporting Program, Missouri recorded 100 hate crimes in 2015; in terms of the number of crimes, the state ranked 16th in the nation.","州在 2015 年记录了 100 起仇恨罪行；根据罪行量，该州在全国排名第 16 位。

Translation (English):
According to the latest data from the FBI's Hate Crime Reporting Program, Missouri recorded 100 hate crimes in 2015; in terms of the number of crimes, the state ranked 16th in the nation.",90,95,185,0.1326040050626034,0.18389346504745366,0.18389346504745366,0.5502847279042081
旅行警告也是对密苏里州新法律的回应，该法律将使起诉住房或就业歧视企业变得更加困难。,The travel warning is also a response to a new Missouri law that would make it more difficult to sue a business for housing or employment discrimination.,"Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
旅行警告也是对密苏里州新法律的回应，该法律将使起诉住房或就业歧视企业变得更加困难。

Translation (English):
Travel warnings also serve as a response to a new law in Missouri, which will make it more difficult to sue companies for housing or employment discrimination.","Chinese to English.
Think step by step internally.
Output only the final translation.

Input (Chinese):
旅行警告也是对密苏里州新法律的回应，该法律将使起诉住房或就业歧视企业变得更加困难。

Translation (English):
Travel warnings also serve as a response to a new law in Missouri, which will make it more difficult to sue companies for housing or employment discrimination.",73,112,185,0.1326040050626034,0.18389346504745366,0.18389346504745366,0.5502847279042081
此前，美国各州通过了移民执法法律，要求当地执法部门拘留移民违规人员，美国公民自由联盟 (ACLU) 表示此举会增加种族诉讼数量，并发布了针对德克萨斯州和亚利桑那州的旅行咨询。,"Previously, the American Civil Liberties Union (ACLU) had issued travel advisories for Texas and Arizona after the states passed immigration enforcement laws requiring local law enforcement to detain people on immigration violations which the ACLU said would increase racial profiling.","和亚利桑那州的旅行咨询。

Translation (English):
Prior to this, the states of the United States have passed immigration enforcement laws, requiring local law enforcement agencies to detain immigrants who violate the law. The American Civil Liberties Union (ACLU) stated that this action would increase the number of racial lawsuits, and issued travel advisories for Texas and Arizona.","和亚利桑那州的旅行咨询。

Translation (English):
Prior to this, the states of the United States have passed immigration enforcement laws, requiring local law enforcement agencies to detain immigrants who violate the law. The American Civil Liberties Union (ACLU) stated that this action would increase the number of racial lawsuits, and issued travel advisories for Texas and Arizona.",97,107,204,0.19380082699899503,0.18389346504745366,0.18389346504745366,0.5502847279042081
旅行警告通常是由美国政府针对其他国家发布的，但最近，咨询团体采取这一方式以应对美国境内的某些法律和趋势。,"Travel warnings are usually issued by the State Department for other countries, but lately, advocacy groups have resorted to the measure in response to certain laws and trends inside the US.","translation.

Input (Chinese):
旅行警告通常是由美国政府针对其他国家发布的，但最近，咨询团体采取这一方式以应对美国境内的某些法律和趋势。

Translation (English):
Travel warnings are typically issued by the U.S. government against other countries, but recently, consulting groups have adopted this approach to address certain legal issues and trends within the United States.","translation.

Input (Chinese):
旅行警告通常是由美国政府针对其他国家发布的，但最近，咨询团体采取这一方式以应对美国境内的某些法律和趋势。

Translation (English):
Travel warnings are typically issued by the U.S. government against other countries, but recently, consulting groups have adopted this approach to address certain legal issues and trends within the United States.",74,130,204,0.19380082699899503,0.18389346504745366,0.18389346504745366,0.5502847279042081
