Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL
"five-time world champion michelle kwan withdrew from the #### us figure skating championships on wednesday , but will petition us skating officials for the chance to compete at the #### turin olympics .",injury leaves kwan 's olympic hopes in limbo,"ics.

Summary:assistant

Five-time world champion Michelle Kwan withdrew from the US Figure Skating Championships, but will petition to compete in the Turin Olympics.","ics.

Summary:assistant

Five-time world champion Michelle Kwan withdrew from the US Figure Skating Championships, but will petition to compete in the Turin Olympics.",115,46,161,0.06253599775118346,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .,us business attacks tough immigration law,"Input:
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants.

Summary:assistant

US business leaders criticized a proposed law that would punish companies for hiring undocumented workers.","Input:
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants.

Summary:assistant

US business leaders criticized a proposed law that would punish companies for hiring undocumented workers.",95,66,161,0.06253599775118346,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
general motors corp. said wednesday its us sales fell ##.# percent in december and four percent in #### with the biggest losses coming from passenger car sales .,gm december sales fall ## percent,"#### with the biggest losses coming from passenger car sales.

Summary:assistant

General Motors reported a decline in US sales, with a ##.#% drop in December and a 4% decrease in ####, primarily due to a decline in passenger car sales.","#### with the biggest losses coming from passenger car sales.

Summary:assistant

General Motors reported a decline in US sales, with a ##.#% drop in December and a 4% decrease in ####, primarily due to a decline in passenger car sales.",106,55,161,0.06253599775118346,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
several thousand people gathered on wednesday evening on the main square in zagreb for a public draw and an open air party to celebrate the croatian capital 's second chance to host the women 's slalom world cup .,thousands of croatians celebrate before world cup slalom,Thousands gathered in Zagreb's main square for a public draw and open-air party to celebrate the city's second chance to host the Women's Slalom World Cup.,Thousands gathered in Zagreb's main square for a public draw and open-air party to celebrate the city's second chance to host the Women's Slalom World Cup.,122,39,161,0.06253599775118346,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
"us first lady laura bush and us secretary of state condoleezza rice will represent the united states later this month at the inauguration of liberia 's president-elect ellen johnson sirleaf , the white house said wednesday .",laura bush UNK rice to attend sirleaf 's inauguration in liberia,US First Lady Laura Bush and US Secretary of State Condoleezza Rice will represent the US at the inauguration of Liberia's President-elect Ellen Johnson Sirleaf.,US First Lady Laura Bush and US Secretary of State Condoleezza Rice will represent the US at the inauguration of Liberia's President-elect Ellen Johnson Sirleaf.,123,38,161,0.06253599775118346,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
"jack abramoff , a former lobbyist at the center of a mushrooming political scandal in washington , on wednesday pleaded guilty in a us court in miami to defrauding lenders in a florida gambling boat deal .",top republican lobbyist pleads guilty to florida fraud,"assistant

Jack Abramoff, a former lobbyist, pleaded guilty in a US court in Miami to defrauding lenders in a Florida gambling boat deal.","assistant

Jack Abramoff, a former lobbyist, pleaded guilty in a US court in Miami to defrauding lenders in a Florida gambling boat deal.",119,42,161,0.06253599775118346,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
"somalia 's feuding president and parliament speaker have agreed a compromise in a bitter row over the appropriate seat for their fledgling transitional government , a yemeni official said wednesday .",somalia rivals in compromise on seat of government,"wednesday.

Summary:assistant

Somalia's president and parliament speaker have reached a compromise in their dispute over the location of the country's transitional government.","wednesday.

Summary:assistant

Somalia's president and parliament speaker have reached a compromise in their dispute over the location of the country's transitional government.",114,47,161,0.06253599775118346,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
"a ##-hour strike by airport workers in portugal planned for friday over job security issues could lead to flight cancellations , union and airport officials said .",portuguese airport workers strike could ground flights on friday,"to flight cancellations, union and airport officials said.

Summary:assistant

Airport workers in Portugal are planning a 24-hour strike on Friday due to job security concerns, which may result in flight cancellations.","to flight cancellations, union and airport officials said.

Summary:assistant

Airport workers in Portugal are planning a 24-hour strike on Friday due to job security concerns, which may result in flight cancellations.",106,55,161,0.06253599775118346,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
jose mourinho renewed his partnership with portuguese international maniche on wednesday when he completed the loan signing of the ##-year-old midfielder from dynamo moscow .,maniche renews partnership with mourinho,"from dynamo moscow.

Summary:assistant

Jose Mourinho renewed his partnership with Maniche by signing the Portuguese midfielder on loan from Dynamo Moscow.","from dynamo moscow.

Summary:assistant

Jose Mourinho renewed his partnership with Maniche by signing the Portuguese midfielder on loan from Dynamo Moscow.",111,50,161,0.06253599775118346,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
"hollywood is planning a new sequel to adventure flick `` ocean 's eleven , '' with star george clooney set to reprise his role as a charismatic thief in `` ocean 's thirteen , '' the entertainment press said wednesday .",hollywood shores up support for ocean 's thirteen,"A new sequel to ""Ocean's Eleven"" is in the works, with George Clooney set to reprise his role in ""Ocean's Thirteen"".","A new sequel to ""Ocean's Eleven"" is in the works, with George Clooney set to reprise his role in ""Ocean's Thirteen"".",124,37,161,0.06253599775118346,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
"canada advised its nationals wednesday to avoid non-essential travel to nepal , following the resumption of a maoist rebel insurgency in the himalayan kingdom .",canada recommends avoiding travel to nepal,"in the himalayan kingdom.

Summary:assistant

Canada advised its citizens to avoid non-essential travel to Nepal due to a renewed Maoist rebel insurgency.","in the himalayan kingdom.

Summary:assistant

Canada advised its citizens to avoid non-essential travel to Nepal due to a renewed Maoist rebel insurgency.",110,51,161,0.06253599775118346,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
"us auto sales will likely be weaker in #### , a senior executive at ford motor company said wednesday .",ford executive sees weaker us auto sales in ####,"us auto sales will likely be weaker in ####, a senior executive at ford motor company said wednesday.

Summary:assistant

US auto sales are expected to be weaker in 2024, according to a Ford Motor Company executive.","us auto sales will likely be weaker in ####, a senior executive at ford motor company said wednesday.

Summary:assistant

US auto sales are expected to be weaker in 2024, according to a Ford Motor Company executive.",96,65,161,0.06253599775118346,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
the united states on wednesday welcomed beijing 's early release of a chinese journalist jailed for exposing top-level graft but said it remain concerned over the lack of freedom in the world 's most populous nation .,us welcomes chinese journalist 's release highlights freedom concerns,"Summary:assistant

The US welcomed China's early release of a journalist who exposed corruption, but expressed continued concern over China's lack of press freedom.","Summary:assistant

The US welcomed China's early release of a journalist who exposed corruption, but expressed continued concern over China's lack of press freedom.",117,44,161,0.06253599775118346,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
"two bank workers on wednesday admitted stealing almost ###,### pounds -lrb- ###,### euros -rrb- from the accounts of three former manchester city footballers .",two bankers admit theft from city players,"chester city footballers.

Summary:assistant

Two bank workers have admitted stealing almost £1 million - €1 million from the accounts of three former Manchester City footballers.","chester city footballers.

Summary:assistant

Two bank workers have admitted stealing almost £1 million - €1 million from the accounts of three former Manchester City footballers.",112,49,161,0.06253599775118346,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
"israeli prime minister ariel sharon was admitted to hospital early for a planned heart procedure after feeling unwell wednesday evening , his office said .",unwell sharon admitted to hospital early,"feeling unwell wednesday evening, his office said.

Summary:assistant

Israeli Prime Minister Ariel Sharon was admitted to the hospital for a planned heart procedure after feeling unwell on Wednesday evening.","feeling unwell wednesday evening, his office said.

Summary:assistant

Israeli Prime Minister Ariel Sharon was admitted to the hospital for a planned heart procedure after feeling unwell on Wednesday evening.",106,55,161,0.06253599775118346,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
"sales of hybrid UNK vehicles in the united states should more than triple over the next seven years , a leading research firm said wednesday .",us hybrid vehicle sales expect to more than triple in seven years,"over the next seven years, a leading research firm said wednesday.

Summary:assistant

Hybrid vehicle sales in the US are expected to more than triple over the next seven years, according to a leading research firm.","over the next seven years, a leading research firm said wednesday.

Summary:assistant

Hybrid vehicle sales in the US are expected to more than triple over the next seven years, according to a leading research firm.",103,58,161,0.06253599775118346,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
the los angeles dodgers acquired south korean right-hander jae seo from the new york mets on wednesday in a four-player swap .,korea 's seo headed to dodgers from mets,"new york mets on wednesday in a four-player swap.

Summary:assistant

The Los Angeles Dodgers acquired Jae Seo, a South Korean right-hander, from the New York Mets in a four-player trade.","new york mets on wednesday in a four-player swap.

Summary:assistant

The Los Angeles Dodgers acquired Jae Seo, a South Korean right-hander, from the New York Mets in a four-player trade.",106,55,161,0.059338549563108245,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
"teenage hollywood starlet lindsay lohan , who was rushed to hospital this week after suffering an asthma attack , has admitted fighting a fierce battle with the eating disorder bulimia .",hollywood starlet lindsay lohan admits bulimia battle,"eating disorder bulimia.

Summary:assistant

Lindsay Lohan has revealed she struggled with bulimia, a eating disorder, in addition to recently experiencing an asthma attack.","eating disorder bulimia.

Summary:assistant

Lindsay Lohan has revealed she struggled with bulimia, a eating disorder, in addition to recently experiencing an asthma attack.",113,48,161,0.059338549563108245,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
"the white house vigorously rejected wednesday suggestions that us soldiers in iraq do not hesitate to fire on civilians , after a bombing killed eight iraqi non-combatants , including two children .",us insists soldiers act with restraint to protect civilians,", including two children.

Summary:assistant

The White House denied claims that US soldiers in Iraq are instructed to fire on civilians, following a bombing that killed eight non-combatant Iraqis, including two children.",", including two children.

Summary:assistant

The White House denied claims that US soldiers in Iraq are instructed to fire on civilians, following a bombing that killed eight non-combatant Iraqis, including two children.",114,47,161,0.059338549563108245,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
"the us special envoy to multilateral talks aimed at ending north korea 's nuclear weapons drive has quit , the state department said wednesday amid reported divisions within the administration over the nuclear issue .",us special envoy to korean nuclear talks quits,"over the nuclear issue.

Summary:assistant

The US Special Envoy to multilateral talks on North Korea's nuclear program has resigned, reportedly due to divisions within the US administration on the issue.","over the nuclear issue.

Summary:assistant

The US Special Envoy to multilateral talks on North Korea's nuclear program has resigned, reportedly due to divisions within the US administration on the issue.",114,47,161,0.059338549563108245,0.25070388243311753,0.25070388243311753,0.08124553895190244,0.2195046301755768
