Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL,sc_raw_samples,sc_parsed_samples
"five-time world champion michelle kwan withdrew from the #### us figure skating championships on wednesday , but will petition us skating officials for the chance to compete at the #### turin olympics .",injury leaves kwan 's olympic hopes in limbo,"in olympics .

Summary:
Five-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition US skating officials for a chance to compete at the Turin Olympics.","in olympics .

Summary:
Five-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition US skating officials for a chance to compete at the Turin Olympics.",435,270,705,0.17257735843668343,0.23057782443081978,0.23057782443081978,0.08328165557796029,0.20154882273479358,"[""in olympics .\n\nSummary:\nFive-time world champion Michelle Kwan withdrew from the US figure skating championships but plans to petition US skating officials for a spot in the Turin Olympics."", ""in olympics .\n\nSummary:\nMichelle Kwan, a five-time world champion, withdrew from the US figure skating championships but plans to petition US skating officials for a chance to compete at the Turin Olympics."", ""in olympics .\n\nSummary:\nFive-time world champion Michelle Kwan pulled out of the US Figure Skating Championships on Wednesday. She plans to petition US skating officials for a chance to compete at the Turin Olympics."", ""in olympics .\n\nSummary:\nFive-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition US skating officials for a chance to compete at the Turin Olympics."", ""in olympics .\n\nSummary:\nFive-time world champion Michelle Kwan withdrew from the US figure skating championships and plans to petition US skating officials for a chance to compete at the Turin Olympics.""]","[""in olympics .\n\nSummary:\nFive-time world champion Michelle Kwan withdrew from the US figure skating championships but plans to petition US skating officials for a spot in the Turin Olympics."", ""in olympics .\n\nSummary:\nMichelle Kwan, a five-time world champion, withdrew from the US figure skating championships but plans to petition US skating officials for a chance to compete at the Turin Olympics."", ""in olympics .\n\nSummary:\nFive-time world champion Michelle Kwan pulled out of the US Figure Skating Championships on Wednesday. She plans to petition US skating officials for a chance to compete at the Turin Olympics."", ""in olympics .\n\nSummary:\nFive-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition US skating officials for a chance to compete at the Turin Olympics."", ""in olympics .\n\nSummary:\nFive-time world champion Michelle Kwan withdrew from the US figure skating championships and plans to petition US skating officials for a chance to compete at the Turin Olympics.""]"
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .,us business attacks tough immigration law,"final summary.

Input:
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .

Summary:
Business leaders criticized legislation on Wednesday, opposing penalties for companies hiring illegal immigrants.","final summary.

Input:
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .

Summary:
Business leaders criticized legislation on Wednesday, opposing penalties for companies hiring illegal immigrants.",335,370,705,0.17257735843668343,0.23057782443081978,0.23057782443081978,0.08328165557796029,0.20154882273479358,"[""final summary.\n\nInput:\nus business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nBusiness leaders criticized legislation on Wednesday, which proposes fines for companies hiring illegal immigrants."", ""final summary.\n\nInput:\nus business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nBusiness leaders criticized legislation on Wednesday, which aims to penalize companies employing illegal immigrants."", ""final summary.\n\nInput:\nus business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nBusiness leaders criticized legislation on Wednesday, opposing the law that would fine companies for hiring undocumented workers."", ""final summary.\n\nInput:\nus business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nBusiness leaders criticize legislation targeting companies employing illegal immigrants."", ""final summary.\n\nInput:\nus business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nBusiness leaders criticized legislation on Wednesday, opposing penalties for companies hiring illegal immigrants.""]","[""final summary.\n\nInput:\nus business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nBusiness leaders criticized legislation on Wednesday, which proposes fines for companies hiring illegal immigrants."", ""final summary.\n\nInput:\nus business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nBusiness leaders criticized legislation on Wednesday, which aims to penalize companies employing illegal immigrants."", ""final summary.\n\nInput:\nus business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nBusiness leaders criticized legislation on Wednesday, opposing the law that would fine companies for hiring undocumented workers."", ""final summary.\n\nInput:\nus business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nBusiness leaders criticize legislation targeting companies employing illegal immigrants."", ""final summary.\n\nInput:\nus business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nBusiness leaders criticized legislation on Wednesday, opposing penalties for companies hiring illegal immigrants.""]"
general motors corp. said wednesday its us sales fell ##.# percent in december and four percent in #### with the biggest losses coming from passenger car sales .,gm december sales fall ## percent,"four percent in #### with the biggest losses coming from passenger car sales .

Summary:
General Motors reported a decline of ##.# percent in U.S. sales for December, with a significant drop in passenger car sales.","four percent in #### with the biggest losses coming from passenger car sales .

Summary:
General Motors reported a decline of ##.# percent in U.S. sales for December, with a significant drop in passenger car sales.",390,315,705,0.17257735843668343,0.23057782443081978,0.23057782443081978,0.08328165557796029,0.20154882273479358,"[""four percent in #### with the biggest losses coming from passenger car sales .\n\nSummary:\nGeneral Motors reported a decline in US sales, with a 7.1% drop in December and a 4% decrease in another year. The largest reductions were in passenger car sales."", ""four percent in #### with the biggest losses coming from passenger car sales .\n\nSummary:\nGeneral Motors reported a decline in US sales, with December sales down by ##.# percent and year-over-year sales dropping by four percent, primarily due to passenger car sales."", ""four percent in #### with the biggest losses coming from passenger car sales .\n\nSummary:\nGeneral Motors Corp. reported a decline of ##.# percent in US sales for December, with a 4% drop in ####, predominantly affecting passenger car sales."", ""four percent in #### with the biggest losses coming from passenger car sales .\n\nSummary:\nGeneral Motors reported a decline of ##.# percent in U.S. sales for December, with a significant drop in passenger car sales."", ""four percent in #### with the biggest losses coming from passenger car sales .\n\nSummary:\nGeneral Motors reported a decline in U.S. sales by 4.3% in December and 4% in the unspecified year, with passenger car sales facing the steepest drops.""]","[""four percent in #### with the biggest losses coming from passenger car sales .\n\nSummary:\nGeneral Motors reported a decline in US sales, with a 7.1% drop in December and a 4% decrease in another year. The largest reductions were in passenger car sales."", ""four percent in #### with the biggest losses coming from passenger car sales .\n\nSummary:\nGeneral Motors reported a decline in US sales, with December sales down by ##.# percent and year-over-year sales dropping by four percent, primarily due to passenger car sales."", ""four percent in #### with the biggest losses coming from passenger car sales .\n\nSummary:\nGeneral Motors Corp. reported a decline of ##.# percent in US sales for December, with a 4% drop in ####, predominantly affecting passenger car sales."", ""four percent in #### with the biggest losses coming from passenger car sales .\n\nSummary:\nGeneral Motors reported a decline of ##.# percent in U.S. sales for December, with a significant drop in passenger car sales."", ""four percent in #### with the biggest losses coming from passenger car sales .\n\nSummary:\nGeneral Motors reported a decline in U.S. sales by 4.3% in December and 4% in the unspecified year, with passenger car sales facing the steepest drops.""]"
several thousand people gathered on wednesday evening on the main square in zagreb for a public draw and an open air party to celebrate the croatian capital 's second chance to host the women 's slalom world cup .,thousands of croatians celebrate before world cup slalom,"Several thousand people gathered in Zagreb's main square on Wednesday evening. They were there for a public draw and an open-air party, celebrating Zagreb's second opportunity to host the Women's Slalom World Cup.","Several thousand people gathered in Zagreb's main square on Wednesday evening. They were there for a public draw and an open-air party, celebrating Zagreb's second opportunity to host the Women's Slalom World Cup.",470,235,705,0.17257735843668343,0.23057782443081978,0.23057782443081978,0.08328165557796029,0.20154882273479358,"[""Several thousand people gathered in Zagreb's main square to celebrate the city's second opportunity to host the Women's Slalom World Cup, marked by a public draw and an open-air party."", ""Several thousand people gathered in Zagreb's main square on Wednesday evening. They were there for a public draw and an open-air party, celebrating Zagreb's second opportunity to host the Women's Slalom World Cup."", ""Several thousand people gathered in Zagreb's main square on Wednesday evening. The event featured a public draw and an open-air party, celebrating Zagreb's second opportunity to host the Women's Slalom World Cup."", ""Thousands of people gathered in Zagreb's main square for a public draw, an open-air party, and to celebrate Zagreb's second opportunity to host the Women's Slalom World Cup."", ""Thousands of people gathered in Zagreb's main square on Wednesday evening to celebrate the city's second opportunity to host the Women's Slalom World Cup, marked by a public draw and an open-air party.""]","[""Several thousand people gathered in Zagreb's main square to celebrate the city's second opportunity to host the Women's Slalom World Cup, marked by a public draw and an open-air party."", ""Several thousand people gathered in Zagreb's main square on Wednesday evening. They were there for a public draw and an open-air party, celebrating Zagreb's second opportunity to host the Women's Slalom World Cup."", ""Several thousand people gathered in Zagreb's main square on Wednesday evening. The event featured a public draw and an open-air party, celebrating Zagreb's second opportunity to host the Women's Slalom World Cup."", ""Thousands of people gathered in Zagreb's main square for a public draw, an open-air party, and to celebrate Zagreb's second opportunity to host the Women's Slalom World Cup."", ""Thousands of people gathered in Zagreb's main square on Wednesday evening to celebrate the city's second opportunity to host the Women's Slalom World Cup, marked by a public draw and an open-air party.""]"
"us first lady laura bush and us secretary of state condoleezza rice will represent the united states later this month at the inauguration of liberia 's president-elect ellen johnson sirleaf , the white house said wednesday .",laura bush UNK rice to attend sirleaf 's inauguration in liberia,"Laura Bush and Condoleezza Rice will represent the U.S. at Liberia's President-elect Ellen Johnson Sirleaf's inauguration, as announced by the White House.","Laura Bush and Condoleezza Rice will represent the U.S. at Liberia's President-elect Ellen Johnson Sirleaf's inauguration, as announced by the White House.",470,235,705,0.17257735843668343,0.23057782443081978,0.23057782443081978,0.08328165557796029,0.20154882273479358,"[""Laura Bush and Condoleezza Rice will represent the U.S. at Liberia's president-elect Ellen Johnson Sirleaf's inauguration later this month, according to the White House."", ""Laura Bush and Condoleezza Rice will represent the U.S. at Liberian President-Elect Ellen Johnson Sirleaf's inauguration this month, according to the White House."", ""Laura Bush and Condoleezza Rice will represent the U.S. at Liberia's President-elect Ellen Johnson Sirleaf's inauguration, as announced by the White House."", ""Laura Bush and Condoleezza Rice will represent the U.S. at Liberian President-Elect Ellen Johnson Sirleaf's inauguration, as announced by the White House."", ""Laura Bush and Condoleezza Rice will represent the U.S. at Liberia's president-elect Ellen Johnson Sirleaf's inauguration.""]","[""Laura Bush and Condoleezza Rice will represent the U.S. at Liberia's president-elect Ellen Johnson Sirleaf's inauguration later this month, according to the White House."", ""Laura Bush and Condoleezza Rice will represent the U.S. at Liberian President-Elect Ellen Johnson Sirleaf's inauguration this month, according to the White House."", ""Laura Bush and Condoleezza Rice will represent the U.S. at Liberia's President-elect Ellen Johnson Sirleaf's inauguration, as announced by the White House."", ""Laura Bush and Condoleezza Rice will represent the U.S. at Liberian President-Elect Ellen Johnson Sirleaf's inauguration, as announced by the White House."", ""Laura Bush and Condoleezza Rice will represent the U.S. at Liberia's president-elect Ellen Johnson Sirleaf's inauguration.""]"
"jack abramoff , a former lobbyist at the center of a mushrooming political scandal in washington , on wednesday pleaded guilty in a us court in miami to defrauding lenders in a florida gambling boat deal .",top republican lobbyist pleads guilty to florida fraud,".

Summary:
Jack Abramoff, a former Washington lobbyist, pleaded guilty in a Miami court to defrauding lenders in a Florida gambling boat deal.",".

Summary:
Jack Abramoff, a former Washington lobbyist, pleaded guilty in a Miami court to defrauding lenders in a Florida gambling boat deal.",455,250,705,0.17257735843668343,0.23057782443081978,0.23057782443081978,0.08328165557796029,0.20154882273479358,"["".\n\nSummary:\nJack Abramoff, a former Washington lobbyist, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal."", "".\n\nSummary:\nJack Abramoff, a former Washington lobbyist, pleaded guilty in a Miami court to defrauding lenders in a Florida gambling boat deal."", "".\n\nSummary:\nJack Abramoff, a former lobbyist involved in a major Washington political scandal, pleaded guilty in a Miami U.S. court. He admitted to defrauding lenders in a Florida gambling boat deal."", "".\n\nSummary:\nJack Abramoff, a former Washington lobbyist, pleaded guilty in a Miami court to defrauding lenders in a Florida gambling boat deal."", "".\n\nSummary:\nJack Abramoff, a former Washington lobbyist, pleaded guilty in a Miami court for defrauding lenders in a Florida gambling boat deal.""]","["".\n\nSummary:\nJack Abramoff, a former Washington lobbyist, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal."", "".\n\nSummary:\nJack Abramoff, a former Washington lobbyist, pleaded guilty in a Miami court to defrauding lenders in a Florida gambling boat deal."", "".\n\nSummary:\nJack Abramoff, a former lobbyist involved in a major Washington political scandal, pleaded guilty in a Miami U.S. court. He admitted to defrauding lenders in a Florida gambling boat deal."", "".\n\nSummary:\nJack Abramoff, a former Washington lobbyist, pleaded guilty in a Miami court to defrauding lenders in a Florida gambling boat deal."", "".\n\nSummary:\nJack Abramoff, a former Washington lobbyist, pleaded guilty in a Miami court for defrauding lenders in a Florida gambling boat deal.""]"
"somalia 's feuding president and parliament speaker have agreed a compromise in a bitter row over the appropriate seat for their fledgling transitional government , a yemeni official said wednesday .",somalia rivals in compromise on seat of government,"i official said wednesday .

Summary:
Somalia's feuding president and parliament speaker reached a compromise on their transitional government's seating arrangement, as reported by a Yemeni official on Wednesday.","i official said wednesday .

Summary:
Somalia's feuding president and parliament speaker reached a compromise on their transitional government's seating arrangement, as reported by a Yemeni official on Wednesday.",430,275,705,0.17257735843668343,0.23057782443081978,0.23057782443081978,0.08328165557796029,0.20154882273479358,"[""i official said wednesday .\n\nSummary:\nSomalia's feuding president and parliament speaker reached a compromise, resolving a dispute over the seating arrangement for their new transitional government, as reported by a Yemeni official on Wednesday."", ""i official said wednesday .\n\nSummary:\nSomalia's president and parliament speaker reached a compromise following a dispute over their transitional government's seating arrangement, according to a Yemeni official."", ""i official said wednesday .\n\nSummary:\nSomalia's feuding president and parliament speaker reached a compromise over their transitional government's seating arrangement, as reported by a Yemeni official on Wednesday."", ""i official said wednesday .\n\nSummary:\nSomalia's feuding president and parliament speaker reached a compromise on their transitional government's seating arrangement, as reported by a Yemeni official on Wednesday."", ""i official said wednesday .\n\nSummary:\nSomalia's feuding president and parliament speaker reached a compromise in a dispute over their transitional government's seating arrangement, according to a Yemeni official.""]","[""i official said wednesday .\n\nSummary:\nSomalia's feuding president and parliament speaker reached a compromise, resolving a dispute over the seating arrangement for their new transitional government, as reported by a Yemeni official on Wednesday."", ""i official said wednesday .\n\nSummary:\nSomalia's president and parliament speaker reached a compromise following a dispute over their transitional government's seating arrangement, according to a Yemeni official."", ""i official said wednesday .\n\nSummary:\nSomalia's feuding president and parliament speaker reached a compromise over their transitional government's seating arrangement, as reported by a Yemeni official on Wednesday."", ""i official said wednesday .\n\nSummary:\nSomalia's feuding president and parliament speaker reached a compromise on their transitional government's seating arrangement, as reported by a Yemeni official on Wednesday."", ""i official said wednesday .\n\nSummary:\nSomalia's feuding president and parliament speaker reached a compromise in a dispute over their transitional government's seating arrangement, according to a Yemeni official.""]"
"a ##-hour strike by airport workers in portugal planned for friday over job security issues could lead to flight cancellations , union and airport officials said .",portuguese airport workers strike could ground flights on friday,"issues could lead to flight cancellations , union and airport officials said .

Summary:
Airport workers in Portugal plan a 24-hour strike on Friday, targeting job security concerns that may cause flight cancellations, as stated by union and airport officials.","issues could lead to flight cancellations , union and airport officials said .

Summary:
Airport workers in Portugal plan a 24-hour strike on Friday, targeting job security concerns that may cause flight cancellations, as stated by union and airport officials.",390,315,705,0.17257735843668343,0.23057782443081978,0.23057782443081978,0.08328165557796029,0.20154882273479358,"[""issues could lead to flight cancellations , union and airport officials said .\n\nSummary:\nPortugal's airport workers plan a 24-hour strike on Friday, protesting job security concerns that may cause flight cancellations, as noted by union and airport officials."", ""issues could lead to flight cancellations , union and airport officials said .\n\nSummary:\nAirport workers in Portugal plan a ##-hour strike on Friday, aiming to secure their jobs, with potential disruptions including flight cancellations, according to union and airport officials."", ""issues could lead to flight cancellations , union and airport officials said .\n\nSummary:\nAirport workers in Portugal plan a 24-hour strike on Friday, targeting job security concerns that may cause flight cancellations, as stated by union and airport officials."", ""issues could lead to flight cancellations , union and airport officials said .\n\nSummary:\nAirport workers in Portugal plan a 24-hour strike on Friday, aiming to secure job stability and potentially causing flight cancellations, according to union and airport officials."", ""issues could lead to flight cancellations , union and airport officials said .\n\nSummary:\nPortuguese airport workers are planning a 24-hour strike on Friday, to protest job security concerns, which could result in flight cancellations.""]","[""issues could lead to flight cancellations , union and airport officials said .\n\nSummary:\nPortugal's airport workers plan a 24-hour strike on Friday, protesting job security concerns that may cause flight cancellations, as noted by union and airport officials."", ""issues could lead to flight cancellations , union and airport officials said .\n\nSummary:\nAirport workers in Portugal plan a ##-hour strike on Friday, aiming to secure their jobs, with potential disruptions including flight cancellations, according to union and airport officials."", ""issues could lead to flight cancellations , union and airport officials said .\n\nSummary:\nAirport workers in Portugal plan a 24-hour strike on Friday, targeting job security concerns that may cause flight cancellations, as stated by union and airport officials."", ""issues could lead to flight cancellations , union and airport officials said .\n\nSummary:\nAirport workers in Portugal plan a 24-hour strike on Friday, aiming to secure job stability and potentially causing flight cancellations, according to union and airport officials."", ""issues could lead to flight cancellations , union and airport officials said .\n\nSummary:\nPortuguese airport workers are planning a 24-hour strike on Friday, to protest job security concerns, which could result in flight cancellations.""]"
jose mourinho renewed his partnership with portuguese international maniche on wednesday when he completed the loan signing of the ##-year-old midfielder from dynamo moscow .,maniche renews partnership with mourinho,"year-old midfielder from dynamo moscow .

Summary:
Mourinho renews partnership with Maniche, completing a loan signing for the 29-year-old midfielder from Dynamo Moscow.","year-old midfielder from dynamo moscow .

Summary:
Mourinho renews partnership with Maniche, completing a loan signing for the 29-year-old midfielder from Dynamo Moscow.",415,290,705,0.17257735843668343,0.23057782443081978,0.23057782443081978,0.08328165557796029,0.20154882273479358,"[""year-old midfielder from dynamo moscow .\n\nSummary:\nMourinho extended his collaboration with Maniche, completing a loan signing of the Portuguese midfielder from Dynamo Moscow."", ""year-old midfielder from dynamo moscow .\n\nSummary:\nMourinho renews partnership with Maniche, completing a loan signing for the 29-year-old midfielder from Dynamo Moscow."", ""year-old midfielder from dynamo moscow .\n\nSummary:\nMourinho renewed his partnership with Portuguese midfielder Maniche, completing a loan signing for the 26-year-old from Dynamo Moscow."", ""year-old midfielder from dynamo moscow .\n\nSummary:\nJose Mourinho renewed his association with Portuguese midfielder Maniche, completing a loan signing of the 30-year-old from Dynamo Moscow."", ""year-old midfielder from dynamo moscow .\n\nSummary:\nMourinho extended his collaboration with Maniche, completing the loan signing of the 27-year-old Portuguese midfielder from Dynamo Moscow.""]","[""year-old midfielder from dynamo moscow .\n\nSummary:\nMourinho extended his collaboration with Maniche, completing a loan signing of the Portuguese midfielder from Dynamo Moscow."", ""year-old midfielder from dynamo moscow .\n\nSummary:\nMourinho renews partnership with Maniche, completing a loan signing for the 29-year-old midfielder from Dynamo Moscow."", ""year-old midfielder from dynamo moscow .\n\nSummary:\nMourinho renewed his partnership with Portuguese midfielder Maniche, completing a loan signing for the 26-year-old from Dynamo Moscow."", ""year-old midfielder from dynamo moscow .\n\nSummary:\nJose Mourinho renewed his association with Portuguese midfielder Maniche, completing a loan signing of the 30-year-old from Dynamo Moscow."", ""year-old midfielder from dynamo moscow .\n\nSummary:\nMourinho extended his collaboration with Maniche, completing the loan signing of the 27-year-old Portuguese midfielder from Dynamo Moscow.""]"
"hollywood is planning a new sequel to adventure flick `` ocean 's eleven , '' with star george clooney set to reprise his role as a charismatic thief in `` ocean 's thirteen , '' the entertainment press said wednesday .",hollywood shores up support for ocean 's thirteen,"Hollywood plans a new ""Ocean's Eleven"" sequel titled ""Ocean's Thirteen,"" featuring George Clooney in his recurring role as a charming thief.","Hollywood plans a new ""Ocean's Eleven"" sequel titled ""Ocean's Thirteen,"" featuring George Clooney in his recurring role as a charming thief.",475,230,705,0.17257735843668343,0.23057782443081978,0.23057782443081978,0.08328165557796029,0.20154882273479358,"[""Hollywood plans a new \""Ocean's Eleven\"" sequel, titled \""Ocean's Thirteen,\"" featuring George Clooney as a charismatic thief. The announcement was reported by the entertainment press on Wednesday."", ""Hollywood plans a new \""Ocean's Eleven\"" sequel titled \""Ocean's Thirteen,\"" starring George Clooney as a charismatic thief. The news was reported by the entertainment press on Wednesday."", ""Hollywood is developing a new \""Ocean's Eleven\"" sequel titled \""Ocean's Thirteen.\"" George Clooney is expected to reprise his role as a charming thief."", ""Hollywood is developing a sequel to \""Ocean's Eleven,\"" titled \""Ocean's Thirteen.\"" George Clooney is expected to return as the lead thief."", ""Hollywood plans a new \""Ocean's Eleven\"" sequel titled \""Ocean's Thirteen,\"" featuring George Clooney in his recurring role as a charming thief.""]","[""Hollywood plans a new \""Ocean's Eleven\"" sequel, titled \""Ocean's Thirteen,\"" featuring George Clooney as a charismatic thief. The announcement was reported by the entertainment press on Wednesday."", ""Hollywood plans a new \""Ocean's Eleven\"" sequel titled \""Ocean's Thirteen,\"" starring George Clooney as a charismatic thief. The news was reported by the entertainment press on Wednesday."", ""Hollywood is developing a new \""Ocean's Eleven\"" sequel titled \""Ocean's Thirteen.\"" George Clooney is expected to reprise his role as a charming thief."", ""Hollywood is developing a sequel to \""Ocean's Eleven,\"" titled \""Ocean's Thirteen.\"" George Clooney is expected to return as the lead thief."", ""Hollywood plans a new \""Ocean's Eleven\"" sequel titled \""Ocean's Thirteen,\"" featuring George Clooney in his recurring role as a charming thief.""]"
