Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,accuracy,macro_f1,in_context,context_indices,retrieval_scores
"no movement , no yuks , not much of anything .",negative,negative,"... is magnificent .
label: very positive

Target input text:
no movement , no yuks , not much of anything .

Label:
negative",348,32,380,0.042310006749175955,0.5253393665158371,0.5253393665158371,0.4336991319595434,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
"a gob of drivel so sickly sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid crème brûlée .",very negative,very negative,very negative,376,4,380,0.042310006749175955,0.5253393665158371,0.5253393665158371,0.4336991319595434,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
` how many more voyages can this limping but dearly-loved franchise survive ? ',neutral,negative,":
` how many more voyages can this limping but dearly-loved franchise survive ? '

Label:
negative",354,26,380,0.042310006749175955,0.5253393665158371,0.5253393665158371,0.4336991319595434,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
so relentlessly wholesome it made me want to swipe something .,neutral,negative,"uppert ... is magnificent .
label: very positive

Target input text:
so relentlessly wholesome it made me want to swipe something .

Label:
negative",347,33,380,0.042310006749175955,0.5253393665158371,0.5253393665158371,0.4336991319595434,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up .",very negative,negative,"it ends by blowing just about everything up .

Label:
negative",364,16,380,0.042310006749175955,0.5253393665158371,0.5253393665158371,0.4336991319595434,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
"we never really feel involved with the story , as all of its ideas remain just that : abstract ideas .",very negative,negative,"with the story , as all of its ideas remain just that : abstract ideas .

Label:
negative",357,23,380,0.042310006749175955,0.5253393665158371,0.5253393665158371,0.4336991319595434,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
this is one of polanski 's best films .,very positive,positive,"... is magnificent .
label: very positive

Target input text:
this is one of polanski 's best films .

Label:
positive",348,32,380,0.042310006749175955,0.5253393665158371,0.5253393665158371,0.4336991319595434,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
take care of my cat offers a refreshingly different slice of asian cinema .,positive,positive,"very positive

Target input text:
take care of my cat offers a refreshingly different slice of asian cinema .

Label:
positive",351,29,380,0.042310006749175955,0.5253393665158371,0.5253393665158371,0.4336991319595434,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
"acting , particularly by tambor , almost makes `` never again '' worthwhile , but -lrb- writer\/director -rrb- schaeffer should follow his titular advice",negative,negative,"Label:
negative",372,8,380,0.042310006749175955,0.5253393665158371,0.5253393665158371,0.4336991319595434,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
the movie exists for its soccer action and its fine acting .,positive,positive,"... is magnificent .
label: very positive

Target input text:
the movie exists for its soccer action and its fine acting .

Label:
positive",348,32,380,0.042310006749175955,0.5253393665158371,0.5253393665158371,0.4336991319595434,"For example,
input text: a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films
label: very positive
input text: apparently reassembled from the cutting-room floor of any given daytime soap .
label: negative
input text: they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .
label: negative
input text: the entire movie is filled with deja vu moments .
label: neutral
input text: this is a visually stunning rumination on love , memory , history and the war between art and commerce .
label: positive
input text: um , no. .
label: neutral
input text: jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .
label: positive
input text: campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .
label: positive
input text: a fan film that for the uninitiated plays better on video with the sound turned down .
label: negative
input text: béart and berling are both superb , while huppert ... is magnificent .
label: very positive","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
