Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,mse,rmse,pearson_coeff,spearman_coeff,sv_initial_raw,sv_verified_raw
text1: mr. grassley and mr. baucus rejected any disparity in drug benefits . text2: grassley and baucus said they had rejected that approach in their plan .,3.0,3.5,"Final score:
3.5",243,55,298,0.04982754131196998,1.2421382361904763,1.1145125554207438,0.5876911164350666,0.5633465147141096,": mr. grassley and mr. baucus rejected any disparity in drug benefits . text2: grassley and baucus said they had rejected that approach in their plan .

Score:
3.5","Final score:
3.5"
text1: he also reaffirmed his wish to resolve the north korean nuclear crisis peacefully . text2: but the north korean nuclear crisis has dominated his time in office .,2.0,3.5,3.5,245,53,298,0.04982754131196998,1.2421382361904763,1.1145125554207438,0.5876911164350666,0.5633465147141096,"text1: he also reaffirmed his wish to resolve the north korean nuclear crisis peacefully . text2: but the north korean nuclear crisis has dominated his time in office .

Score:
Score: 3.5",3.5
"text1: in the year-ago quarter , the steelmaker recorded a profit of $ 16.2 million , or 15 cents per share , on sales of $ 1.14 billion . text2: in the second quarter last year , ak steel reported a profit of $ 16.2 million , or 15 cents a share .",3.4,3.5,"Final score:
3.5",277,21,298,0.04982754131196998,1.2421382361904763,1.1145125554207438,0.5876911164350666,0.5633465147141096,".

Score:
3.5","Final score:
3.5"
text1: pg & e corp. shares were up 39 cents or 2.6 percent at $ 15.59 on the new york stock exchange on tuesday . text2: pg & e 's shares gained 24 cents to $ 15.44 during tuesday 's trading on the new york stock exchange .,2.2,3.5,"score:
3.5",275,23,298,0.04982754131196998,1.2421382361904763,1.1145125554207438,0.5876911164350666,0.5633465147141096,"york stock exchange .

Score:
3.5","score:
3.5"
"text1: the nasdaq had a weekly gain of 17.27 , or 1.2 percent , closing at 1,520.15 on friday . text2: the tech-laced nasdaq composite .ixic rallied 30.46 points , or 2.04 percent , to 1,520.15 .",1.8,3.5,"Final score:
3.5",275,23,298,0.04982754131196998,1.2421382361904763,1.1145125554207438,0.5876911164350666,0.5633465147141096,".15 .

Score:
3.5","Final score:
3.5"
"text1: "" this decision is clearly incorrect , "" ftc chairman timothy muris said in a written statement . text2: the decision is "" clearly incorrect , "" ftc chairman tim muris said .",4.0,4.5,4.5,252,46,298,0.04982754131196998,1.2421382361904763,1.1145125554207438,0.5876911164350666,0.5633465147141096,"timothy muris said in a written statement . text2: the decision is "" clearly incorrect , "" ftc chairman tim muris said .

Score:
Score: 4.5",4.5
"text1: a rebel who was captured said more than 2,000 insurgents were involved in the attack . text2: a captured rebel said 2,100 combatants had been involved in the offensive .",3.5,4.5,4.5,251,47,298,0.04982754131196998,1.2421382361904763,1.1145125554207438,0.5876911164350666,0.5633465147141096,"2,000 insurgents were involved in the attack . text2: a captured rebel said 2,100 combatants had been involved in the offensive .

Score:
Score: 4.5",4.5
"text1: "" it was brazen intimidation to keep people on the reservation , "" said a republican who attended but did not want to be named . text2: "" it was a brazen attempt at intimidation , "" said a republican legislator who attended the meeting .",3.5,4.5,4.5,263,35,298,0.04982754131196998,1.2421382361904763,1.1145125554207438,0.5876911164350666,0.5633465147141096,"a brazen attempt at intimidation , "" said a republican legislator who attended the meeting .

Score:
Score: 4.5",4.5
"text1: no charges were announced , but the statement said legal proceedings were expected monday . text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore .",2.75,4.0,4.0,247,51,298,0.04982754131196998,1.2421382361904763,1.1145125554207438,0.5876911164350666,0.5633465147141096,"charges were announced , but the statement said legal proceedings were expected monday . text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore .

Score:
Score: 4.0",4.0
"text1: the dead woman was also wearing a ring and a cartier watch . text2: "" it 's a blond-haired woman wearing a cartier watch on her wrist , "" the source said .",2.6,4.5,"Final score:
4.5",248,50,298,0.04982754131196998,1.2421382361904763,1.1145125554207438,0.5876911164350666,0.5633465147141096,"a cartier watch . text2: "" it 's a blond-haired woman wearing a cartier watch on her wrist , "" the source said .

Score:
4.5","Final score:
4.5"
"text1: the tech-heavy nasdaq stock markets composite index added 14.17 points or 0.94 per cent to 1,517.05 . text2: the nasdaq composite index , full of technology stocks , was lately up around 18 points .",2.2,3.0,3.0,265,33,298,0.04982754131196998,1.2421382361904763,1.1145125554207438,0.5876911164350666,0.5633465147141096,"composite index , full of technology stocks , was lately up around 18 points .

Score:
Score: 3.0",3.0
