Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,bleu,chrf,in_context,context_indices,retrieval_scores
"Last week, the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.",上周，古装剧《美人私房菜》临时停播，意外引发了关于国产剧收视率造假的热烈讨论。,", the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.

Translation (Chinese):assistant

上周，播出时装剧《美丽私人厨房》暂时停播，意外地引发了关于国产剧假收视率的热烈讨论。",", the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.

Translation (Chinese):assistant

上周，播出时装剧《美丽私人厨房》暂时停播，意外地引发了关于国产剧假收视率的热烈讨论。",722,111,833,0.23835050456182216,0.04074173986666398,0.04074173986666398,0.20910904568815056,"For example,
English: Whispers were making the rounds about my private life, and I decided it was time to come out.
Chinese: 关于我的私生活流言蜚语不断，我决定是时候站出来了。
English: Furthermore, Japan’s government should push to complete negotiations for the Trans-Pacific Partnership, which is currently being negotiated among 12 countries, from Mexico to the United States to Vietnam.
Chinese: 此外，日本政府应当加紧完成跨太平洋伙伴计划的谈判。 目前已经有十二个国家参与该项谈判，涵盖从墨西哥到美国再到越南的广大区域。
English: The Trans-Pacific Partnership – by which the United States and 11 other countries would create a mega-regional free-trade zone – would most likely accelerate this shift (all the more so if China eventually joins).
Chinese: 跨太平洋合作伙伴关系（Trans-Pacific Partnership，TPP，由美国和其他11国建立的巨型地区自由贸易区）很有可能加速这一变革（如果中国最终也能加入就更加如此了 ） 。
English: This innovative document codified how banks should tailor products to clients with cognitive impairments.
Chinese: 这份创新文件规定了银行应该如何定制产品为认知障碍客户服务。
English: Probably not.
Chinese: 也许并非如此。
English: There is hope, though.
Chinese: 但希望仍在。
English: Like history, social-scientific theory is written by the victors and shaped by the context and challenges of its time.
Chinese: 以历史为例，社会-科学理论是由胜利者撰写的，同时也受到特定时代背景和当时（社会主要）矛盾的影响。
English: Consider the case of a bank headquartered in Italy, but with an important subsidiary in Germany.
Chinese: 就拿总部设在意大利的某家一行来说吧，这家银行在德国设有一家重要分行。
English: The new strategy that US Secretary of State Hillary Clinton has been promoting to staunch the upward trend of narco-trafficking-related murders – which leaked Mexican government reports put at more than 22,000 since late 2006 – is to build “stronger, more resilient communities.”
Chinese: 建设“更强大，适应力更强的社会”是美国国务卿希拉里·克林顿宣传能够阻止与毒品贩运有关谋杀上升趋势的新战略 — — 泄露出来的墨西哥政府报告统计2006年以来与贩毒有关的谋杀已经超过 22,000起。
English: Unfortunately, many people are likely to be hurt in the meantime, not least those who now support him.
Chinese: 不幸的是，在此过程中有很多人会受到伤害，不止是现在支持他的哪些人。","[2619, 456, 102, 1126, 1003, 914, 571, 419, 2771, 2233]",[]
Civil rights group issues travel warning for Missouri,民权团体针对密苏里州发出旅行警告,"in the meantime, not least those who now support him.
Chinese: 不幸的是，在此过程中有很多人会受到伤害，不止是现在支持他的哪些人。

Input (English):
Civil rights group issues travel warning for Missouri

Translation (Chinese):assistant

密苏里州民权团体发布旅行警告。","in the meantime, not least those who now support him.
Chinese: 不幸的是，在此过程中有很多人会受到伤害，不止是现在支持他的哪些人。

Input (English):
Civil rights group issues travel warning for Missouri

Translation (Chinese):assistant

密苏里州民权团体发布旅行警告。",700,133,833,0.23835050456182216,0.04074173986666398,0.04074173986666398,0.20910904568815056,"For example,
English: Whispers were making the rounds about my private life, and I decided it was time to come out.
Chinese: 关于我的私生活流言蜚语不断，我决定是时候站出来了。
English: Furthermore, Japan’s government should push to complete negotiations for the Trans-Pacific Partnership, which is currently being negotiated among 12 countries, from Mexico to the United States to Vietnam.
Chinese: 此外，日本政府应当加紧完成跨太平洋伙伴计划的谈判。 目前已经有十二个国家参与该项谈判，涵盖从墨西哥到美国再到越南的广大区域。
English: The Trans-Pacific Partnership – by which the United States and 11 other countries would create a mega-regional free-trade zone – would most likely accelerate this shift (all the more so if China eventually joins).
Chinese: 跨太平洋合作伙伴关系（Trans-Pacific Partnership，TPP，由美国和其他11国建立的巨型地区自由贸易区）很有可能加速这一变革（如果中国最终也能加入就更加如此了 ） 。
English: This innovative document codified how banks should tailor products to clients with cognitive impairments.
Chinese: 这份创新文件规定了银行应该如何定制产品为认知障碍客户服务。
English: Probably not.
Chinese: 也许并非如此。
English: There is hope, though.
Chinese: 但希望仍在。
English: Like history, social-scientific theory is written by the victors and shaped by the context and challenges of its time.
Chinese: 以历史为例，社会-科学理论是由胜利者撰写的，同时也受到特定时代背景和当时（社会主要）矛盾的影响。
English: Consider the case of a bank headquartered in Italy, but with an important subsidiary in Germany.
Chinese: 就拿总部设在意大利的某家一行来说吧，这家银行在德国设有一家重要分行。
English: The new strategy that US Secretary of State Hillary Clinton has been promoting to staunch the upward trend of narco-trafficking-related murders – which leaked Mexican government reports put at more than 22,000 since late 2006 – is to build “stronger, more resilient communities.”
Chinese: 建设“更强大，适应力更强的社会”是美国国务卿希拉里·克林顿宣传能够阻止与毒品贩运有关谋杀上升趋势的新战略 — — 泄露出来的墨西哥政府报告统计2006年以来与贩毒有关的谋杀已经超过 22,000起。
English: Unfortunately, many people are likely to be hurt in the meantime, not least those who now support him.
Chinese: 不幸的是，在此过程中有很多人会受到伤害，不止是现在支持他的哪些人。","[2619, 456, 102, 1126, 1003, 914, 571, 419, 2771, 2233]",[]
The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,由于密苏里州的歧视性政策和种族主义袭击，美国有色人种促进协会 (NAACP) 向准备前往密苏里州出游的有色人群发出旅行警告。,"Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.

Translation (Chinese):assistant

美国有色人种协进会已发布了针对前往密苏里州的有色人种旅行者的一份警告，因为该州的歧视性政策和种族主义袭击。","Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.

Translation (Chinese):assistant

美国有色人种协进会已发布了针对前往密苏里州的有色人种旅行者的一份警告，因为该州的歧视性政策和种族主义袭击。",725,108,833,0.23835050456182216,0.04074173986666398,0.04074173986666398,0.20910904568815056,"For example,
English: Whispers were making the rounds about my private life, and I decided it was time to come out.
Chinese: 关于我的私生活流言蜚语不断，我决定是时候站出来了。
English: Furthermore, Japan’s government should push to complete negotiations for the Trans-Pacific Partnership, which is currently being negotiated among 12 countries, from Mexico to the United States to Vietnam.
Chinese: 此外，日本政府应当加紧完成跨太平洋伙伴计划的谈判。 目前已经有十二个国家参与该项谈判，涵盖从墨西哥到美国再到越南的广大区域。
English: The Trans-Pacific Partnership – by which the United States and 11 other countries would create a mega-regional free-trade zone – would most likely accelerate this shift (all the more so if China eventually joins).
Chinese: 跨太平洋合作伙伴关系（Trans-Pacific Partnership，TPP，由美国和其他11国建立的巨型地区自由贸易区）很有可能加速这一变革（如果中国最终也能加入就更加如此了 ） 。
English: This innovative document codified how banks should tailor products to clients with cognitive impairments.
Chinese: 这份创新文件规定了银行应该如何定制产品为认知障碍客户服务。
English: Probably not.
Chinese: 也许并非如此。
English: There is hope, though.
Chinese: 但希望仍在。
English: Like history, social-scientific theory is written by the victors and shaped by the context and challenges of its time.
Chinese: 以历史为例，社会-科学理论是由胜利者撰写的，同时也受到特定时代背景和当时（社会主要）矛盾的影响。
English: Consider the case of a bank headquartered in Italy, but with an important subsidiary in Germany.
Chinese: 就拿总部设在意大利的某家一行来说吧，这家银行在德国设有一家重要分行。
English: The new strategy that US Secretary of State Hillary Clinton has been promoting to staunch the upward trend of narco-trafficking-related murders – which leaked Mexican government reports put at more than 22,000 since late 2006 – is to build “stronger, more resilient communities.”
Chinese: 建设“更强大，适应力更强的社会”是美国国务卿希拉里·克林顿宣传能够阻止与毒品贩运有关谋杀上升趋势的新战略 — — 泄露出来的墨西哥政府报告统计2006年以来与贩毒有关的谋杀已经超过 22,000起。
English: Unfortunately, many people are likely to be hurt in the meantime, not least those who now support him.
Chinese: 不幸的是，在此过程中有很多人会受到伤害，不止是现在支持他的哪些人。","[2619, 456, 102, 1126, 1003, 914, 571, 419, 2771, 2233]",[]
"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.",“2017 年 8 月 28 日生效的 NAACP 密苏里州旅行咨询中呼吁，因近期密苏里州发生了一系列可疑的种族性事件，所有非裔美籍旅行者、游客以及密苏里州人在密苏里州旅行时应特别注意并采取极其谨慎的态度，特此告知，”该团体的声明宣称。,摩门州的美国国家人权协会（NAACP）发布了旅行警告，警告非裔美国人旅行者、游客和密苏里州居民在旅行时应特别注意并采取极度谨慎的态度，因为最近密苏里州发生了一系列可疑的种族主义事件。,摩门州的美国国家人权协会（NAACP）发布了旅行警告，警告非裔美国人旅行者、游客和密苏里州居民在旅行时应特别注意并采取极度谨慎的态度，因为最近密苏里州发生了一系列可疑的种族主义事件。,760,73,833,0.23835050456182216,0.04074173986666398,0.04074173986666398,0.20910904568815056,"For example,
English: Whispers were making the rounds about my private life, and I decided it was time to come out.
Chinese: 关于我的私生活流言蜚语不断，我决定是时候站出来了。
English: Furthermore, Japan’s government should push to complete negotiations for the Trans-Pacific Partnership, which is currently being negotiated among 12 countries, from Mexico to the United States to Vietnam.
Chinese: 此外，日本政府应当加紧完成跨太平洋伙伴计划的谈判。 目前已经有十二个国家参与该项谈判，涵盖从墨西哥到美国再到越南的广大区域。
English: The Trans-Pacific Partnership – by which the United States and 11 other countries would create a mega-regional free-trade zone – would most likely accelerate this shift (all the more so if China eventually joins).
Chinese: 跨太平洋合作伙伴关系（Trans-Pacific Partnership，TPP，由美国和其他11国建立的巨型地区自由贸易区）很有可能加速这一变革（如果中国最终也能加入就更加如此了 ） 。
English: This innovative document codified how banks should tailor products to clients with cognitive impairments.
Chinese: 这份创新文件规定了银行应该如何定制产品为认知障碍客户服务。
English: Probably not.
Chinese: 也许并非如此。
English: There is hope, though.
Chinese: 但希望仍在。
English: Like history, social-scientific theory is written by the victors and shaped by the context and challenges of its time.
Chinese: 以历史为例，社会-科学理论是由胜利者撰写的，同时也受到特定时代背景和当时（社会主要）矛盾的影响。
English: Consider the case of a bank headquartered in Italy, but with an important subsidiary in Germany.
Chinese: 就拿总部设在意大利的某家一行来说吧，这家银行在德国设有一家重要分行。
English: The new strategy that US Secretary of State Hillary Clinton has been promoting to staunch the upward trend of narco-trafficking-related murders – which leaked Mexican government reports put at more than 22,000 since late 2006 – is to build “stronger, more resilient communities.”
Chinese: 建设“更强大，适应力更强的社会”是美国国务卿希拉里·克林顿宣传能够阻止与毒品贩运有关谋杀上升趋势的新战略 — — 泄露出来的墨西哥政府报告统计2006年以来与贩毒有关的谋杀已经超过 22,000起。
English: Unfortunately, many people are likely to be hurt in the meantime, not least those who now support him.
Chinese: 不幸的是，在此过程中有很多人会受到伤害，不止是现在支持他的哪些人。","[2619, 456, 102, 1126, 1003, 914, 571, 419, 2771, 2233]",[]
"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.",NAACP 指出，最近通过的一项密苏里州法律使得人们更难赢得歧视诉讼，该州执法也一定程度上针对少数群体，这些现象促使该组织发布了旅行警告。,"state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.

Translation (Chinese):assistant

一项最近通过的密苏里州法律，规定了更为困难的歧视性诉讼程序，州的执法部门也倾向于针对少数群体，这些因素促使了NAACP发出了旅行警告。","state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.

Translation (Chinese):assistant

一项最近通过的密苏里州法律，规定了更为困难的歧视性诉讼程序，州的执法部门也倾向于针对少数群体，这些因素促使了NAACP发出了旅行警告。",730,103,833,0.23835050456182216,0.04074173986666398,0.04074173986666398,0.20910904568815056,"For example,
English: Whispers were making the rounds about my private life, and I decided it was time to come out.
Chinese: 关于我的私生活流言蜚语不断，我决定是时候站出来了。
English: Furthermore, Japan’s government should push to complete negotiations for the Trans-Pacific Partnership, which is currently being negotiated among 12 countries, from Mexico to the United States to Vietnam.
Chinese: 此外，日本政府应当加紧完成跨太平洋伙伴计划的谈判。 目前已经有十二个国家参与该项谈判，涵盖从墨西哥到美国再到越南的广大区域。
English: The Trans-Pacific Partnership – by which the United States and 11 other countries would create a mega-regional free-trade zone – would most likely accelerate this shift (all the more so if China eventually joins).
Chinese: 跨太平洋合作伙伴关系（Trans-Pacific Partnership，TPP，由美国和其他11国建立的巨型地区自由贸易区）很有可能加速这一变革（如果中国最终也能加入就更加如此了 ） 。
English: This innovative document codified how banks should tailor products to clients with cognitive impairments.
Chinese: 这份创新文件规定了银行应该如何定制产品为认知障碍客户服务。
English: Probably not.
Chinese: 也许并非如此。
English: There is hope, though.
Chinese: 但希望仍在。
English: Like history, social-scientific theory is written by the victors and shaped by the context and challenges of its time.
Chinese: 以历史为例，社会-科学理论是由胜利者撰写的，同时也受到特定时代背景和当时（社会主要）矛盾的影响。
English: Consider the case of a bank headquartered in Italy, but with an important subsidiary in Germany.
Chinese: 就拿总部设在意大利的某家一行来说吧，这家银行在德国设有一家重要分行。
English: The new strategy that US Secretary of State Hillary Clinton has been promoting to staunch the upward trend of narco-trafficking-related murders – which leaked Mexican government reports put at more than 22,000 since late 2006 – is to build “stronger, more resilient communities.”
Chinese: 建设“更强大，适应力更强的社会”是美国国务卿希拉里·克林顿宣传能够阻止与毒品贩运有关谋杀上升趋势的新战略 — — 泄露出来的墨西哥政府报告统计2006年以来与贩毒有关的谋杀已经超过 22,000起。
English: Unfortunately, many people are likely to be hurt in the meantime, not least those who now support him.
Chinese: 不幸的是，在此过程中有很多人会受到伤害，不止是现在支持他的哪些人。","[2619, 456, 102, 1126, 1003, 914, 571, 419, 2771, 2233]",[]
"""You have violations of civil rights that are happening to people.",侵犯公民权利的行为正发生在人们身上。,"those who now support him.
Chinese: 不幸的是，在此过程中有很多人会受到伤害，不止是现在支持他的哪些人。

Input (English):
""You have violations of civil rights that are happening to people.

Translation (Chinese):assistant

你有侵犯公民权利的行为正在发生。","those who now support him.
Chinese: 不幸的是，在此过程中有很多人会受到伤害，不止是现在支持他的哪些人。

Input (English):
""You have violations of civil rights that are happening to people.

Translation (Chinese):assistant

你有侵犯公民权利的行为正在发生。",703,130,833,0.23835050456182216,0.04074173986666398,0.04074173986666398,0.20910904568815056,"For example,
English: Whispers were making the rounds about my private life, and I decided it was time to come out.
Chinese: 关于我的私生活流言蜚语不断，我决定是时候站出来了。
English: Furthermore, Japan’s government should push to complete negotiations for the Trans-Pacific Partnership, which is currently being negotiated among 12 countries, from Mexico to the United States to Vietnam.
Chinese: 此外，日本政府应当加紧完成跨太平洋伙伴计划的谈判。 目前已经有十二个国家参与该项谈判，涵盖从墨西哥到美国再到越南的广大区域。
English: The Trans-Pacific Partnership – by which the United States and 11 other countries would create a mega-regional free-trade zone – would most likely accelerate this shift (all the more so if China eventually joins).
Chinese: 跨太平洋合作伙伴关系（Trans-Pacific Partnership，TPP，由美国和其他11国建立的巨型地区自由贸易区）很有可能加速这一变革（如果中国最终也能加入就更加如此了 ） 。
English: This innovative document codified how banks should tailor products to clients with cognitive impairments.
Chinese: 这份创新文件规定了银行应该如何定制产品为认知障碍客户服务。
English: Probably not.
Chinese: 也许并非如此。
English: There is hope, though.
Chinese: 但希望仍在。
English: Like history, social-scientific theory is written by the victors and shaped by the context and challenges of its time.
Chinese: 以历史为例，社会-科学理论是由胜利者撰写的，同时也受到特定时代背景和当时（社会主要）矛盾的影响。
English: Consider the case of a bank headquartered in Italy, but with an important subsidiary in Germany.
Chinese: 就拿总部设在意大利的某家一行来说吧，这家银行在德国设有一家重要分行。
English: The new strategy that US Secretary of State Hillary Clinton has been promoting to staunch the upward trend of narco-trafficking-related murders – which leaked Mexican government reports put at more than 22,000 since late 2006 – is to build “stronger, more resilient communities.”
Chinese: 建设“更强大，适应力更强的社会”是美国国务卿希拉里·克林顿宣传能够阻止与毒品贩运有关谋杀上升趋势的新战略 — — 泄露出来的墨西哥政府报告统计2006年以来与贩毒有关的谋杀已经超过 22,000起。
English: Unfortunately, many people are likely to be hurt in the meantime, not least those who now support him.
Chinese: 不幸的是，在此过程中有很多人会受到伤害，不止是现在支持他的哪些人。","[2619, 456, 102, 1126, 1003, 914, 571, 419, 2771, 2233]",[]
"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.",他们因肤色被停车盘问，被殴打或被杀害，”密苏里州 NAACP 主席罗德·查培尔告诉堪萨斯城星报 (The Kansas City Star)。,"'re being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.

Translation (Chinese):assistant

他们被拦下是因为肤色，他们被打伤或杀害,""密苏里州NAACP会长罗德·查普尔（Rod Chapel）对《堪萨斯城之星》说。","'re being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.

Translation (Chinese):assistant

他们被拦下是因为肤色，他们被打伤或杀害,""密苏里州NAACP会长罗德·查普尔（Rod Chapel）对《堪萨斯城之星》说。",727,106,833,0.23835050456182216,0.04074173986666398,0.04074173986666398,0.20910904568815056,"For example,
English: Whispers were making the rounds about my private life, and I decided it was time to come out.
Chinese: 关于我的私生活流言蜚语不断，我决定是时候站出来了。
English: Furthermore, Japan’s government should push to complete negotiations for the Trans-Pacific Partnership, which is currently being negotiated among 12 countries, from Mexico to the United States to Vietnam.
Chinese: 此外，日本政府应当加紧完成跨太平洋伙伴计划的谈判。 目前已经有十二个国家参与该项谈判，涵盖从墨西哥到美国再到越南的广大区域。
English: The Trans-Pacific Partnership – by which the United States and 11 other countries would create a mega-regional free-trade zone – would most likely accelerate this shift (all the more so if China eventually joins).
Chinese: 跨太平洋合作伙伴关系（Trans-Pacific Partnership，TPP，由美国和其他11国建立的巨型地区自由贸易区）很有可能加速这一变革（如果中国最终也能加入就更加如此了 ） 。
English: This innovative document codified how banks should tailor products to clients with cognitive impairments.
Chinese: 这份创新文件规定了银行应该如何定制产品为认知障碍客户服务。
English: Probably not.
Chinese: 也许并非如此。
English: There is hope, though.
Chinese: 但希望仍在。
English: Like history, social-scientific theory is written by the victors and shaped by the context and challenges of its time.
Chinese: 以历史为例，社会-科学理论是由胜利者撰写的，同时也受到特定时代背景和当时（社会主要）矛盾的影响。
English: Consider the case of a bank headquartered in Italy, but with an important subsidiary in Germany.
Chinese: 就拿总部设在意大利的某家一行来说吧，这家银行在德国设有一家重要分行。
English: The new strategy that US Secretary of State Hillary Clinton has been promoting to staunch the upward trend of narco-trafficking-related murders – which leaked Mexican government reports put at more than 22,000 since late 2006 – is to build “stronger, more resilient communities.”
Chinese: 建设“更强大，适应力更强的社会”是美国国务卿希拉里·克林顿宣传能够阻止与毒品贩运有关谋杀上升趋势的新战略 — — 泄露出来的墨西哥政府报告统计2006年以来与贩毒有关的谋杀已经超过 22,000起。
English: Unfortunately, many people are likely to be hurt in the meantime, not least those who now support him.
Chinese: 不幸的是，在此过程中有很多人会受到伤害，不止是现在支持他的哪些人。","[2619, 456, 102, 1126, 1003, 914, 571, 419, 2771, 2233]",[]
"""We are hearing complaints at a rate we haven't heard before.""",“我们收到了许多投诉，数量前所未有。”,"now support him.
Chinese: 不幸的是，在此过程中有很多人会受到伤害，不止是现在支持他的哪些人。

Input (English):
""We are hearing complaints at a rate we haven't heard before.""

Translation (Chinese):assistant

我们听到投诉的数量比以前多。","now support him.
Chinese: 不幸的是，在此过程中有很多人会受到伤害，不止是现在支持他的哪些人。

Input (English):
""We are hearing complaints at a rate we haven't heard before.""

Translation (Chinese):assistant

我们听到投诉的数量比以前多。",704,129,833,0.23835050456182216,0.04074173986666398,0.04074173986666398,0.20910904568815056,"For example,
English: Whispers were making the rounds about my private life, and I decided it was time to come out.
Chinese: 关于我的私生活流言蜚语不断，我决定是时候站出来了。
English: Furthermore, Japan’s government should push to complete negotiations for the Trans-Pacific Partnership, which is currently being negotiated among 12 countries, from Mexico to the United States to Vietnam.
Chinese: 此外，日本政府应当加紧完成跨太平洋伙伴计划的谈判。 目前已经有十二个国家参与该项谈判，涵盖从墨西哥到美国再到越南的广大区域。
English: The Trans-Pacific Partnership – by which the United States and 11 other countries would create a mega-regional free-trade zone – would most likely accelerate this shift (all the more so if China eventually joins).
Chinese: 跨太平洋合作伙伴关系（Trans-Pacific Partnership，TPP，由美国和其他11国建立的巨型地区自由贸易区）很有可能加速这一变革（如果中国最终也能加入就更加如此了 ） 。
English: This innovative document codified how banks should tailor products to clients with cognitive impairments.
Chinese: 这份创新文件规定了银行应该如何定制产品为认知障碍客户服务。
English: Probably not.
Chinese: 也许并非如此。
English: There is hope, though.
Chinese: 但希望仍在。
English: Like history, social-scientific theory is written by the victors and shaped by the context and challenges of its time.
Chinese: 以历史为例，社会-科学理论是由胜利者撰写的，同时也受到特定时代背景和当时（社会主要）矛盾的影响。
English: Consider the case of a bank headquartered in Italy, but with an important subsidiary in Germany.
Chinese: 就拿总部设在意大利的某家一行来说吧，这家银行在德国设有一家重要分行。
English: The new strategy that US Secretary of State Hillary Clinton has been promoting to staunch the upward trend of narco-trafficking-related murders – which leaked Mexican government reports put at more than 22,000 since late 2006 – is to build “stronger, more resilient communities.”
Chinese: 建设“更强大，适应力更强的社会”是美国国务卿希拉里·克林顿宣传能够阻止与毒品贩运有关谋杀上升趋势的新战略 — — 泄露出来的墨西哥政府报告统计2006年以来与贩毒有关的谋杀已经超过 22,000起。
English: Unfortunately, many people are likely to be hurt in the meantime, not least those who now support him.
Chinese: 不幸的是，在此过程中有很多人会受到伤害，不止是现在支持他的哪些人。","[2619, 456, 102, 1126, 1003, 914, 571, 419, 2771, 2233]",[]
It is the first such warning that the organization has issued for a state in the US.,这是该组织在美国针对某个州发布的第一个此类警告。,"此过程中有很多人会受到伤害，不止是现在支持他的哪些人。

Input (English):
It is the first such warning that the organization has issued for a state in the US.

Translation (Chinese):assistant

这是该组织针对美国一州发出的首份警告。","此过程中有很多人会受到伤害，不止是现在支持他的哪些人。

Input (English):
It is the first such warning that the organization has issued for a state in the US.

Translation (Chinese):assistant

这是该组织针对美国一州发出的首份警告。",709,124,833,0.23835050456182216,0.04074173986666398,0.04074173986666398,0.20910904568815056,"For example,
English: Whispers were making the rounds about my private life, and I decided it was time to come out.
Chinese: 关于我的私生活流言蜚语不断，我决定是时候站出来了。
English: Furthermore, Japan’s government should push to complete negotiations for the Trans-Pacific Partnership, which is currently being negotiated among 12 countries, from Mexico to the United States to Vietnam.
Chinese: 此外，日本政府应当加紧完成跨太平洋伙伴计划的谈判。 目前已经有十二个国家参与该项谈判，涵盖从墨西哥到美国再到越南的广大区域。
English: The Trans-Pacific Partnership – by which the United States and 11 other countries would create a mega-regional free-trade zone – would most likely accelerate this shift (all the more so if China eventually joins).
Chinese: 跨太平洋合作伙伴关系（Trans-Pacific Partnership，TPP，由美国和其他11国建立的巨型地区自由贸易区）很有可能加速这一变革（如果中国最终也能加入就更加如此了 ） 。
English: This innovative document codified how banks should tailor products to clients with cognitive impairments.
Chinese: 这份创新文件规定了银行应该如何定制产品为认知障碍客户服务。
English: Probably not.
Chinese: 也许并非如此。
English: There is hope, though.
Chinese: 但希望仍在。
English: Like history, social-scientific theory is written by the victors and shaped by the context and challenges of its time.
Chinese: 以历史为例，社会-科学理论是由胜利者撰写的，同时也受到特定时代背景和当时（社会主要）矛盾的影响。
English: Consider the case of a bank headquartered in Italy, but with an important subsidiary in Germany.
Chinese: 就拿总部设在意大利的某家一行来说吧，这家银行在德国设有一家重要分行。
English: The new strategy that US Secretary of State Hillary Clinton has been promoting to staunch the upward trend of narco-trafficking-related murders – which leaked Mexican government reports put at more than 22,000 since late 2006 – is to build “stronger, more resilient communities.”
Chinese: 建设“更强大，适应力更强的社会”是美国国务卿希拉里·克林顿宣传能够阻止与毒品贩运有关谋杀上升趋势的新战略 — — 泄露出来的墨西哥政府报告统计2006年以来与贩毒有关的谋杀已经超过 22,000起。
English: Unfortunately, many people are likely to be hurt in the meantime, not least those who now support him.
Chinese: 不幸的是，在此过程中有很多人会受到伤害，不止是现在支持他的哪些人。","[2619, 456, 102, 1126, 1003, 914, 571, 419, 2771, 2233]",[]
"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.",该组织援引了密苏里大学对黑人学生的种族诽谤以及 28 岁田纳西州黑人男性托利·桑德斯的死亡事件。,"racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.

Translation (Chinese):assistant

该团体援引了如密苏里大学黑学生遭到种族歧视的事件以及田纳西州黑人男子托里·桑德斯（Tory Sanders）去世的案例。","racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.

Translation (Chinese):assistant

该团体援引了如密苏里大学黑学生遭到种族歧视的事件以及田纳西州黑人男子托里·桑德斯（Tory Sanders）去世的案例。",724,109,833,0.23835050456182216,0.04074173986666398,0.04074173986666398,0.20910904568815056,"For example,
English: Whispers were making the rounds about my private life, and I decided it was time to come out.
Chinese: 关于我的私生活流言蜚语不断，我决定是时候站出来了。
English: Furthermore, Japan’s government should push to complete negotiations for the Trans-Pacific Partnership, which is currently being negotiated among 12 countries, from Mexico to the United States to Vietnam.
Chinese: 此外，日本政府应当加紧完成跨太平洋伙伴计划的谈判。 目前已经有十二个国家参与该项谈判，涵盖从墨西哥到美国再到越南的广大区域。
English: The Trans-Pacific Partnership – by which the United States and 11 other countries would create a mega-regional free-trade zone – would most likely accelerate this shift (all the more so if China eventually joins).
Chinese: 跨太平洋合作伙伴关系（Trans-Pacific Partnership，TPP，由美国和其他11国建立的巨型地区自由贸易区）很有可能加速这一变革（如果中国最终也能加入就更加如此了 ） 。
English: This innovative document codified how banks should tailor products to clients with cognitive impairments.
Chinese: 这份创新文件规定了银行应该如何定制产品为认知障碍客户服务。
English: Probably not.
Chinese: 也许并非如此。
English: There is hope, though.
Chinese: 但希望仍在。
English: Like history, social-scientific theory is written by the victors and shaped by the context and challenges of its time.
Chinese: 以历史为例，社会-科学理论是由胜利者撰写的，同时也受到特定时代背景和当时（社会主要）矛盾的影响。
English: Consider the case of a bank headquartered in Italy, but with an important subsidiary in Germany.
Chinese: 就拿总部设在意大利的某家一行来说吧，这家银行在德国设有一家重要分行。
English: The new strategy that US Secretary of State Hillary Clinton has been promoting to staunch the upward trend of narco-trafficking-related murders – which leaked Mexican government reports put at more than 22,000 since late 2006 – is to build “stronger, more resilient communities.”
Chinese: 建设“更强大，适应力更强的社会”是美国国务卿希拉里·克林顿宣传能够阻止与毒品贩运有关谋杀上升趋势的新战略 — — 泄露出来的墨西哥政府报告统计2006年以来与贩毒有关的谋杀已经超过 22,000起。
English: Unfortunately, many people are likely to be hurt in the meantime, not least those who now support him.
Chinese: 不幸的是，在此过程中有很多人会受到伤害，不止是现在支持他的哪些人。","[2619, 456, 102, 1126, 1003, 914, 571, 419, 2771, 2233]",[]
