Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,accuracy,macro_f1,sc_raw_samples,sc_parsed_samples
"no movement , no yuks , not much of anything .",negative,negative,"text:
no movement , no yuks , not much of anything .

Label:
assistant
<think>

</think>

negative",465,160,625,0.15685337437753333,0.47239819004524886,0.47239819004524886,0.3975307201125261,"[""text:\nno movement , no yuks , not much of anything .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""text:\nno movement , no yuks , not much of anything .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""text:\nno movement , no yuks , not much of anything .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""text:\nno movement , no yuks , not much of anything .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""text:\nno movement , no yuks , not much of anything .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative""]","[""1"", ""1"", ""1"", ""1"", ""1""]"
"a gob of drivel so sickly sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid crème brûlée .",very negative,very negative,"</think>

very negative",590,35,625,0.15685337437753333,0.47239819004524886,0.47239819004524886,0.3975307201125261,"[""</think>\n\nvery negative"", ""</think>\n\nvery negative"", ""</think>\n\nvery negative"", ""</think>\n\nvery negative"", ""</think>\n\nvery negative""]","[""0"", ""0"", ""0"", ""0"", ""0""]"
` how many more voyages can this limping but dearly-loved franchise survive ? ',neutral,negative,"limping but dearly-loved franchise survive ? '

Label:
assistant
<think>

</think>

negative",490,135,625,0.15685337437753333,0.47239819004524886,0.47239819004524886,0.3975307201125261,"[""limping but dearly-loved franchise survive ? '\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""limping but dearly-loved franchise survive ? '\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""limping but dearly-loved franchise survive ? '\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""limping but dearly-loved franchise survive ? '\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""limping but dearly-loved franchise survive ? '\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative""]","[""1"", ""1"", ""1"", ""1"", ""1""]"
so relentlessly wholesome it made me want to swipe something .,neutral,neutral,"Input text:
so relentlessly wholesome it made me want to swipe something .

Label:
assistant
<think>

</think>

neutral",460,165,625,0.15685337437753333,0.47239819004524886,0.47239819004524886,0.3975307201125261,"[""Input text:\nso relentlessly wholesome it made me want to swipe something .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nneutral"", ""Input text:\nso relentlessly wholesome it made me want to swipe something .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""Input text:\nso relentlessly wholesome it made me want to swipe something .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nneutral"", ""Input text:\nso relentlessly wholesome it made me want to swipe something .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nneutral"", ""Input text:\nso relentlessly wholesome it made me want to swipe something .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nneutral""]","[""2"", ""1"", ""2"", ""2"", ""2""]"
"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up .",very negative,negative,"Label:
assistant
<think>

</think>

negative",540,85,625,0.15685337437753333,0.47239819004524886,0.47239819004524886,0.3975307201125261,"[""Label:\nassistant\n<think>\n\n</think>\n\nnegative"", ""Label:\nassistant\n<think>\n\n</think>\n\nnegative"", ""Label:\nassistant\n<think>\n\n</think>\n\nnegative"", ""Label:\nassistant\n<think>\n\n</think>\n\nnegative"", ""Label:\nassistant\n<think>\n\n</think>\n\nnegative""]","[""1"", ""1"", ""1"", ""1"", ""1""]"
"we never really feel involved with the story , as all of its ideas remain just that : abstract ideas .",very negative,negative,"just that : abstract ideas .

Label:
assistant
<think>

</think>

negative",510,115,625,0.15685337437753333,0.47239819004524886,0.47239819004524886,0.3975307201125261,"[""just that : abstract ideas .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""just that : abstract ideas .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""just that : abstract ideas .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""just that : abstract ideas .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nnegative"", ""just that : abstract ideas .\n\nLabel:\nassistant\n<think>\n\n</think>\n\nneutral""]","[""1"", ""1"", ""1"", ""1"", ""2""]"
this is one of polanski 's best films .,very positive,positive,"Input text:
this is one of polanski 's best films .

Label:
assistant
<think>

</think>

positive",460,165,625,0.15685337437753333,0.47239819004524886,0.47239819004524886,0.3975307201125261,"[""Input text:\nthis is one of polanski 's best films .\n\nLabel:\nassistant\n<think>\n\n</think>\n\npositive"", ""Input text:\nthis is one of polanski 's best films .\n\nLabel:\nassistant\n<think>\n\n</think>\n\npositive"", ""Input text:\nthis is one of polanski 's best films .\n\nLabel:\nassistant\n<think>\n\n</think>\n\npositive"", ""Input text:\nthis is one of polanski 's best films .\n\nLabel:\nassistant\n<think>\n\n</think>\n\npositive"", ""Input text:\nthis is one of polanski 's best films .\n\nLabel:\nassistant\n<think>\n\n</think>\n\npositive""]","[""3"", ""3"", ""3"", ""3"", ""3""]"
take care of my cat offers a refreshingly different slice of asian cinema .,positive,positive,"my cat offers a refreshingly different slice of asian cinema .

Label:
assistant
<think>

</think>

positive",480,145,625,0.15685337437753333,0.47239819004524886,0.47239819004524886,0.3975307201125261,"[""my cat offers a refreshingly different slice of asian cinema .\n\nLabel:\nassistant\n<think>\n\n</think>\n\npositive"", ""my cat offers a refreshingly different slice of asian cinema .\n\nLabel:\nassistant\n<think>\n\n</think>\n\npositive"", ""my cat offers a refreshingly different slice of asian cinema .\n\nLabel:\nassistant\n<think>\n\n</think>\n\npositive"", ""my cat offers a refreshingly different slice of asian cinema .\n\nLabel:\nassistant\n<think>\n\n</think>\n\npositive"", ""my cat offers a refreshingly different slice of asian cinema .\n\nLabel:\nassistant\n<think>\n\n</think>\n\npositive""]","[""3"", ""3"", ""3"", ""3"", ""3""]"
"acting , particularly by tambor , almost makes `` never again '' worthwhile , but -lrb- writer\/director -rrb- schaeffer should follow his titular advice",negative,negative,"<think>

</think>

negative",580,45,625,0.15685337437753333,0.47239819004524886,0.47239819004524886,0.3975307201125261,"[""<think>\n\n</think>\n\nneutral"", ""<think>\n\n</think>\n\nnegative"", ""<think>\n\n</think>\n\npositive"", ""<think>\n\n</think>\n\nnegative"", ""<think>\n\n</think>\n\nnegative""]","[""2"", ""1"", ""3"", ""1"", ""1""]"
the movie exists for its soccer action and its fine acting .,positive,positive,"text:
the movie exists for its soccer action and its fine acting .

Label:
assistant
<think>

</think>

positive",465,160,625,0.15685337437753333,0.47239819004524886,0.47239819004524886,0.3975307201125261,"[""text:\nthe movie exists for its soccer action and its fine acting .\n\nLabel:\nassistant\n<think>\n\n</think>\n\npositive"", ""text:\nthe movie exists for its soccer action and its fine acting .\n\nLabel:\nassistant\n<think>\n\n</think>\n\npositive"", ""text:\nthe movie exists for its soccer action and its fine acting .\n\nLabel:\nassistant\n<think>\n\n</think>\n\npositive"", ""text:\nthe movie exists for its soccer action and its fine acting .\n\nLabel:\nassistant\n<think>\n\n</think>\n\npositive"", ""text:\nthe movie exists for its soccer action and its fine acting .\n\nLabel:\nassistant\n<think>\n\n</think>\n\npositive""]","[""3"", ""3"", ""3"", ""3"", ""3""]"
