Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL,sc_raw_samples,sc_parsed_samples
"five-time world champion michelle kwan withdrew from the #### us figure skating championships on wednesday , but will petition us skating officials for the chance to compete at the #### turin olympics .",injury leaves kwan 's olympic hopes in limbo,"assistant
<think>

</think>

Five-time world champion Michelle Kwan withdrew from the U.S. Figure Skating Championships but plans to petition for a spot at the Turin Olympics.","assistant
<think>

</think>

Five-time world champion Michelle Kwan withdrew from the U.S. Figure Skating Championships but plans to petition for a spot at the Turin Olympics.",510,250,760,0.3877347837515117,0.24818656580668624,0.24818656580668624,0.08692192830868196,0.22484052680598096,"[""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition for a spot at the Turin Olympics."", ""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the U.S. Figure Skating Championships but plans to petition for a spot at the Turin Olympics."", ""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the US Championships but plans to petition for a spot at the Turin Olympics."", ""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the U.S. Figure Skating Championships but plans to petition for a spot at the Turin Olympics."", ""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the U.S. Figure Skating Championships but plans to petition for a spot at the Turin Olympics.""]","[""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition for a spot at the Turin Olympics."", ""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the U.S. Figure Skating Championships but plans to petition for a spot at the Turin Olympics."", ""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the US Championships but plans to petition for a spot at the Turin Olympics."", ""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the U.S. Figure Skating Championships but plans to petition for a spot at the Turin Olympics."", ""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the U.S. Figure Skating Championships but plans to petition for a spot at the Turin Olympics.""]"
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .,us business attacks tough immigration law,"ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .

Summary:
assistant
<think>

</think>

US business leaders criticized Wednesday legislation that would penalize companies for hiring illegal immigrants.","ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .

Summary:
assistant
<think>

</think>

US business leaders criticized Wednesday legislation that would penalize companies for hiring illegal immigrants.",415,345,760,0.3877347837515117,0.24818656580668624,0.24818656580668624,0.08692192830868196,0.22484052680598096,"[""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized Wednesday's proposed legislation that would penalize companies for hiring illegal immigrants."", ""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized Wednesday legislation proposing penalties for companies that employ illegal immigrants."", ""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized Wednesday proposed legislation that would penalize companies for hiring illegal immigrants."", ""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized legislation that would penalize companies for hiring illegal immigrants."", ""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized Wednesday legislation that would penalize companies for hiring illegal immigrants.""]","[""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized Wednesday's proposed legislation that would penalize companies for hiring illegal immigrants."", ""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized Wednesday legislation proposing penalties for companies that employ illegal immigrants."", ""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized Wednesday proposed legislation that would penalize companies for hiring illegal immigrants."", ""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized legislation that would penalize companies for hiring illegal immigrants."", ""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized Wednesday legislation that would penalize companies for hiring illegal immigrants.""]"
general motors corp. said wednesday its us sales fell ##.# percent in december and four percent in #### with the biggest losses coming from passenger car sales .,gm december sales fall ## percent,"from passenger car sales .

Summary:
assistant
<think>

</think>

General Motors reported a 4% sales decline in 2013 and a drop in December sales, with passenger cars driving the majority of the losses.","from passenger car sales .

Summary:
assistant
<think>

</think>

General Motors reported a 4% sales decline in 2013 and a drop in December sales, with passenger cars driving the majority of the losses.",470,290,760,0.3877347837515117,0.24818656580668624,0.24818656580668624,0.08692192830868196,0.22484052680598096,"[""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a decline in U.S. sales in December and the previous year, with passenger car sales driving the majority of the losses."", ""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a decline in U.S. sales of ##.# percent in December and four percent in ####, with passenger car sales contributing the largest losses."", ""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a decline in U.S. sales in December and the first four months of the year, with passenger car sales accounting for the largest losses."", ""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a decline in U.S. sales for December and the year-to-date period, with passenger car sales driving the majority of the losses."", ""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a 4% sales decline in 2013 and a drop in December sales, with passenger cars driving the majority of the losses.""]","[""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a decline in U.S. sales in December and the previous year, with passenger car sales driving the majority of the losses."", ""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a decline in U.S. sales of ##.# percent in December and four percent in ####, with passenger car sales contributing the largest losses."", ""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a decline in U.S. sales in December and the first four months of the year, with passenger car sales accounting for the largest losses."", ""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a decline in U.S. sales for December and the year-to-date period, with passenger car sales driving the majority of the losses."", ""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a 4% sales decline in 2013 and a drop in December sales, with passenger cars driving the majority of the losses.""]"
several thousand people gathered on wednesday evening on the main square in zagreb for a public draw and an open air party to celebrate the croatian capital 's second chance to host the women 's slalom world cup .,thousands of croatians celebrate before world cup slalom,"</think>

Thousands gathered in Zagreb on Wednesday evening for a public draw and party to celebrate the city's second chance to host the women's slalom World Cup.","</think>

Thousands gathered in Zagreb on Wednesday evening for a public draw and party to celebrate the city's second chance to host the women's slalom World Cup.",545,215,760,0.3877347837515117,0.24818656580668624,0.24818656580668624,0.08692192830868196,0.22484052680598096,"[""</think>\n\nThousands gathered in Zagreb on Wednesday evening for a public draw and party to celebrate the city's second chance to host the women's slalom World Cup."", ""</think>\n\nThousands gathered in Zagreb on Wednesday evening for a public draw and party to celebrate the city's second chance to host the women's slalom World Cup."", ""</think>\n\nThousands gathered in Zagreb on Wednesday for a public draw and party to celebrate the city's second opportunity to host the women's slalom World Cup."", ""</think>\n\nThousands gathered in Zagreb's main square Wednesday evening for a party and public draw celebrating the city's second chance to host the women's slalom World Cup."", ""</think>\n\nThousands gathered in Zagreb on Wednesday for a party celebrating the city's second chance to host the women's slalom World Cup.""]","[""</think>\n\nThousands gathered in Zagreb on Wednesday evening for a public draw and party to celebrate the city's second chance to host the women's slalom World Cup."", ""</think>\n\nThousands gathered in Zagreb on Wednesday evening for a public draw and party to celebrate the city's second chance to host the women's slalom World Cup."", ""</think>\n\nThousands gathered in Zagreb on Wednesday for a public draw and party to celebrate the city's second opportunity to host the women's slalom World Cup."", ""</think>\n\nThousands gathered in Zagreb's main square Wednesday evening for a party and public draw celebrating the city's second chance to host the women's slalom World Cup."", ""</think>\n\nThousands gathered in Zagreb on Wednesday for a party celebrating the city's second chance to host the women's slalom World Cup.""]"
"us first lady laura bush and us secretary of state condoleezza rice will represent the united states later this month at the inauguration of liberia 's president-elect ellen johnson sirleaf , the white house said wednesday .",laura bush UNK rice to attend sirleaf 's inauguration in liberia,"</think>

First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at the inauguration of Liberia's president-elect Ellen Johnson Sirleaf later this month.","</think>

First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at the inauguration of Liberia's president-elect Ellen Johnson Sirleaf later this month.",545,215,760,0.3877347837515117,0.24818656580668624,0.24818656580668624,0.08692192830868196,0.22484052680598096,"[""</think>\n\nThe White House announced that First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at the inauguration of Liberia's president-elect Ellen Johnson Sirleaf later this month."", ""</think>\n\nThe White House announced that First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at the inauguration of Liberia's president-elect Ellen Johnson Sirleaf later this month."", ""</think>\n\nFirst Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at the inauguration of Liberia's president-elect Ellen Johnson Sirleaf later this month."", ""</think>\n\nFirst Lady Laura Bush and Secretary of State Condoleezza Rice will represent the U.S. at the inauguration of Liberia's President-elect Ellen Johnson Sirleaf later this month."", ""</think>\n\nFirst Lady Laura Bush and Secretary of State Condoleezza Rice will represent the U.S. at the inauguration of Liberia's president-elect Ellen Johnson Sirleaf later this month.""]","[""</think>\n\nThe White House announced that First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at the inauguration of Liberia's president-elect Ellen Johnson Sirleaf later this month."", ""</think>\n\nThe White House announced that First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at the inauguration of Liberia's president-elect Ellen Johnson Sirleaf later this month."", ""</think>\n\nFirst Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at the inauguration of Liberia's president-elect Ellen Johnson Sirleaf later this month."", ""</think>\n\nFirst Lady Laura Bush and Secretary of State Condoleezza Rice will represent the U.S. at the inauguration of Liberia's President-elect Ellen Johnson Sirleaf later this month."", ""</think>\n\nFirst Lady Laura Bush and Secretary of State Condoleezza Rice will represent the U.S. at the inauguration of Liberia's president-elect Ellen Johnson Sirleaf later this month.""]"
"jack abramoff , a former lobbyist at the center of a mushrooming political scandal in washington , on wednesday pleaded guilty in a us court in miami to defrauding lenders in a florida gambling boat deal .",top republican lobbyist pleads guilty to florida fraud,"<think>

</think>

Jack Abramoff, a former lobbyist at the center of a Washington political scandal, pleaded guilty in a Miami federal court to defrauding lenders in a Florida gambling boat deal.","<think>

</think>

Jack Abramoff, a former lobbyist at the center of a Washington political scandal, pleaded guilty in a Miami federal court to defrauding lenders in a Florida gambling boat deal.",535,225,760,0.3877347837515117,0.24818656580668624,0.24818656580668624,0.08692192830868196,0.22484052680598096,"[""<think>\n\n</think>\n\nJack Abramoff, a central figure in a Washington political scandal, pleaded guilty to defrauding lenders in a Florida gambling boat deal."", ""<think>\n\n</think>\n\nJack Abramoff, a former lobbyist at the center of a Washington political scandal, pleaded guilty in a Miami federal court to defrauding lenders in a Florida gambling boat deal."", ""<think>\n\n</think>\n\nJack Abramoff, a former lobbyist central to a major Washington political scandal, pleaded guilty in a Miami federal court to defrauding lenders in a Florida gambling boat transaction."", ""<think>\n\n</think>\n\nFormer lobbyist Jack Abramoff pleaded guilty in a Miami court to defrauding lenders in a Florida gambling boat deal."", ""<think>\n\n</think>\n\nFormer lobbyist Jack Abramoff pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal.""]","[""<think>\n\n</think>\n\nJack Abramoff, a central figure in a Washington political scandal, pleaded guilty to defrauding lenders in a Florida gambling boat deal."", ""<think>\n\n</think>\n\nJack Abramoff, a former lobbyist at the center of a Washington political scandal, pleaded guilty in a Miami federal court to defrauding lenders in a Florida gambling boat deal."", ""<think>\n\n</think>\n\nJack Abramoff, a former lobbyist central to a major Washington political scandal, pleaded guilty in a Miami federal court to defrauding lenders in a Florida gambling boat transaction."", ""<think>\n\n</think>\n\nFormer lobbyist Jack Abramoff pleaded guilty in a Miami court to defrauding lenders in a Florida gambling boat deal."", ""<think>\n\n</think>\n\nFormer lobbyist Jack Abramoff pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal.""]"
"somalia 's feuding president and parliament speaker have agreed a compromise in a bitter row over the appropriate seat for their fledgling transitional government , a yemeni official said wednesday .",somalia rivals in compromise on seat of government,"assistant
<think>

</think>

Somali President and Parliament Speaker have reached a compromise on their respective seats in the transitional government, according to a Yemeni official.","assistant
<think>

</think>

Somali President and Parliament Speaker have reached a compromise on their respective seats in the transitional government, according to a Yemeni official.",510,250,760,0.3877347837515117,0.24818656580668624,0.24818656580668624,0.08692192830868196,0.22484052680598096,"[""assistant\n<think>\n\n</think>\n\nSomali President and Parliament Speaker reached a compromise on the seat for their transitional government."", ""assistant\n<think>\n\n</think>\n\nSomalia's feuding president and parliament speaker have reached a compromise regarding their seats in the transitional government, according to a Yemeni official."", ""assistant\n<think>\n\n</think>\n\nSomali President and Parliament Speaker have reached a compromise regarding their respective seats in the transitional government."", ""assistant\n<think>\n\n</think>\n\nSomali President and Parliament Speaker have reached a compromise on their respective seats in the transitional government, according to a Yemeni official."", ""assistant\n<think>\n\n</think>\n\nSomali President and Parliament Speaker have reached a compromise regarding the seating arrangement for their transitional government, according to a Yemeni official.""]","[""assistant\n<think>\n\n</think>\n\nSomali President and Parliament Speaker reached a compromise on the seat for their transitional government."", ""assistant\n<think>\n\n</think>\n\nSomalia's feuding president and parliament speaker have reached a compromise regarding their seats in the transitional government, according to a Yemeni official."", ""assistant\n<think>\n\n</think>\n\nSomali President and Parliament Speaker have reached a compromise regarding their respective seats in the transitional government."", ""assistant\n<think>\n\n</think>\n\nSomali President and Parliament Speaker have reached a compromise on their respective seats in the transitional government, according to a Yemeni official."", ""assistant\n<think>\n\n</think>\n\nSomali President and Parliament Speaker have reached a compromise regarding the seating arrangement for their transitional government, according to a Yemeni official.""]"
"a ##-hour strike by airport workers in portugal planned for friday over job security issues could lead to flight cancellations , union and airport officials said .",portuguese airport workers strike could ground flights on friday,"and airport officials said .

Summary:
assistant
<think>

</think>

Portuguese airport workers plan a Friday strike over job security, which could cause flight cancellations.","and airport officials said .

Summary:
assistant
<think>

</think>

Portuguese airport workers plan a Friday strike over job security, which could cause flight cancellations.",470,290,760,0.3877347837515117,0.24818656580668624,0.24818656580668624,0.08692192830868196,0.22484052680598096,"[""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nPortuguese airport workers plan a Friday strike over job security, which could cause flight cancellations."", ""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nPortuguese airport workers are scheduled to stage a one-hour strike on Friday due to job security concerns, which may result in flight cancellations."", ""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nA planned Friday strike by Portuguese airport workers over job security may cause flight cancellations."", ""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nA planned Friday strike by Portuguese airport workers over job security could cause flight cancellations."", ""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nPortugal airport workers are planning a strike this Friday over job security, which could cause flight cancellations.""]","[""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nPortuguese airport workers plan a Friday strike over job security, which could cause flight cancellations."", ""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nPortuguese airport workers are scheduled to stage a one-hour strike on Friday due to job security concerns, which may result in flight cancellations."", ""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nA planned Friday strike by Portuguese airport workers over job security may cause flight cancellations."", ""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nA planned Friday strike by Portuguese airport workers over job security could cause flight cancellations."", ""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nPortugal airport workers are planning a strike this Friday over job security, which could cause flight cancellations.""]"
jose mourinho renewed his partnership with portuguese international maniche on wednesday when he completed the loan signing of the ##-year-old midfielder from dynamo moscow .,maniche renews partnership with mourinho,".

Summary:
assistant
<think>

</think>

Jose Mourinho has completed the loan signing of Portuguese midfielder Maniche from Dynamo Moscow, renewing their partnership.",".

Summary:
assistant
<think>

</think>

Jose Mourinho has completed the loan signing of Portuguese midfielder Maniche from Dynamo Moscow, renewing their partnership.",490,270,760,0.3877347837515117,0.24818656580668624,0.24818656580668624,0.08692192830868196,0.22484052680598096,"["".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJose Mourinho completed the loan signing of Portuguese midfielder Maniche from Dynamo Moscow, renewing their partnership."", "".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJosé Mourinho signed a loan deal for 34-year-old Portuguese midfielder Maniche from Dynamo Moscow."", "".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJosé Mourinho has renewed his partnership with Portuguese international Maniche by completing the loan signing of the Dynamo Moscow midfielder."", "".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJose Mourinho has completed the loan signing of Portuguese midfielder Maniche from Dynamo Moscow, renewing their partnership."", "".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJosé Mourinho completed the loan signing of Portuguese international Maniche from Dynamo Moscow, renewing their partnership.""]","["".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJose Mourinho completed the loan signing of Portuguese midfielder Maniche from Dynamo Moscow, renewing their partnership."", "".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJosé Mourinho signed a loan deal for 34-year-old Portuguese midfielder Maniche from Dynamo Moscow."", "".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJosé Mourinho has renewed his partnership with Portuguese international Maniche by completing the loan signing of the Dynamo Moscow midfielder."", "".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJose Mourinho has completed the loan signing of Portuguese midfielder Maniche from Dynamo Moscow, renewing their partnership."", "".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJosé Mourinho completed the loan signing of Portuguese international Maniche from Dynamo Moscow, renewing their partnership.""]"
"hollywood is planning a new sequel to adventure flick `` ocean 's eleven , '' with star george clooney set to reprise his role as a charismatic thief in `` ocean 's thirteen , '' the entertainment press said wednesday .",hollywood shores up support for ocean 's thirteen,"Hollywood is developing ""Ocean's Thirteen,"" a sequel to ""Ocean's Eleven"" starring George Clooney, according to entertainment press reports.","Hollywood is developing ""Ocean's Thirteen,"" a sequel to ""Ocean's Eleven"" starring George Clooney, according to entertainment press reports.",555,205,760,0.3877347837515117,0.24818656580668624,0.24818656580668624,0.08692192830868196,0.22484052680598096,"[""Hollywood is set to release \""Ocean's Thirteen,\"" a sequel starring George Clooney reprising his role as a charismatic thief."", ""Hollywood is planning to release the next installment of the \""Ocean's Eleven\"" franchise, titled \""Ocean's Thirteen,\"" with George Clooney reprising his role as the charismatic thief."", ""Hollywood is planning \""Ocean's Thirteen,\"" a sequel to \""Ocean's Eleven\"" starring George Clooney, according to entertainment press reports."", ""Hollywood is developing \""Ocean's Thirteen,\"" a sequel to \""Ocean's Eleven\"" starring George Clooney, according to entertainment press reports."", ""Hollywood is developing \""Ocean's Thirteen,\"" a sequel to \""Ocean's Eleven\"" starring George Clooney as the lead thief.""]","[""Hollywood is set to release \""Ocean's Thirteen,\"" a sequel starring George Clooney reprising his role as a charismatic thief."", ""Hollywood is planning to release the next installment of the \""Ocean's Eleven\"" franchise, titled \""Ocean's Thirteen,\"" with George Clooney reprising his role as the charismatic thief."", ""Hollywood is planning \""Ocean's Thirteen,\"" a sequel to \""Ocean's Eleven\"" starring George Clooney, according to entertainment press reports."", ""Hollywood is developing \""Ocean's Thirteen,\"" a sequel to \""Ocean's Eleven\"" starring George Clooney, according to entertainment press reports."", ""Hollywood is developing \""Ocean's Thirteen,\"" a sequel to \""Ocean's Eleven\"" starring George Clooney as the lead thief.""]"
