Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,bleu,chrf
"Last week, the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.",上周，古装剧《美人私房菜》临时停播，意外引发了关于国产剧收视率造假的热烈讨论。,"broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.

Translation (Chinese):
assistant
<think>

</think>

上周，古装剧《美人心计》的播出被临时叫停，意外引发了对国产剧收视率造假的激烈讨论。","broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.

Translation (Chinese):
assistant
<think>

</think>

上周，古装剧《美人心计》的播出被临时叫停，意外引发了对国产剧收视率造假的激烈讨论。",95,124,219,0.9559167965016968,0.031100827859083805,0.031100827859083805,0.23680077777180578
Civil rights group issues travel warning for Missouri,民权团体针对密苏里州发出旅行警告,".
user
You are a translation assistant.
Translate the input text from English to Chinese.
Think step by step internally.
Output only the final translation.

Input (English):
Civil rights group issues travel warning for Missouri

Translation (Chinese):
assistant
<think>

</think>

民权组织发布密苏里州旅行警告",".
user
You are a translation assistant.
Translate the input text from English to Chinese.
Think step by step internally.
Output only the final translation.

Input (English):
Civil rights group issues travel warning for Missouri

Translation (Chinese):
assistant
<think>

</think>

民权组织发布密苏里州旅行警告",72,147,219,0.9559167965016968,0.031100827859083805,0.031100827859083805,0.23680077777180578
The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,由于密苏里州的歧视性政策和种族主义袭击，美国有色人种促进协会 (NAACP) 向准备前往密苏里州出游的有色人群发出旅行警告。,"People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.

Translation (Chinese):
assistant
<think>

</think>

美国全国有色人种协进会发布警报，提醒有色人种前往密苏里州时注意安全，原因是该州存在歧视性政策及种族主义袭击事件。","People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.

Translation (Chinese):
assistant
<think>

</think>

美国全国有色人种协进会发布警报，提醒有色人种前往密苏里州时注意安全，原因是该州存在歧视性政策及种族主义袭击事件。",98,121,219,0.9559167965016968,0.031100827859083805,0.031100827859083805,0.23680077777180578
"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.",“2017 年 8 月 28 日生效的 NAACP 密苏里州旅行咨询中呼吁，因近期密苏里州发生了一系列可疑的种族性事件，所有非裔美籍旅行者、游客以及密苏里州人在密苏里州旅行时应特别注意并采取极其谨慎的态度，特此告知，”该团体的声明宣称。,该组织声明称：“全国有色人种协进会（NAACP）针对密苏里州的旅行建议有效期至 2017 年 8 月 28 日，鉴于近期全州范围内发生了一系列可疑的基于种族的事件，该建议呼吁非裔美国人旅行者、访客以及密苏里州居民在州内旅行时特别留意并极度谨慎。”,该组织声明称：“全国有色人种协进会（NAACP）针对密苏里州的旅行建议有效期至 2017 年 8 月 28 日，鉴于近期全州范围内发生了一系列可疑的基于种族的事件，该建议呼吁非裔美国人旅行者、访客以及密苏里州居民在州内旅行时特别留意并极度谨慎。”,136,83,219,0.9559167965016968,0.031100827859083805,0.031100827859083805,0.23680077777180578
"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.",NAACP 指出，最近通过的一项密苏里州法律使得人们更难赢得歧视诉讼，该州执法也一定程度上针对少数群体，这些现象促使该组织发布了旅行警告。,"law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.

Translation (Chinese):
assistant
<think>

</think>

全国有色人种协进会（NAACP）表示，该旅行警示的发布是由于密苏里州近期通过了一项使人们更难赢得歧视诉讼的法律，以及该州执法部门对少数族裔的不成比例 targeting。","law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.

Translation (Chinese):
assistant
<think>

</think>

全国有色人种协进会（NAACP）表示，该旅行警示的发布是由于密苏里州近期通过了一项使人们更难赢得歧视诉讼的法律，以及该州执法部门对少数族裔的不成比例 targeting。",103,116,219,0.9559167965016968,0.031100827859083805,0.031100827859083805,0.23680077777180578
"""You have violations of civil rights that are happening to people.",侵犯公民权利的行为正发生在人们身上。,"a translation assistant.
Translate the input text from English to Chinese.
Think step by step internally.
Output only the final translation.

Input (English):
""You have violations of civil rights that are happening to people.

Translation (Chinese):
assistant
<think>

</think>

有人正遭受侵犯公民权利的行为。","a translation assistant.
Translate the input text from English to Chinese.
Think step by step internally.
Output only the final translation.

Input (English):
""You have violations of civil rights that are happening to people.

Translation (Chinese):
assistant
<think>

</think>

有人正遭受侵犯公民权利的行为。",76,143,219,0.9559167965016968,0.031100827859083805,0.031100827859083805,0.23680077777180578
"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.",他们因肤色被停车盘问，被殴打或被杀害，”密苏里州 NAACP 主席罗德·查培尔告诉堪萨斯城星报 (The Kansas City Star)。,"beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.

Translation (Chinese):
assistant
<think>

</think>

密苏里州全国有色人种协进会主席罗德·切佩尔对《堪萨斯城明星报》表示：“他们因肤色而被拦下，遭到殴打甚至被杀害。”","beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.

Translation (Chinese):
assistant
<think>

</think>

密苏里州全国有色人种协进会主席罗德·切佩尔对《堪萨斯城明星报》表示：“他们因肤色而被拦下，遭到殴打甚至被杀害。”",100,119,219,0.9559167965016968,0.031100827859083805,0.031100827859083805,0.23680077777180578
"""We are hearing complaints at a rate we haven't heard before.""",“我们收到了许多投诉，数量前所未有。”,"assistant.
Translate the input text from English to Chinese.
Think step by step internally.
Output only the final translation.

Input (English):
""We are hearing complaints at a rate we haven't heard before.""

Translation (Chinese):
assistant
<think>

</think>

我们收到的投诉数量前所未有。","assistant.
Translate the input text from English to Chinese.
Think step by step internally.
Output only the final translation.

Input (English):
""We are hearing complaints at a rate we haven't heard before.""

Translation (Chinese):
assistant
<think>

</think>

我们收到的投诉数量前所未有。",77,142,219,0.9559167965016968,0.031100827859083805,0.031100827859083805,0.23680077777180578
It is the first such warning that the organization has issued for a state in the US.,这是该组织在美国针对某个州发布的第一个此类警告。,"Chinese.
Think step by step internally.
Output only the final translation.

Input (English):
It is the first such warning that the organization has issued for a state in the US.

Translation (Chinese):
assistant
<think>

</think>

这是该组织首次就美国某个州发布此类警告。","Chinese.
Think step by step internally.
Output only the final translation.

Input (English):
It is the first such warning that the organization has issued for a state in the US.

Translation (Chinese):
assistant
<think>

</think>

这是该组织首次就美国某个州发布此类警告。",82,137,219,0.9559167965016968,0.031100827859083805,0.031100827859083805,0.23680077777180578
"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.",该组织援引了密苏里大学对黑人学生的种族诽谤以及 28 岁田纳西州黑人男性托利·桑德斯的死亡事件。,"black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.

Translation (Chinese):
assistant
<think>

</think>

该团体援引了诸如密苏里大学针对黑人学生的种族侮辱事件，以及来自田纳西州的 28 岁黑人男子托里·桑德斯之死等事件。","black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.

Translation (Chinese):
assistant
<think>

</think>

该团体援引了诸如密苏里大学针对黑人学生的种族侮辱事件，以及来自田纳西州的 28 岁黑人男子托里·桑德斯之死等事件。",98,121,219,0.9559167965016968,0.031100827859083805,0.031100827859083805,0.23680077777180578
