Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL,sv_initial_raw,sv_verified_raw
"five-time world champion michelle kwan withdrew from the #### us figure skating championships on wednesday , but will petition us skating officials for the chance to compete at the #### turin olympics .",injury leaves kwan 's olympic hopes in limbo,"Final summary:
assistant
<think>

</think>

Five-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition officials to compete in the Turin Olympics.","Final summary:
assistant
<think>

</think>

Five-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition officials to compete in the Turin Olympics.",236,105,341,1.468139651689853,0.2502939192802435,0.2502939192802435,0.0892505357416757,0.22852850728926033,"assistant
<think>

</think>

Five-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition officials to compete in the Turin Olympics.","Final summary:
assistant
<think>

</think>

Five-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition officials to compete in the Turin Olympics."
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .,us business attacks tough immigration law,"that would penalize companies for hiring illegal immigrants.

Final summary:
assistant
<think>

</think>

US business leaders criticized new legislation that would penalize companies for hiring illegal immigrants.","that would penalize companies for hiring illegal immigrants.

Final summary:
assistant
<think>

</think>

US business leaders criticized new legislation that would penalize companies for hiring illegal immigrants.",206,135,341,1.468139651689853,0.2502939192802435,0.2502939192802435,0.0892505357416757,0.22852850728926033,"ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .

Summary:
assistant
<think>

</think>

US business leaders criticized new legislation that would penalize companies for hiring illegal immigrants.","that would penalize companies for hiring illegal immigrants.

Final summary:
assistant
<think>

</think>

US business leaders criticized new legislation that would penalize companies for hiring illegal immigrants."
general motors corp. said wednesday its us sales fell ##.# percent in december and four percent in #### with the biggest losses coming from passenger car sales .,gm december sales fall ## percent,"assistant
<think>

</think>

General Motors reported a 4% decline in US sales for the year, with December sales falling 0.8%, driven primarily by losses in passenger car sales.","assistant
<think>

</think>

General Motors reported a 4% decline in US sales for the year, with December sales falling 0.8%, driven primarily by losses in passenger car sales.",234,107,341,1.468139651689853,0.2502939192802435,0.2502939192802435,0.0892505357416757,0.22852850728926033,"from passenger car sales .

Summary:
assistant
<think>

</think>

General Motors reported a 4% decline in US sales for the year, with December sales falling 0.8%, driven primarily by losses in passenger car sales.","assistant
<think>

</think>

General Motors reported a 4% decline in US sales for the year, with December sales falling 0.8%, driven primarily by losses in passenger car sales."
several thousand people gathered on wednesday evening on the main square in zagreb for a public draw and an open air party to celebrate the croatian capital 's second chance to host the women 's slalom world cup .,thousands of croatians celebrate before world cup slalom,"<think>

</think>

Thousands gathered in Zagreb's main square for a public draw and open-air party celebrating the city's second chance to host the women's slalom world cup.","<think>

</think>

Thousands gathered in Zagreb's main square for a public draw and open-air party celebrating the city's second chance to host the women's slalom world cup.",250,91,341,1.468139651689853,0.2502939192802435,0.2502939192802435,0.0892505357416757,0.22852850728926033,"</think>

Thousands gathered in Zagreb's main square for a public draw and open-air party celebrating the city's second chance to host the women's slalom world cup.","<think>

</think>

Thousands gathered in Zagreb's main square for a public draw and open-air party celebrating the city's second chance to host the women's slalom world cup."
"us first lady laura bush and us secretary of state condoleezza rice will represent the united states later this month at the inauguration of liberia 's president-elect ellen johnson sirleaf , the white house said wednesday .",laura bush UNK rice to attend sirleaf 's inauguration in liberia,"assistant
<think>

</think>

US First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at the upcoming inauguration of Liberia's President-elect, Ellen Johnson Sirleaf.","assistant
<think>

</think>

US First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at the upcoming inauguration of Liberia's President-elect, Ellen Johnson Sirleaf.",249,92,341,1.468139651689853,0.2502939192802435,0.2502939192802435,0.0892505357416757,0.22852850728926033,"</think>

US First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at Liberia's upcoming inauguration of President-elect Ellen Johnson Sirleaf.","assistant
<think>

</think>

US First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at the upcoming inauguration of Liberia's President-elect, Ellen Johnson Sirleaf."
"jack abramoff , a former lobbyist at the center of a mushrooming political scandal in washington , on wednesday pleaded guilty in a us court in miami to defrauding lenders in a florida gambling boat deal .",top republican lobbyist pleads guilty to florida fraud,"</think>

Jack Abramoff, a former lobbyist at the center of a political scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal.","</think>

Jack Abramoff, a former lobbyist at the center of a political scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal.",250,91,341,1.468139651689853,0.2502939192802435,0.2502939192802435,0.0892505357416757,0.22852850728926033,"<think>

</think>

Jack Abramoff, a former lobbyist at the center of a political scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal.","</think>

Jack Abramoff, a former lobbyist at the center of a political scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal."
"somalia 's feuding president and parliament speaker have agreed a compromise in a bitter row over the appropriate seat for their fledgling transitional government , a yemeni official said wednesday .",somalia rivals in compromise on seat of government,"seat for their transitional government.

Final summary:
assistant
<think>

</think>

Somalia's feuding president and parliament speaker have reached a compromise on the seat for their transitional government.","seat for their transitional government.

Final summary:
assistant
<think>

</think>

Somalia's feuding president and parliament speaker have reached a compromise on the seat for their transitional government.",229,112,341,1.468139651689853,0.2502939192802435,0.2502939192802435,0.0892505357416757,0.22852850728926033,"assistant
<think>

</think>

Somalia's feuding president and parliament speaker have reached a compromise regarding the seat for their transitional government.","seat for their transitional government.

Final summary:
assistant
<think>

</think>

Somalia's feuding president and parliament speaker have reached a compromise on the seat for their transitional government."
"a ##-hour strike by airport workers in portugal planned for friday over job security issues could lead to flight cancellations , union and airport officials said .",portuguese airport workers strike could ground flights on friday,".

Final summary:
assistant
<think>

</think>

Portugal airport workers are planning an hour-long strike on Friday over job security, which officials warn could cause flight cancellations.",".

Final summary:
assistant
<think>

</think>

Portugal airport workers are planning an hour-long strike on Friday over job security, which officials warn could cause flight cancellations.",226,115,341,1.468139651689853,0.2502939192802435,0.2502939192802435,0.0892505357416757,0.22852850728926033,"and airport officials said .

Summary:
assistant
<think>

</think>

Portugal airport workers are planning an hour-long strike on Friday over job security, which officials warn could cause flight cancellations.",".

Final summary:
assistant
<think>

</think>

Portugal airport workers are planning an hour-long strike on Friday over job security, which officials warn could cause flight cancellations."
jose mourinho renewed his partnership with portuguese international maniche on wednesday when he completed the loan signing of the ##-year-old midfielder from dynamo moscow .,maniche renews partnership with mourinho,"iche from Dynamo Moscow.

Final summary:
assistant
<think>

</think>

Jose Mourinho has completed the loan signing of 29-year-old Portuguese midfielder Maniche from Dynamo Moscow.","iche from Dynamo Moscow.

Final summary:
assistant
<think>

</think>

Jose Mourinho has completed the loan signing of 29-year-old Portuguese midfielder Maniche from Dynamo Moscow.",226,115,341,1.468139651689853,0.2502939192802435,0.2502939192802435,0.0892505357416757,0.22852850728926033,".

Summary:
assistant
<think>

</think>

Jose Mourinho has completed the loan signing of 29-year-old Portuguese midfielder Maniche from Dynamo Moscow.","iche from Dynamo Moscow.

Final summary:
assistant
<think>

</think>

Jose Mourinho has completed the loan signing of 29-year-old Portuguese midfielder Maniche from Dynamo Moscow."
"hollywood is planning a new sequel to adventure flick `` ocean 's eleven , '' with star george clooney set to reprise his role as a charismatic thief in `` ocean 's thirteen , '' the entertainment press said wednesday .",hollywood shores up support for ocean 's thirteen,"<think>

</think>

Hollywood is planning a sequel to ""Ocean's Eleven"" titled ""Ocean's Thirteen,"" starring George Clooney reprising his role as a charismatic thief.","<think>

</think>

Hollywood is planning a sequel to ""Ocean's Eleven"" titled ""Ocean's Thirteen,"" starring George Clooney reprising his role as a charismatic thief.",252,89,341,1.468139651689853,0.2502939192802435,0.2502939192802435,0.0892505357416757,0.22852850728926033,"Hollywood is planning a sequel to ""Ocean's Eleven"" titled ""Ocean's Thirteen,"" starring George Clooney reprising his role as a charismatic thief.","<think>

</think>

Hollywood is planning a sequel to ""Ocean's Eleven"" titled ""Ocean's Thirteen,"" starring George Clooney reprising his role as a charismatic thief."
