Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL
"five-time world champion michelle kwan withdrew from the #### us figure skating championships on wednesday , but will petition us skating officials for the chance to compete at the #### turin olympics .",injury leaves kwan 's olympic hopes in limbo,"in olympics .

Summary:
Five-time world champion Michelle Kwan withdrew from the US figure skating championships but plans to petition US skating officials for a chance to compete at the Turin Olympics.","in olympics .

Summary:
Five-time world champion Michelle Kwan withdrew from the US figure skating championships but plans to petition US skating officials for a chance to compete at the Turin Olympics.",87,55,142,0.09931107787633664,0.22706776295852818,0.22706776295852818,0.08184055152726097,0.2009805367070561
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .,us business attacks tough immigration law,"final summary.

Input:
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .

Summary:
Business leaders criticized legislation on Wednesday, which proposes penalties for companies hiring illegal immigrants.","final summary.

Input:
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .

Summary:
Business leaders criticized legislation on Wednesday, which proposes penalties for companies hiring illegal immigrants.",67,75,142,0.09931107787633664,0.22706776295852818,0.22706776295852818,0.08184055152726097,0.2009805367070561
general motors corp. said wednesday its us sales fell ##.# percent in december and four percent in #### with the biggest losses coming from passenger car sales .,gm december sales fall ## percent,"four percent in #### with the biggest losses coming from passenger car sales .

Summary:
General Motors reported a decline in U.S. sales, with a significant drop in passenger car sales.","four percent in #### with the biggest losses coming from passenger car sales .

Summary:
General Motors reported a decline in U.S. sales, with a significant drop in passenger car sales.",78,64,142,0.09931107787633664,0.22706776295852818,0.22706776295852818,0.08184055152726097,0.2009805367070561
several thousand people gathered on wednesday evening on the main square in zagreb for a public draw and an open air party to celebrate the croatian capital 's second chance to host the women 's slalom world cup .,thousands of croatians celebrate before world cup slalom,"Several thousand people gathered in Zagreb's main square on Wednesday evening. They celebrated the city's second opportunity to host the Women's Slalom World Cup, with a public draw and an open-air party.","Several thousand people gathered in Zagreb's main square on Wednesday evening. They celebrated the city's second opportunity to host the Women's Slalom World Cup, with a public draw and an open-air party.",94,48,142,0.09931107787633664,0.22706776295852818,0.22706776295852818,0.08184055152726097,0.2009805367070561
"us first lady laura bush and us secretary of state condoleezza rice will represent the united states later this month at the inauguration of liberia 's president-elect ellen johnson sirleaf , the white house said wednesday .",laura bush UNK rice to attend sirleaf 's inauguration in liberia,Laura Bush and Condoleezza Rice will represent the U.S. at Liberia's president-elect Ellen Johnson Sirleaf's inauguration.,Laura Bush and Condoleezza Rice will represent the U.S. at Liberia's president-elect Ellen Johnson Sirleaf's inauguration.,94,48,142,0.09931107787633664,0.22706776295852818,0.22706776295852818,0.08184055152726097,0.2009805367070561
"jack abramoff , a former lobbyist at the center of a mushrooming political scandal in washington , on wednesday pleaded guilty in a us court in miami to defrauding lenders in a florida gambling boat deal .",top republican lobbyist pleads guilty to florida fraud,".

Summary:
Jack Abramoff, a former Washington lobbyist, pleaded guilty in a Miami court to defrauding lenders in a Florida gambling boat deal.",".

Summary:
Jack Abramoff, a former Washington lobbyist, pleaded guilty in a Miami court to defrauding lenders in a Florida gambling boat deal.",91,51,142,0.09931107787633664,0.22706776295852818,0.22706776295852818,0.08184055152726097,0.2009805367070561
"somalia 's feuding president and parliament speaker have agreed a compromise in a bitter row over the appropriate seat for their fledgling transitional government , a yemeni official said wednesday .",somalia rivals in compromise on seat of government,"i official said wednesday .

Summary:
Somalia's feuding president and parliament speaker reached a compromise over their transitional government's seating arrangement, according to a Yemeni official.","i official said wednesday .

Summary:
Somalia's feuding president and parliament speaker reached a compromise over their transitional government's seating arrangement, according to a Yemeni official.",86,56,142,0.09931107787633664,0.22706776295852818,0.22706776295852818,0.08184055152726097,0.2009805367070561
"a ##-hour strike by airport workers in portugal planned for friday over job security issues could lead to flight cancellations , union and airport officials said .",portuguese airport workers strike could ground flights on friday,"issues could lead to flight cancellations , union and airport officials said .

Summary:
Airport workers in Portugal plan a 24-hour strike on Friday, aiming to address job security concerns. The strike could result in flight cancellations, according to union and airport officials.","issues could lead to flight cancellations , union and airport officials said .

Summary:
Airport workers in Portugal plan a 24-hour strike on Friday, aiming to address job security concerns. The strike could result in flight cancellations, according to union and airport officials.",78,64,142,0.09931107787633664,0.22706776295852818,0.22706776295852818,0.08184055152726097,0.2009805367070561
jose mourinho renewed his partnership with portuguese international maniche on wednesday when he completed the loan signing of the ##-year-old midfielder from dynamo moscow .,maniche renews partnership with mourinho,"year-old midfielder from dynamo moscow .

Summary:
Mourinho renewed his association with Portuguese midfielder Maniche, completing a loan signing for the 27-year-old from Dynamo Moscow.","year-old midfielder from dynamo moscow .

Summary:
Mourinho renewed his association with Portuguese midfielder Maniche, completing a loan signing for the 27-year-old from Dynamo Moscow.",83,59,142,0.09931107787633664,0.22706776295852818,0.22706776295852818,0.08184055152726097,0.2009805367070561
"hollywood is planning a new sequel to adventure flick `` ocean 's eleven , '' with star george clooney set to reprise his role as a charismatic thief in `` ocean 's thirteen , '' the entertainment press said wednesday .",hollywood shores up support for ocean 's thirteen,"Hollywood is developing a sequel to ""Ocean's Eleven,"" titled ""Ocean's Thirteen."" George Clooney is set to reprise his role as a charming thief. The news was reported by the entertainment press on Wednesday.","Hollywood is developing a sequel to ""Ocean's Eleven,"" titled ""Ocean's Thirteen."" George Clooney is set to reprise his role as a charming thief. The news was reported by the entertainment press on Wednesday.",95,47,142,0.09931107787633664,0.22706776295852818,0.22706776295852818,0.08184055152726097,0.2009805367070561
