Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,accuracy,macro_f1,in_context,context_indices,retrieval_scores
"no movement , no yuks , not much of anything .",negative,negative,"of a fall dawn .
label: positive

Target input text:
no movement , no yuks , not much of anything .

Label:
negative",365,32,397,0.044834394873760175,0.5153846153846153,0.5153846153846153,0.47522941800140667,"For example,
input text: astonishingly skillful and moving ... it could become a historically significant work as well as a masterfully made one .
label: very positive
input text: it must be the end of the world : the best film so far this year is a franchise sequel starring wesley snipes .
label: positive
input text: there 's not much to fatale , outside of its stylish surprises ... but that 's ok .
label: neutral
input text: the film has a nearly terminal case of the cutes , and it 's neither as funny nor as charming as it thinks it is .
label: very negative
input text: you can sip your vintage wines and watch your merchant ivory productions ; i 'll settle for a nice cool glass of iced tea and a jerry bruckheimer flick any day of the week .
label: very positive
input text: unfortunately , neither sendak nor the directors are particularly engaging or articulate .
label: neutral
input text: full of surprises .
label: positive
input text: i could n't help but feel the wasted potential of this slapstick comedy .
label: negative
input text: the author 's devotees will probably find it fascinating ; others may find it baffling .
label: negative
input text: entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn .
label: positive","[1824, 409, 4506, 4012, 3657, 2286, 1679, 1424, 6912, 520]",[]
"a gob of drivel so sickly sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid crème brûlée .",very negative,very negative,very negative,393,4,397,0.044834394873760175,0.5153846153846153,0.5153846153846153,0.47522941800140667,"For example,
input text: astonishingly skillful and moving ... it could become a historically significant work as well as a masterfully made one .
label: very positive
input text: it must be the end of the world : the best film so far this year is a franchise sequel starring wesley snipes .
label: positive
input text: there 's not much to fatale , outside of its stylish surprises ... but that 's ok .
label: neutral
input text: the film has a nearly terminal case of the cutes , and it 's neither as funny nor as charming as it thinks it is .
label: very negative
input text: you can sip your vintage wines and watch your merchant ivory productions ; i 'll settle for a nice cool glass of iced tea and a jerry bruckheimer flick any day of the week .
label: very positive
input text: unfortunately , neither sendak nor the directors are particularly engaging or articulate .
label: neutral
input text: full of surprises .
label: positive
input text: i could n't help but feel the wasted potential of this slapstick comedy .
label: negative
input text: the author 's devotees will probably find it fascinating ; others may find it baffling .
label: negative
input text: entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn .
label: positive","[1824, 409, 4506, 4012, 3657, 2286, 1679, 1424, 6912, 520]",[]
` how many more voyages can this limping but dearly-loved franchise survive ? ',neutral,negative,":
` how many more voyages can this limping but dearly-loved franchise survive ? '

Label:
negative",371,26,397,0.044834394873760175,0.5153846153846153,0.5153846153846153,0.47522941800140667,"For example,
input text: astonishingly skillful and moving ... it could become a historically significant work as well as a masterfully made one .
label: very positive
input text: it must be the end of the world : the best film so far this year is a franchise sequel starring wesley snipes .
label: positive
input text: there 's not much to fatale , outside of its stylish surprises ... but that 's ok .
label: neutral
input text: the film has a nearly terminal case of the cutes , and it 's neither as funny nor as charming as it thinks it is .
label: very negative
input text: you can sip your vintage wines and watch your merchant ivory productions ; i 'll settle for a nice cool glass of iced tea and a jerry bruckheimer flick any day of the week .
label: very positive
input text: unfortunately , neither sendak nor the directors are particularly engaging or articulate .
label: neutral
input text: full of surprises .
label: positive
input text: i could n't help but feel the wasted potential of this slapstick comedy .
label: negative
input text: the author 's devotees will probably find it fascinating ; others may find it baffling .
label: negative
input text: entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn .
label: positive","[1824, 409, 4506, 4012, 3657, 2286, 1679, 1424, 6912, 520]",[]
so relentlessly wholesome it made me want to swipe something .,neutral,negative,"crisp clarity of a fall dawn .
label: positive

Target input text:
so relentlessly wholesome it made me want to swipe something .

Label:
negative",364,33,397,0.044834394873760175,0.5153846153846153,0.5153846153846153,0.47522941800140667,"For example,
input text: astonishingly skillful and moving ... it could become a historically significant work as well as a masterfully made one .
label: very positive
input text: it must be the end of the world : the best film so far this year is a franchise sequel starring wesley snipes .
label: positive
input text: there 's not much to fatale , outside of its stylish surprises ... but that 's ok .
label: neutral
input text: the film has a nearly terminal case of the cutes , and it 's neither as funny nor as charming as it thinks it is .
label: very negative
input text: you can sip your vintage wines and watch your merchant ivory productions ; i 'll settle for a nice cool glass of iced tea and a jerry bruckheimer flick any day of the week .
label: very positive
input text: unfortunately , neither sendak nor the directors are particularly engaging or articulate .
label: neutral
input text: full of surprises .
label: positive
input text: i could n't help but feel the wasted potential of this slapstick comedy .
label: negative
input text: the author 's devotees will probably find it fascinating ; others may find it baffling .
label: negative
input text: entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn .
label: positive","[1824, 409, 4506, 4012, 3657, 2286, 1679, 1424, 6912, 520]",[]
"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up .",very negative,very negative,"it ends by blowing just about everything up .

Label:
very negative",381,16,397,0.044834394873760175,0.5153846153846153,0.5153846153846153,0.47522941800140667,"For example,
input text: astonishingly skillful and moving ... it could become a historically significant work as well as a masterfully made one .
label: very positive
input text: it must be the end of the world : the best film so far this year is a franchise sequel starring wesley snipes .
label: positive
input text: there 's not much to fatale , outside of its stylish surprises ... but that 's ok .
label: neutral
input text: the film has a nearly terminal case of the cutes , and it 's neither as funny nor as charming as it thinks it is .
label: very negative
input text: you can sip your vintage wines and watch your merchant ivory productions ; i 'll settle for a nice cool glass of iced tea and a jerry bruckheimer flick any day of the week .
label: very positive
input text: unfortunately , neither sendak nor the directors are particularly engaging or articulate .
label: neutral
input text: full of surprises .
label: positive
input text: i could n't help but feel the wasted potential of this slapstick comedy .
label: negative
input text: the author 's devotees will probably find it fascinating ; others may find it baffling .
label: negative
input text: entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn .
label: positive","[1824, 409, 4506, 4012, 3657, 2286, 1679, 1424, 6912, 520]",[]
"we never really feel involved with the story , as all of its ideas remain just that : abstract ideas .",very negative,negative,"with the story , as all of its ideas remain just that : abstract ideas .

Label:
negative",374,23,397,0.044834394873760175,0.5153846153846153,0.5153846153846153,0.47522941800140667,"For example,
input text: astonishingly skillful and moving ... it could become a historically significant work as well as a masterfully made one .
label: very positive
input text: it must be the end of the world : the best film so far this year is a franchise sequel starring wesley snipes .
label: positive
input text: there 's not much to fatale , outside of its stylish surprises ... but that 's ok .
label: neutral
input text: the film has a nearly terminal case of the cutes , and it 's neither as funny nor as charming as it thinks it is .
label: very negative
input text: you can sip your vintage wines and watch your merchant ivory productions ; i 'll settle for a nice cool glass of iced tea and a jerry bruckheimer flick any day of the week .
label: very positive
input text: unfortunately , neither sendak nor the directors are particularly engaging or articulate .
label: neutral
input text: full of surprises .
label: positive
input text: i could n't help but feel the wasted potential of this slapstick comedy .
label: negative
input text: the author 's devotees will probably find it fascinating ; others may find it baffling .
label: negative
input text: entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn .
label: positive","[1824, 409, 4506, 4012, 3657, 2286, 1679, 1424, 6912, 520]",[]
this is one of polanski 's best films .,very positive,positive,"of a fall dawn .
label: positive

Target input text:
this is one of polanski 's best films .

Label:
positive",365,32,397,0.044834394873760175,0.5153846153846153,0.5153846153846153,0.47522941800140667,"For example,
input text: astonishingly skillful and moving ... it could become a historically significant work as well as a masterfully made one .
label: very positive
input text: it must be the end of the world : the best film so far this year is a franchise sequel starring wesley snipes .
label: positive
input text: there 's not much to fatale , outside of its stylish surprises ... but that 's ok .
label: neutral
input text: the film has a nearly terminal case of the cutes , and it 's neither as funny nor as charming as it thinks it is .
label: very negative
input text: you can sip your vintage wines and watch your merchant ivory productions ; i 'll settle for a nice cool glass of iced tea and a jerry bruckheimer flick any day of the week .
label: very positive
input text: unfortunately , neither sendak nor the directors are particularly engaging or articulate .
label: neutral
input text: full of surprises .
label: positive
input text: i could n't help but feel the wasted potential of this slapstick comedy .
label: negative
input text: the author 's devotees will probably find it fascinating ; others may find it baffling .
label: negative
input text: entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn .
label: positive","[1824, 409, 4506, 4012, 3657, 2286, 1679, 1424, 6912, 520]",[]
take care of my cat offers a refreshingly different slice of asian cinema .,positive,positive,": positive

Target input text:
take care of my cat offers a refreshingly different slice of asian cinema .

Label:
positive",368,29,397,0.044834394873760175,0.5153846153846153,0.5153846153846153,0.47522941800140667,"For example,
input text: astonishingly skillful and moving ... it could become a historically significant work as well as a masterfully made one .
label: very positive
input text: it must be the end of the world : the best film so far this year is a franchise sequel starring wesley snipes .
label: positive
input text: there 's not much to fatale , outside of its stylish surprises ... but that 's ok .
label: neutral
input text: the film has a nearly terminal case of the cutes , and it 's neither as funny nor as charming as it thinks it is .
label: very negative
input text: you can sip your vintage wines and watch your merchant ivory productions ; i 'll settle for a nice cool glass of iced tea and a jerry bruckheimer flick any day of the week .
label: very positive
input text: unfortunately , neither sendak nor the directors are particularly engaging or articulate .
label: neutral
input text: full of surprises .
label: positive
input text: i could n't help but feel the wasted potential of this slapstick comedy .
label: negative
input text: the author 's devotees will probably find it fascinating ; others may find it baffling .
label: negative
input text: entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn .
label: positive","[1824, 409, 4506, 4012, 3657, 2286, 1679, 1424, 6912, 520]",[]
"acting , particularly by tambor , almost makes `` never again '' worthwhile , but -lrb- writer\/director -rrb- schaeffer should follow his titular advice",negative,negative,"Label:
negative",389,8,397,0.044834394873760175,0.5153846153846153,0.5153846153846153,0.47522941800140667,"For example,
input text: astonishingly skillful and moving ... it could become a historically significant work as well as a masterfully made one .
label: very positive
input text: it must be the end of the world : the best film so far this year is a franchise sequel starring wesley snipes .
label: positive
input text: there 's not much to fatale , outside of its stylish surprises ... but that 's ok .
label: neutral
input text: the film has a nearly terminal case of the cutes , and it 's neither as funny nor as charming as it thinks it is .
label: very negative
input text: you can sip your vintage wines and watch your merchant ivory productions ; i 'll settle for a nice cool glass of iced tea and a jerry bruckheimer flick any day of the week .
label: very positive
input text: unfortunately , neither sendak nor the directors are particularly engaging or articulate .
label: neutral
input text: full of surprises .
label: positive
input text: i could n't help but feel the wasted potential of this slapstick comedy .
label: negative
input text: the author 's devotees will probably find it fascinating ; others may find it baffling .
label: negative
input text: entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn .
label: positive","[1824, 409, 4506, 4012, 3657, 2286, 1679, 1424, 6912, 520]",[]
the movie exists for its soccer action and its fine acting .,positive,positive,"of a fall dawn .
label: positive

Target input text:
the movie exists for its soccer action and its fine acting .

Label:
positive",365,32,397,0.044834394873760175,0.5153846153846153,0.5153846153846153,0.47522941800140667,"For example,
input text: astonishingly skillful and moving ... it could become a historically significant work as well as a masterfully made one .
label: very positive
input text: it must be the end of the world : the best film so far this year is a franchise sequel starring wesley snipes .
label: positive
input text: there 's not much to fatale , outside of its stylish surprises ... but that 's ok .
label: neutral
input text: the film has a nearly terminal case of the cutes , and it 's neither as funny nor as charming as it thinks it is .
label: very negative
input text: you can sip your vintage wines and watch your merchant ivory productions ; i 'll settle for a nice cool glass of iced tea and a jerry bruckheimer flick any day of the week .
label: very positive
input text: unfortunately , neither sendak nor the directors are particularly engaging or articulate .
label: neutral
input text: full of surprises .
label: positive
input text: i could n't help but feel the wasted potential of this slapstick comedy .
label: negative
input text: the author 's devotees will probably find it fascinating ; others may find it baffling .
label: negative
input text: entirely appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn .
label: positive","[1824, 409, 4506, 4012, 3657, 2286, 1679, 1424, 6912, 520]",[]
