Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL,in_context,context_indices,retrieval_scores
nec UNK in computer sales tie-up,japan 's nec corp. and UNK computer corp. of the united states said wednesday they had agreed to join forces in supercomputer sales .,"Expanded text:assistant

japan's nec corporation has formed a tie-up with unk to boost its computer sales.","Expanded text:assistant

japan's nec corporation has formed a tie-up with unk to boost its computer sales.",567,68,635,0.17234538406410138,0.3224258068378105,0.3224258068378105,0.11097347937803907,0.23952909934964603,"For example,
short text: australian current account deficit narrows sharply
expanded text: australia 's current account deficit shrunk by a record #.## billion dollars -lrb- #.## billion us -rrb- in the june quarter due to soaring commodity prices , figures released monday showed .
short text: at least two dead in southern philippines blast
expanded text: at least two people were killed in a suspected bomb attack on a passenger bus in the strife-torn southern philippines on monday , the military said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: skorea announces tax cuts to stimulate economy
expanded text: south korea on monday announced sweeping tax reforms , including income and corporate tax cuts to boost growth by stimulating sluggish private consumption and business investment .
short text: taiwan shares close down #.## percent
expanded text: taiwan share prices closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: spain 's colonial posts #.## billion euro loss
expanded text: spanish property group colonial , struggling under huge debts , announced losses of #.## billion euros for the first half of #### which it blamed on asset depreciation .
short text: kadhafi promises wide political economic reforms
expanded text: libyan leader moamer kadhafi monday promised wide political and economic reforms that he said would see ministries dismantled and oil revenues going directly into the pockets of the people .
short text: un 's top aid official arrives in drought-hit ethiopia
expanded text: the united nations ' humanitarian chief john holmes arrived in ethiopia monday to tour regions affected by drought , which has left some eight million people in need of urgent food aid .","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
sri lanka closes schools as war escalates,the sri lankan government on wednesday announced the closure of government schools with immediate effect as a military campaign against tamil separatists escalated in the north of the country .,"text:assistant

sri lanka closed all schools and universities monday as the country's civil war escalated, with government forces and tamil tiger rebels trading artillery fire in the north.","text:assistant

sri lanka closed all schools and universities monday as the country's civil war escalated, with government forces and tamil tiger rebels trading artillery fire in the north.",568,67,635,0.17234538406410138,0.3224258068378105,0.3224258068378105,0.11097347937803907,0.23952909934964603,"For example,
short text: australian current account deficit narrows sharply
expanded text: australia 's current account deficit shrunk by a record #.## billion dollars -lrb- #.## billion us -rrb- in the june quarter due to soaring commodity prices , figures released monday showed .
short text: at least two dead in southern philippines blast
expanded text: at least two people were killed in a suspected bomb attack on a passenger bus in the strife-torn southern philippines on monday , the military said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: skorea announces tax cuts to stimulate economy
expanded text: south korea on monday announced sweeping tax reforms , including income and corporate tax cuts to boost growth by stimulating sluggish private consumption and business investment .
short text: taiwan shares close down #.## percent
expanded text: taiwan share prices closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: spain 's colonial posts #.## billion euro loss
expanded text: spanish property group colonial , struggling under huge debts , announced losses of #.## billion euros for the first half of #### which it blamed on asset depreciation .
short text: kadhafi promises wide political economic reforms
expanded text: libyan leader moamer kadhafi monday promised wide political and economic reforms that he said would see ministries dismantled and oil revenues going directly into the pockets of the people .
short text: un 's top aid official arrives in drought-hit ethiopia
expanded text: the united nations ' humanitarian chief john holmes arrived in ethiopia monday to tour regions affected by drought , which has left some eight million people in need of urgent food aid .","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
protesters target french research ship,"police arrested five anti-nuclear protesters thursday after they sought to disrupt loading of a french antarctic research and supply vessel , a spokesman for the protesters said .","ship

Expanded text:assistant

protesters in the pacific island nation of new caledonia targeted a french research ship monday, the "" mar de re "", in a dispute over the ship's presence in the area.","ship

Expanded text:assistant

protesters in the pacific island nation of new caledonia targeted a french research ship monday, the "" mar de re "", in a dispute over the ship's presence in the area.",565,70,635,0.17234538406410138,0.3224258068378105,0.3224258068378105,0.11097347937803907,0.23952909934964603,"For example,
short text: australian current account deficit narrows sharply
expanded text: australia 's current account deficit shrunk by a record #.## billion dollars -lrb- #.## billion us -rrb- in the june quarter due to soaring commodity prices , figures released monday showed .
short text: at least two dead in southern philippines blast
expanded text: at least two people were killed in a suspected bomb attack on a passenger bus in the strife-torn southern philippines on monday , the military said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: skorea announces tax cuts to stimulate economy
expanded text: south korea on monday announced sweeping tax reforms , including income and corporate tax cuts to boost growth by stimulating sluggish private consumption and business investment .
short text: taiwan shares close down #.## percent
expanded text: taiwan share prices closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: spain 's colonial posts #.## billion euro loss
expanded text: spanish property group colonial , struggling under huge debts , announced losses of #.## billion euros for the first half of #### which it blamed on asset depreciation .
short text: kadhafi promises wide political economic reforms
expanded text: libyan leader moamer kadhafi monday promised wide political and economic reforms that he said would see ministries dismantled and oil revenues going directly into the pockets of the people .
short text: un 's top aid official arrives in drought-hit ethiopia
expanded text: the united nations ' humanitarian chief john holmes arrived in ethiopia monday to tour regions affected by drought , which has left some eight million people in need of urgent food aid .","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
us september factory orders up #.# percent,"factory orders for manufactured goods rose #.# percent in september , the commerce department said here thursday .","Expanded text:assistant

us september factory orders rose by #.# percent, beating market expectations and indicating a strengthening of the us manufacturing sector, the commerce department said monday.","Expanded text:assistant

us september factory orders rose by #.# percent, beating market expectations and indicating a strengthening of the us manufacturing sector, the commerce department said monday.",566,69,635,0.17234538406410138,0.3224258068378105,0.3224258068378105,0.11097347937803907,0.23952909934964603,"For example,
short text: australian current account deficit narrows sharply
expanded text: australia 's current account deficit shrunk by a record #.## billion dollars -lrb- #.## billion us -rrb- in the june quarter due to soaring commodity prices , figures released monday showed .
short text: at least two dead in southern philippines blast
expanded text: at least two people were killed in a suspected bomb attack on a passenger bus in the strife-torn southern philippines on monday , the military said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: skorea announces tax cuts to stimulate economy
expanded text: south korea on monday announced sweeping tax reforms , including income and corporate tax cuts to boost growth by stimulating sluggish private consumption and business investment .
short text: taiwan shares close down #.## percent
expanded text: taiwan share prices closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: spain 's colonial posts #.## billion euro loss
expanded text: spanish property group colonial , struggling under huge debts , announced losses of #.## billion euros for the first half of #### which it blamed on asset depreciation .
short text: kadhafi promises wide political economic reforms
expanded text: libyan leader moamer kadhafi monday promised wide political and economic reforms that he said would see ministries dismantled and oil revenues going directly into the pockets of the people .
short text: un 's top aid official arrives in drought-hit ethiopia
expanded text: the united nations ' humanitarian chief john holmes arrived in ethiopia monday to tour regions affected by drought , which has left some eight million people in need of urgent food aid .","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
bank of UNK UNK for calm in financial markets,the bank of japan appealed to financial markets to remain calm friday following the us decision to order daiwa bank ltd. to close its us operations .,":assistant

the bank of england urged calm in financial markets",":assistant

the bank of england urged calm in financial markets",569,66,635,0.17234538406410138,0.3224258068378105,0.3224258068378105,0.11097347937803907,0.23952909934964603,"For example,
short text: australian current account deficit narrows sharply
expanded text: australia 's current account deficit shrunk by a record #.## billion dollars -lrb- #.## billion us -rrb- in the june quarter due to soaring commodity prices , figures released monday showed .
short text: at least two dead in southern philippines blast
expanded text: at least two people were killed in a suspected bomb attack on a passenger bus in the strife-torn southern philippines on monday , the military said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: skorea announces tax cuts to stimulate economy
expanded text: south korea on monday announced sweeping tax reforms , including income and corporate tax cuts to boost growth by stimulating sluggish private consumption and business investment .
short text: taiwan shares close down #.## percent
expanded text: taiwan share prices closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: spain 's colonial posts #.## billion euro loss
expanded text: spanish property group colonial , struggling under huge debts , announced losses of #.## billion euros for the first half of #### which it blamed on asset depreciation .
short text: kadhafi promises wide political economic reforms
expanded text: libyan leader moamer kadhafi monday promised wide political and economic reforms that he said would see ministries dismantled and oil revenues going directly into the pockets of the people .
short text: un 's top aid official arrives in drought-hit ethiopia
expanded text: the united nations ' humanitarian chief john holmes arrived in ethiopia monday to tour regions affected by drought , which has left some eight million people in need of urgent food aid .","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
rebel serb talks to resume saturday : tudjman by peter UNK,"croatian president franjo tudjman said friday croatian and serb negotiators would meet saturday to thrash out an agreement on the last serb-held area in croatia , under a deal reached at us-brokered talks .","rebel serb talks to resume saturday : croatian president franjo tudjman will meet with bosnian serb leader radovan karadzic in a bid to revive the stalled peace process, the united nations said monday.","rebel serb talks to resume saturday : croatian president franjo tudjman will meet with bosnian serb leader radovan karadzic in a bid to revive the stalled peace process, the united nations said monday.",575,60,635,0.17234538406410138,0.3224258068378105,0.3224258068378105,0.11097347937803907,0.23952909934964603,"For example,
short text: australian current account deficit narrows sharply
expanded text: australia 's current account deficit shrunk by a record #.## billion dollars -lrb- #.## billion us -rrb- in the june quarter due to soaring commodity prices , figures released monday showed .
short text: at least two dead in southern philippines blast
expanded text: at least two people were killed in a suspected bomb attack on a passenger bus in the strife-torn southern philippines on monday , the military said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: skorea announces tax cuts to stimulate economy
expanded text: south korea on monday announced sweeping tax reforms , including income and corporate tax cuts to boost growth by stimulating sluggish private consumption and business investment .
short text: taiwan shares close down #.## percent
expanded text: taiwan share prices closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: spain 's colonial posts #.## billion euro loss
expanded text: spanish property group colonial , struggling under huge debts , announced losses of #.## billion euros for the first half of #### which it blamed on asset depreciation .
short text: kadhafi promises wide political economic reforms
expanded text: libyan leader moamer kadhafi monday promised wide political and economic reforms that he said would see ministries dismantled and oil revenues going directly into the pockets of the people .
short text: un 's top aid official arrives in drought-hit ethiopia
expanded text: the united nations ' humanitarian chief john holmes arrived in ethiopia monday to tour regions affected by drought , which has left some eight million people in need of urgent food aid .","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
toyota are banned for a year,japan 's toyota team europe were banned from the world rally championship for one year here on friday in a crushing ruling by the world council of the international automobile federation -lrb- fia -rrb- .,"year

Expanded text:assistant

toyota motors, the japanese car giant, has been banned from competing in the world rally championship for a year after breaching sporting regulations, the federation internationale de l'automobile said monday.","year

Expanded text:assistant

toyota motors, the japanese car giant, has been banned from competing in the world rally championship for a year after breaching sporting regulations, the federation internationale de l'automobile said monday.",565,70,635,0.17234538406410138,0.3224258068378105,0.3224258068378105,0.11097347937803907,0.23952909934964603,"For example,
short text: australian current account deficit narrows sharply
expanded text: australia 's current account deficit shrunk by a record #.## billion dollars -lrb- #.## billion us -rrb- in the june quarter due to soaring commodity prices , figures released monday showed .
short text: at least two dead in southern philippines blast
expanded text: at least two people were killed in a suspected bomb attack on a passenger bus in the strife-torn southern philippines on monday , the military said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: skorea announces tax cuts to stimulate economy
expanded text: south korea on monday announced sweeping tax reforms , including income and corporate tax cuts to boost growth by stimulating sluggish private consumption and business investment .
short text: taiwan shares close down #.## percent
expanded text: taiwan share prices closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: spain 's colonial posts #.## billion euro loss
expanded text: spanish property group colonial , struggling under huge debts , announced losses of #.## billion euros for the first half of #### which it blamed on asset depreciation .
short text: kadhafi promises wide political economic reforms
expanded text: libyan leader moamer kadhafi monday promised wide political and economic reforms that he said would see ministries dismantled and oil revenues going directly into the pockets of the people .
short text: un 's top aid official arrives in drought-hit ethiopia
expanded text: the united nations ' humanitarian chief john holmes arrived in ethiopia monday to tour regions affected by drought , which has left some eight million people in need of urgent food aid .","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
israel prepares jerusalem state funeral for rabin,"israel prepared sunday for prime minister yitzhak rabin 's state funeral which will be attended by a host of world leaders , including us president bill clinton and the jordanian and egyptian heads of state .","text:assistant

israel is preparing a state funeral in jerusalem for assassinated prime minister yitzhak rabin, who was shot dead friday night by a right-wing extremist.","text:assistant

israel is preparing a state funeral in jerusalem for assassinated prime minister yitzhak rabin, who was shot dead friday night by a right-wing extremist.",568,67,635,0.17234538406410138,0.3224258068378105,0.3224258068378105,0.11097347937803907,0.23952909934964603,"For example,
short text: australian current account deficit narrows sharply
expanded text: australia 's current account deficit shrunk by a record #.## billion dollars -lrb- #.## billion us -rrb- in the june quarter due to soaring commodity prices , figures released monday showed .
short text: at least two dead in southern philippines blast
expanded text: at least two people were killed in a suspected bomb attack on a passenger bus in the strife-torn southern philippines on monday , the military said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: skorea announces tax cuts to stimulate economy
expanded text: south korea on monday announced sweeping tax reforms , including income and corporate tax cuts to boost growth by stimulating sluggish private consumption and business investment .
short text: taiwan shares close down #.## percent
expanded text: taiwan share prices closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: spain 's colonial posts #.## billion euro loss
expanded text: spanish property group colonial , struggling under huge debts , announced losses of #.## billion euros for the first half of #### which it blamed on asset depreciation .
short text: kadhafi promises wide political economic reforms
expanded text: libyan leader moamer kadhafi monday promised wide political and economic reforms that he said would see ministries dismantled and oil revenues going directly into the pockets of the people .
short text: un 's top aid official arrives in drought-hit ethiopia
expanded text: the united nations ' humanitarian chief john holmes arrived in ethiopia monday to tour regions affected by drought , which has left some eight million people in need of urgent food aid .","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
indian pm 's announcement on kashmir polls autonomy sparks outrage,indian prime minister p.v. narasimha rao 's promise of more autonomy for troubled kashmir and his plea for early state elections has sparked a violent reaction from provincial moslem and opposition parties .,"assistant

india's prime minister's announcement on granting kashmir greater autonomy and allowing the disputed region to hold elections sparked widespread outrage and protests from hardline hindu groups and separatist militants on monday, who accused him of betraying the country's interests and undermining the indian constitution.","assistant

india's prime minister's announcement on granting kashmir greater autonomy and allowing the disputed region to hold elections sparked widespread outrage and protests from hardline hindu groups and separatist militants on monday, who accused him of betraying the country's interests and undermining the indian constitution.",572,63,635,0.17234538406410138,0.3224258068378105,0.3224258068378105,0.11097347937803907,0.23952909934964603,"For example,
short text: australian current account deficit narrows sharply
expanded text: australia 's current account deficit shrunk by a record #.## billion dollars -lrb- #.## billion us -rrb- in the june quarter due to soaring commodity prices , figures released monday showed .
short text: at least two dead in southern philippines blast
expanded text: at least two people were killed in a suspected bomb attack on a passenger bus in the strife-torn southern philippines on monday , the military said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: skorea announces tax cuts to stimulate economy
expanded text: south korea on monday announced sweeping tax reforms , including income and corporate tax cuts to boost growth by stimulating sluggish private consumption and business investment .
short text: taiwan shares close down #.## percent
expanded text: taiwan share prices closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: spain 's colonial posts #.## billion euro loss
expanded text: spanish property group colonial , struggling under huge debts , announced losses of #.## billion euros for the first half of #### which it blamed on asset depreciation .
short text: kadhafi promises wide political economic reforms
expanded text: libyan leader moamer kadhafi monday promised wide political and economic reforms that he said would see ministries dismantled and oil revenues going directly into the pockets of the people .
short text: un 's top aid official arrives in drought-hit ethiopia
expanded text: the united nations ' humanitarian chief john holmes arrived in ethiopia monday to tour regions affected by drought , which has left some eight million people in need of urgent food aid .","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
russian liberal party wins registration,UNK,"wins registration

Expanded text:assistant

russia's liberal democratic party, led by former world bank economist mikhail kasyanov, won registration monday as a new political force in the country ahead of parliamentary elections.","wins registration

Expanded text:assistant

russia's liberal democratic party, led by former world bank economist mikhail kasyanov, won registration monday as a new political force in the country ahead of parliamentary elections.",564,71,635,0.17234538406410138,0.3224258068378105,0.3224258068378105,0.11097347937803907,0.23952909934964603,"For example,
short text: australian current account deficit narrows sharply
expanded text: australia 's current account deficit shrunk by a record #.## billion dollars -lrb- #.## billion us -rrb- in the june quarter due to soaring commodity prices , figures released monday showed .
short text: at least two dead in southern philippines blast
expanded text: at least two people were killed in a suspected bomb attack on a passenger bus in the strife-torn southern philippines on monday , the military said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: envoy urges north korea to restart nuclear disablement
expanded text: south korea 's nuclear envoy kim sook urged north korea monday to restart work to disable its nuclear plants and stop its `` typical '' brinkmanship in negotiations .
short text: skorea announces tax cuts to stimulate economy
expanded text: south korea on monday announced sweeping tax reforms , including income and corporate tax cuts to boost growth by stimulating sluggish private consumption and business investment .
short text: taiwan shares close down #.## percent
expanded text: taiwan share prices closed down #.## percent monday on wall street weakness and lacklustre interim earnings from electronics manufacturing giant hon hai , dealers said .
short text: australian stocks close down #.# percent
expanded text: australian shares closed down #.# percent monday following a weak lead from the united states and lower commodity prices , dealers said .
short text: spain 's colonial posts #.## billion euro loss
expanded text: spanish property group colonial , struggling under huge debts , announced losses of #.## billion euros for the first half of #### which it blamed on asset depreciation .
short text: kadhafi promises wide political economic reforms
expanded text: libyan leader moamer kadhafi monday promised wide political and economic reforms that he said would see ministries dismantled and oil revenues going directly into the pockets of the people .
short text: un 's top aid official arrives in drought-hit ethiopia
expanded text: the united nations ' humanitarian chief john holmes arrived in ethiopia monday to tour regions affected by drought , which has left some eight million people in need of urgent food aid .","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[]
