Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,accuracy,macro_f1,sv_initial_raw,sv_verified_raw
im feeling rather rotten so im not very ambitious right now,sadness,sadness,"</think>

sadness",214,43,257,0.21918403243034845,0.5785,0.5785,0.4193514734763129,"final label.

Input text:
im feeling rather rotten so im not very ambitious right now

Label:
assistant
<think>

</think>

sadness","</think>

sadness"
im updating my blog because i feel shitty,sadness,sadness,sadness,212,45,257,0.21918403243034845,0.5785,0.5785,0.4193514734763129,"internally.
Output only one final label.

Input text:
im updating my blog because i feel shitty

Label:
assistant
<think>

</think>

sadness",sadness
i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness,love,"</think>

love",224,33,257,0.21918403243034845,0.5785,0.5785,0.4193514734763129,"to feel like i m ashamed with her

Label:
assistant
<think>

</think>

love","</think>

love"
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy,joy,"</think>

joy",225,32,257,0.21918403243034845,0.5785,0.5785,0.4193514734763129,"feeling slightly more optimistic than when i arrived

Label:
assistant
<think>

</think>

joy","</think>

joy"
i was feeling a little vain when i did this one,sadness,joy,"</think>

joy",213,44,257,0.21918403243034845,0.5785,0.5785,0.4193514734763129,"final label.

Input text:
i was feeling a little vain when i did this one

Label:
assistant
<think>

</think>

joy","</think>

joy"
i cant walk into a shop anywhere where i do not feel uncomfortable,fear,fear,"</think>

fear",216,41,257,0.21918403243034845,0.5785,0.5785,0.4193514734763129,"Input text:
i cant walk into a shop anywhere where i do not feel uncomfortable

Label:
assistant
<think>

</think>

fear","</think>

fear"
i felt anger when at the end of a telephone call,anger,anger,"</think>

anger",213,44,257,0.21918403243034845,0.5785,0.5785,0.4193514734763129,"final label.

Input text:
i felt anger when at the end of a telephone call

Label:
assistant
<think>

</think>

anger","</think>

anger"
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy,joy,joy,247,10,257,0.21918403243034845,0.5785,0.5785,0.4193514734763129,sadness,joy
i like to have the same breathless feeling as a reader eager to see what will happen next,joy,joy,"</think>

joy",222,35,257,0.21918403243034845,0.5785,0.5785,0.4193514734763129,"feeling as a reader eager to see what will happen next

Label:
assistant
<think>

</think>

joy","</think>

joy"
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,anger,anger,anger,240,17,257,0.21918403243034845,0.5785,0.5785,0.4193514734763129,"assistant
<think>

</think>

anger",anger
i don t feel particularly agitated,fear,joy,"</think>

joy",209,48,257,0.21918403243034845,0.5785,0.5785,0.4193514734763129,"by step internally.
Output only one final label.

Input text:
i don t feel particularly agitated

Label:
assistant
<think>

</think>

joy","</think>

joy"
i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey,sadness,joy,"</think>

joy",227,30,257,0.21918403243034845,0.5785,0.5785,0.4193514734763129,"baba on our journey

Label:
assistant
<think>

</think>

joy","</think>

joy"
i pay attention it deepens into a feeling of being invaded and helpless,fear,fear,"</think>

fear",217,40,257,0.21918403243034845,0.5785,0.5785,0.4193514734763129,":
i pay attention it deepens into a feeling of being invaded and helpless

Label:
assistant
<think>

</think>

fear","</think>

fear"
i just feel extremely comfortable with the group of people that i dont even need to hide myself,joy,joy,"</think>

joy",220,37,257,0.21918403243034845,0.5785,0.5785,0.4193514734763129,"the group of people that i dont even need to hide myself

Label:
assistant
<think>

</think>

joy","</think>

joy"
i find myself in the odd position of feeling supportive of,love,joy,"</think>

joy",213,44,257,0.21918403243034845,0.5785,0.5785,0.4193514734763129,"final label.

Input text:
i find myself in the odd position of feeling supportive of

Label:
assistant
<think>

</think>

joy","</think>

joy"
i was feeling as heartbroken as im sure katniss was,sadness,sadness,"</think>

sadness",216,41,257,0.21918403243034845,0.5785,0.5785,0.4193514734763129,"Input text:
i was feeling as heartbroken as im sure katniss was

Label:
assistant
<think>

</think>

sadness","</think>

sadness"
i feel a little mellow today,joy,joy,"</think>

joy",214,53,267,0.23309949781832984,0.5785,0.5785,0.4193514734763129,", surprise
Think step by step internally.
Output only one final label.

Input text:
i feel a little mellow today

Label:
assistant
<think>

</think>

joy","</think>

joy"
i feel like my only role now would be to tear your sails with my pessimism and discontent,sadness,sadness,"</think>

sadness",227,40,267,0.23309949781832984,0.5785,0.5785,0.4193514734763129,"my only role now would be to tear your sails with my pessimism and discontent

Label:
assistant
<think>

</think>

sadness","</think>

sadness"
i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight,anger,anger,"</think>

anger",235,32,267,0.23309949781832984,0.5785,0.5785,0.4193514734763129,"let the world knows about our fight

Label:
assistant
<think>

</think>

anger","</think>

anger"
i feel like reds and purples are just so rich and kind of perfect,joy,joy,"</think>

joy",223,44,267,0.23309949781832984,0.5785,0.5785,0.4193514734763129,"text:
i feel like reds and purples are just so rich and kind of perfect

Label:
assistant
<think>

</think>

joy","</think>

joy"
im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years,sadness,sadness,sadness,251,16,267,0.23309949781832984,0.5785,0.5785,0.4193514734763129,"<think>

</think>

sadness",sadness
i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space,joy,joy,"</think>

joy",237,30,267,0.23309949781832984,0.5785,0.5785,0.4193514734763129,"part of this little space

Label:
assistant
<think>

</think>

joy","</think>

joy"
i survey my own posts over the last few years and only feel pleased with vague snippets of a few of them only feel that little bits of them capture what its like to be me or someone like me in dublin in the st century,joy,joy,joy,257,10,267,0.23309949781832984,0.5785,0.5785,0.4193514734763129,sadness,joy
i also tell you in hopes that anyone who is still feeling stigmatized or ashamed of their mental health issues will let go of the stigma let go of the shame,sadness,sadness,"</think>

sadness",241,26,267,0.23309949781832984,0.5785,0.5785,0.4193514734763129,"the shame

Label:
assistant
<think>

</think>

sadness","</think>

sadness"
i don t feel guilty like i m not going to be able to cook for him,sadness,anger,"<think>

</think>

anger",223,44,267,0.23309949781832984,0.5785,0.5785,0.4193514734763129,"i don t feel guilty like i m not going to be able to cook for him

Label:
assistant
<think>

</think>

anger","<think>

</think>

anger"
i hate it when i feel fearful for absolutely no reason,fear,fear,"</think>

fear",219,48,267,0.23309949781832984,0.5785,0.5785,0.4193514734763129,".
Output only one final label.

Input text:
i hate it when i feel fearful for absolutely no reason

Label:
assistant
<think>

</think>

fear","</think>

fear"
i am feeling outraged it shows everywhere,anger,anger,"</think>

anger",214,53,267,0.23309949781832984,0.5785,0.5785,0.4193514734763129,", surprise
Think step by step internally.
Output only one final label.

Input text:
i am feeling outraged it shows everywhere

Label:
assistant
<think>

</think>

anger","</think>

anger"
i stole a book from one of my all time favorite authors and now i feel like a rotten person,sadness,sadness,"</think>

sadness",228,39,267,0.23309949781832984,0.5785,0.5785,0.4193514734763129,"one of my all time favorite authors and now i feel like a rotten person

Label:
assistant
<think>

</think>

sadness","</think>

sadness"
i do feel insecure sometimes but who doesnt,fear,fear,"</think>

fear",215,52,267,0.23309949781832984,0.5785,0.5785,0.4193514734763129,"Think step by step internally.
Output only one final label.

Input text:
i do feel insecure sometimes but who doesnt

Label:
assistant
<think>

</think>

fear","</think>

fear"
i highly recommend visiting on a wednesday if youre able because its less crowded so you get to ask the farmers more questions without feeling rude for holding up a line,anger,joy,"</think>

joy",239,28,267,0.23309949781832984,0.5785,0.5785,0.4193514734763129,"up a line

Label:
assistant
<think>

</think>

joy","</think>

joy"
ive been missing him and feeling so restless at home thinking of him,fear,sadness,"</think>

sadness",221,46,267,0.23309949781832984,0.5785,0.5785,0.4193514734763129,"one final label.

Input text:
ive been missing him and feeling so restless at home thinking of him

Label:
assistant
<think>

</think>

sadness","</think>

sadness"
i posted on my facebook page earlier this week ive been feeling a little grumpy and out of sorts the past few days,anger,anger,"</think>

anger",231,36,267,0.23309949781832984,0.5785,0.5785,0.4193514734763129,"little grumpy and out of sorts the past few days

Label:
assistant
<think>

</think>

anger","</think>

anger"
i start to feel emotional,sadness,sadness,sadness,206,46,252,0.22485311393393204,0.5785,0.5785,0.4193514734763129,"Think step by step internally.
Output only one final label.

Input text:
i start to feel emotional

Label:
assistant
<think>

</think>

sadness",sadness
i feel so cold a href http irish,anger,fear,fear,210,42,252,0.22485311393393204,0.5785,0.5785,0.4193514734763129,"only one final label.

Input text:
i feel so cold a href http irish

Label:
assistant
<think>

</think>

fear",fear
i feel like i m defective or something for not having baby fever,sadness,sadness,sadness,214,38,252,0.22485311393393204,0.5785,0.5785,0.4193514734763129,":
i feel like i m defective or something for not having baby fever

Label:
assistant
<think>

</think>

sadness",sadness
i feel more virtuous than when i eat veggies dipped in hummus,joy,joy,"</think>

joy",214,38,252,0.22485311393393204,0.5785,0.5785,0.4193514734763129,"i feel more virtuous than when i eat veggies dipped in hummus

Label:
assistant
<think>

</think>

joy","</think>

joy"
i feel very honoured to be included in a magzine which prioritises health and clean living so highly im curious do any of you read magazines concerned with health and clean lifestyles such as the green parent,joy,surprise,surprise,242,10,252,0.22485311393393204,0.5785,0.5785,0.4193514734763129,joy,surprise
i spent the last two weeks of school feeling miserable,sadness,sadness,sadness,211,41,252,0.22485311393393204,0.5785,0.5785,0.4193514734763129,"final label.

Input text:
i spent the last two weeks of school feeling miserable

Label:
assistant
<think>

</think>

sadness",sadness
im feeling very peaceful about our wedding again now after having,joy,joy,"</think>

joy",211,41,252,0.22485311393393204,0.5785,0.5785,0.4193514734763129,".

Input text:
im feeling very peaceful about our wedding again now after having

Label:
assistant
<think>

</think>

joy","</think>

joy"
i had been talking to coach claudia barcomb and coach ali boe for a long time and they both made me feel very welcomed at union,joy,joy,"</think>

joy",230,22,252,0.22485311393393204,0.5785,0.5785,0.4193514734763129,":
assistant
<think>

</think>

joy","</think>

joy"
i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change,anger,anger,"</think>

anger",227,25,252,0.22485311393393204,0.5785,0.5785,0.4193514734763129,"change

Label:
assistant
<think>

</think>

anger","</think>

anger"
i feel humiliated embarrassed or foolish i will remember that others have felt the same way because of the same kinds of things and i will be kind and helpful and accepting,sadness,sadness,sadness,235,17,252,0.22485311393393204,0.5785,0.5785,0.4193514734763129,"assistant
<think>

</think>

sadness",sadness
i feel reassured that i am dealing with my diet in the right way and that all is good,joy,joy,"</think>

joy",220,32,252,0.22485311393393204,0.5785,0.5785,0.4193514734763129,"the right way and that all is good

Label:
assistant
<think>

</think>

joy","</think>

joy"
i feel i have to agree with her even though i can imagine some rather unpleasant possible cases,sadness,fear,fear,219,33,252,0.22485311393393204,0.5785,0.5785,0.4193514734763129,"even though i can imagine some rather unpleasant possible cases

Label:
assistant
<think>

</think>

fear",fear
im in such a happy mood today i feel almost delighted and i havent done anything different today then i normally have it is wonderful,joy,joy,"</think>

joy",226,26,252,0.22485311393393204,0.5785,0.5785,0.4193514734763129,"is wonderful

Label:
assistant
<think>

</think>

joy","</think>

joy"
im feeling really out of place and irritated,anger,anger,"</think>

anger",207,45,252,0.22485311393393204,0.5785,0.5785,0.4193514734763129,"Output only one final label.

Input text:
im feeling really out of place and irritated

Label:
assistant
<think>

</think>

anger","</think>

anger"
i also know that i feel nothing than a friendly affection to them too,joy,love,"</think>

love",214,38,252,0.22485311393393204,0.5785,0.5785,0.4193514734763129,"i also know that i feel nothing than a friendly affection to them too

Label:
assistant
<think>

</think>

love","</think>

love"
i feel like i had a rather productive weekend and i cant always say that no matter how much i get done,joy,joy,"</think>

joy",222,30,252,0.22485311393393204,0.5785,0.5785,0.4193514734763129,"matter how much i get done

Label:
assistant
<think>

</think>

joy","</think>

joy"
im feeling insecure at the moment,fear,sadness,"</think>

sadness",214,53,267,0.22359113206766779,0.5785,0.5785,0.4193514734763129,", fear, surprise
Think step by step internally.
Output only one final label.

Input text:
im feeling insecure at the moment

Label:
assistant
<think>

</think>

sadness","</think>

sadness"
i was feeling pretty anxious all day but my first day at work was a very good day and that helped a lot,fear,joy,"</think>

joy",230,37,267,0.22359113206766779,0.5785,0.5785,0.4193514734763129,"at work was a very good day and that helped a lot

Label:
assistant
<think>

</think>

joy","</think>

joy"
i stood up to you i finally stood up to you and now i feel like im being punished if i could go back and do it again,sadness,sadness,"</think>

sadness",236,31,267,0.22359113206766779,0.5785,0.5785,0.4193514734763129,"could go back and do it again

Label:
assistant
<think>

</think>

sadness","</think>

sadness"
i feel a little nervous i go to the gym,fear,fear,"</think>

fear",218,49,267,0.22359113206766779,0.5785,0.5785,0.4193514734763129,"step internally.
Output only one final label.

Input text:
i feel a little nervous i go to the gym

Label:
assistant
<think>

</think>

fear","</think>

fear"
i feel like i could go into any situation and become successful because i ve been competing all my life explained schaub in an interview with the a href http bleacherreport,joy,joy,"</think>

joy",241,26,267,0.22359113206766779,0.5785,0.5785,0.4193514734763129,"report

Label:
assistant
<think>

</think>

joy","</think>

joy"
i can t stop the anxiety i feel when i m alone when i ve got no distractions,sadness,fear,"</think>

fear",226,41,267,0.22359113206766779,0.5785,0.5785,0.4193514734763129,"can t stop the anxiety i feel when i m alone when i ve got no distractions

Label:
assistant
<think>

</think>

fear","</think>

fear"
im trying to feel out my house style now that im living on my own and have creative carte blanche,joy,joy,"</think>

joy",227,40,267,0.22359113206766779,0.5785,0.5785,0.4193514734763129,"my house style now that im living on my own and have creative carte blanche

Label:
assistant
<think>

</think>

joy","</think>

joy"
i have tried to see what it would be like if i liked one of my girl friends but it has never really worked and i can only ever feel an emotional connection to them because they are my friends,sadness,sadness,sadness,249,18,267,0.22359113206766779,0.5785,0.5785,0.4193514734763129,"assistant
<think>

</think>

sadness",sadness
i had every intention of doing more gardening this morning while it was still cool but i was just feeling so rotten,sadness,sadness,sadness,231,36,267,0.22359113206766779,0.5785,0.5785,0.4193514734763129,"morning while it was still cool but i was just feeling so rotten

Label:
assistant
<think>

</think>

sadness",sadness
i have a good feeling about this so i am excited,joy,joy,"</think>

joy",218,49,267,0.22359113206766779,0.5785,0.5785,0.4193514734763129,".
Output only one final label.

Input text:
i have a good feeling about this so i am excited

Label:
assistant
<think>

</think>

joy","</think>

joy"
i feel like i am just starting to understand the blessings that come from being submissive to the will of the father,sadness,love,"</think>

love",229,38,267,0.22359113206766779,0.5785,0.5785,0.4193514734763129,"the blessings that come from being submissive to the will of the father

Label:
assistant
<think>

</think>

love","</think>

love"
i think about the things ive said and the stuff i have done it makes me feel disgusted in myself when i should be making you happy and smile which i was far from doing,anger,sadness,"</think>

sadness",242,25,267,0.22359113206766779,0.5785,0.5785,0.4193514734763129,"Label:
assistant
<think>

</think>

sadness","</think>

sadness"
i woke up yesterday monday morning feeling a little depressed,sadness,sadness,"</think>

sadness",218,49,267,0.22359113206766779,0.5785,0.5785,0.4193514734763129,"step internally.
Output only one final label.

Input text:
i woke up yesterday monday morning feeling a little depressed

Label:
assistant
<think>

</think>

sadness","</think>

sadness"
i feel so embarrassed,sadness,anger,"</think>

anger",211,56,267,0.22359113206766779,0.5785,0.5785,0.4193514734763129,", love, anger, fear, surprise
Think step by step internally.
Output only one final label.

Input text:
i feel so embarrassed

Label:
assistant
<think>

</think>

anger","</think>

anger"
i spent wandering around still kinda dazed and not feeling particularly sociable but because id been in hiding for a couple for days and it was getting to be a little unhealthy i made myself go down to the cross and hang out with folks,joy,joy,joy,257,10,267,0.22359113206766779,0.5785,0.5785,0.4193514734763129,sadness,joy
i can honestly say that after each sistahs chat i feel invigorated and blessed,joy,joy,"</think>

joy",225,42,267,0.22359113206766779,0.5785,0.5785,0.4193514734763129,"can honestly say that after each sistahs chat i feel invigorated and blessed

Label:
assistant
<think>

</think>

joy","</think>

joy"
