Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,mse,rmse,pearson_coeff,spearman_coeff,sc_raw_samples,sc_parsed_samples
text1: mr. grassley and mr. baucus rejected any disparity in drug benefits . text2: grassley and baucus said they had rejected that approach in their plan .,3.0,2.0,": mr. grassley and mr. baucus rejected any disparity in drug benefits . text2: grassley and baucus said they had rejected that approach in their plan .

Score:
4.5",515,230,745,0.08974132368894061,2.627370432419052,1.6209165408555284,0.102702418562895,0.10566205802704164,"["": mr. grassley and mr. baucus rejected any disparity in drug benefits . text2: grassley and baucus said they had rejected that approach in their plan .\n\nScore:\n4.5"", "": mr. grassley and mr. baucus rejected any disparity in drug benefits . text2: grassley and baucus said they had rejected that approach in their plan .\n\nScore:\n3.5"", "": mr. grassley and mr. baucus rejected any disparity in drug benefits . text2: grassley and baucus said they had rejected that approach in their plan .\n\nScore:\nScore: 4.0"", "": mr. grassley and mr. baucus rejected any disparity in drug benefits . text2: grassley and baucus said they had rejected that approach in their plan .\n\nScore:\n3.5"", "": mr. grassley and mr. baucus rejected any disparity in drug benefits . text2: grassley and baucus said they had rejected that approach in their plan .\n\nScore:\nScore: 4.0""]","[2.0, 2.0, 2.0, 2.0, 2.0]"
text1: he also reaffirmed his wish to resolve the north korean nuclear crisis peacefully . text2: but the north korean nuclear crisis has dominated his time in office .,2.0,1.0,"text1: he also reaffirmed his wish to resolve the north korean nuclear crisis peacefully . text2: but the north korean nuclear crisis has dominated his time in office .

Score:
Score: 3.5",510,235,745,0.08974132368894061,2.627370432419052,1.6209165408555284,0.102702418562895,0.10566205802704164,"[""text1: he also reaffirmed his wish to resolve the north korean nuclear crisis peacefully . text2: but the north korean nuclear crisis has dominated his time in office .\n\nScore:\nScore: 3.5"", ""text1: he also reaffirmed his wish to resolve the north korean nuclear crisis peacefully . text2: but the north korean nuclear crisis has dominated his time in office .\n\nScore:\nScore: 3.5"", ""text1: he also reaffirmed his wish to resolve the north korean nuclear crisis peacefully . text2: but the north korean nuclear crisis has dominated his time in office .\n\nScore:\n3.5"", ""text1: he also reaffirmed his wish to resolve the north korean nuclear crisis peacefully . text2: but the north korean nuclear crisis has dominated his time in office .\n\nScore:\n3.5"", ""text1: he also reaffirmed his wish to resolve the north korean nuclear crisis peacefully . text2: but the north korean nuclear crisis has dominated his time in office .\n\nScore:\nScore: 3.5""]","[1.0, 1.0, 1.0, 1.0, 1.0]"
"text1: in the year-ago quarter , the steelmaker recorded a profit of $ 16.2 million , or 15 cents per share , on sales of $ 1.14 billion . text2: in the second quarter last year , ak steel reported a profit of $ 16.2 million , or 15 cents a share .",3.4,3.8,".

Score:
3.5",685,60,745,0.08974132368894061,2.627370432419052,1.6209165408555284,0.102702418562895,0.10566205802704164,"["".\n\nScore:\n4.5"", "".\n\nScore:\n3.0"", "".\n\nScore:\nScore: 4.5"", "".\n\nScore:\n3.5"", "".\n\nScore:\n3.5""]","[4.5, 3.0, 4.5, 3.5, 3.5]"
text1: pg & e corp. shares were up 39 cents or 2.6 percent at $ 15.59 on the new york stock exchange on tuesday . text2: pg & e 's shares gained 24 cents to $ 15.44 during tuesday 's trading on the new york stock exchange .,2.2,3.7,"york stock exchange .

Score:
Score: 3.5",670,75,745,0.08974132368894061,2.627370432419052,1.6209165408555284,0.102702418562895,0.10566205802704164,"[""york stock exchange .\n\nScore:\n4.0"", ""york stock exchange .\n\nScore:\nScore: 4.0"", ""york stock exchange .\n\nScore:\nScore: 3.5"", ""york stock exchange .\n\nScore:\nScore: 3.5"", ""york stock exchange .\n\nScore:\nScore: 3.5""]","[4.0, 4.0, 3.5, 3.5, 3.5]"
"text1: the nasdaq had a weekly gain of 17.27 , or 1.2 percent , closing at 1,520.15 on friday . text2: the tech-laced nasdaq composite .ixic rallied 30.46 points , or 2.04 percent , to 1,520.15 .",1.8,0.15,".15 .

Score:
4.0",675,70,745,0.08974132368894061,2.627370432419052,1.6209165408555284,0.102702418562895,0.10566205802704164,"["".15 .\n\nScore:\n4.0"", "".15 .\n\nScore:\n3.5"", "".15 .\n\nScore:\nScore: 4.0"", "".15 .\n\nScore:\n4.5"", "".15 .\n\nScore:\nScore: 3.5""]","[0.15, 0.15, 0.15, 0.15, 0.15]"
"text1: "" this decision is clearly incorrect , "" ftc chairman timothy muris said in a written statement . text2: the decision is "" clearly incorrect , "" ftc chairman tim muris said .",4.0,2.0,"timothy muris said in a written statement . text2: the decision is "" clearly incorrect , "" ftc chairman tim muris said .

Score:
Score: 4.5",545,200,745,0.08974132368894061,2.627370432419052,1.6209165408555284,0.102702418562895,0.10566205802704164,"[""timothy muris said in a written statement . text2: the decision is \"" clearly incorrect , \"" ftc chairman tim muris said .\n\nScore:\nScore: 4.5"", ""timothy muris said in a written statement . text2: the decision is \"" clearly incorrect , \"" ftc chairman tim muris said .\n\nScore:\nScore: 4.5"", ""timothy muris said in a written statement . text2: the decision is \"" clearly incorrect , \"" ftc chairman tim muris said .\n\nScore:\n3.5"", ""timothy muris said in a written statement . text2: the decision is \"" clearly incorrect , \"" ftc chairman tim muris said .\n\nScore:\nScore: 4.5"", ""timothy muris said in a written statement . text2: the decision is \"" clearly incorrect , \"" ftc chairman tim muris said .\n\nScore:\n4.0""]","[2.0, 2.0, 2.0, 2.0, 2.0]"
"text1: a rebel who was captured said more than 2,000 insurgents were involved in the attack . text2: a captured rebel said 2,100 combatants had been involved in the offensive .",3.5,2.0,"2,000 insurgents were involved in the attack . text2: a captured rebel said 2,100 combatants had been involved in the offensive .

Score:
3.5",540,205,745,0.08974132368894061,2.627370432419052,1.6209165408555284,0.102702418562895,0.10566205802704164,"[""2,000 insurgents were involved in the attack . text2: a captured rebel said 2,100 combatants had been involved in the offensive .\n\nScore:\n3.5"", ""2,000 insurgents were involved in the attack . text2: a captured rebel said 2,100 combatants had been involved in the offensive .\n\nScore:\n4.0"", ""2,000 insurgents were involved in the attack . text2: a captured rebel said 2,100 combatants had been involved in the offensive .\n\nScore:\n3.5"", ""2,000 insurgents were involved in the attack . text2: a captured rebel said 2,100 combatants had been involved in the offensive .\n\nScore:\nScore: 4.0"", ""2,000 insurgents were involved in the attack . text2: a captured rebel said 2,100 combatants had been involved in the offensive .\n\nScore:\n4.5""]","[2.0, 2.0, 2.0, 2.0, 2.0]"
"text1: "" it was brazen intimidation to keep people on the reservation , "" said a republican who attended but did not want to be named . text2: "" it was a brazen attempt at intimidation , "" said a republican legislator who attended the meeting .",3.5,4.4,"a brazen attempt at intimidation , "" said a republican legislator who attended the meeting .

Score:
Score: 4.5",600,145,745,0.08974132368894061,2.627370432419052,1.6209165408555284,0.102702418562895,0.10566205802704164,"[""a brazen attempt at intimidation , \"" said a republican legislator who attended the meeting .\n\nScore:\nScore: 4.5"", ""a brazen attempt at intimidation , \"" said a republican legislator who attended the meeting .\n\nScore:\nScore: 4.5"", ""a brazen attempt at intimidation , \"" said a republican legislator who attended the meeting .\n\nScore:\nScore: 4.5"", ""a brazen attempt at intimidation , \"" said a republican legislator who attended the meeting .\n\nScore:\nScore: 4.0"", ""a brazen attempt at intimidation , \"" said a republican legislator who attended the meeting .\n\nScore:\nScore: 4.5""]","[4.5, 4.5, 4.5, 4.0, 4.5]"
"text1: no charges were announced , but the statement said legal proceedings were expected monday . text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore .",2.75,2.0,"charges were announced , but the statement said legal proceedings were expected monday . text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore .

Score:
Score: 4.5",520,225,745,0.08974132368894061,2.627370432419052,1.6209165408555284,0.102702418562895,0.10566205802704164,"[""charges were announced , but the statement said legal proceedings were expected monday . text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore .\n\nScore:\nScore: 4.5"", ""charges were announced , but the statement said legal proceedings were expected monday . text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore .\n\nScore:\nScore: 4.0"", ""charges were announced , but the statement said legal proceedings were expected monday . text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore .\n\nScore:\n3.5"", ""charges were announced , but the statement said legal proceedings were expected monday . text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore .\n\nScore:\nScore: 4.0"", ""charges were announced , but the statement said legal proceedings were expected monday . text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore .\n\nScore:\n3.5""]","[2.0, 2.0, 2.0, 2.0, 2.0]"
"text1: the dead woman was also wearing a ring and a cartier watch . text2: "" it 's a blond-haired woman wearing a cartier watch on her wrist , "" the source said .",2.6,2.0,"a cartier watch . text2: "" it 's a blond-haired woman wearing a cartier watch on her wrist , "" the source said .

Score:
Score: 4.5",540,205,745,0.08974132368894061,2.627370432419052,1.6209165408555284,0.102702418562895,0.10566205802704164,"[""a cartier watch . text2: \"" it 's a blond-haired woman wearing a cartier watch on her wrist , \"" the source said .\n\nScore:\nScore: 4.5"", ""a cartier watch . text2: \"" it 's a blond-haired woman wearing a cartier watch on her wrist , \"" the source said .\n\nScore:\n4.5"", ""a cartier watch . text2: \"" it 's a blond-haired woman wearing a cartier watch on her wrist , \"" the source said .\n\nScore:\n4.5"", ""a cartier watch . text2: \"" it 's a blond-haired woman wearing a cartier watch on her wrist , \"" the source said .\n\nScore:\nScore: 4.0"", ""a cartier watch . text2: \"" it 's a blond-haired woman wearing a cartier watch on her wrist , \"" the source said .\n\nScore:\nScore: 4.0""]","[2.0, 2.0, 2.0, 2.0, 2.0]"
"text1: the tech-heavy nasdaq stock markets composite index added 14.17 points or 0.94 per cent to 1,517.05 . text2: the nasdaq composite index , full of technology stocks , was lately up around 18 points .",2.2,5.0,"composite index , full of technology stocks , was lately up around 18 points .

Score:
Score: 3.0",610,135,745,0.08974132368894061,2.627370432419052,1.6209165408555284,0.102702418562895,0.10566205802704164,"[""composite index , full of technology stocks , was lately up around 18 points .\n\nScore:\nScore: 3.0"", ""composite index , full of technology stocks , was lately up around 18 points .\n\nScore:\nScore: 3.5"", ""composite index , full of technology stocks , was lately up around 18 points .\n\nScore:\nScore: 3.5"", ""composite index , full of technology stocks , was lately up around 18 points .\n\nScore:\nScore: 3.0"", ""composite index , full of technology stocks , was lately up around 18 points .\n\nScore:\nScore: 3.5""]","[5.0, 5.0, 5.0, 5.0, 5.0]"
"text1: paul themba nyathi , an mdc spokesman , said the avenues clinic was being targeted because it was treating opposition supporters . text2: mdc spokesperson paul themba nyathi said the avenues clinic was targeted because it was handling opposition supporters .",4.6,4.5,"dc spokesperson paul themba nyathi said the avenues clinic was targeted because it was handling opposition supporters .

Score:
Score: 4.5",590,155,745,0.08974132368894061,2.627370432419052,1.6209165408555284,0.102702418562895,0.10566205802704164,"[""dc spokesperson paul themba nyathi said the avenues clinic was targeted because it was handling opposition supporters .\n\nScore:\nScore: 4.5"", ""dc spokesperson paul themba nyathi said the avenues clinic was targeted because it was handling opposition supporters .\n\nScore:\nScore: 4.5"", ""dc spokesperson paul themba nyathi said the avenues clinic was targeted because it was handling opposition supporters .\n\nScore:\nScore: 4.5"", ""dc spokesperson paul themba nyathi said the avenues clinic was targeted because it was handling opposition supporters .\n\nScore:\nScore: 4.5"", ""dc spokesperson paul themba nyathi said the avenues clinic was targeted because it was handling opposition supporters .\n\nScore:\nScore: 4.5""]","[4.5, 4.5, 4.5, 4.5, 4.5]"
