Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,accuracy,macro_f1,in_context,context_indices,retrieval_scores
im feeling rather rotten so im not very ambitious right now,sadness,sadness,"igorated and full of ambition
label: joy
input text: i have been feeling overwhelmed and time poor
label: surprise
input text: i have to say i still feel completely rotten and constantly exhausted
label: sadness
input text: im feeling gloomy as i have completed nothing though im supposed to complete many things
label: sadness
input text: im feeling very gloomy
label: sadness
input text: i im feeling rot im feeling rotten today i guess i forgot i am shot im not o
label: sadness

Target input text:
im feeling rather rotten so im not very ambitious right now

Label:
sadness",275,133,408,0.04570278912433423,0.691,0.691,0.6238486196171279,"For example,
input text: i currently am feeling rotten with some sort of illness not exactly what i had hoped for in my small amount of time back home but hey ho
label: sadness
input text: i feel like im rotten and empty inside
label: sadness
input text: i feel very miserable now
label: sadness
input text: i feel pretty rotten when i cant
label: sadness
input text: i feel re invigorated and full of ambition
label: joy
input text: i have been feeling overwhelmed and time poor
label: surprise
input text: i have to say i still feel completely rotten and constantly exhausted
label: sadness
input text: im feeling gloomy as i have completed nothing though im supposed to complete many things
label: sadness
input text: im feeling very gloomy
label: sadness
input text: i im feeling rot im feeling rotten today i guess i forgot i am shot im not o
label: sadness","[7569, 7913, 10785, 13424, 4852, 5590, 9326, 496, 2564, 12722]","[0.6025464534759521, 0.5756407976150513, 0.5699563026428223, 0.5681644082069397, 0.5668586492538452, 0.5631381273269653, 0.5580867528915405, 0.5525057315826416, 0.5522078275680542, 0.5513876080513]"
im updating my blog because i feel shitty,sadness,sadness,"blog whenever i feel heartbroken
label: sadness
input text: i just wanna say that the last three months i feel so happy about my blog
label: joy

Target input text:
im updating my blog because i feel shitty

Label:
sadness",353,55,408,0.04570278912433423,0.691,0.691,0.6238486196171279,"For example,
input text: i am here to update my blog just found out that my blog looks feels dull when there are no updates
label: sadness
input text: ive posted a blog and i feel like thats unfortunate
label: sadness
input text: i feel terribly neglectful of my blog
label: sadness
input text: i have been absolutely useless written about nothing at all and feel like im neglecting my faithful followers by failing to update the blog today
label: joy
input text: i feel so bad that im posting this blog so late
label: sadness
input text: ive been feelin cranky about my blog im feeling its still a bit childish for me already i dont know if its the blog itself the address or something else
label: anger
input text: i would be feeling guilty of writing craps on my blog nothing useful nor beneficial to others
label: sadness
input text: i feel after reading allthingsbucks blog which brought tears to my eyes and a lump in my throat and a feeling of not having a worthwhile thing to be upset about that i shouldnt write such a lame blog
label: joy
input text: i find that i have so much to blog whenever i feel heartbroken
label: sadness
input text: i just wanna say that the last three months i feel so happy about my blog
label: joy","[12395, 1843, 8951, 15141, 7384, 4136, 8309, 458, 12665, 1271]","[0.7299478054046631, 0.7184975743293762, 0.6696955561637878, 0.6510270833969116, 0.628137469291687, 0.6139352917671204, 0.6052156686782837, 0.6045756340026855, 0.5993096232414246, 0.598664402961731]"
i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness,love,"till i break down and feel horrible about myself
label: sadness
input text: im with her most of the time i feel perfectly content
label: joy

Target input text:
i never make her separate from me because i don t ever want her to feel like i m ashamed with her

Label:
love",341,67,408,0.04570278912433423,0.691,0.691,0.6238486196171279,"For example,
input text: i feel unwelcome when i am with her
label: sadness
input text: i do not want her to feel ugly
label: sadness
input text: i hide this secret inside of me away from everyone because i feel ashamed and like i have no assistance in making it better
label: sadness
input text: i had for me to confess my feelings for her but still i couldnt bring myself to her for i was scared of losing her once more
label: fear
input text: i want her to feel humiliated and guilty
label: sadness
input text: i know if i do ill get guilted about making her feel unwelcome
label: sadness
input text: i feel so depressed when i m not with her and when i think about her because it is so destroyed i just think i should move on
label: sadness
input text: i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me
label: fear
input text: i ignore her once shell keep trying and trying and trying till i break down and feel horrible about myself
label: sadness
input text: im with her most of the time i feel perfectly content
label: joy","[15232, 8843, 5008, 4393, 5176, 10174, 12668, 14545, 9473, 7767]","[0.5937457084655762, 0.5712021589279175, 0.5568832159042358, 0.5556930303573608, 0.5470572710037231, 0.5385828614234924, 0.5320939421653748, 0.5245406627655029, 0.5165554285049438, 0.5165376663208008]"
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy,joy,"a number of days that i feel may be too optimistic
label: joy
input text: im just happy to be feeling something because for the last few days ive felt pretty
label: joy

Target input text:
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived

Label:
joy",334,74,408,0.04570278912433423,0.691,0.691,0.6238486196171279,"For example,
input text: i feel a sweet sense of optimism touched with anxiety about the coming days
label: joy
input text: i was feeling pretty grumpy at this point but for whatever reason seeing this flower made me very happy
label: anger
input text: i am so relieved and excited and i feel confident again
label: joy
input text: i was left feeling a little delicate but thoughtful
label: love
input text: i have that spring fling feeling again and like a flower unfurling my artistic soul is ready for some sunshine
label: joy
input text: i have a lot of moments where i will feel optimistic
label: joy
input text: i have been feeling strong and optimistic and then bam
label: joy
input text: i did not feel as hopeful yesterday our small number my childrens misbehavior during the service and the difficult hurried pace of the day before and after left me frayed and vulnerable
label: joy
input text: ive been saying things for a number of days that i feel may be too optimistic
label: joy
input text: im just happy to be feeling something because for the last few days ive felt pretty
label: joy","[14667, 12107, 839, 3838, 5369, 6713, 6707, 13977, 7470, 1884]","[0.5610427856445312, 0.5375056266784668, 0.5222716331481934, 0.5147345662117004, 0.5125249624252319, 0.49734529852867126, 0.49341320991516113, 0.49058273434638977, 0.4889015555381775, 0.4841778874397278]"
i was feeling a little vain when i did this one,sadness,sadness,"actually feel really horribly vain posting this but im kinda curious
label: sadness
input text: i feel kind of vain when people tell me im pretty though
label: sadness
input text: i often feel that everything around me is so vain and purposeless
label: sadness
input text: i feel sooooooooper vain taking pics of myself for the last hour
label: sadness
input text: i was tempted to feel a little bitter but then i saw this
label: anger
input text: i feel vain when reporting everyday happenings in my life
label: sadness

Target input text:
i was feeling a little vain when i did this one

Label:
sadness",265,143,408,0.04570278912433423,0.691,0.691,0.6238486196171279,"For example,
input text: i feel vain
label: sadness
input text: i feel inside of me that it was not in vain
label: sadness
input text: i feel incredibly vain and stupid admitting to that
label: sadness
input text: im feeling a little vain today in outfit
label: sadness
input text: i actually feel really horribly vain posting this but im kinda curious
label: sadness
input text: i feel kind of vain when people tell me im pretty though
label: sadness
input text: i often feel that everything around me is so vain and purposeless
label: sadness
input text: i feel sooooooooper vain taking pics of myself for the last hour
label: sadness
input text: i was tempted to feel a little bitter but then i saw this
label: anger
input text: i feel vain when reporting everyday happenings in my life
label: sadness","[7737, 1547, 9778, 15909, 12273, 1952, 14183, 15110, 646, 11807]","[0.7338516712188721, 0.6881304979324341, 0.6624203324317932, 0.6377860307693481, 0.6150006651878357, 0.5933030247688293, 0.5894730687141418, 0.5867421627044678, 0.5844912528991699, 0.5709168314933777]"
i cant walk into a shop anywhere where i do not feel uncomfortable,fear,fear,"feel nervous just walking outside
label: fear
input text: i didnt want to walk passed there just in case the customers feel disturbed
label: sadness

Target input text:
i cant walk into a shop anywhere where i do not feel uncomfortable

Label:
fear",351,57,408,0.04570278912433423,0.691,0.691,0.6238486196171279,"For example,
input text: i visit m ller in my country and go to the expensive make up stands the sales assistants are always standing right next to me and looking at me like im going to steal something so i feel really uncomfortable shopping there
label: fear
input text: i won t even go in stores because i feel so unwelcome
label: sadness
input text: ive been going to these liquor stores all my life and i still feel a bit dirty walking into one like im doing something i shouldnt be
label: sadness
input text: i no longer feel timid or insecure when i walked
label: fear
input text: i feel very reluctant to have to walk through
label: fear
input text: i could walk at a slow pace browse each booth as long as i wanted and dart in and out of the shops on main street without feeling rushed
label: anger
input text: i love being comfy that is my main goal when i look for new clothes i cannot stand feeling uncomfortable in something
label: fear
input text: i feel ive been physically uncomfortable for the last months of my life so nothing new there
label: fear
input text: i feel nervous just walking outside
label: fear
input text: i didnt want to walk passed there just in case the customers feel disturbed
label: sadness","[1168, 3351, 9489, 15306, 11617, 9334, 13856, 3958, 2571, 273]","[0.6043451428413391, 0.5518829822540283, 0.5401456356048584, 0.5279741287231445, 0.5275770425796509, 0.5240232944488525, 0.5233566761016846, 0.5175697207450867, 0.5118261575698853, 0.5042374134063721]"
i felt anger when at the end of a telephone call,anger,anger,"her call was not a sincere apology
label: joy
input text: im feeling enraged at another persons actions i have to consider what i was thinking about in the moments prior to the incident
label: anger
input text: i was feeling irritated and slightly upset after this conversation
label: anger
input text: i feel like my go to emotion is angry
label: anger
input text: i feel so regretful and bad that i called in
label: sadness

Target input text:
i felt anger when at the end of a telephone call

Label:
anger",288,120,408,0.04570278912433423,0.691,0.691,0.6238486196171279,"For example,
input text: i feel humiliated by the person who phoned
label: sadness
input text: i feel anybody got angry to me in an awkward silence
label: anger
input text: i did the yelling the feeling of being extremely mad
label: anger
input text: i didnt feel angry i didnt feel bitter i felt
label: anger
input text: i felt like i couldnt let myself believe the feelings i was getting from these men that the phone call had been a fake
label: sadness
input text: i feel as if her call was not a sincere apology
label: joy
input text: im feeling enraged at another persons actions i have to consider what i was thinking about in the moments prior to the incident
label: anger
input text: i was feeling irritated and slightly upset after this conversation
label: anger
input text: i feel like my go to emotion is angry
label: anger
input text: i feel so regretful and bad that i called in
label: sadness","[6364, 9105, 9755, 14243, 8983, 4050, 12736, 3608, 573, 2518]","[0.6550126671791077, 0.6104937791824341, 0.5911601781845093, 0.584474503993988, 0.5836073160171509, 0.5758764743804932, 0.5666987299919128, 0.5645260810852051, 0.5602643489837646, 0.5576644539833069]"
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy,sadness,"Target input text:
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia

Label:
sadness",354,54,408,0.04570278912433423,0.691,0.691,0.6238486196171279,"For example,
input text: when my application for studying the masters degree was accepted
label: joy
input text: i tried to write it off as normal and ignored all feelings throwing myself into a very unsuccessful relationship with a boy when i was about
label: sadness
input text: i felt happy when i received the letter telling me that i had been admitted to the university
label: joy
input text: im sinking back into feeling rejected and also wondering what i could have done differently
label: sadness
input text: i was attracted to the feeling of being admired being an object of desire and refusing to give in
label: joy
input text: i cherished and enjoyed i didn t have many friends in college and she was my first real friend that made me feel like i was accepted
label: love
input text: i liked boys and didnt feel inhibited by them
label: sadness
input text: when i learnt that i had been admitted to the university
label: joy
input text: i was still feeling like i wasn t accepted and had no one else to go to
label: joy
input text: i realized that i was tired of feeling weird in relationships with boys
label: fear","[6940, 3297, 14224, 5857, 14035, 4405, 11913, 7063, 10558, 11503]","[0.567747175693512, 0.5397953987121582, 0.5258006453514099, 0.4886890947818756, 0.486087441444397, 0.4782659411430359, 0.4761658310890198, 0.4723411202430725, 0.4703015685081482, 0.4698930084705353]"
i like to have the same breathless feeling as a reader eager to see what will happen next,joy,joy,joy,404,4,408,0.04570278912433423,0.691,0.691,0.6238486196171279,"For example,
input text: i can t imagine any reader feels lethargic calm and content after reading it
label: sadness
input text: i like reading it and feeling sympathetic for people and my mind creates all the descriptive background and scenes the author describes about it
label: love
input text: i feel cool reading this book especially when i take it along to read while waiting for a doctors appointment
label: joy
input text: im happier when im feeling curious and genuinely looking forward to the next page alone in my reading chair next to the heater curled up in a blanket than when im muddling through guild wars or wot
label: surprise
input text: i love seeing what books resonate with my girls i love seeing their faces grow serious when characters face complications trials and obstacles and i love the discussions that come out of reading time as we talk about main ideas how the books made us feel and what may have surprised us
label: surprise
input text: i want to savor this feeling of ecstatic anticipation in which i abide these days
label: joy
input text: i lose interest in reading stories when i feel like the tension has been resolved which did happen a few times and yet i kept wanting to read more
label: joy
input text: i have some feelings i would like to share with you the valued reader
label: joy
input text: i feel an eager anticipation
label: joy
input text: i am also in an exciting space i have to admit i am feeling curiously excitedly optimistic about the future
label: joy","[9710, 10118, 8000, 12755, 11715, 11284, 2850, 9005, 9208, 5793]","[0.6263458728790283, 0.5797364115715027, 0.5642972588539124, 0.5584378242492676, 0.5576696395874023, 0.546868085861206, 0.5419163703918457, 0.5393375754356384, 0.5390474796295166, 0.5387645959854126]"
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,anger,anger,": i continued to feel this way for the next couple weeks until i convinced myself i should just take a pregnancy test to be sure
label: joy

Target input text:
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer

Label:
anger",329,79,408,0.04570278912433423,0.691,0.691,0.6238486196171279,"For example,
input text: im so damn tired and i feel a little grouchy
label: anger
input text: im feeling fine just a bit nauseous and extremely tired but to be expected in the first trimester
label: joy
input text: i feel melancholy always the period plus just dont feel like myself
label: sadness
input text: im feeling wimpy and whiny and generally tired
label: fear
input text: i am just feeling grumpy and sore
label: anger
input text: im so tired and heavy all the time its a familiar feeling though not a pleasant one
label: joy
input text: i start feeling really lousy but figure it was pregnancy stuff
label: sadness
input text: i am feeling a little grumpy but that could be pms too
label: anger
input text: i basically feeling a bit grumpy most of the time coz i was hungry
label: anger
input text: i continued to feel this way for the next couple weeks until i convinced myself i should just take a pregnancy test to be sure
label: joy","[2130, 9656, 12862, 10409, 4829, 14501, 3465, 1647, 14163, 7626]","[0.6471659541130066, 0.6191150546073914, 0.6175941824913025, 0.6012989282608032, 0.5997533798217773, 0.593093752861023, 0.5914376974105835, 0.5910820960998535, 0.577171802520752, 0.5734213590621948]"
