Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,accuracy,macro_f1,in_context,context_indices,retrieval_scores
im feeling rather rotten so im not very ambitious right now,sadness,sadness,": anger

Target input text:
im feeling rather rotten so im not very ambitious right now

Label:
assistant
<think>

</think>

sadness",400,159,559,2.0233696156865335,0.562,0.562,0.4705103635640527,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
im updating my blog because i feel shitty,sadness,sadness,"times less bitchy
label: anger

Target input text:
im updating my blog because i feel shitty

Label:
assistant
<think>

</think>

sadness",397,162,559,2.0233696156865335,0.562,0.562,0.4705103635640527,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness,love,"to feel like i m ashamed with her

Label:
assistant
<think>

</think>

label: love",411,148,559,2.0233696156865335,0.562,0.562,0.4705103635640527,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy,joy,"feeling slightly more optimistic than when i arrived

Label:
assistant
<think>

</think>

joy",411,148,559,2.0233696156865335,0.562,0.562,0.4705103635640527,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i was feeling a little vain when i did this one,sadness,joy,": anger

Target input text:
i was feeling a little vain when i did this one

Label:
assistant
<think>

</think>

The text ""i was feeling a little vain when i did this one"" expresses a sense of self-satisfaction, pride, or feeling superior about one's actions. Among the provided candidate labels (sadness, joy, love, anger, fear, surprise), this sentiment aligns most closely with **joy** (or positive self-regard). It does not fit sadness, anger, fear, or surprise. While ""love"" is a candidate, it typically refers to affection for others or deep emotional connection, whereas ""vain"" here implies a positive feeling of one's own accomplishment.

Label: joy",400,159,559,2.0233696156865335,0.562,0.562,0.4705103635640527,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i cant walk into a shop anywhere where i do not feel uncomfortable,fear,fear,"input text:
i cant walk into a shop anywhere where i do not feel uncomfortable

Label:
assistant
<think>

</think>

The text expresses a persistent feeling of discomfort and unease in social situations (""i do not feel uncomfortable""). This state of anxiety, unease, and apprehension aligns best with the emotion of **fear** (specifically social anxiety or fear of judgment), rather than sadness, joy, anger, love, or surprise.

Label: fear",402,157,559,2.0233696156865335,0.562,0.562,0.4705103635640527,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i felt anger when at the end of a telephone call,anger,anger,": anger

Target input text:
i felt anger when at the end of a telephone call

Label:
assistant
<think>

</think>

anger",400,159,559,2.0233696156865335,0.562,0.562,0.4705103635640527,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy,sadness,"The text describes a situation where the speaker is reflecting on a past relationship that was based on ""excitement"" rather than commitment or maturity. The phrase ""clung to a relationship"" implies holding on despite negative or unhealthy circumstances. The speaker is analyzing why they made a mistake (""immature and uncommitted"") and acknowledges a lack of appropriate feelings (""despite the excitement i should have been feeling""). This reflection on a failed attachment, the realization of one's own poor judgment, and the lingering sense of regret or disappointment aligns best with **sadness**.

Label: sadness",431,128,559,2.0233696156865335,0.562,0.562,0.4705103635640527,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i like to have the same breathless feeling as a reader eager to see what will happen next,joy,joy,"feeling as a reader eager to see what will happen next

Label:
assistant
<think>

</think>

The text describes a ""breathless feeling"" associated with being ""eager to see what will happen next."" This reaction is characteristic of anticipation and excitement, which aligns with the emotion of joy.

Label: joy",408,151,559,2.0233696156865335,0.562,0.562,0.4705103635640527,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,anger,anger,"assistant
<think>

</think>

anger",425,134,559,2.0233696156865335,0.562,0.562,0.4705103635640527,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
