Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,bleu,chrf
"Last week, the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.",上周，古装剧《美人私房菜》临时停播，意外引发了关于国产剧收视率造假的热烈讨论。,", the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.

Translation (Chinese):assistant

上週，時裝劇《美女私房菜》的播出暫時停擺，意外觸發了對本地劇的假收視率爭議。",", the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.

Translation (Chinese):assistant

上週，時裝劇《美女私房菜》的播出暫時停擺，意外觸發了對本地劇的假收視率爭議。",107,122,229,0.13578176124974561,0.03811371857291641,0.03811371857291641,0.14876379181374746
Civil rights group issues travel warning for Missouri,民权团体针对密苏里州发出旅行警告,"You are a helpful assistant.user

You are a translation assistant.
Translate the input text from English to Chinese.
Think step by step internally.
Output only the final translation.

Input (English):
Civil rights group issues travel warning for Missouri

Translation (Chinese):assistant

一家民权团体发布密苏里州旅行警告","You are a helpful assistant.user

You are a translation assistant.
Translate the input text from English to Chinese.
Think step by step internally.
Output only the final translation.

Input (English):
Civil rights group issues travel warning for Missouri

Translation (Chinese):assistant

一家民权团体发布密苏里州旅行警告",85,144,229,0.13578176124974561,0.03811371857291641,0.03811371857291641,0.14876379181374746
The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,由于密苏里州的歧视性政策和种族主义袭击，美国有色人种促进协会 (NAACP) 向准备前往密苏里州出游的有色人群发出旅行警告。,"Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.

Translation (Chinese):assistant

美國有色人種協會已發出警告，對於有色人種前往密蘇里州的旅行者，因為該州的歧視性政策和種族主義攻擊。","Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.

Translation (Chinese):assistant

美國有色人種協會已發出警告，對於有色人種前往密蘇里州的旅行者，因為該州的歧視性政策和種族主義攻擊。",110,119,229,0.13578176124974561,0.03811371857291641,0.03811371857291641,0.14876379181374746
"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.",“2017 年 8 月 28 日生效的 NAACP 密苏里州旅行咨询中呼吁，因近期密苏里州发生了一系列可疑的种族性事件，所有非裔美籍旅行者、游客以及密苏里州人在密苏里州旅行时应特别注意并采取极其谨慎的态度，特此告知，”该团体的声明宣称。,密蘇里州的NAACP旅行警告，有效期至2017年8月28日，呼籲非裔美國人旅客、訪客和密蘇里州居民在旅行時特別注意並採取極度謹慎的措施，因為近期全州發生了一系列可疑的種族相關事件，該組織的聲明如是說。,密蘇里州的NAACP旅行警告，有效期至2017年8月28日，呼籲非裔美國人旅客、訪客和密蘇里州居民在旅行時特別注意並採取極度謹慎的措施，因為近期全州發生了一系列可疑的種族相關事件，該組織的聲明如是說。,145,84,229,0.13578176124974561,0.03811371857291641,0.03811371857291641,0.14876379181374746
"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.",NAACP 指出，最近通过的一项密苏里州法律使得人们更难赢得歧视诉讼，该州执法也一定程度上针对少数群体，这些现象促使该组织发布了旅行警告。,"state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.

Translation (Chinese):assistant

一项最近通过的密苏里州法律，规定了更高的门槛使人们更难赢得歧视性诉讼，另外该州的执法部门对少数族裔的执法不公正，促使该组织发布旅行警告，美国国家协会（NAACP）表示。","state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.

Translation (Chinese):assistant

一项最近通过的密苏里州法律，规定了更高的门槛使人们更难赢得歧视性诉讼，另外该州的执法部门对少数族裔的执法不公正，促使该组织发布旅行警告，美国国家协会（NAACP）表示。",115,114,229,0.13578176124974561,0.03811371857291641,0.03811371857291641,0.14876379181374746
"""You have violations of civil rights that are happening to people.",侵犯公民权利的行为正发生在人们身上。,"user

You are a translation assistant.
Translate the input text from English to Chinese.
Think step by step internally.
Output only the final translation.

Input (English):
""You have violations of civil rights that are happening to people.

Translation (Chinese):assistant

你有侵犯公民权利的行为正在发生在人们身上。","user

You are a translation assistant.
Translate the input text from English to Chinese.
Think step by step internally.
Output only the final translation.

Input (English):
""You have violations of civil rights that are happening to people.

Translation (Chinese):assistant

你有侵犯公民权利的行为正在发生在人们身上。",88,141,229,0.13578176124974561,0.03811371857291641,0.03811371857291641,0.14876379181374746
"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.",他们因肤色被停车盘问，被殴打或被杀害，”密苏里州 NAACP 主席罗德·查培尔告诉堪萨斯城星报 (The Kansas City Star)。,"'re being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.

Translation (Chinese):assistant

他們被拦下是因为他们的肤色，他们可能会被打伤或杀害，密苏里州NAACP主席罗德·查普尔（Rod Chapel）对堪萨斯城星报（The Kansas City Star）说。","'re being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.

Translation (Chinese):assistant

他們被拦下是因为他们的肤色，他们可能会被打伤或杀害，密苏里州NAACP主席罗德·查普尔（Rod Chapel）对堪萨斯城星报（The Kansas City Star）说。",112,117,229,0.13578176124974561,0.03811371857291641,0.03811371857291641,0.14876379181374746
"""We are hearing complaints at a rate we haven't heard before.""",“我们收到了许多投诉，数量前所未有。”,"user

You are a translation assistant.
Translate the input text from English to Chinese.
Think step by step internally.
Output only the final translation.

Input (English):
""We are hearing complaints at a rate we haven't heard before.""

Translation (Chinese):assistant

我們聽到之前從未聽過的投訴率。","user

You are a translation assistant.
Translate the input text from English to Chinese.
Think step by step internally.
Output only the final translation.

Input (English):
""We are hearing complaints at a rate we haven't heard before.""

Translation (Chinese):assistant

我們聽到之前從未聽過的投訴率。",89,140,229,0.13578176124974561,0.03811371857291641,0.03811371857291641,0.14876379181374746
It is the first such warning that the organization has issued for a state in the US.,这是该组织在美国针对某个州发布的第一个此类警告。,"the input text from English to Chinese.
Think step by step internally.
Output only the final translation.

Input (English):
It is the first such warning that the organization has issued for a state in the US.

Translation (Chinese):assistant

这是该组织在美国发出的第一份针对某个州的警告。","the input text from English to Chinese.
Think step by step internally.
Output only the final translation.

Input (English):
It is the first such warning that the organization has issued for a state in the US.

Translation (Chinese):assistant

这是该组织在美国发出的第一份针对某个州的警告。",94,135,229,0.13578176124974561,0.03811371857291641,0.03811371857291641,0.14876379181374746
"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.",该组织援引了密苏里大学对黑人学生的种族诽谤以及 28 岁田纳西州黑人男性托利·桑德斯的死亡事件。,"racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.

Translation (Chinese):assistant

該團體指出，包括密蘇里大學黑人學生遭遇的種族歧視言論，以及田納西州黑人男子托里·桑德斯（Tory Sanders）去世的事件。","racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.

Translation (Chinese):assistant

該團體指出，包括密蘇里大學黑人學生遭遇的種族歧視言論，以及田納西州黑人男子托里·桑德斯（Tory Sanders）去世的事件。",109,120,229,0.13578176124974561,0.03811371857291641,0.03811371857291641,0.14876379181374746
"Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.",今年早些时候，桑德斯在可疑情况下死亡。他在密苏里州旅行时燃油耗尽，被密苏里州警方在无指控犯罪的情况下拘留。,"ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.

Translation (Chinese):assistant

桑德斯（Sanders）在今年早些时候因车辆用完汽油而行驶途中遇到问题，遭密苏里州警察拘留，未被指控犯下任何罪行。","ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.

Translation (Chinese):assistant

桑德斯（Sanders）在今年早些时候因车辆用完汽油而行驶途中遇到问题，遭密苏里州警察拘留，未被指控犯下任何罪行。",111,118,229,0.13578176124974561,0.03811371857291641,0.03811371857291641,0.14876379181374746
The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.,咨询中还指出，密苏里州总检察长办公室最近的一份报告显示，“与白人相比，该州的黑人司机被停车盘查的可能性要高出 75%”。,"Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.

Translation (Chinese):assistant

該報告還指出，密蘇里州檢察總長辦公室最近的一份報告顯示，黑人司機在該州比白人司機更容易被拦下，比例高達75%。","Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.

Translation (Chinese):assistant

該報告還指出，密蘇里州檢察總長辦公室最近的一份報告顯示，黑人司機在該州比白人司機更容易被拦下，比例高達75%。",111,118,229,0.13578176124974561,0.03811371857291641,0.03811371857291641,0.14876379181374746
"""The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri,"" Chapel said.",查培尔说：“该份咨询是为了提高人们的意识，警告他们的家人、朋友和同事在密苏里州可能发生的情况。”,"Input (English):
""The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri,"" Chapel said.

Translation (Chinese):assistant

查普爾說：“該警告是為了讓人們提高警覺，告知家人、朋友和同事在密蘇里州可能發生的情況。”","Input (English):
""The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri,"" Chapel said.

Translation (Chinese):assistant

查普爾說：“該警告是為了讓人們提高警覺，告知家人、朋友和同事在密蘇里州可能發生的情況。”",104,125,229,0.13578176124974561,0.03811371857291641,0.03811371857291641,0.14876379181374746
"""People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state.""",“人们需要做好准备，无论是携带保释金前往密苏里州，还是让亲属知道自己在州内旅行”。,"the final translation.

Input (English):
""People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state.""

Translation (Chinese):assistant

人们需要准备好，无论是带上保释金，还是让亲戚知道他们正在通过该州旅行。","the final translation.

Input (English):
""People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state.""

Translation (Chinese):assistant

人们需要准备好，无论是带上保释金，还是让亲戚知道他们正在通过该州旅行。",102,127,229,0.13578176124974561,0.03811371857291641,0.03811371857291641,0.14876379181374746
"Missouri recorded 100 hate crimes in 2015, according to the latest figures from the FBI's hate crime reporting program, ranking the state at 16th in the country in terms of the number of such violations.",根据联邦调查局仇恨犯罪报告计划的最新数据，密苏里州在 2015 年记录了 100 起仇恨罪行；根据罪行量，该州在全国排名第 16 位。,"16th in the country in terms of the number of such violations.

Translation (Chinese):assistant

根據聯邦調查局（FBI）最新的仇恨犯罪報告數據，密蘇里州在2015年錄得100宗仇恨犯罪案件，該州在全國仇恨犯罪案件數量排名第16位。","16th in the country in terms of the number of such violations.

Translation (Chinese):assistant

根據聯邦調查局（FBI）最新的仇恨犯罪報告數據，密蘇里州在2015年錄得100宗仇恨犯罪案件，該州在全國仇恨犯罪案件數量排名第16位。",121,108,229,0.13578176124974561,0.03811371857291641,0.03811371857291641,0.14876379181374746
The travel warning is also a response to a new Missouri law that would make it more difficult to sue a business for housing or employment discrimination.,旅行警告也是对密苏里州新法律的回应，该法律将使起诉住房或就业歧视企业变得更加困难。,"Input (English):
The travel warning is also a response to a new Missouri law that would make it more difficult to sue a business for housing or employment discrimination.

Translation (Chinese):assistant

旅行警告也是对一项新密苏里州法律的回应，这项法律将使起诉一家公司因住房或就业歧视而难上加难。","Input (English):
The travel warning is also a response to a new Missouri law that would make it more difficult to sue a business for housing or employment discrimination.

Translation (Chinese):assistant

旅行警告也是对一项新密苏里州法律的回应，这项法律将使起诉一家公司因住房或就业歧视而难上加难。",104,125,229,0.13578176124974561,0.03811371857291641,0.03811371857291641,0.14876379181374746
"Previously, the American Civil Liberties Union (ACLU) had issued travel advisories for Texas and Arizona after the states passed immigration enforcement laws requiring local law enforcement to detain people on immigration violations which the ACLU said would increase racial profiling.",此前，美国各州通过了移民执法法律，要求当地执法部门拘留移民违规人员，美国公民自由联盟 (ACLU) 表示此举会增加种族诉讼数量，并发布了针对德克萨斯州和亚利桑那州的旅行咨询。,"ories for Texas and Arizona after the states passed immigration enforcement laws requiring local law enforcement to detain people on immigration violations which the ACLU said would increase racial profiling.

Translation (Chinese):assistant

之前，美國公民自由聯盟（ACLU）發布了對德克薩斯州和亞利桑那州的旅行警告，兩州通過了要求地方警察局拘留因移民違規而被捕的人的移民執法法案，ACLU表示這將會增加種族歧視。","ories for Texas and Arizona after the states passed immigration enforcement laws requiring local law enforcement to detain people on immigration violations which the ACLU said would increase racial profiling.

Translation (Chinese):assistant

之前，美國公民自由聯盟（ACLU）發布了對德克薩斯州和亞利桑那州的旅行警告，兩州通過了要求地方警察局拘留因移民違規而被捕的人的移民執法法案，ACLU表示這將會增加種族歧視。",122,152,274,0.18413270493692835,0.03811371857291641,0.03811371857291641,0.14876379181374746
"Travel warnings are usually issued by the State Department for other countries, but lately, advocacy groups have resorted to the measure in response to certain laws and trends inside the US.",旅行警告通常是由美国政府针对其他国家发布的，但最近，咨询团体采取这一方式以应对美国境内的某些法律和趋势。,"final translation.

Input (English):
Travel warnings are usually issued by the State Department for other countries, but lately, advocacy groups have resorted to the measure in response to certain laws and trends inside the US.

Translation (Chinese):assistant

旅行警告通常由国务院发布给其他国家，但近期，倡导团体则因美国内部的某些法律和趋势而开始采用这一措施。","final translation.

Input (English):
Travel warnings are usually issued by the State Department for other countries, but lately, advocacy groups have resorted to the measure in response to certain laws and trends inside the US.

Translation (Chinese):assistant

旅行警告通常由国务院发布给其他国家，但近期，倡导团体则因美国内部的某些法律和趋势而开始采用这一措施。",111,163,274,0.18413270493692835,0.03811371857291641,0.03811371857291641,0.14876379181374746
"After experiencing the “golden era” of a soaring box office in 2015, the film market retreated into a cooling-off period in 2016. Whether box office takings could surpass last year’s total of RMB44.069 billion is questionable.",经历2015年票房猛增的“黄金时代”后，2016年整体电影市场进入了冷静期，能否突破去年440.69亿元的总票房成绩都成为一个悬念。,"2016. Whether box office takings could surpass last year’s total of RMB44.069 billion is questionable.

Translation (Chinese):assistant

在经历了2015年的票房大爆发的“黄金时代”之后，2016年电影市场进入了一个冷清的时期。是否票房收入能超过去年总计44.069亿元的数字，值得怀疑。","2016. Whether box office takings could surpass last year’s total of RMB44.069 billion is questionable.

Translation (Chinese):assistant

在经历了2015年的票房大爆发的“黄金时代”之后，2016年电影市场进入了一个冷清的时期。是否票房收入能超过去年总计44.069亿元的数字，值得怀疑。",128,146,274,0.18413270493692835,0.03811371857291641,0.03811371857291641,0.14876379181374746
"Data from the National Bureau of Statistics revealed that in October, prices of new and second-hand residential properties cooled, up 0.6% and 1.1% month-on-month, respectively.",从国家统计局公布的数据看，10月，北京新房和二手房价格双双降温，环比仅上涨0.6%和1.1%。,"National Bureau of Statistics revealed that in October, prices of new and second-hand residential properties cooled, up 0.6% and 1.1% month-on-month, respectively.

Translation (Chinese):assistant

国家统计局公布的数据显示，10月份新房和二手房价格有所下降，分别同比上月上涨0.6%和1.1%。","National Bureau of Statistics revealed that in October, prices of new and second-hand residential properties cooled, up 0.6% and 1.1% month-on-month, respectively.

Translation (Chinese):assistant

国家统计局公布的数据显示，10月份新房和二手房价格有所下降，分别同比上月上涨0.6%和1.1%。",116,158,274,0.18413270493692835,0.03811371857291641,0.03811371857291641,0.14876379181374746
