Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,mse,rmse,pearson_coeff,spearman_coeff,sc_raw_samples,sc_parsed_samples
text1: mr. grassley and mr. baucus rejected any disparity in drug benefits . text2: grassley and baucus said they had rejected that approach in their plan .,3.0,2.0,"ley and mr. baucus rejected any disparity in drug benefits . text2: grassley and baucus said they had rejected that approach in their plan .

Score:
assistant
<think>

</think>

4.5",600,245,845,0.22279358743617195,2.6265470510666646,1.6206625346032606,0.26202515403250937,0.2463822181342753,"[""ley and mr. baucus rejected any disparity in drug benefits . text2: grassley and baucus said they had rejected that approach in their plan .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.5"", ""ley and mr. baucus rejected any disparity in drug benefits . text2: grassley and baucus said they had rejected that approach in their plan .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.0"", ""ley and mr. baucus rejected any disparity in drug benefits . text2: grassley and baucus said they had rejected that approach in their plan .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.0"", ""ley and mr. baucus rejected any disparity in drug benefits . text2: grassley and baucus said they had rejected that approach in their plan .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.5"", ""ley and mr. baucus rejected any disparity in drug benefits . text2: grassley and baucus said they had rejected that approach in their plan .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.5""]","[2.0, 2.0, 2.0, 2.0, 2.0]"
text1: he also reaffirmed his wish to resolve the north korean nuclear crisis peacefully . text2: but the north korean nuclear crisis has dominated his time in office .,2.0,2.0,"also reaffirmed his wish to resolve the north korean nuclear crisis peacefully . text2: but the north korean nuclear crisis has dominated his time in office .

Score:
assistant
<think>

</think>

1.5",595,250,845,0.22279358743617195,2.6265470510666646,1.6206625346032606,0.26202515403250937,0.2463822181342753,"[""also reaffirmed his wish to resolve the north korean nuclear crisis peacefully . text2: but the north korean nuclear crisis has dominated his time in office .\n\nScore:\nassistant\n<think>\n\n</think>\n\n1.5"", ""also reaffirmed his wish to resolve the north korean nuclear crisis peacefully . text2: but the north korean nuclear crisis has dominated his time in office .\n\nScore:\nassistant\n<think>\n\n</think>\n\n2.0"", ""also reaffirmed his wish to resolve the north korean nuclear crisis peacefully . text2: but the north korean nuclear crisis has dominated his time in office .\n\nScore:\nassistant\n<think>\n\n</think>\n\n2.0"", ""also reaffirmed his wish to resolve the north korean nuclear crisis peacefully . text2: but the north korean nuclear crisis has dominated his time in office .\n\nScore:\nassistant\n<think>\n\n</think>\n\n2.0"", ""also reaffirmed his wish to resolve the north korean nuclear crisis peacefully . text2: but the north korean nuclear crisis has dominated his time in office .\n\nScore:\nassistant\n<think>\n\n</think>\n\n1.5""]","[2.0, 2.0, 2.0, 2.0, 2.0]"
"text1: in the year-ago quarter , the steelmaker recorded a profit of $ 16.2 million , or 15 cents per share , on sales of $ 1.14 billion . text2: in the second quarter last year , ak steel reported a profit of $ 16.2 million , or 15 cents a share .",3.4,4.5200000000000005,"<think>

</think>

4.5",795,50,845,0.22279358743617195,2.6265470510666646,1.6206625346032606,0.26202515403250937,0.2463822181342753,"[""<think>\n\n</think>\n\n4.0"", ""<think>\n\n</think>\n\n4.5"", ""<think>\n\n</think>\n\n4.8"", ""<think>\n\n</think>\n\n4.8"", ""<think>\n\n</think>\n\n4.5""]","[4.0, 4.5, 4.8, 4.8, 4.5]"
text1: pg & e corp. shares were up 39 cents or 2.6 percent at $ 15.59 on the new york stock exchange on tuesday . text2: pg & e 's shares gained 24 cents to $ 15.44 during tuesday 's trading on the new york stock exchange .,2.2,3.54,"assistant
<think>

</think>

3.5",785,60,845,0.22279358743617195,2.6265470510666646,1.6206625346032606,0.26202515403250937,0.2463822181342753,"[""assistant\n<think>\n\n</think>\n\n2.8"", ""assistant\n<think>\n\n</think>\n\n3.5"", ""assistant\n<think>\n\n</think>\n\n4.2"", ""assistant\n<think>\n\n</think>\n\n3.0"", ""assistant\n<think>\n\n</think>\n\n4.2""]","[2.8, 3.5, 4.2, 3.0, 4.2]"
"text1: the nasdaq had a weekly gain of 17.27 , or 1.2 percent , closing at 1,520.15 on friday . text2: the tech-laced nasdaq composite .ixic rallied 30.46 points , or 2.04 percent , to 1,520.15 .",1.8,4.279999999999999,4.2,815,30,845,0.22279358743617195,2.6265470510666646,1.6206625346032606,0.26202515403250937,0.2463822181342753,"[""4.2"", ""4.0"", ""4.2"", ""4.5"", ""4.5""]","[4.2, 4.0, 4.2, 4.5, 4.5]"
"text1: "" this decision is clearly incorrect , "" ftc chairman timothy muris said in a written statement . text2: the decision is "" clearly incorrect , "" ftc chairman tim muris said .",4.0,2.0,"said in a written statement . text2: the decision is "" clearly incorrect , "" ftc chairman tim muris said .

Score:
assistant
<think>

</think>

4.5",630,215,845,0.22279358743617195,2.6265470510666646,1.6206625346032606,0.26202515403250937,0.2463822181342753,"[""said in a written statement . text2: the decision is \"" clearly incorrect , \"" ftc chairman tim muris said .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.5"", ""said in a written statement . text2: the decision is \"" clearly incorrect , \"" ftc chairman tim muris said .\n\nScore:\nassistant\n<think>\n\n</think>\n\n5.0"", ""said in a written statement . text2: the decision is \"" clearly incorrect , \"" ftc chairman tim muris said .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.8"", ""said in a written statement . text2: the decision is \"" clearly incorrect , \"" ftc chairman tim muris said .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.5"", ""said in a written statement . text2: the decision is \"" clearly incorrect , \"" ftc chairman tim muris said .\n\nScore:\nassistant\n<think>\n\n</think>\n\n5.0""]","[2.0, 2.0, 2.0, 2.0, 2.0]"
"text1: a rebel who was captured said more than 2,000 insurgents were involved in the attack . text2: a captured rebel said 2,100 combatants had been involved in the offensive .",3.5,2.0,"text2: a captured rebel said 2,100 combatants had been involved in the offensive .

Score:
assistant
<think>

</think>

4.5",645,200,845,0.22279358743617195,2.6265470510666646,1.6206625346032606,0.26202515403250937,0.2463822181342753,"[""text2: a captured rebel said 2,100 combatants had been involved in the offensive .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.5"", ""text2: a captured rebel said 2,100 combatants had been involved in the offensive .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.5"", ""text2: a captured rebel said 2,100 combatants had been involved in the offensive .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.5"", ""text2: a captured rebel said 2,100 combatants had been involved in the offensive .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.5"", ""text2: a captured rebel said 2,100 combatants had been involved in the offensive .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.5""]","[2.0, 2.0, 2.0, 2.0, 2.0]"
"text1: "" it was brazen intimidation to keep people on the reservation , "" said a republican who attended but did not want to be named . text2: "" it was a brazen attempt at intimidation , "" said a republican legislator who attended the meeting .",3.5,4.3,"at intimidation , "" said a republican legislator who attended the meeting .

Score:
assistant
<think>

</think>

4.5",685,160,845,0.22279358743617195,2.6265470510666646,1.6206625346032606,0.26202515403250937,0.2463822181342753,"[""at intimidation , \"" said a republican legislator who attended the meeting .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.5"", ""at intimidation , \"" said a republican legislator who attended the meeting .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.0"", ""at intimidation , \"" said a republican legislator who attended the meeting .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.5"", ""at intimidation , \"" said a republican legislator who attended the meeting .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.5"", ""at intimidation , \"" said a republican legislator who attended the meeting .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.0""]","[4.5, 4.0, 4.5, 4.5, 4.0]"
"text1: no charges were announced , but the statement said legal proceedings were expected monday . text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore .",2.75,2.0,"but the statement said legal proceedings were expected monday . text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore .

Score:
assistant
<think>

</think>

4.0",605,240,845,0.22279358743617195,2.6265470510666646,1.6206625346032606,0.26202515403250937,0.2463822181342753,"[""but the statement said legal proceedings were expected monday . text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.0"", ""but the statement said legal proceedings were expected monday . text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.0"", ""but the statement said legal proceedings were expected monday . text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.2"", ""but the statement said legal proceedings were expected monday . text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.0"", ""but the statement said legal proceedings were expected monday . text2: an fbi statement said legal proceedings were expected monday in federal court in baltimore .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.5""]","[2.0, 2.0, 2.0, 2.0, 2.0]"
"text1: the dead woman was also wearing a ring and a cartier watch . text2: "" it 's a blond-haired woman wearing a cartier watch on her wrist , "" the source said .",2.6,2.0,". text2: "" it 's a blond-haired woman wearing a cartier watch on her wrist , "" the source said .

Score:
assistant
<think>

</think>

3.5",625,220,845,0.22279358743617195,2.6265470510666646,1.6206625346032606,0.26202515403250937,0.2463822181342753,"["". text2: \"" it 's a blond-haired woman wearing a cartier watch on her wrist , \"" the source said .\n\nScore:\nassistant\n<think>\n\n</think>\n\n3.5"", "". text2: \"" it 's a blond-haired woman wearing a cartier watch on her wrist , \"" the source said .\n\nScore:\nassistant\n<think>\n\n</think>\n\n4.0"", "". text2: \"" it 's a blond-haired woman wearing a cartier watch on her wrist , \"" the source said .\n\nScore:\nassistant\n<think>\n\n</think>\n\n3.5"", "". text2: \"" it 's a blond-haired woman wearing a cartier watch on her wrist , \"" the source said .\n\nScore:\nassistant\n<think>\n\n</think>\n\n3.5"", "". text2: \"" it 's a blond-haired woman wearing a cartier watch on her wrist , \"" the source said .\n\nScore:\nassistant\n<think>\n\n</think>\n\n3.5""]","[2.0, 2.0, 2.0, 2.0, 2.0]"
