Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,accuracy,macro_f1
"no movement , no yuks , not much of anything .",negative,negative,"text:
no movement , no yuks , not much of anything .

Label:
assistant
<think>

</think>

negative",93,32,125,0.07689856787328608,0.4760180995475113,0.4760180995475113,0.398338322153028
"a gob of drivel so sickly sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid crème brûlée .",very negative,very negative,"</think>

very negative",118,7,125,0.07689856787328608,0.4760180995475113,0.4760180995475113,0.398338322153028
` how many more voyages can this limping but dearly-loved franchise survive ? ',neutral,negative,"limping but dearly-loved franchise survive ? '

Label:
assistant
<think>

</think>

negative",98,27,125,0.07689856787328608,0.4760180995475113,0.4760180995475113,0.398338322153028
so relentlessly wholesome it made me want to swipe something .,neutral,neutral,"Input text:
so relentlessly wholesome it made me want to swipe something .

Label:
assistant
<think>

</think>

neutral",92,33,125,0.07689856787328608,0.4760180995475113,0.4760180995475113,0.398338322153028
"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up .",very negative,negative,"Label:
assistant
<think>

</think>

negative",108,17,125,0.07689856787328608,0.4760180995475113,0.4760180995475113,0.398338322153028
"we never really feel involved with the story , as all of its ideas remain just that : abstract ideas .",very negative,negative,"just that : abstract ideas .

Label:
assistant
<think>

</think>

negative",102,23,125,0.07689856787328608,0.4760180995475113,0.4760180995475113,0.398338322153028
this is one of polanski 's best films .,very positive,positive,"Input text:
this is one of polanski 's best films .

Label:
assistant
<think>

</think>

positive",92,33,125,0.07689856787328608,0.4760180995475113,0.4760180995475113,0.398338322153028
take care of my cat offers a refreshingly different slice of asian cinema .,positive,positive,"my cat offers a refreshingly different slice of asian cinema .

Label:
assistant
<think>

</think>

positive",96,29,125,0.07689856787328608,0.4760180995475113,0.4760180995475113,0.398338322153028
"acting , particularly by tambor , almost makes `` never again '' worthwhile , but -lrb- writer\/director -rrb- schaeffer should follow his titular advice",negative,neutral,"<think>

</think>

neutral",116,9,125,0.07689856787328608,0.4760180995475113,0.4760180995475113,0.398338322153028
the movie exists for its soccer action and its fine acting .,positive,positive,"text:
the movie exists for its soccer action and its fine acting .

Label:
assistant
<think>

</think>

positive",93,32,125,0.07689856787328608,0.4760180995475113,0.4760180995475113,0.398338322153028
arnold 's jump from little screen to big will leave frowns on more than a few faces .,negative,negative,"than a few faces .

Label:
assistant
<think>

</think>

negative",103,22,125,0.07689856787328608,0.4760180995475113,0.4760180995475113,0.398338322153028
"a reasonably efficient mechanism , but it offers few surprises and finds its stars slumming in territory they should have avoided .",neutral,negative,"have avoided .

Label:
assistant
<think>

</think>

negative",105,20,125,0.07689856787328608,0.4760180995475113,0.4760180995475113,0.398338322153028
"if this holiday movie is supposed to be a gift , somebody unwrapped it early , took out all the good stuff , and left behind the crap -lrb- literally -rrb- .",very negative,very negative,very negative,120,5,125,0.07689856787328608,0.4760180995475113,0.4760180995475113,0.398338322153028
"jason x has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot .",positive,neutral,"assistant
<think>

</think>

neutral",112,13,125,0.07689856787328608,0.4760180995475113,0.4760180995475113,0.398338322153028
"even as lame horror flicks go , this is lame .",negative,negative,"text:
even as lame horror flicks go , this is lame .

Label:
assistant
<think>

</think>

negative",93,32,125,0.07689856787328608,0.4760180995475113,0.4760180995475113,0.398338322153028
