Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,accuracy,macro_f1,sc_raw_samples,sc_parsed_samples
im feeling rather rotten so im not very ambitious right now,sadness,sadness,"final label.

Input text:
im feeling rather rotten so im not very ambitious right now

Label:
assistant
<think>

</think>

sadness",460,795,1255,3.226364871748956,0.5545,0.5545,0.4487674106021444,"[""final label.\n\nInput text:\nim feeling rather rotten so im not very ambitious right now\n\nLabel:\nassistant\n<think>\n\n</think>\n\nsadness"", ""final label.\n\nInput text:\nim feeling rather rotten so im not very ambitious right now\n\nLabel:\nassistant\n<think>\n\n</think>\n\nsadness"", ""final label.\n\nInput text:\nim feeling rather rotten so im not very ambitious right now\n\nLabel:\nassistant\n<think>\n\n</think>\n\nsadness"", ""final label.\n\nInput text:\nim feeling rather rotten so im not very ambitious right now\n\nLabel:\nassistant\n<think>\n\n</think>\n\nsadness"", ""final label.\n\nInput text:\nim feeling rather rotten so im not very ambitious right now\n\nLabel:\nassistant\n<think>\n\n</think>\n\nsadness""]","[""0"", ""0"", ""0"", ""0"", ""0""]"
im updating my blog because i feel shitty,sadness,sadness,"internally.
Output only one final label.

Input text:
im updating my blog because i feel shitty

Label:
assistant
<think>

</think>

sadness",445,810,1255,3.226364871748956,0.5545,0.5545,0.4487674106021444,"[""internally.\nOutput only one final label.\n\nInput text:\nim updating my blog because i feel shitty\n\nLabel:\nassistant\n<think>\n\n</think>\n\nsadness"", ""internally.\nOutput only one final label.\n\nInput text:\nim updating my blog because i feel shitty\n\nLabel:\nassistant\n<think>\n\n</think>\n\nsadness"", ""internally.\nOutput only one final label.\n\nInput text:\nim updating my blog because i feel shitty\n\nLabel:\nassistant\n<think>\n\n</think>\n\nsadness"", ""internally.\nOutput only one final label.\n\nInput text:\nim updating my blog because i feel shitty\n\nLabel:\nassistant\n<think>\n\n</think>\n\nsadness"", ""internally.\nOutput only one final label.\n\nInput text:\nim updating my blog because i feel shitty\n\nLabel:\nassistant\n<think>\n\n</think>\n\nsadness""]","[""0"", ""0"", ""0"", ""0"", ""0""]"
i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness,love,"to feel like i m ashamed with her

Label:
assistant
<think>

</think>

Label: love",515,740,1255,3.226364871748956,0.5545,0.5545,0.4487674106021444,"[""to feel like i m ashamed with her\n\nLabel:\nassistant\n<think>\n\n</think>\n\nLabel: love"", ""to feel like i m ashamed with her\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text expresses a deep desire to be with someone (\""never make her separate from me\"") and a strong wish to protect her feelings (\""don't ever want her to feel like i'm ashamed\""). This sentiment of cherishing a relationship, prioritizing someone's emotional well-being, and wanting to be close to them is characteristic of love. It does not primarily convey sadness (though it implies a protective instinct), joy (it's more about commitment than immediate happiness), anger, fear, or surprise.\n\nLabel: love"", ""to feel like i m ashamed with her\n\nLabel:\nassistant\n<think>\n\n</think>\n\nanger"", ""to feel like i m ashamed with her\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text expresses a strong desire to be close to someone (\""never make her separate from me\"") and a wish to protect her feelings (\""don't ever want her to feel like i m ashamed\""). This sentiment of deep affection, protection, and intimacy aligns best with the label **love**.\n\nLabel: love"", ""to feel like i m ashamed with her\n\nLabel:\nassistant\n<think>\n\n</think>\n\nlove""]","[""2"", ""2"", ""3"", ""2"", ""2""]"
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy,joy,"feeling slightly more optimistic than when i arrived

Label:
assistant
<think>

</think>

joy",515,740,1255,3.226364871748956,0.5545,0.5545,0.4487674106021444,"[""feeling slightly more optimistic than when i arrived\n\nLabel:\nassistant\n<think>\n\n</think>\n\njoy"", ""feeling slightly more optimistic than when i arrived\n\nLabel:\nassistant\n<think>\n\n</think>\n\njoy"", ""feeling slightly more optimistic than when i arrived\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text describes the speaker leaving with flowers and feeling \""slightly more optimistic\"" compared to their arrival. Optimism is a positive emotion associated with happiness and delight. Among the candidate labels provided (sadness, joy, love, anger, fear, surprise), \""joy\"" is the only one that aligns with a positive, optimistic state.\n\nLabel: joy"", ""feeling slightly more optimistic than when i arrived\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text describes the speaker leaving with flowers and feeling \""slightly more optimistic.\"" Optimism is a positive emotion associated with happiness and contentment. Among the candidate labels (sadness, joy, love, anger, fear, surprise), \""joy\"" best fits a state of optimism and positive feeling.\n\nLabel: joy"", ""feeling slightly more optimistic than when i arrived\n\nLabel:\nassistant\n<think>\n\n</think>\n\njoy""]","[""1"", ""1"", ""1"", ""1"", ""1""]"
i was feeling a little vain when i did this one,sadness,sadness,"final label.

Input text:
i was feeling a little vain when i did this one

Label:
assistant
<think>

</think>

sadness",460,795,1255,3.226364871748956,0.5545,0.5545,0.4487674106021444,"[""final label.\n\nInput text:\ni was feeling a little vain when i did this one\n\nLabel:\nassistant\n<think>\n\n</think>\n\nsadness"", ""final label.\n\nInput text:\ni was feeling a little vain when i did this one\n\nLabel:\nassistant\n<think>\n\n</think>\n\nsadness"", ""final label.\n\nInput text:\ni was feeling a little vain when i did this one\n\nLabel:\nassistant\n<think>\n\n</think>\n\nanger"", ""final label.\n\nInput text:\ni was feeling a little vain when i did this one\n\nLabel:\nassistant\n<think>\n\n</think>\n\nanger"", ""final label.\n\nInput text:\ni was feeling a little vain when i did this one\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text \""i was feeling a little vain when i did this one\"" expresses a sense of self-satisfaction, pride, or an inflated sense of one's own importance. Among the provided candidate labels (sadness, joy, love, anger, fear, surprise), \""joy\"" is the closest fit as it aligns with positive emotions and self-praise, whereas the other labels represent negative or neutral emotional states.\n\nLabel: joy""]","[""0"", ""0"", ""3"", ""3"", ""1""]"
i cant walk into a shop anywhere where i do not feel uncomfortable,fear,anger,"Input text:
i cant walk into a shop anywhere where i do not feel uncomfortable

Label:
assistant
<think>

</think>

anger",470,785,1255,3.226364871748956,0.5545,0.5545,0.4487674106021444,"[""Input text:\ni cant walk into a shop anywhere where i do not feel uncomfortable\n\nLabel:\nassistant\n<think>\n\n</think>\n\nanger"", ""Input text:\ni cant walk into a shop anywhere where i do not feel uncomfortable\n\nLabel:\nassistant\n<think>\n\n</think>\n\nanger"", ""Input text:\ni cant walk into a shop anywhere where i do not feel uncomfortable\n\nLabel:\nassistant\n<think>\n\n</think>\n\nanger"", ""Input text:\ni cant walk into a shop anywhere where i do not feel uncomfortable\n\nLabel:\nassistant\n<think>\n\n</think>\n\nanger"", ""Input text:\ni cant walk into a shop anywhere where i do not feel uncomfortable\n\nLabel:\nassistant\n<think>\n\n</think>\n\nanger""]","[""3"", ""3"", ""3"", ""3"", ""3""]"
i felt anger when at the end of a telephone call,anger,anger,"final label.

Input text:
i felt anger when at the end of a telephone call

Label:
assistant
<think>

</think>

anger",460,795,1255,3.226364871748956,0.5545,0.5545,0.4487674106021444,"[""final label.\n\nInput text:\ni felt anger when at the end of a telephone call\n\nLabel:\nassistant\n<think>\n\n</think>\n\nanger"", ""final label.\n\nInput text:\ni felt anger when at the end of a telephone call\n\nLabel:\nassistant\n<think>\n\n</think>\n\nanger"", ""final label.\n\nInput text:\ni felt anger when at the end of a telephone call\n\nLabel:\nassistant\n<think>\n\n</think>\n\nanger"", ""final label.\n\nInput text:\ni felt anger when at the end of a telephone call\n\nLabel:\nassistant\n<think>\n\n</think>\n\nanger"", ""final label.\n\nInput text:\ni felt anger when at the end of a telephone call\n\nLabel:\nassistant\n<think>\n\n</think>\n\nanger""]","[""3"", ""3"", ""3"", ""3"", ""3""]"
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy,anger,anger,615,640,1255,3.226364871748956,0.5545,0.5545,0.4487674106021444,"[""anger"", ""sadness"", ""anger"", ""anger"", ""sadness""]","[""3"", ""0"", ""3"", ""3"", ""0""]"
i like to have the same breathless feeling as a reader eager to see what will happen next,joy,joy,"feeling as a reader eager to see what will happen next

Label:
assistant
<think>

</think>

joy",500,755,1255,3.226364871748956,0.5545,0.5545,0.4487674106021444,"[""feeling as a reader eager to see what will happen next\n\nLabel:\nassistant\n<think>\n\n</think>\n\njoy"", ""feeling as a reader eager to see what will happen next\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe input text describes a feeling of excitement and anticipation (\""breathless,\"" \""eager\"") while waiting for the outcome of a story. This emotional state aligns with excitement and happiness, which falls under the category of joy among the given options.\n\nLabel: joy"", ""feeling as a reader eager to see what will happen next\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text describes a \""breathless feeling\"" and being \""eager to see what will happen next.\"" This sentiment is associated with excitement, anticipation, and enthusiasm, which aligns most closely with the label **joy**.\n\nLabel: joy"", ""feeling as a reader eager to see what will happen next\n\nLabel:\nassistant\n<think>\n\n</think>\n\njoy"", ""feeling as a reader eager to see what will happen next\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text expresses a positive emotional state (\""like\"") and describes a feeling of excitement and anticipation (\""breathless,\"" \""eager\""). This aligns most closely with the feeling of joy or excitement associated with engaging storytelling.\n\nLabel: joy""]","[""1"", ""1"", ""1"", ""1"", ""1""]"
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,anger,anger,"assistant
<think>

</think>

anger",585,670,1255,3.226364871748956,0.5545,0.5545,0.4487674106021444,"[""assistant\n<think>\n\n</think>\n\nanger"", ""assistant\n<think>\n\n</think>\n\nanger"", ""assistant\n<think>\n\n</think>\n\nsadness"", ""assistant\n<think>\n\n</think>\n\nsadness"", ""assistant\n<think>\n\n</think>\n\nanger""]","[""3"", ""3"", ""0"", ""0"", ""3""]"
i don t feel particularly agitated,fear,surprise,"by step internally.
Output only one final label.

Input text:
i don t feel particularly agitated

Label:
assistant
<think>

</think>

The input text ""i don t feel particularly agitated"" explicitly denies feelings of agitation. Agitation is a state of nervousness, anxiety, or excitement, often associated with anger or fear. By stating they do not feel this way, the user is indicating a lack of negative arousal or distress. Among the candidate labels (sadness, joy, love, anger, fear, surprise), none perfectly match a neutral state. However, the negation of agitation suggests the absence of anger or fear. In many text classification datasets, statements denying strong negative emotions are often categorized as neutral, but since ""neutral"" is not an option, we",440,815,1255,3.226364871748956,0.5545,0.5545,0.4487674106021444,"[""by step internally.\nOutput only one final label.\n\nInput text:\ni don t feel particularly agitated\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text \""i don t feel particularly agitated\"" is a negation. The word \""agitated\"" is associated with anxiety, distress, or fear. By stating that the speaker does *not* feel agitated, the speaker is explicitly ruling out the emotion of fear. Since the sentence describes the absence of a negative emotion (fear) and does not express any of the other specific emotions (sadness, joy, love, anger, surprise), the most accurate classification among the provided options is the one that was negated.\n\nLabel: fear"", ""by step internally.\nOutput only one final label.\n\nInput text:\ni don t feel particularly agitated\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe input text \""i don t feel particularly agitated\"" explicitly denies feelings of agitation. Agitation is a state of nervousness, anxiety, or excitement, often associated with anger or fear. By stating they do not feel this way, the user is indicating a lack of negative arousal or distress. Among the candidate labels (sadness, joy, love, anger, fear, surprise), none perfectly match a neutral state. However, the negation of agitation suggests the absence of anger or fear. In many text classification datasets, statements denying strong negative emotions are often categorized as neutral, but since \""neutral\"" is not an option, we"", ""by step internally.\nOutput only one final label.\n\nInput text:\ni don t feel particularly agitated\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text \""i don t feel particularly agitated\"" indicates a lack of strong negative emotion (anger) or high arousal. The speaker is describing a neutral state where they are not experiencing agitation, which is often associated with anger or fear. Since the absence of these negative states does not inherently imply joy, love, or surprise, and the sentence itself lacks any positive indicators, the most accurate classification among the provided options is **anger** (specifically, the negation of agitation is often categorized under the anger domain in sentiment analysis datasets like NRC-21 when no other category fits, or it represents the neutral side of the anger"", ""by step internally.\nOutput only one final label.\n\nInput text:\ni don t feel particularly agitated\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text \""i don t feel particularly agitated\"" explicitly states a lack of agitation. Agitation is a form of anger or strong distress. By denying this feeling, the speaker is indicating a state of calmness or neutrality, rather than experiencing any of the other strong emotions listed in the candidate labels (sadness, joy, love, anger, fear, surprise). Since the absence of anger is the primary descriptor, it does not map to the presence of anger. Among the remaining options, there is no strong evidence for sadness, joy, love, fear, or surprise. However, in many classification tasks involving negation of negative emotions"", ""by step internally.\nOutput only one final label.\n\nInput text:\ni don t feel particularly agitated\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe input text \""i don t feel particularly agitated\"" explicitly states the absence of agitation. Agitation is a state of high energy, restlessness, or anxiety, which aligns closely with the emotion of **anger** or high arousal distress. By denying this feeling, the user is effectively stating they do not feel angry or agitated. Among the candidate labels (sadness, joy, love, anger, fear, surprise), the one most directly negated by the word \""agitated\"" is anger. The other emotions (sadness, joy, love, fear, surprise) are not directly referenced or negated in the text""]","[""4"", ""5"", ""5"", ""5"", ""5""]"
i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey,sadness,love,"baba on our journey

Label:
assistant
<think>

</think>

The text expresses a deep sense of gratitude, warmth, and profound connection (""beautifully emotional,"" ""holding me,"" ""knowing""). These sentiments align most closely with feelings of affection and deep appreciation, which fall under the category of **love**. While there is an element of gratitude, it is expressed through a lens of emotional intimacy and cherishing the people involved.

Label: love",530,725,1255,3.226364871748956,0.5545,0.5545,0.4487674106021444,"[""baba on our journey\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text expresses a deep sense of gratitude, warmth, and profound connection (\""beautifully emotional,\"" \""holding me,\"" \""knowing\""). These sentiments align most closely with feelings of affection and deep appreciation, which fall under the category of **love**. While there is an element of gratitude, it is expressed through a lens of emotional intimacy and cherishing the people involved.\n\nLabel: love"", ""baba on our journey\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text expresses deep affection (\""holding me and my baba\""), a sense of gratitude, and a strong emotional connection to the women involved in a shared journey. The phrase \""beautifully emotional\"" in this context, combined with the description of being held and cared for by people one knows, points towards feelings of love and warmth rather than negative or intense reactive emotions like anger, fear, or surprise.\n\nLabel: love"", ""baba on our journey\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text expresses a deep sense of connection, gratitude, and emotional fulfillment derived from being held and cared for by others during a journey. The phrase \""feel beautifully emotional\"" combined with the context of safety and companionship (\""holding me and my baba\"") strongly conveys feelings of affection and deep care. Among the candidate labels, this aligns best with **love**.\n\nLabel: love"", ""baba on our journey\n\nLabel:\nassistant\n<think>\n\n</think>\n\njoy"", ""baba on our journey\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text expresses deep gratitude, a sense of being held and protected, and a profound emotional connection (\""beautifully emotional\""). While the speaker mentions \""women\"" which might initially suggest fear, the context of \""holding me and my baba\"" during a journey indicates comfort, safety, and affection. The overall tone is one of deep appreciation and positive emotional attachment. Among the candidate labels, **love** best captures the feelings of warmth, gratitude, and deep connection described.\n\nLabel: love""]","[""2"", ""2"", ""2"", ""1"", ""2""]"
i pay attention it deepens into a feeling of being invaded and helpless,fear,anger,":
i pay attention it deepens into a feeling of being invaded and helpless

Label:
assistant
<think>

</think>

anger",475,780,1255,3.226364871748956,0.5545,0.5545,0.4487674106021444,"["":\ni pay attention it deepens into a feeling of being invaded and helpless\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text describes feelings of being \""invaded\"" and \""helpless.\"" These concepts are associated with a lack of control and a threat to personal boundaries, which aligns most closely with the emotion of fear. While it can involve sadness or anger, the core sensation of invasion and powerlessness is a primary component of fear.\n\nLabel: fear"", "":\ni pay attention it deepens into a feeling of being invaded and helpless\n\nLabel:\nassistant\n<think>\n\n</think>\n\nThe text describes feelings of being \""invaded\"" and \""helpless.\"" These concepts evoke a sense of vulnerability, threat, and loss of control, which aligns most closely with the emotion of fear.\n\nLabel: fear"", "":\ni pay attention it deepens into a feeling of being invaded and helpless\n\nLabel:\nassistant\n<think>\n\n</think>\n\nanger"", "":\ni pay attention it deepens into a feeling of being invaded and helpless\n\nLabel:\nassistant\n<think>\n\n</think>\n\nanger"", "":\ni pay attention it deepens into a feeling of being invaded and helpless\n\nLabel:\nassistant\n<think>\n\n</think>\n\nanger""]","[""4"", ""4"", ""3"", ""3"", ""3""]"
